urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
108373,390,Gateshead,Barley Mow Primary School,www.barleymowprimary.org/,Chester le Street,DH3 2DJ,North East,no
108327,390,Gateshead,Bede Community Primary School,www.bedecommunityprimaryschool.org/,Gateshead,NE10 0DJ,North East,no
108320,390,Gateshead,Bensham Grove Nursery School,www.benshamgrovenurseryschool.org,Gateshead,NE8 2XD,North East,no
108357,390,Gateshead,Bill Quay Primary School,www.billquayprimary.org/,Gateshead,NE10 0UN,North East,no
108337,390,Gateshead,Birtley East Community Primary School,www.birtleyeastprimary.org/,Birtley,DH3 1QQ,North East,no
108349,390,Gateshead,Blaydon West Primary School,www.blaydonwestprimary.org/,Blaydon-on-Tyne,NE21 4PY,North East,no
108359,390,Gateshead,Brandling Primary School,www.brandlingprimaryschool.org.uk,Gateshead,NE10 0JB,North East,no
108368,390,Gateshead,Brighton Avenue Primary School,www.brightonavenueprimaryschool.org/,Gateshead,NE8 1XS,North East,no
108380,390,Gateshead,Caedmon Community Primary School,http://www.caedmonprimary.org/,Gateshead,NE8 4LH,North East,no
137852,390,Gateshead,"Cardinal Hume Catholic School, Gateshead",www.cardinalhume.com,Gateshead,NE9 6RZ,North East,no
108321,390,Gateshead,Carr Hill Community Primary School,www.carrhillprimary.org/,Gateshead,NE9 5NB,North East,no
131107,390,Gateshead,Chopwell Primary School,www.chopwellprimary.org/,Newcastle-upon-Tyne,NE17 7HS,North East,no
108363,390,Gateshead,Clover Hill Community Primary School,www.cloverhillprimary.org/,Newcastle-upon-Tyne,NE16 5SJ,North East,no
148907,390,Gateshead,"Corpus Christi Catholic Primary School, Gateshead",www.corpuschristigateshead.bwcet.com,Gateshead,NE8 4QL,North East,no
108366,390,Gateshead,Crookhill Community Primary School,www.crookhillprimary.org,Ryton,NE40 3ES,North East,no
131200,390,Gateshead,Dryden School,http://drydenschool.co.uk/,Gateshead,NE9 5UR,North East,no
108338,390,Gateshead,Dunston Hill Community Primary School,http://www.dunstonhillcps.co.uk/,Gateshead,NE11 9NX,North East,no
108339,390,Gateshead,Emmaville Primary School,www.emmavilleprimary.org.uk/,Ryton,NE40 4ND,North East,no
133397,390,Gateshead,Eslington Primary School,www.eslingtonschool.uk,Gateshead,NE8 2EP,North East,no
108358,390,Gateshead,Falla Park Community Primary School,,Gateshead,NE10 9HP,North East,no
108379,390,Gateshead,Fell Dyke Community Primary School,www.felldykeprimary.org/,Gateshead,NE9 7AA,North East,no
108378,390,Gateshead,Fellside Community Primary School,www.fellsideprimary.co.uk/,Newcastle-upon-Tyne,NE16 5AY,North East,no
108350,390,Gateshead,Front Street Community Primary School,www.frontstreetprimary.co.uk,Newcastle-upon-Tyne,NE16 4AY,North East,no
108426,390,Gateshead,Furrowfield School,http://www.furrowfieldschool.uk,Gateshead,NE10 9RZ,North East,no
131213,390,Gateshead,Gibside School,http://www.gibsideschool.org/,Gateshead,NE8 4DE,North East,no
108372,390,Gateshead,Glynwood Community Primary School,www.glynwoodprimary.org,Gateshead,NE9 5SY,North East,no
147178,390,Gateshead,Grace College,https://www.gracecollege.org.uk/,Gateshead,NE9 6LE,North East,no
108348,390,Gateshead,Greenside Primary School,www.greensideprimary.org/,Ryton,NE40 4AX,North East,no
131077,390,Gateshead,Harlow Green Community Primary School,www.harlowgreen.org/,Gateshead,NE9 7TB,North East,no
145490,390,Gateshead,Heworth Grange School,,Gateshead,NE10 0PT,North East,no
108340,390,Gateshead,High Spen Primary School,highspenprimary.org,Rowlands Gill,NE39 2BQ,North East,no
108351,390,Gateshead,Highfield Community Primary School,www.highfieldprimarygateshead.co.uk/,Rowlands Gill,NE39 2JE,North East,no
130942,390,Gateshead,Hill Top School,,Gateshead,NE10 8LT,North East,no
131106,390,Gateshead,Kells Lane Primary School,www.kellslaneschool.org,Gateshead,NE9 5HX,North East,no
108323,390,Gateshead,Kelvin Grove Community Primary School,www.kelvingroveprimaryschool.org/,Gateshead,NE8 4UN,North East,no
138211,390,Gateshead,Kibblesworth Academy,www.kibblesworthacademy.org.uk/,Gateshead,NE11 0XP,North East,no
108330,390,Gateshead,Larkspur Community Primary School,www.larkspurprimary.co.uk,Gateshead,NE9 6SS,North East,no
108360,390,Gateshead,Lingey House Primary School,www.lingeyhouseprimary.org,Gateshead,NE10 8DN,North East,no
108369,390,Gateshead,Lobley Hill Primary School,www.lobleyhillprimaryschool.co.uk,Gateshead,NE11 0AT,North East,no
137942,390,Gateshead,Lord Lawson of Beamish Academy,http://lordlawson.academy/,Chester le Street,DH3 2LP,North East,no
150641,390,Gateshead,Oakfield Infant School,www.oakfieldschoolsfederation.org/,Gateshead,NE9 6JH,North East,no
150640,390,Gateshead,Oakfield Junior School,www.oakfieldschoolsfederation.org,Gateshead,NE9 6JH,North East,no
131466,390,Gateshead,Parkhead Community Primary School,www.parkheadprimary.org/,Blaydon-on-Tyne,NE21 6LT,North East,no
108336,390,Gateshead,Portobello Primary School,www.portobelloprimary.eschools.co.uk/,Chester le Street,DH3 2LY,North East,no
108333,390,Gateshead,Ravensworth Terrace Primary School,www.ravensworthterrace.com/,Chester le Street,DH3 1AY,North East,no
144352,390,Gateshead,River Tyne Academy Gateshead,https://gateshead.rtmat.org.uk/app/os#!/home,Gateshead,NE9 5PQ,North East,no
138285,390,Gateshead,Riverside Primary Academy,www.riversideprimaryacademy.org.uk/,Gateshead,NE11 9DX,North East,no
108376,390,Gateshead,Roman Road Primary School,romanroadprimary.org,Gateshead,NE10 8SA,North East,no
108352,390,Gateshead,Ryton Community Infant School,www.rytonfederation.org/,Ryton,NE40 3AF,North East,no
108355,390,Gateshead,Ryton Junior School,www.rytonfederation.org.uk,Ryton,NE40 3AF,North East,no
140638,390,Gateshead,"Sacred Heart Catholic Primary School, Byermoor",www.sacredheartbyemoor.bwcet.com,Newcastle-upon-Tyne,NE16 6NU,North East,no
108326,390,Gateshead,South Street Community Primary School,www.southstreetprimary.org/,Gateshead,NE8 4BB,North East,no
149051,390,Gateshead,"St Agnes' Catholic Primary School, Crawcrook",stagnescrawcrook.bwcet.com,Ryton,NE40 4UN,North East,no
150648,390,Gateshead,St Aidan's Church of England Primary School,www.staidansprimary.co.uk/,Gateshead,NE8 2HQ,North East,no
148410,390,Gateshead,"St Alban's Catholic Primary School, Pelaw",stalbanspelaw.bwcet.com,Gateshead,NE10 0QY,North East,no
147135,390,Gateshead,"St Anne's Catholic Primary School, Harlow Green",www.stannesharlowgreen.bwcet.com,Gateshead,NE9 7HX,North East,no
148605,390,Gateshead,"St Augustine's Catholic Primary School, Gateshead",www.staugustinesprimary.org,Gateshead,NE10 8PP,North East,no
148809,390,Gateshead,"St Joseph's Catholic Infant School, Birtley",www.stjosephcatholicschoolsbirtley.org,Chester le Street,DH3 1LU,North East,no
148844,390,Gateshead,"St Joseph's Catholic Junior School, Birtley",https://stjosephcatholicschoolsbirtley.org/,Chester le Street,DH3 2PN,North East,no
148910,390,Gateshead,"St Joseph's Catholic Primary School, Blaydon",https://stjosephsblaydon.bwcet.com/,Blaydon-on-Tyne,NE21 4BG,North East,no
148604,390,Gateshead,"St Joseph's Catholic Primary School, Gateshead",stjosephsgateshead.bwcet.com,Gateshead,NE8 1LR,North East,no
149052,390,Gateshead,"St Mary & St Thomas Aquinas Catholic Primary School, Blaydon",stmaryandthomasaquinasblaydon.bwcet.com,Blaydon-on-Tyne,NE21 4NE,North East,no
149053,390,Gateshead,"St Mary's Catholic Primary School, Whickham",stmaryswhickham.bwcet.com,Newcastle-upon-Tyne,NE16 4HB,North East,no
148409,390,Gateshead,"St Oswald's Catholic Primary, Wrekenton",https://stoswaldswrekenton.bwcet.com,Gateshead,NE9 7LH,North East,no
148908,390,Gateshead,"St Peter's Catholic Primary School, Low Fell",stpeterslowfell.bwcet.com,Gateshead,NE9 5TU,North East,no
148810,390,Gateshead,"St Philip Neri Catholic Primary School, Dunston",stphilipneridunston.bwcet.com,Gateshead,NE8 2QU,North East,no
