urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
108427,391,Newcastle upon Tyne,Ashfield Nursery School,www.ashfield.newcastle.sch.uk,Newcastle-upon-Tyne,NE4 6JR,North East,no
138212,391,Newcastle upon Tyne,Atkinson Road Primary Academy,https://atkinsonroad.laidlawschoolstrust.co.uk,Newcastle-upon-Tyne,NE4 8XT,North East,no
144524,391,Newcastle upon Tyne,Beech Hill Primary School,www.beechhill.newcastle.sch.uk/,Newcastle-upon-Tyne,NE5 2LW,North East,no
144271,391,Newcastle upon Tyne,Benfield School,https://benfield.neat.org.uk/,Newcastle-upon-Tyne,NE6 4NU,North East,no
108459,391,Newcastle upon Tyne,Benton Park Primary School,www.bentonparkprimary.co.uk,Newcastle-upon-Tyne,NE7 7SS,North East,no
108466,391,Newcastle upon Tyne,Bridgewater Primary School,www.bridgewater.newcastle.sch.uk,Newcastle-upon-Tyne,NE15 6NL,North East,no
108468,391,Newcastle upon Tyne,Broadwood Primary School,http://www.broadwoodprimary.co.uk/website,Newcastle-upon-Tyne,NE15 7TB,North East,no
135286,391,Newcastle upon Tyne,Brunton First School,www.bruntonfirst.co.uk,Newcastle-upon-Tyne,NE13 9BD,North East,no
108458,391,Newcastle upon Tyne,Byker Primary School,www.bykerprimary.org,Newcastle-upon-Tyne,NE6 2AT,North East,no
148573,391,Newcastle upon Tyne,Callerton Academy,https://www.callertonacademy.org.uk/,Newcastle-upon-Tyne,NE1 3BT,North East,no
108461,391,Newcastle upon Tyne,Canning Street Primary School,www.canning.newcastle.sch.uk,Newcastle-upon-Tyne,NE4 8PA,North East,no
144270,391,Newcastle upon Tyne,Central Walker Church of England Primary School,centralwalkerce.neat.org.uk,Newcastle-upon-Tyne,NE6 2NP,North East,no
143271,391,Newcastle upon Tyne,Cheviot Primary School,https://www.cheviot.smartacademies.net/,Newcastle-upon-Tyne,NE5 4EB,North East,no
108463,391,Newcastle upon Tyne,Chillingham Road Primary School,www.chillingham.newcastle.sch.uk,Newcastle-upon-Tyne,NE6 5XX,North East,no
108493,391,Newcastle upon Tyne,Christ Church CofE Primary School,www.christchurch.newcastle.sch.uk,Newcastle upon Tyne,NE2 1XA,North East,no
108465,391,Newcastle upon Tyne,Cragside Primary School,www.cragsideprimary.co.uk,Newcastle-upon-Tyne,NE7 7EL,North East,no
148445,391,Newcastle upon Tyne,"English Martyrs' Catholic Primary School, Fenham",www.emcps.co.uk,Newcastle-upon-Tyne,NE5 2SA,North East,no
135423,391,Newcastle upon Tyne,Excelsior Academy,https://excelsior.laidlawschoolstrust.co.uk,Newcastle-upon-Tyne,NE15 6AF,North East,no
143272,391,Newcastle upon Tyne,Farne Primary School,https://www.farne.smartacademies.net/,Newcastle-upon-Tyne,NE5 4AP,North East,no
136352,391,Newcastle upon Tyne,Gosforth Academy,www.ga.newcastle.sch.uk,Newcastle-upon-Tyne,NE3 2JH,North East,no
108519,391,Newcastle upon Tyne,Gosforth Central Middle School,www.gosforthcent.newcastle.sch.uk,Newcastle-upon-Tyne,NE3 1UN,North East,no
108521,391,Newcastle upon Tyne,Gosforth East Middle School,www.gosfortheast.newcastle.sch.uk,Newcastle-upon-Tyne,NE3 5JT,North East,no
136348,391,Newcastle upon Tyne,Gosforth Junior High Academy,https://www.juniorhighacademy.org.uk/,Newcastle-upon-Tyne,NE3 1EE,North East,no
108442,391,Newcastle upon Tyne,Gosforth Park First School,www.gosforthpark.newcastle.sch.uk/,Newcastle-upon-Tyne,NE3 5JQ,North East,no
108444,391,Newcastle upon Tyne,Grange First School,https://www.grangefirst.co.uk/,Newcastle-upon-Tyne,NE3 2NP,North East,no
143923,391,Newcastle upon Tyne,Great Park Academy,https://www.greatparkacademy.org.uk/,Newcastle-upon-Tyne,NE3 2JH,North East,no
131986,391,Newcastle upon Tyne,Hadrian School,www.hadrian.newcastle.sch.uk,Newcastle-upon-Tyne,NE15 6PY,North East,no
108443,391,Newcastle upon Tyne,Havannah First School,www.havannah.newcastle.sch.uk,Newcastle-upon-Tyne,NE13 9FR,North East,no
108460,391,Newcastle upon Tyne,Hawthorn Primary School,www.hawthorn.newcastle.sch.uk/,Newcastle upon Tyne,NE4 6SB,North East,no
138995,391,Newcastle upon Tyne,Hilton Primary Academy,https://hpa.northerneducationtrust.org/,Newcastle-upon-Tyne,NE5 3RN,North East,no
146752,391,Newcastle upon Tyne,Jesmond Park Academy,www.jesmondparkacademy.org.uk,Newcastle-upon-Tyne,NE7 7DP,North East,no
143267,391,Newcastle upon Tyne,Kenton Bar Primary School,https://www.kentonbar.smartacademies.net/,Newcastle-upon-Tyne,NE3 3YF,North East,no
138120,391,Newcastle upon Tyne,Kenton School,https://ks.northernleaderstrust.org,Newcastle-upon-Tyne,NE3 3RU,North East,no
143270,391,Newcastle upon Tyne,Kingston Park Primary School,https://www.kingstonpark.smartacademies.net/,Newcastle-upon-Tyne,NE3 2EL,North East,no
150327,391,Newcastle upon Tyne,Knop Law Primary School,www.knoplaw.newcastle.sch.uk,Newcastle-upon-Tyne,NE5 1DS,North East,no
108456,391,Newcastle upon Tyne,Lemington Riverside Primary School,www.lemingtonriverside.newcastle.sch.uk/,Newcastle-upon-Tyne,NE15 8RR,North East,no
144358,391,Newcastle upon Tyne,Mary Astell Academy,www.maryastellacademy.co.uk,Newcastle-upon-Tyne,NE5 2LW,North East,no
150328,391,Newcastle upon Tyne,Milecastle Primary School,www.milecastle.newcastle.sch.uk,Newcastle-upon-Tyne,NE5 1LH,North East,no
108431,391,Newcastle upon Tyne,Monkchester Road Nursery School,www.monkchesterroad.newcastle.sch.uk,Newcastle-upon-Tyne,NE6 2LJ,North East,no
108492,391,Newcastle upon Tyne,Moorside Primary School,www.moorside.newcastle.sch.uk,Newcastle-upon-Tyne,NE4 5AW,North East,no
143269,391,Newcastle upon Tyne,Mountfield Primary School,https://www.mountfield.smartacademies.net/,Newcastle-upon-Tyne,NE3 3AT,North East,no
108430,391,Newcastle upon Tyne,Newburn Manor Nursery School,www.newburnmanornur.newcastle.sch.uk,Newcastle-upon-Tyne,NE15 8PY,North East,no
150325,391,Newcastle upon Tyne,Newburn Manor Primary School,http://www.newburnmanorprimary.co.uk,Newcastle upon Tyne,NE15 8PD,North East,no
