urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
108586,392,North Tyneside,Amberley Primary School,www.amberleyprimary.co.uk/,Newcastle-upon-Tyne,NE12 6SQ,North East,no
108584,392,North Tyneside,Appletree Gardens First School,www.appletreegardens.org.uk,Whitley Bay,NE25 8XS,North East,no
108580,392,North Tyneside,Backworth Park Primary School,backworthpark.com,Newcastle-upon-Tyne,NE27 0FZ,North East,no
108587,392,North Tyneside,Bailey Green Primary School,www.baileygreenprimary.org.uk/,Killingworth,NE12 6QL,North East,no
108603,392,North Tyneside,Balliol Primary School,http://www.balliolprimary.co.uk,Newcastle-upon-Tyne,NE12 8QP,North East,no
150332,392,North Tyneside,Battle Hill Primary School,battlehillps.org.uk,Wallsend,NE28 9DH,North East,no
131544,392,North Tyneside,Beacon Hill School,https://beaconhill.org.uk,North Tyneside,NE28 9JW,North East,no
108604,392,North Tyneside,Benton Dene Primary School,https://bentondeneprimaryschool.schooljotter2.com/,Newcastle-upon-Tyne,NE12 8FD,North East,no
108655,392,North Tyneside,Benton Dene School,www.bentondeneschool.org.uk,Newcastle upon Tyne,NE12 8FD,North East,no
108640,392,North Tyneside,Burnside College,http://www.burnsidecollege.org.uk,Wallsend,NE28 7LQ,North East,no
108612,392,North Tyneside,Burradon Community Primary School,http://www.burradoncommunityprimaryschool.co.uk/,Cramlington,NE23 7NG,North East,no
108592,392,North Tyneside,Carville Primary School,https://www.carvilleprimary.co.uk/,Wallsend,NE28 6AX,North East,no
108614,392,North Tyneside,Christ Church CofE Primary School,www.christchurchcofe.primary--school.org.uk/,North Shields,NE30 2AD,North East,no
108641,392,North Tyneside,Churchill Community College,http://www.churchillcommunitycollege.org/,Wallsend,NE28 7TN,North East,no
108602,392,North Tyneside,Collingwood Primary School,www.collingwoodprimary.org.uk/,North Shields,NE29 7JQ,North East,no
108590,392,North Tyneside,Coquet Park First School,www.coquetpark.co.uk,Whitley Bay,NE26 1TQ,North East,no
108569,392,North Tyneside,Cullercoats Primary School,www.cullercoatsprimaryschool.org.uk/,North Shields,NE30 4PB,North East,no
150334,392,North Tyneside,Denbigh Community Primary School,www.denbighps.org.uk,WALLSEND,NE28 0DS,North East,no
108611,392,North Tyneside,Fordley Primary School,www.fordleyschool.com/,Cramlington,NE23 7AL,North East,no
