urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
149321,393,South Tyneside,Ashley Academy,https://ashley.wiseacademies.co.uk/,South Shields,NE34 0QA,North East,no
108693,393,South Tyneside,Bede Burn Primary School,www.bedeburnprimary.co.uk/,Jarrow,NE32 5NJ,North East,no
108665,393,South Tyneside,Boldon Nursery School,,Boldon Colliery,NE35 9DG,North East,no
140924,393,South Tyneside,Cleadon Church of England Academy,www.cleadonchurchofenglandacademy.co.uk/,Sunderland,SR6 7RP,North East,no
108661,393,South Tyneside,Clervaux Nursery School,www.clervauxnursery.co.uk,Jarrow,NE32 5UP,North East,no
151265,393,South Tyneside,Dunn Street Primary School,www.dunnstreetprimary.co.uk/,Jarrow,NE32 3QH,North East,no
108741,393,South Tyneside,Epinay Business and Enterprise School,http://epinay.org/,South Shields,NE34 8BT,North East,no
151234,393,South Tyneside,Fellgate Primary School,,Jarrow,NE32 4XA,North East,no
144204,393,South Tyneside,Harton Academy,www.harton-tc.co.uk,South Shields,NE34 6DL,North East,no
136178,393,South Tyneside,Harton Primary School,www.hartonprimary.co.uk,South Shields,NE34 6PF,North East,no
136163,393,South Tyneside,Hebburn Lakes Primary School,www.hebburnlakes.co.uk,Hebburn,NE31 2SL,North East,no
108699,393,South Tyneside,Hedworthfield Primary School,www.hedworthfieldprimary.co.uk,Jarrow,NE32 4QF,North East,no
108663,393,South Tyneside,Helen Gibson Nursery School,,East Boldon,NE36 0DL,North East,no
141160,393,South Tyneside,Holy Trinity Church of England Academy (South Shields),,South Shields,NE34 0TS,North East,no
133680,393,South Tyneside,Jarrow Cross CofE Primary School,www.jarrowcross.co.uk/,Jarrow,NE32 5UW,North East,no
133725,393,South Tyneside,Jarrow School,http://www.jarrowschool.com/,Jarrow,NE32 5PR,North East,no
136252,393,South Tyneside,Keelman's Way School,www.keelmanswayschool.co.uk,Hebburn,NE31 1QY,North East,no
108700,393,South Tyneside,Lord Blyton Primary School,www.lordblytonprimaryschool.co.uk/,South Shields,NE34 9BN,North East,no
151264,393,South Tyneside,Marine Park Primary School,www.marineparkprimary.co.uk/,South Shields,NE33 2RD,North East,no
138025,393,South Tyneside,Monkton Academy,www.monktonacademy.co.uk,South Shields,NE34 9RD,North East,no
139314,393,South Tyneside,Monkton Infants' School,www.monktoninfants.org.uk,South Shields,NE34 9SD,North East,no
139124,393,South Tyneside,Ridgeway Primary Academy,www.rpa.tynecoast.academy,South Shields,NE34 8AB,North East,no
148606,393,South Tyneside,"SS Peter and Paul Catholic Primary School, South Shields",www.sspeterpaul.co.uk/,South Shields,NE33 4RH,North East,no
134230,393,South Tyneside,Sea View Primary School,http://www.seaviewprimary.co.uk,South Shields,NE34 7TD,North East,no
148275,393,South Tyneside,"St Aloysius Catholic Infant School, Hebburn",,Hebburn,NE31 1RZ,North East,no
148274,393,South Tyneside,St Aloysius Catholic Junior School Academy,www.st-aloysius.co.uk,Hebburn,NE31 1BQ,North East,no
148779,393,South Tyneside,"St Bede's Catholic Primary School, Jarrow",www.stbedesjarrow.co.uk,Jarrow,NE32 3AJ,North East,no
148486,393,South Tyneside,"St Bede's Catholic Primary School, South Shields",www.stbedessouthshields.co.uk,South Shields,NE33 4PG,North East,no
149034,393,South Tyneside,"St Gregory's Catholic Primary School, South Shields",www.st-gregorys.co.uk/,South Shields,NE34 6DZ,North East,no
148778,393,South Tyneside,"St James' Catholic Primary School, Hebburn",www.stjameshebburn.co.uk,HEBBURN,NE31 2BP,North East,no
139878,393,South Tyneside,St Joseph's Catholic Academy,www.stjosephs.uk.net,Hebburn,NE31 2ET,North East,no
148276,393,South Tyneside,"St Joseph's Catholic Primary School, Jarrow",http://www.stjosephsjarrow.co.uk,Jarrow,NE32 4PJ,North East,no
147102,393,South Tyneside,St Mary's Catholic Primary School,www.stmarysjarrow.co.uk/,Jarrow,NE32 4AW,North East,no
149035,393,South Tyneside,"St Matthew's Catholic Primary School, Jarrow",www.stmatthewsrc.org,Jarrow,NE32 5YT,North East,no
148911,393,South Tyneside,"St Oswald's Catholic Primary School, South Shields",www.st-oswaldsrcsch.co.uk,South Shields,NE34 8NS,North East,no
108711,393,South Tyneside,St Oswald's CofE Aided Primary School,www.stoswaldscofe.co.uk,Hebburn,NE31 1HT,North East,no
142601,393,South Tyneside,St Wilfrid's RC College,www.st-wilfrids.org,South Shields,NE34 0QA,North East,no
108676,393,South Tyneside,Stanhope Primary School,www.stanhopeprimary.com,South Shields,NE33 4SZ,North East,no
132799,393,South Tyneside,The Sue Hedley Nursery School,www.thesuehedleynurseryschool.co.uk,Hebburn,NE31 1QY,North East,no
108694,393,South Tyneside,Valley View Primary School,www.valleyviewps.co.uk/,Jarrow,NE32 5QY,North East,no
134187,393,South Tyneside,Westoe Crown Primary School,www.westoecrownprimary.co.uk/,South Shields,NE33 3NS,North East,no
136386,393,South Tyneside,Whitburn Church of England Academy,www.whitburncofeacademy.org,Sunderland,SR6 7EF,North East,no
151290,393,South Tyneside,Whitburn Village Primary School,www.whitburnvillageprimary.co.uk/,Sunderland,SR6 7NS,North East,no
108666,393,South Tyneside,Alternative Education Service - The Beacon Centre,http://www.thebeaconcentre.net,South Shields,NE34 0QA,North East,yes
108738,393,South Tyneside,Bamburgh School,http://bamburghschool.co.uk,South Shields,NE34 7TD,North East,yes
108682,393,South Tyneside,Biddick Hall Infants' School,biddickhallinfants.co.uk,South Shields,NE34 9JD,North East,yes
108678,393,South Tyneside,Biddick Hall Junior School,www.biddickhallschool.co.uk/,South Shields,NE34 9SP,North East,yes
