urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
145477,394,Sunderland,Academy 360,https://academy360.laidlawschoolstrust.co.uk/,Sunderland,SR4 9BA,North East,no
138530,394,Sunderland,Barbara Priestman Academy,www.barbara-priestman.org.uk,Sunderland,SR2 7QN,North East,no
141045,394,Sunderland,Barnes Infant Academy,http://barnesinfant.org.uk/,Sunderland,SR4 7QF,North East,no
108755,394,Sunderland,Barnes Junior School,www.barnesjunior.co.uk/,Sunderland,SR4 7QF,North East,no
140700,394,Sunderland,Barnwell Academy,www.barnwellacademy.co.uk/,Houghton le Spring,DH4 7RT,North East,no
142882,394,Sunderland,Beacon of Light School,https://beaconoflight.laidlawschoolstrust.co.uk,Sunderland,SR5 1SN,North East,no
137831,394,Sunderland,Benedict Biscop Church of England Academy,www.benedictbiscopacademy.co.uk,Sunderland,SR3 2RE,North East,no
136487,394,Sunderland,Bexhill Academy,http://bexhill.wiseacademies.co.uk,Sunderland,SR5 4PJ,North East,no
139839,394,Sunderland,Biddick Academy,http://www.biddickacademy.com/,Washington,NE38 8AL,North East,no
108757,394,Sunderland,Broadway Junior School,www.broadwayjuniorschool.com,Sunderland,SR4 8NW,North East,no
142996,394,Sunderland,Burnside Academy Inspires,www.burnsideacademy.co.uk,Houghton le Spring,DH4 5HB,North East,no
135818,394,Sunderland,Castle View Enterprise Academy,http://www.castleviewenterpriseacademy.co.uk/,Sunderland,SR5 3DX,North East,no
138567,394,Sunderland,Christ's College,http://www.christscollege.org.uk/,Sunderland,SR4 8PG,North East,no
150096,394,Sunderland,Columbia Grange School,www.columbiagrange.org.uk,Washington,NE38 7NY,North East,no
148127,394,Sunderland,Consilium Evolve,https://www.consiliumevolve.co.uk/,Sunderland,SR2 7NA,North East,no
151412,394,Sunderland,Dame Dorothy Primary School,www.damedorothyprimary.co.uk/,Sunderland,SR6 0EA,North East,no
139849,394,Sunderland,Diamond Hall Infant Academy,www.diamondhallinfantacademy.co.uk,Sunderland,SR4 6JF,North East,no
143363,394,Sunderland,Diamond Hall Junior Academy,www.diamondhalljuniors.co.uk,Sunderland,SR4 6JF,North East,no
143524,394,Sunderland,Dubmire Primary,www.dubmire.co.uk,Houghton le Spring,DH4 6HL,North East,no
138331,394,Sunderland,East Herrington Primary Academy,http://www.ehpa.co.uk/,Sunderland,SR3 3PR,North East,no
108794,394,Sunderland,East Rainton Primary School,www.eastrainton.org.uk,Houghton le Spring,DH5 9RA,North East,no
148913,394,Sunderland,"English Martyrs' Catholic Primary School, Sunderland",www.englishmartyrssunderland.org.uk,Sunderland,SR5 5AU,North East,no
138213,394,Sunderland,Eppleton Academy Primary School,www.eppletonacademyprimary.co.uk/,Houghton le Spring,DH5 9AJ,North East,no
139103,394,Sunderland,Farringdon Academy,www.farringdonacademy.co.uk/,Sunderland,SR3 3DJ,North East,no
150268,394,Sunderland,Farringdon Community Academy,https://fca.northerneducationtrust.org/,Sunderland,SR3 3EL,North East,no
142997,394,Sunderland,Fatfield Academy,www.fatfieldacademy.co.uk,Washington,NE38 8RB,North East,no
139026,394,Sunderland,Fulwell Infant School Academy,http://www.fulwellinfant.org.uk,Sunderland,SR6 8ED,North East,no
108763,394,Sunderland,Fulwell Junior School,www.fulwelljunior.co.uk,Sunderland,SR6 9EE,North East,no
144220,394,Sunderland,George Washington Primary School,www.gwps.org.uk,Washington,NE37 1NL,North East,no
143493,394,Sunderland,Gillas Lane Primary Academy,www.gillaslaneprimaryschool.co.uk,Houghton le Spring,DH5 8EH,North East,no
108765,394,Sunderland,Grange Park Primary School,www.grangeparkprimary.co.uk,Sunderland,SR5 1EA,North East,no
108758,394,Sunderland,Grangetown Primary School,www.grangetown.sunderland.sch.uk/,Sunderland,SR2 8PX,North East,no
108766,394,Sunderland,Grindon Infant School,www.grindoninfantschoolsunderland.sch.uk,Sunderland,SR4 9QN,North East,no
147841,394,Sunderland,Harry Watts Academy,,Sunderland,SR5 5JA,North East,no
138976,394,Sunderland,Hasting Hill Academy,www.hastinghill.wiseacademies.co.uk,Sunderland,SR3 4LY,North East,no
149235,394,Sunderland,Hetton Academy,https://hta.northerneducationtrust.org/,Houghton le Spring,DH5 9JZ,North East,no
108750,394,Sunderland,Hetton Lyons Nursery School,www.hettonlyonsnursery.co.uk,Houghton Le Spring,DH5 0AH,North East,no
144225,394,Sunderland,Hetton Lyons Primary School,www.hettonlyonsprimaryschool.co.uk,Houghton le Spring,DH5 0AH,North East,no
108803,394,Sunderland,Hetton Primary School,www.hettonprimaryschool.co.uk/,Houghton le Spring,DH5 9ND,North East,no
144219,394,Sunderland,Highfield Academy,highfieldprimary.org.uk,Sunderland,SR4 0DA,North East,no
144222,394,Sunderland,Hill View Infant Academy,www.hillviewinfant.co.uk/,Sunderland,SR2 9JJ,North East,no
144224,394,Sunderland,Hill View Junior Academy,www.hillviewjuniors.co.uk,Sunderland,SR2 9HE,North East,no
138534,394,Sunderland,Holley Park Academy,http://www.holleyparkacademy.co.uk,Washington,NE38 0LR,North East,no
108746,394,Sunderland,Houghton Le Spring Nursery School,www.houghtonnurseryschool.org.uk,Houghton le Spring,DH5 8AE,North East,no
108772,394,Sunderland,Hudson Road Primary School,www.hudsonroad.org.uk/,Sunderland,SR1 2AH,North East,no
108748,394,Sunderland,Hylton Red House Nursery School,https://www.hyltonredhousenurseryschool.co.uk/,Sunderland,SR5 5QL,North East,no
144223,394,Sunderland,John F Kennedy Primary School,www.jfkprimary.co.uk,Washington,NE38 7AR,North East,no
137262,394,Sunderland,Kepier,http://www.kepier.com,Houghton le Spring,DH4 5BH,North East,no
