urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
144737,800,Bath and North East Somerset,Abbot Alphege Academy,http://abbot-alphege.org.uk/,Bath,BA1 9AU,South West,no
145511,800,Bath and North East Somerset,Bathampton Primary School,https://www.bathamptonprimary.org/,Bath,BA2 6TQ,South West,no
145512,800,Bath and North East Somerset,Batheaston Church School,www.batheastonprimary.co.uk/,Bath,BA1 7EP,South West,no
145582,800,Bath and North East Somerset,Bathford Church School,www.bathfordchurchschool.co.uk,Bath,BA1 7UB,South West,no
145515,800,Bath and North East Somerset,Bathwick St Mary Church School,www.bathwickstmary.org,Bath,BA2 6NN,South West,no
146972,800,Bath and North East Somerset,Beechen Cliff School,www.beechencliff.org.uk,Bath,BA2 4RE,South West,no
146788,800,Bath and North East Somerset,Bishop Sutton Primary School,www.bishopsuttonstantondrew.co.uk/,Bristol,BS39 5XD,South West,no
138985,800,Bath and North East Somerset,Broadlands Academy,www.broadlandsacademy.org,Bristol,BS31 2DY,South West,no
146976,800,Bath and North East Somerset,Cameley CEVC Primary School,www.cameleyprimaryschool.org/,Bristol,BS39 5BD,South West,no
146952,800,Bath and North East Somerset,Castle Primary School,www.castle.bathnes.sch.uk,Bristol,BS31 2TS,South West,no
144283,800,Bath and North East Somerset,Chandag Primary School,www.chandagschool.org.uk,Bristol,BS31 1PQ,South West,no
146979,800,Bath and North East Somerset,Chew Magna Primary School,www.chewmagna.bathnes.sch.uk/,Bristol,BS40 8RQ,South West,no
138617,800,Bath and North East Somerset,Chew Stoke Church School,http://www.chewstokeacademy.org,Bristol,BS40 8UY,South West,no
145482,800,Bath and North East Somerset,Chew Valley School,www.chewvalleyschool.co.uk,Bristol,BS40 8QB,South West,no
141767,800,Bath and North East Somerset,Clutton Primary School,www.cluttonschool.com,Bristol,BS39 5RA,South West,no
142943,800,Bath and North East Somerset,Combe Down CofE Primary School,www.combedown.com,Bath,BA2 5JQ,South West,no
146787,800,Bath and North East Somerset,East Harptree Church of England Primary School,www.eastharptreeandubley.org.uk/,Bristol,BS40 6BD,South West,no
145070,800,Bath and North East Somerset,Farmborough Church Primary School,farmboroughchurchprimary.org.uk,Bath,BA2 0FY,South West,no
144281,800,Bath and North East Somerset,Farrington Gurney Church of England Primary School,www.farringtongurneyschool.co.uk,Bristol,BS39 6TY,South West,no
137493,800,Bath and North East Somerset,Fosse Way School,http://www.fossewayschool.co.uk/,Bath,BA3 3AL,South West,no
145583,800,Bath and North East Somerset,Freshford Church School,www.freshfordschool.org.uk/,Bath,BA2 7WE,South West,no
136966,800,Bath and North East Somerset,Hayesfield Girls School,http://www.hayesfield.com/,Bath,BA2 3LA,South West,no
141149,800,Bath and North East Somerset,High Littleton CofE VC Primary School,www.highlittletonschool.com/,Bristol,BS39 6HF,South West,no
142127,800,Bath and North East Somerset,IKB Academy,www.ikbacademy.org.uk,Bristol,BS31 1SP,South West,no
142942,800,Bath and North East Somerset,Longvernal Primary School,www.longvernal.com,Radstock,BA3 2LP,South West,no
144282,800,Bath and North East Somerset,Marksbury CofE Primary School,www.marksburyschool.org.uk,Bath,BA2 9HS,South West,no
144830,800,Bath and North East Somerset,Midsomer Norton Primary School,www.midsomernortonprimary.co.uk,Radstock,BA3 2DR,South West,no
142715,800,Bath and North East Somerset,Moorlands Infant School,www.moorlands-school.org,Bath,BA2 2DQ,South West,no
142716,800,Bath and North East Somerset,Moorlands Junior School,www.moorlands-school.org,Bath,BA2 2DE,South West,no
145899,800,Bath and North East Somerset,Mulberry Park Educate Together Primary Academy,www.mulberryparket.org.uk,Bath,BA2 5BU,South West,no
131019,800,Bath and North East Somerset,Newbridge Primary School,www.newbridge.bathnes.sch.uk/,Bath,BA1 3LL,South West,no
140677,800,Bath and North East Somerset,North Star 180°,www.ns180.northstar-academy.co.uk,Bath,BA2 5RF,South West,no
136335,800,Bath and North East Somerset,Norton Hill Academy,http://www.nortonhillschool.com,Radstock,BA3 4AD,South West,no
143915,800,Bath and North East Somerset,Norton Hill Primary School,https://www.nortonhillprimary.com/,Midsomer Norton,BA3 2UD,South West,no
143557,800,Bath and North East Somerset,Oldfield Park Infant School,www.oldfieldparkinfants.co.uk,Bath,BA2 3RF,South West,no
143558,800,Bath and North East Somerset,Oldfield Park Junior School,http://www.oldfieldparkjuniorschool.com,Bath,BA2 2JL,South West,no
136483,800,Bath and North East Somerset,Oldfield School,http://oldfieldschool.com/,Bath,BA1 9AB,South West,no
147992,800,Bath and North East Somerset,Paulton Infant School,www.paultoninfantschool.co.uk,Bristol,BS39 7QY,South West,no
109089,800,Bath and North East Somerset,Paulton Junior School,www.paultonjuniorschool.co.uk,Paulton,BS39 7QY,South West,no
147173,800,Bath and North East Somerset,Peasedown St John Primary School,https://www.psjprimary.co.uk/,Bath,BA2 8DH,South West,no
146978,800,Bath and North East Somerset,Pensford Primary School,www.pensfordschool.org,Bristol,BS39 4AA,South West,no
138522,800,Bath and North East Somerset,Ralph Allen School,http://www.ralphallenschool.com,Bath,BA2 7AD,South West,no
146263,800,Bath and North East Somerset,Roundhill Primary School,www.roundhill-pri.co.uk,Bath,BA2 1LG,South West,no
