urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
108911,801,"Bristol, City of",Ashley Down Primary School,www.ashleydownschool.org.uk,Bristol,BS7 9PD,South West,no
150919,801,"Bristol, City of",Ashton Gate Primary School,www.ashtongate.bristol.sch.uk/,Bristol,BS3 1SZ,South West,no
145398,801,"Bristol, City of",Ashton Park School,www.ashtonpark.net,Bristol,BS3 2JL,South West,no
145321,801,"Bristol, City of",Ashton Vale Primary School,https://www.ashtonvale.bristol.sch.uk/,Bristol,BS3 2QG,South West,no
147652,801,"Bristol, City of",Avanti Gardens School,https://avanti.org.uk/avantigardens/,Bristol,BS16 2JP,South West,no
109140,801,"Bristol, City of",Avonmouth Church of England Primary School and Nursery,www.avonmouthp.co.uk,Bristol,BS11 9LG,South West,no
144779,801,"Bristol, City of",Badocks Wood E-ACT Academy,https://badockswoodacademy.e-act.org.uk/,Bristol,BS10 5PU,South West,no
138204,801,"Bristol, City of",Bedminster Down School,http://www.bedminsterdown.org.uk,Bristol,BS13 7DQ,South West,no
138655,801,"Bristol, City of",Begbrook Primary Academy,www.begbrookprimaryacademy.clf.uk,Bristol,BS16 1HG,South West,no
109116,801,"Bristol, City of",Bishop Road Primary School,www.bishoproad.bristol.sch.uk/,Bristol,BS7 8LS,South West,no
147219,801,"Bristol, City of",Blaise High School,www.blaisehighschool.co.uk,Bristol,BS10 7QH,South West,no
109118,801,"Bristol, City of",Blaise Primary and Nursery School,www.blaise.bristol.sch.uk,Bristol,BS10 7EJ,South West,no
149296,801,"Bristol, City of",Bridge Farm Primary School,www.bridgefarmschool.org.uk,Bristol,BS14 0LL,South West,no
139049,801,"Bristol, City of",Bridge Learning Campus,http://www.bridgelearningcampus.org.uk/,Bristol,BS13 0RL,South West,no
135300,801,"Bristol, City of",Bristol Brunel Academy,http://www.bba.bristol.sch.uk/,Bristol,BS15 1NU,South West,no
135575,801,"Bristol, City of",Bristol Cathedral Choir School,http://bccs.bristol.sch.uk/,Bristol,BS1 5TS,South West,no
136822,801,"Bristol, City of",Bristol Free School,http://www.bristolfreeschool.org.uk/,Bristol,BS10 6NJ,South West,no
133689,801,"Bristol, City of",Bristol Hospital Education Service,,Bristol,BS6 5JL,South West,no
135959,801,"Bristol, City of",Bristol Metropolitan Academy,www.bristolmet.net,Bristol,BS16 2HD,South West,no
108919,801,"Bristol, City of",Broomhill Junior School,www.broomhill-jun.bristol.sch.uk/,Bristol,BS4 4NZ,South West,no
108910,801,"Bristol, City of",Brunel Field Primary School,www.brunelfieldschool.org.uk,Bristol,BS7 9JT,South West,no
149121,801,"Bristol, City of",Cabot Primary School,https://cabot.excalibur.org.uk/,Bristol,BS2 9JE,South West,no
139828,801,"Bristol, City of",Cathedral Primary School,www.cathedralprimaryschool.org/,Bristol,BS1 5TS,South West,no
146687,801,"Bristol, City of",Cheddar Grove Primary School,www.cheddargroveschool.org.uk,Bristol,BS13 7EN,South West,no
108921,801,"Bristol, City of",Chester Park Infant School,www.chesterparkschools.org,Bristol,BS16 3QG,South West,no
108920,801,"Bristol, City of",Chester Park Junior School,www.chesterpark-jun.bristol.sch.uk/,Bristol,BS16 3NX,South West,no
138317,801,"Bristol, City of",Christ Church Church of England Primary School,www.christchurch.bristol.sch.uk,Bristol,BS8 3AW,South West,no
109391,801,"Bristol, City of",Claremont School,www.claremontbristol.org.uk,Bristol,BS9 4LR,South West,no
145320,801,"Bristol, City of",Compass Point Primary School,www.compasspoint.bristol.sch.uk,Bristol,BS3 3AU,South West,no
138708,801,"Bristol, City of",Cotham Gardens Primary School,www.cothamgardens.co.uk,Bristol,BS6 6AL,South West,no
137440,801,"Bristol, City of",Cotham School,http://www.cotham.bristol.sch.uk/,Bristol,BS6 6DT,South West,no
139050,801,"Bristol, City of",E-Act Bannerman Road Community Academy,http://www.bannermanroadbristol.org,Bristol,BS5 0HR,South West,no
151299,801,"Bristol, City of",E-Act Barton Hill Academy,,Bristol,BS5 9TX,South West,no
140269,801,"Bristol, City of",E-Act Fairlawn Primary School,www.fairlawnschoolbristol.org,Montpelier,BS6 5JL,South West,no
151302,801,"Bristol, City of",E-Act Merchants' Academy,,Bristol,BS13 9AJ,South West,no
151303,801,"Bristol, City of",E-Act Montpelier High School,www.montpschool.org,Bristol,BS6 5RD,South West,no
