urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
146912,802,North Somerset,All Saints Church of England Primary School,www.allsaintsprimaryschool.org.uk,Clevedon,BS21 6AU,South West,no
144924,802,North Somerset,Ashcombe Primary School,http://www.ashcombeprimary.co.uk,Weston-super-Mare,BS23 3JW,South West,no
145265,802,North Somerset,Backwell Church of England Junior School,www.backwellfederation.co.uk/,Bristol,BS48 3JJ,South West,no
136722,802,North Somerset,Backwell School,http://www.backwellschool.net,Bristol,BS48 3BX,South West,no
148903,802,North Somerset,Banwell Primary School,www.banwellprimary.co.uk/,Banwell,BS29 6DB,South West,no
109409,802,North Somerset,Baytree School,http://www.baytreeschool.co.uk,Weston-super-Mare,BS24 7DX,South West,no
144923,802,North Somerset,Becket Primary School,http://www.becketprimary.co.uk,Weston-super-Mare,BS22 6DH,South West,no
139471,802,North Somerset,Birdwell Primary School,www.birdwellschool.co.uk/,Bristol,BS41 9AZ,South West,no
147286,802,North Somerset,Blagdon Primary School,www.blagdonprimaryschool.com,Bristol,BS40 7RW,South West,no
144918,802,North Somerset,Bournville Primary School,www.bournville.org/,Weston-super-Mare,BS23 3ST,South West,no
147351,802,North Somerset,Broadoak Academy,https://broadoakacademy.clf.uk/,Weston-Super-Mare,BS23 4NP,South West,no
149496,802,North Somerset,Burrington Church of England Primary School,www.burringtonprimary.co.uk,Bristol,BS40 7AD,South West,no
145630,802,North Somerset,Castle Batch Primary School Academy,http://www.castlebatch.n-somerset.sch.uk,Weston-super-Mare,BS22 7FN,South West,no
148637,802,North Somerset,Chestnut Park Primary,https://www.chestnutparkschool.org.uk/,Yatton,BS49 4FW,South West,no
144920,802,North Somerset,Christ Church Church of England Primary School,www.christchurchprimaryschool.org/,Weston-super-Mare,BS23 3AF,South West,no
137000,802,North Somerset,Churchill Academy & Sixth Form,http://www.churchill-academy.org/,Winscombe,BS25 5QN,South West,no
149549,802,North Somerset,Churchill Church of England Primary School,http://www.churchillprimaryschool.co.uk,Bristol,BS40 5EL,South West,no
137884,802,North Somerset,Clevedon School,www.clevedonschool.org.uk,Clevedon,BS21 6AH,South West,no
148941,802,North Somerset,Corpus Christi Catholic Primary School,www.corpuschristiweston.co.uk,Weston-super-Mare,BS23 1XW,South West,no
142492,802,North Somerset,Court-De-Wyck Church School,http://www.courtdewyck.co.uk,BRISTOL,BS49 4NF,South West,no
143464,802,North Somerset,Crockerne Church of England Primary School,www.crockerne.co.uk,Bristol,BS20 0JP,South West,no
145021,802,North Somerset,Dundry Church of England Primary School,www.dundryprimary.co.uk,Bristol,BS41 8JE,South West,no
145445,802,North Somerset,Flax Bourton Church of England Primary School,http://www.flaxbourton.n-somerset.sch.uk,Bristol,BS48 1UA,South West,no
149548,802,North Somerset,Golden Valley Primary School,www.goldenvalleyschool.co.uk,Bristol,BS48 1BB,South West,no
136856,802,North Somerset,Gordano School,http://www.gordanoschool.org.uk/,Bristol,BS20 7QR,South West,no
145260,802,North Somerset,Grove Junior School,www.hannahmoreandgrove.co.uk,Nailsea,BS48 4YZ,South West,no
145262,802,North Somerset,Hannah More Infant School,http://www.hannahmoreandgrove.co.uk/,Nailsea,BS48 4YZ,South West,no
136708,802,North Somerset,Hans Price Academy,https://hanspriceacademy.clf.uk/,Weston-super-Mare,BS23 3QP,South West,no
140216,802,North Somerset,Haywood Village Academy,www.haywoodvillageacademy.org.uk,North Somerset,BS24 8ES,South West,no
138603,802,North Somerset,Herons' Moor Academy,http://www.heronsmoor.co.uk,Weston-super-Mare,BS24 7DX,South West,no
143284,802,North Somerset,High Down Infant School,http://www.highdownschools.co.uk,Portishead,BS20 6DY,South West,no
143286,802,North Somerset,High Down Junior School,www.highdownschools.co.uk,Bristol,BS20 6DY,South West,no
144919,802,North Somerset,Hutton Church of England Primary School,www.huttonceprimaryschool.co.uk/,Weston-super-Mare,BS24 9SN,South West,no
109092,802,North Somerset,Kewstoke Primary School,http://www.kewstokeprimary.co.uk,Weston-Super-Mare,BS22 9YF,South West,no
139205,802,North Somerset,Kingshill Church School,www.kingshillbwmat.org,Nailsea,BS48 2NP,South West,no
149149,802,North Somerset,Lime Hills Academy,https://clf.uk/academies/lime-hills-academy/,Nailsea,BS48 2NN,South West,no
144926,802,North Somerset,Locking Primary School,http://www.locking.n-somerset.sch.uk,Weston-Super-Mare,BS24 8BB,South West,no
143991,802,North Somerset,Mary Elton Primary School,https://www.maryeltonschool.org.uk/,North Somerset,BS21 7SX,South West,no
145492,802,North Somerset,Mead Vale Community Primary School,https://www.meadvaleprimary.co.uk,Weston-Super-Mare,BS22 8RQ,South West,no
146066,802,North Somerset,Mendip Green Primary School,http://www.mendipgreen.co.uk,Weston-super-Mare,BS22 6EX,South West,no
144917,802,North Somerset,Milton Park Primary School,www.miltonpark.org.uk/,Weston-Super-Mare,BS22 8DY,South West,no
138466,802,North Somerset,Nailsea School,http://www.nailseaschool.com,Bristol,BS48 2HN,South West,no
145264,802,North Somerset,Northleaze Church of England Primary School,www.northleaze.n-somerset.sch.uk/,Bristol,BS41 9NG,South West,no
144927,802,North Somerset,Oldmixon Primary School,http://www.oldmixonprimary.co.uk,Weston-Super-Mare,BS24 9DA,South West,no
144754,802,North Somerset,Parklands Educate Together Primary,http://www.parklandset.org.uk,Weston-Super-Mare,BS24 7NH,South West,no
143282,802,North Somerset,Portishead Primary School,www.portisheadprimary.co.uk/,Portishead,BS20 7DB,South West,no
137300,802,North Somerset,Priory Community School,www.pcsa.org.uk,Weston-Super-Mare,BS22 6BP,South West,no
109407,802,North Somerset,Ravenswood School,www.ravenswoodschool.org.uk,Bristol,BS48 2NN,South West,no
148784,802,North Somerset,Sandford Primary School,http://www.sandfordprimary.org,Winscombe,BS25 5PA,South West,no
148940,802,North Somerset,St Andrew's CofE Primary School,www.standrewscongresbury.co.uk,Bristol,BS49 5DX,South West,no
145631,802,North Somerset,St Anne's Church Academy,www.stanneschurchacademy.co.uk,Weston Super Mare,BS24 6RT,South West,no
148962,802,North Somerset,St Francis Catholic Primary School,,Nailsea,BS48 4PD,South West,no
143136,802,North Somerset,St Georges Church School,stgeorgeschurchschool.co.uk,Weston-Super-Mare,BS22 7SA,South West,no
143021,802,North Somerset,St John the Evangelist Church School,www.stjohnevangelistbwmat.org,Clevedon,BS21 5EL,South West,no
151173,802,North Somerset,St Joseph's Catholic Primary School,www.st-josephs.org.uk/,Portishead,BS20 6QB,South West,no
142853,802,North Somerset,St Katherine's School,www.stkaths.org.uk,Bristol,BS20 0HU,South West,no
143100,802,North Somerset,St Mark's Ecumenical Anglican/Methodist Primary School,http://www.saintmarks.co.uk,Weston-Super-Mare,BS22 7PU,South West,no
144921,802,North Somerset,St Martin's Church of England Primary School,http://www.stmartinsschool.org.uk,Weston-super-Mare,BS22 9BQ,South West,no
143283,802,North Somerset,"St Mary's Church of England Primary School, Portbury",http://www.stmarysprimaryportbury.co.uk,Bristol,BS20 7TR,South West,no
145443,802,North Somerset,St Nicholas Chantry Church of England Primary School,www.stnicholaschantryschool.org.uk,Clevedon,BS21 7LT,South West,no
143285,802,North Somerset,St Peter's Church of England Primary School,http://www.st-peters.n-somerset.sch.uk,Portishead,BS20 6BT,South West,no
141362,802,North Somerset,Tickenham Church of England Primary School,www.tickenhamprimary.co.uk,Clevedon,BS21 6RG,South West,no
142563,802,North Somerset,Trinity Anglican-Methodist Primary School,http://www.trinityprimaryschool.co.uk,Bristol,BS20 7JF,South West,no
148160,802,North Somerset,Uphill Village Academy,http://www.uphillvillageacademy.clf.uk,Weston-Super-Mare,BS23 4XH,South West,no
138455,802,North Somerset,Voyage Learning Campus,www.voyagelearningcampus.org.uk,Weston-Super-Mare,BS24 9AX,South West,no
144922,802,North Somerset,Walliscote Primary School,http://www.walliscote.n-somerset.sch.uk,Weston-Super-Mare,BS23 1UY,South West,no
145261,802,North Somerset,West Leigh Infant School,www.backwellfederation.co.uk/,Bristol,BS48 3NG,South West,no
109406,802,North Somerset,Westhaven School,www.westhavenschool.org.uk,Weston-super-Mare,BS23 4UT,South West,no
144925,802,North Somerset,Windwhistle Primary School,www.windwhistleschool.co.uk,Weston-Super-Mare,BS23 3TZ,South West,no
146596,802,North Somerset,Winford Church of England Primary School,https://www.winford.n-somerset.sch.uk/,Bristol,BS40 8AD,South West,no
148785,802,North Somerset,Winscombe Primary School,http://www.winscombeprimaryschool.com,Winscombe,BS25 1HH,South West,no
147350,802,North Somerset,Winterstoke Hundred Academy,www.winterstokehundredacademy.clf.uk,Weston-Super-Mare,BS24 8EE,South West,no
143137,802,North Somerset,Worle Community School,,Weston-Super-Mare,BS22 8XX,South West,no
144928,802,North Somerset,Worle Village Primary School,www.worlevillage.n-somerset.sch.uk,Weston-super-Mare,BS22 9EJ,South West,no
149833,802,North Somerset,Worlebury St Pauls Church School,www.worleburyprimary.com,Weston-Super-Mare,BS22 9RH,South West,no
146004,802,North Somerset,Wraxall Church of England Primary School,http://www.wraxallprimary.co.uk,Bristol,BS48 1LB,South West,no
149495,802,North Somerset,Wrington Church of England Primary School,www.wringtoncofeprimary.org/,Bristol,BS40 5NA,South West,no
145263,802,North Somerset,Yatton Church of England Junior School,yattonschools.co.uk,Bristol,BS49 4HJ,South West,no
145444,802,North Somerset,Yatton Infant School,www.yattonschools.co.uk,Bristol,BS49 4HJ,South West,no
141361,802,North Somerset,Yeo Moor Primary School,www.yeomoorprimaryschool.org.uk,Clevedon,BS21 6JL,South West,no
