urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139067,803,South Gloucestershire,Abbeywood Community School,www.abbeywoodschool.com,Bristol,BS34 8SF,South West,no
132199,803,South Gloucestershire,Abbotswood Primary School,http://www.abbotswoodprimary.org.uk,Bristol,BS37 8SZ,South West,no
109157,803,South Gloucestershire,Almondsbury Church of England Primary School,www.almondsburyprimary.co.uk,Almondsbury,BS32 4DS,South West,no
131225,803,South Gloucestershire,Bailey's Court Primary School,http://www.baileyscourt.com,Bristol,BS32 8AZ,South West,no
109047,803,South Gloucestershire,Barley Close Community Primary School,http://www.barleycloseschool.co.uk,Bristol,BS16 9DL,South West,no
150820,803,South Gloucestershire,Barrs Court Primary School,www.barrscourtprimaryschool.co.uk,Bristol,BS30 7JB,South West,no
109133,803,South Gloucestershire,Beacon Rise Primary School,www.beaconriseprimaryschool.co.uk/,Bristol,BS15 8NU,South West,no
149946,803,South Gloucestershire,Blackhorse Primary School,www.blackhorseprimary.org.uk/,Bristol,BS16 6TR,South West,no
149997,803,South Gloucestershire,Bowsland Green Primary School,www.bowsland.org.uk,Bristol,BS32 0ES,South West,no
137753,803,South Gloucestershire,Bradley Stoke Community School,http://www.bradleystokecs.org.uk/,Bristol,BS32 9BS,South West,no
109319,803,South Gloucestershire,Brimsham Green School,http://www.brimsham.com,Bristol,BS37 7LB,South West,no
150818,803,South Gloucestershire,Broadway Infant School,www.broadwayinfants.org.uk,Bristol,BS37 7AD,South West,no
109029,803,South Gloucestershire,Bromley Heath Infant School,www.bromleyheathinfantschool.co.uk,Bristol,BS16 6NJ,South West,no
109028,803,South Gloucestershire,Bromley Heath Junior School,www.bhjs.org.uk/,Bristol,BS16 6NJ,South West,no
149944,803,South Gloucestershire,Cadbury Heath Primary School,www.cadburyheathprimary.org.uk,Bristol,BS30 8GB,South West,no
142342,803,South Gloucestershire,Callicroft Primary School,http://callicroftprimary.co.uk,Bristol,BS34 5EG,South West,no
141638,803,South Gloucestershire,Charborough Road Primary School,www.charboroughroadprimary.org.uk/,Bristol,BS34 7RA,South West,no
139935,803,South Gloucestershire,Charfield Primary School,www.charfieldschool.org.uk,Wotton-Under-Edge,GL12 8TG,South West,no
147069,803,South Gloucestershire,Charlton Wood Primary Academy,https://charltonwood.tila.school/,Bristol,BS34 5BN,South West,no
150412,803,South Gloucestershire,Cherry Garden Primary School,www.cherrygardenprimary.co.uk,Bristol,BS30 6JH,South West,no
148295,803,South Gloucestershire,Chipping Sodbury School,http://www.chippingsodburyschool.com,Bristol,BS37 6EW,South West,no
109163,803,South Gloucestershire,Christ Church Hanham CofE Primary School,www.christchurchhanhamprimaryschool.co.uk/,Bristol,BS15 3LA,South West,no
109166,803,South Gloucestershire,"Christ Church, Church of England Infant School, Downend",http://www.christchurchinfants.co.uk,Bristol,BS16 5TG,South West,no
109165,803,South Gloucestershire,"Christ Church, Church of England Junior School, Downend",http://www.christchurchjuniors.co.uk,Bristol,BS16 5JJ,South West,no
109267,803,South Gloucestershire,"Christ The King Catholic Primary School, Thornbury",www.christthekingprimary.co.uk,Bristol,BS35 1AW,South West,no
131698,803,South Gloucestershire,Coniston Primary School,www.conistonprimary.org.uk,Bristol,BS34 5LN,South West,no
109054,803,South Gloucestershire,Courtney Primary School,http://www.courtneyprimaryschool.co.uk,Bristol,BS15 9RD,South West,no
109049,803,South Gloucestershire,Crossways Infant School,www.crosswaysschools.co.uk/,Bristol,BS35 2HQ,South West,no
109040,803,South Gloucestershire,Crossways Junior School,http://www.crosswaysschools.co.uk,Bristol,BS35 2HQ,South West,no
146014,803,South Gloucestershire,Culverhill School,https://www.culverhillschool.org.uk/,Bristol,BS37 8SZ,South West,no
142079,803,South Gloucestershire,Digitech Studio School,http://digitechstudioschool.co.uk/,Bristol,BS30 8XQ,South West,no
139345,803,South Gloucestershire,Downend School,http://www.downend.com/,Bristol,BS16 6XA,South West,no
109117,803,South Gloucestershire,Elm Park Primary School,http://www.elmparkprimary.com,Bristol,BS36 1NF,South West,no
150000,803,South Gloucestershire,Emersons Green Primary School,http://www.emersonsgreenprimary.co.uk,Bristol,BS16 7GA,South West,no
143408,803,South Gloucestershire,Filton Hill Primary School,www.filtonhillprimary.co.uk/,Bristol,BS34 7AX,South West,no
109160,803,South Gloucestershire,Frampton Cotterell Church of England Primary School,http://www.fcceprimaryschool.co.uk,Bristol,BS36 2BT,South West,no
109178,803,South Gloucestershire,Frenchay Church of England Primary School,www.frenchayprimary.co.uk,Bristol,BS16 1UZ,South West,no
150819,803,South Gloucestershire,Gillingstool Primary School,http://www.gillingstool.org.uk,Bristol,BS35 2EG,South West,no
109024,803,South Gloucestershire,Hambrook Primary School,http://www.hambrook-pri.s-gloucs.sch.uk,Bristol,BS16 1SJ,South West,no
149942,803,South Gloucestershire,Hanham Abbots Junior School,www.hanhamabbotsjunior.org.uk/,Bristol,BS15 3PN,South West,no
141042,803,South Gloucestershire,Hanham Woods Academy,www.hanhamwoods.academy,Bristol,BS15 3LA,South West,no
109161,803,South Gloucestershire,Hawkesbury Church of England Primary School,www.hawkesburyprimaryschool.co.uk/,Badminton,GL9 1AU,South West,no
109266,803,South Gloucestershire,Holy Family Catholic Primary School,http://www.holyfamilyprimary.co.uk,"Patchway, Bristol",BS34 6BY,South West,no
109249,803,South Gloucestershire,Holy Trinity Primary School,http://www.holytrinitypri.com,Bristol,BS32 0BD,South West,no
109262,803,South Gloucestershire,Horton CofE VA Primary School,http://www.hortonprimary.org.uk,Bristol,BS37 6QP,South West,no
109162,803,South Gloucestershire,Iron Acton Church of England Primary School,http://www.ironactonprimaryschool.co.uk/,Bristol,BS37 9UZ,South West,no
135295,803,South Gloucestershire,John Cabot Academy,http://www.cabot.ac.uk/,Bristol,BS15 8BD,South West,no
137106,803,South Gloucestershire,King's Oak Academy,http://kingsoakacademy.clf.uk/,Bristol,BS15 4JT,South West,no
150007,803,South Gloucestershire,Kings' Forest Primary School,www.kingsforestschool.co.uk,Bristol,BS15 4PQ,South West,no
109030,803,South Gloucestershire,Longwell Green Primary School,www.longwellgreenprimaryschool.co.uk,Bristol,BS30 9BA,South West,no
141513,803,South Gloucestershire,Lyde Green Primary School,www.lydegreen.org.uk,Bristol,BS16 7LH,South West,no
149948,803,South Gloucestershire,Mangotsfield Church of England Primary School,http://www.mangotsfieldprimary.org,Bristol,BS16 7EY,South West,no
142008,803,South Gloucestershire,Mangotsfield School,www.mangotsfieldschool.org.uk,Bristol,BS16 9LH,South West,no
130978,803,South Gloucestershire,Manorbrook Primary School,http://www.manorbrook.org.uk,Bristol,BS35 1JW,South West,no
141341,803,South Gloucestershire,Marlwood School,www.marlwood.com,Bristol,BS35 3LA,South West,no
109168,803,South Gloucestershire,Marshfield Church of England Primary School,www.marshfieldprimary.org.uk,Chippenham,SN14 8NY,South West,no
141618,803,South Gloucestershire,Meadowbrook Primary School,www.meadowbrookprimary.co.uk,Bristol,BS32 8TA,South West,no
146013,803,South Gloucestershire,New Siblands School,www.newsiblands.org.uk,Bristol,BS35 2JU,South West,no
109025,803,South Gloucestershire,North Road Community Primary School,www.northroadprimaryschool.co.uk,Bristol,BS37 7LQ,South West,no
109175,803,South Gloucestershire,Old Sodbury Church of England Primary School,www.oldsodbury-pri.s-gloucs.sch.uk/,Bristol,BS37 6NB,South West,no
109169,803,South Gloucestershire,Oldbury on Severn Church of England Primary School,www.oldburyschool.org.uk,Bristol,BS35 1QG,South West,no
109170,803,South Gloucestershire,Olveston Church of England Primary School,www.olvestonschool.co.uk,Bristol,BS35 4DB,South West,no
109265,803,South Gloucestershire,Our Lady of Lourdes Catholic Primary School,http://www.ourladyoflourdesprimaryschool.org.uk/,Bristol,BS15 8PX,South West,no
150816,803,South Gloucestershire,Parkwall Primary School,www.parkwallprimaryschool.co.uk/,Bristol,BS30 8AA,South West,no
145124,803,South Gloucestershire,Patchway Community School,http://www.patchwaycs.org.uk/,Almondsbury,BS32 4AJ,South West,no
109171,803,South Gloucestershire,Pucklechurch CofE VC Primary School,www.pucklechurchprimary.org.uk/,Bristol,BS16 9RF,South West,no
151163,803,South Gloucestershire,Rangeworthy Church of England Primary School,,Bristol,BS37 7ND,South West,no
150831,803,South Gloucestershire,Raysfield Primary School,www.raysfield.org.uk,Bristol,BS37 6JE,South West,no
150814,803,South Gloucestershire,Redfield Edge Primary School,http://www.redfieldedgeprimary.co.uk,Bristol,BS30 9TL,South West,no
145058,803,South Gloucestershire,SGS Pegasus School,www.sgspegasusschool.co.uk,Bristol,BS32 4AJ,South West,no
149945,803,South Gloucestershire,Samuel White's Infant School,www.hanhamprimaryfederation.org,Bristol,BS15 3PN,South West,no
141174,803,South Gloucestershire,Severn Beach Primary School,www.severnbeachprimary.co.uk,Bristol,BS35 4PP,South West,no
141665,803,South Gloucestershire,Sir Bernard Lovell Academy,www.sblacademy.org.uk,Bristol,BS30 8TS,South West,no
109181,803,South Gloucestershire,"St Andrew's Church of England Primary School, Cromhall",www.standrewsschoolcromhall.org.uk,Wotton-under-Edge,GL12 8AL,South West,no
109159,803,South Gloucestershire,St Anne's Church of England Primary School,www.stannesprimaryschool.org.uk/,Bristol,BS30 6PH,South West,no
109268,803,South Gloucestershire,St Augustine of Canterbury Catholic Primary School,www.staugustinedownend.org.uk,Bristol,BS16 6QR,South West,no
149949,803,South Gloucestershire,St Barnabas Church of England Primary School,www.stbarnabasprimaryschool.co.uk,Bristol,BS30 5NW,South West,no
109179,803,South Gloucestershire,St Chad's Patchway CofE Primary School,www.stchadsprimaryschool.co.uk/,Bristol,BS34 6AQ,South West,no
109158,803,South Gloucestershire,St Helen's Church of England Primary School,http://www.sthelensprimaryalveston.org.uk,Bristol,BS35 2QX,South West,no
109229,803,South Gloucestershire,St John's Mead Church of England Primary School,http://www.stjohnsmead.co.uk,Bristol,BS37 6EE,South West,no
131410,803,South Gloucestershire,St Mary's Catholic Primary School,www.stmarysbradleystoke.org.uk/,Bristol,BS32 8EJ,South West,no
109263,803,South Gloucestershire,"St Mary's Church of England Primary School, Thornbury",www.stmarysthornbury.com,Bristol,BS35 1HJ,South West,no
109264,803,South Gloucestershire,"St Mary's Church of England Primary School, Yate",http://www.stmarysyate.org.uk,Bristol,BS37 5BG,South West,no
109228,803,South Gloucestershire,"St Michael's Church of England Primary School, Stoke Gifford",www.stmichaelssg.co.uk/,Bristol,BS34 8SG,South West,no
150822,803,South Gloucestershire,"St Michael's Church of England Primary School, Winterbourne",http://www.stmichaelswinterbourne.co.uk,Bristol,BS36 1LG,South West,no
109269,803,South Gloucestershire,St Paul's Catholic Primary School,www.stpaulscatholicprimary.co.uk,Bristol,BS37 4EP,South West,no
132927,803,South Gloucestershire,St Peter's Anglican / Methodist VC Primary,www.stpetersprimary.co.uk/,Bristol,BS35 4JG,South West,no
150821,803,South Gloucestershire,"St Stephen's Church of England Junior School, Soundwell",www.ststephensjun.org.uk,BRISTOL,BS15 1XD,South West,no
109046,803,South Gloucestershire,St Stephen's Infant School,www.ststephensinf.org.uk/,Bristol,BS15 1XD,South West,no
149947,803,South Gloucestershire,Stanbridge Primary School,www.stanbridgeprimary.co.uk,Bristol,BS16 6AL,South West,no
149943,803,South Gloucestershire,Staple Hill Primary School,http://www.staplehillschool.co.uk,Bristol,BS16 4NE,South West,no
140259,803,South Gloucestershire,Stoke Lodge Primary School,www.stokelodgeschool.co.uk,Bristol,BS34 6DW,South West,no
139348,803,South Gloucestershire,The Castle School,www.thecastleschool.org.uk,Bristol,BS35 1HT,South West,no
109176,803,South Gloucestershire,The Manor Church of England Primary School,http://www.themanorcofeprimary.org.uk,Bristol,BS36 2LF,South West,no
144986,803,South Gloucestershire,The Meadows Primary School,www.themeadowsprimaryschool.org.uk,Bristol,BS30 6HS,South West,no
150815,803,South Gloucestershire,The Park Primary School,www.parkprimaryschool.co.uk/,Bristol,BS15 9TP,South West,no
150817,803,South Gloucestershire,The Ridge Junior School,www.theridgeschool.co.uk,Bristol,BS37 7AP,South West,no
149950,803,South Gloucestershire,The Tynings Primary School,http://www.thetynings.co.uk,Staple Hill,BS16 4SG,South West,no
