urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
146856,805,Hartlepool,Barnard Grove Primary School,www.barnardgroveschool.org.uk,Hartlepool,TS24 9SD,North East,no
142965,805,Hartlepool,Brougham Primary School,www.brougham-school.org.uk/,Hartlepool,TS24 8EY,North East,no
139976,805,Hartlepool,Catcote Academy,www.catcoteacademy.co.uk,Hartlepool,TS25 4EZ,North East,no
151211,805,Hartlepool,Clavering Primary School,www.claveringprimary.org.uk/,Hartlepool,TS27 3PN,North East,no
139405,805,Hartlepool,Dyke House Sports and Technology College,https://dha.northerneducationtrust.org/,Hartlepool,TS24 8NQ,North East,no
139851,805,Hartlepool,Eldon Grove Academy,www.eldongroveacademy.co.uk,Hartlepool,TS26 9LY,North East,no
140867,805,Hartlepool,English Martyrs Catholic School and Sixth Form College,https://ems.bhcet.org.uk/,Hartlepool,TS25 4HA,North East,no
139584,805,Hartlepool,Eskdale Academy,www.eskdaleacademy.com/,Hartlepool,TS25 4BT,North East,no
111600,805,Hartlepool,Fens Primary School,http://www.fensprimaryschool.co.uk,Hartlepool,TS25 2LY,North East,no
111581,805,Hartlepool,Golden Flatts Primary School,www.goldenflattsprimary.co.uk/,Hartlepool,TS25 1HN,North East,no
150414,805,Hartlepool,Grange Primary School,www.grangeprimaryschool.org,Hartlepool,TS25 3PU,North East,no
149507,805,Hartlepool,Greatham CofE Primary School,https://greathamceprimary.org.uk/,Hartlepool,TS25 2EU,North East,no
145813,805,Hartlepool,Hart Primary School,https://www.hartelwickfederation.org.uk/hart/,Hartlepool,TS27 3AP,North East,no
150740,805,Hartlepool,Hartlepool Free School,makeitdifferent.org.uk,Hartlepool,TS25 1FF,North East,no
144901,805,Hartlepool,Holy Trinity Church of England Primary School,http://www.holytrinitycofeseatoncarew.co.uk,Hartlepool,TS25 1BZ,North East,no
143215,805,Hartlepool,Jesmond Gardens Primary School,http://www.jesmondgardens.com,Hartlepool,TS24 8PJ,North East,no
111601,805,Hartlepool,Kingsley Primary School,http://www.kingsleyprimary.com,Hartlepool,TS25 5JR,North East,no
111590,805,Hartlepool,Lynnfield Primary School,www.lynnfieldschool.org.uk,Hartlepool,TS26 8RL,North East,no
141686,805,Hartlepool,Manor Community Academy,mca.northerneducationtrust.org,Hartlepool,TS25 3PS,North East,no
149030,805,Hartlepool,Rossmere Academy,www.rossmereschool.org.uk/,Hartlepool,TS25 3JL,North East,no
148279,805,Hartlepool,"Sacred Heart Catholic Primary School, Hartlepool",https://sacredheart.bhcet.org.uk,Hartlepool,TS26 8NL,North East,no
149243,805,Hartlepool,Springwell School,http://www.springwellschool.co.uk,Hartlepool,TS26 0TB,North East,no
144902,805,Hartlepool,St Aidan's Church of England Memorial Primary School,http://www.staidansschool.info,Hartlepool,TS25 5BA,North East,no
148280,805,Hartlepool,"St Bega's Catholic Primary School, Hartlepool",http://www.stbegas.bhcet.org.uk,Hartlepool,TS24 0DX,North East,no
148380,805,Hartlepool,"St Cuthbert's Catholic Primary School, Hartlepool",www.stcuthbertsschool.org.uk,Hartlepool,TS25 5AJ,North East,no
148986,805,Hartlepool,St Helen's Primary School,www.sthelensprimaryschool.co.uk,Hartlepool,TS24 0HG,North East,no
148532,805,Hartlepool,St Hild's Church of England School,https://sthilds.neat.org.uk/,Hartlepool,TS24 9PB,North East,no
148817,805,Hartlepool,"St John Vianney Catholic Primary School, Hartlepool",www.sjvschool.co.uk,Hartlepool,TS24 9PA,North East,no
148366,805,Hartlepool,"St Joseph's Catholic Primary School, Hartlepool",https://stjosephshartlepool.bhcet.org.uk/,Hartlepool,TS24 7HT,North East,no
145814,805,Hartlepool,St Peter's Elwick Church of England Primary School,www.hartelwickfederation.org.uk/,Hartlepool,TS27 3EG,North East,no
148367,805,Hartlepool,"St Teresa's Catholic Primary School, Hartlepool",www.st-teresas.hartlepool.sch.uk/,Hartlepool,TS25 3BG,North East,no
139884,805,Hartlepool,Stranton Primary School,www.strantonschool.co.uk,Hartlepool,TS25 1SQ,North East,no
131294,805,Hartlepool,"The Horizon School, Hartlepool",www.hartlepoolpru.co.uk,Hartlepool,TS25 4BY,North East,no
149661,805,Hartlepool,Ward Jackson Church of England Primary School,www.wardjackson.net/,Hartlepool,TS24 7LE,North East,no
141627,805,Hartlepool,West View Primary School,https://westview.adastraschools.org/,Hartlepool,TS24 9BP,North East,no
111748,805,Hartlepool,High Tunstall College of Science,http://www.htcs.org.uk/,Hartlepool,TS26 0LQ,North East,yes
111640,805,Hartlepool,Rift House Primary School,www.rifthouse.co.uk/,Hartlepool,TS25 4JY,North East,yes
111612,805,Hartlepool,Throston Primary School,http://www.throstonschool.org.uk/,Hartlepool,TS26 0TJ,North East,yes
141717,805,Hartlepool,West Park Primary School,http://www.westpark.hartlepool.sch.uk,Hartlepool,TS26 0BU,North East,yes
