urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
150095,806,Middlesbrough,Abingdon Primary School,www.abingdonprimary.org.uk,Middlesbrough,TS1 3JR,North East,no
145774,806,Middlesbrough,Acklam Grange School,http://www.acklamgrange.org.uk/,Middlesbrough,TS5 8PB,North East,no
151369,806,Middlesbrough,Acklam Whin Primary School,www.acklamwhin.co.uk,Middlesbrough,TS5 8SQ,North East,no
145623,806,Middlesbrough,Archibald Primary School,www.archibaldpri.org.uk/,Middlesbrough,TS5 4DY,North East,no
146770,806,Middlesbrough,Ayresome Primary School,www.ayresome.adastraschools.org,Middlesbrough,TS1 4NT,North East,no
111577,806,Middlesbrough,Beech Grove Primary School,www.beechgroveschool.org.uk/,Middlesbrough,TS4 3AP,North East,no
111773,806,Middlesbrough,Beverley School,www.beverleyschool.co.uk,Middlesbrough,TS4 3JS,North East,no
138559,806,Middlesbrough,Brambles Primary Academy,brambles.teesvalleyeducation.co.uk,Middlesbrough,TS3 9DB,North East,no
150090,806,Middlesbrough,Breckon Hill Primary School,www.breckonhillprimary.co.uk,Middlesbrough,TS4 2DS,North East,no
139476,806,Middlesbrough,Caldicotes Primary Academy,www.caldicotesprimaryacademy.org,Middlesbrough,TS3 9HD,North East,no
146222,806,Middlesbrough,Captain Cook Primary School,www.captaincookprimary.co.uk,Marton,TS7 8DU,North East,no
145287,806,Middlesbrough,Chandlers Ridge Academy,www.chandlersridge.org.uk,Middlesbrough,TS7 0JL,North East,no
142344,806,Middlesbrough,Corpus Christi RC Primary School,https://corpus.npcat.org.uk,Middlesbrough,TS3 8NL,North East,no
145877,806,Middlesbrough,Discovery Special Academy,https://www.discoveryspecialacademy.org.uk/,Middlesbrough,TS5 7YN,North East,no
140714,806,Middlesbrough,Easterside Academy,http://www.eastersideacademy.co.uk,Middlesbrough,TS4 3RG,North East,no
140722,806,Middlesbrough,Green Lane Primary Academy,www.greenlanemiddlesbrough.co.uk,Middlesbrough,TS5 7RU,North East,no
145136,806,Middlesbrough,Hemlington Hall Academy,www.hemlingtonhallacademy.co.uk,Middlesbrough,TS8 9SJ,North East,no
143519,806,Middlesbrough,Hollis Academy,,Middlesbrough,TS4 3JS,North East,no
140869,806,Middlesbrough,Kader Academy,http://www.kaderacademy.co.uk,Middlesbrough,TS5 8NU,North East,no
146251,806,Middlesbrough,Lingfield Primary School,http://lingfieldprimaryschool.co.uk/,Middlesbrough,TS7 8LP,North East,no
145775,806,Middlesbrough,Linthorpe Community Primary School,www.linthorpeprimary.co.uk,Middlesbrough,TS5 6EA,North East,no
130908,806,Middlesbrough,Macmillan Academy,http://www.macmillan-academy.org.uk,Middlesbrough,TS5 4AG,North East,no
146262,806,Middlesbrough,Marton Manor Primary School,http://www.martonmanorprimary.co.uk/,Middlesbrough,TS7 8RH,North East,no
150089,806,Middlesbrough,Newham Bridge Primary School,www.newhambridge.co.uk,Middlesbrough,TS5 7NJ,North East,no
111580,806,Middlesbrough,Newport Primary School,www.newportprimary.org.uk,Middlesbrough,TS1 5NQ,North East,no
138854,806,Middlesbrough,North Ormesby Primary Academy,www.northormesbyacademy.org,Middlesbrough,TS3 6LB,North East,no
139823,806,Middlesbrough,Outwood Academy Acklam,http://www.acklam.outwood.com/,Middlesbrough,TS5 7JY,North East,no
138711,806,Middlesbrough,Outwood Academy Ormesby,www.ormesby.outwood.com,Middlesbrough,TS3 0RH,North East,no
147848,806,Middlesbrough,Outwood Academy Riverside,,Middlesbrough,TS1 2AD,North East,no
144136,806,Middlesbrough,Pallister Park Primary School,www.pallisterparkprimary.co.uk,Middlesbrough,TS3 8PW,North East,no
138560,806,Middlesbrough,Pennyman Primary Academy,pennyman.teesvalleyeducation.co.uk,Middlesbrough,TS3 0QS,North East,no
131425,806,Middlesbrough,Priory Woods School,http://priorywoods.middlesbrough.sch.uk,Middlesbrough,TS3 0RH,North East,no
142502,806,Middlesbrough,River Tees Hospital School,https://hospital.rtmat.org.uk/app/os#!/home,Middlesbrough,TS3 7EA,North East,no
142511,806,Middlesbrough,River Tees Primary Academy,https://primary.rtmat.org.uk/app/os#!/home,Middlesbrough,TS3 8NH,North East,no
142487,806,Middlesbrough,River Tees Secondary Academy,https://secondary.rtmat.org.uk/app/os#!/home,Middlesbrough,TS3 8RD,North East,no
140504,806,Middlesbrough,Rose Wood Academy,www.rosewoodacademy.co.uk/,Middlesbrough,TS8 0UG,North East,no
142365,806,Middlesbrough,Sacred Heart Primary School,https://sacredheartcp.npcat.org.uk,Middlesbrough,TS1 4NP,North East,no
142367,806,Middlesbrough,St Alphonsus' Catholic Primary School,https://stalphonsus.npcat.org.uk,Middlesbrough,TS3 6PX,North East,no
142368,806,Middlesbrough,St Augustine's Catholic Primary School,https://staugustines.npcat.org.uk,Middlesbrough,TS8 0TE,North East,no
142369,806,Middlesbrough,St Bernadette's Catholic Primary School,https://stbernadettes.npcat.org.uk,Middlesbrough,TS7 0PZ,North East,no
142370,806,Middlesbrough,St Clare's RC Primary School,https://stclares.npcat.org.uk,Middlesbrough,TS5 8RZ,North East,no
142371,806,Middlesbrough,St Edward's Catholic Primary School,https://stedwards.npcat.org.uk,Middlesbrough,TS5 6QS,North East,no
142373,806,Middlesbrough,St Gerard's RC Primary School,https://stgerards.npcat.org.uk,Middlesbrough,TS8 9HU,North East,no
142374,806,Middlesbrough,St Joseph's Catholic Primary School,https://stjosephs.npcat.org.uk,Middlesbrough,TS4 2NT,North East,no
146249,806,Middlesbrough,"St Pius X Catholic Primary School, a Catholic Voluntary Academy",https://stpiusx.npcat.org.uk,Middlesbrough,TS3 7HD,North East,no
142376,806,Middlesbrough,St Thomas More RC Primary School,https://stm.npcat.org.uk,Middlesbrough,TS4 3QH,North East,no
140503,806,Middlesbrough,Sunnyside Academy,www.sunnyside.org.uk,Middlesbrough,TS8 0RJ,North East,no
146252,806,Middlesbrough,The Avenue Primary School,http://www.theavenueprimaryschool.co.uk/,Middlesbrough,TS7 0AG,North East,no
134223,806,Middlesbrough,The King's Academy,http://www.thekingsacademy.org.uk/,Middlesbrough,TS8 0GA,North East,no
147765,806,Middlesbrough,Thorntree Academy,thorntreeacademy.co.uk,Middlesbrough,TS3 9NH,North East,no
142382,806,Middlesbrough,Trinity Catholic College,https://trinity.npcat.org.uk,Middlesbrough,TS4 3JW,North East,no
133768,806,Middlesbrough,Unity City Academy,https://sites.google.com/aetinet.org/unity-city-academy/home,Middlesbrough,TS3 8RE,North East,no
140505,806,Middlesbrough,Viewley Hill Academy,www.viewleyhillacademy.co.uk,Middlesbrough,TS8 9HL,North East,no
111626,806,Middlesbrough,Berwick Hills Primary School,www.berwickhills.org.uk,Middlesbrough,TS3 7QH,North East,yes
111775,806,Middlesbrough,Holmwood School,www.holmwoodschool.org.uk,Middlesbrough,TS4 3PT,North East,yes
111632,806,Middlesbrough,Park End Primary School,http://parkendprimary.co.uk,Middlesbrough,TS3 0AA,North East,yes
134076,806,Middlesbrough,Whinney Banks Primary School,http://www.whinneybanks.org.uk,Middlesbrough,TS5 4QQ,North East,yes
