urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
148694,807,Redcar and Cleveland,Archway Academy,http://www.archwayinfo.co.uk,Middlesbrough,TS6 0DD,North East,no
143618,807,Redcar and Cleveland,Badger Hill Academy,https://bha.northerneducationtrust.org/,Saltburn-by-the-Sea,TS12 2XR,North East,no
147392,807,Redcar and Cleveland,Bankfields Primary School,http://bankfieldsprimary.co.uk,Middlesbrough,TS6 0RZ,North East,no
111662,807,Redcar and Cleveland,Belmont Primary School,https://belmont-primary.org.uk,Guisborough,TS14 7BS,North East,no
147433,807,Redcar and Cleveland,Caedmon Primary School,www.caedmonprimaryschool.co.uk,Middlesbrough,TS6 7NA,North East,no
151459,807,Redcar and Cleveland,Chaloner Primary School,www.chalonerprimaryschool.co.uk/,Guisborough,TS14 6JA,North East,no
145670,807,Redcar and Cleveland,Coatham Church of England Primary School,https://www.coathamprimary.co.uk/,Redcar,TS10 1QY,North East,no
139931,807,Redcar and Cleveland,Dormanstown Primary Academy,dormanstown.teesvalleyeducation.co.uk,Redcar,TS10 5LY,North East,no
146486,807,Redcar and Cleveland,Errington Primary School,https://www.erringtonprimary.co.uk/,Redcar,TS11 7BL,North East,no
147541,807,Redcar and Cleveland,Freebrough Academy,https://fra.northerneducationtrust.org/,Saltburn-By-the-Sea,TS12 2SJ,North East,no
145666,807,Redcar and Cleveland,Galley Hill Primary School,www.galleyhillprimary.co.uk,Guisborough,TS14 8DW,North East,no
147394,807,Redcar and Cleveland,Grangetown Primary School,https://www.grangetownprimaryschool.co.uk,Middlesbrough,TS6 7JA,North East,no
145662,807,Redcar and Cleveland,Green Gates Primary School,www.greengatesprimary.co.uk,Redcar,TS10 4HS,North East,no
149008,807,Redcar and Cleveland,Handale Primary School,www.handaleprimaryschool.co.uk,SALTBURN-BY-THE-SEA,TS13 4RL,North East,no
131457,807,Redcar and Cleveland,Highcliffe Primary School,www.highcliffeprimary.org,Guisborough,TS14 8AA,North East,no
148335,807,Redcar and Cleveland,Huntcliff School,https://huntcliff.co.uk/,Saltburn By the Sea,TS12 1HJ,North East,no
145664,807,Redcar and Cleveland,Ings Farm Primary School,www.ingsfarmprimaryschool.co.uk,Redcar,TS10 2JZ,North East,no
145663,807,Redcar and Cleveland,John Emmerson Batty Primary School,http://www.johnebattyprimary.co.uk/,Redcar,TS10 3PG,North East,no
139110,807,Redcar and Cleveland,Kilton Thorpe Specialist Academy,http://www.kts-academy.org.uk,Saltburn-by-the-Sea,TS12 2UW,North East,no
111777,807,Redcar and Cleveland,Kirkleatham Hall School,,Redcar,TS10 4QR,North East,no
145665,807,Redcar and Cleveland,Lakes Primary School,lakesprimaryschool.co.uk,Redcar,TS10 4JH,North East,no
147724,807,Redcar and Cleveland,Laurence Jackson School,https://www.laurencejackson.org/,Guisborough,TS14 6RD,North East,no
150132,807,Redcar and Cleveland,Lingdale Primary School,www.lingdaleprimary.co.uk,Saltburn-by-the-Sea,TS12 3DU,North East,no
111533,807,Redcar and Cleveland,Lockwood Primary School,www.lockwoodprimaryschool.eschools.co.uk,Saltburn-by-the-Sea,TS12 3BL,North East,no
146953,807,Redcar and Cleveland,Mo Mowlam Academy,www.horizonstrust.org.uk,Redcar,TS10 1PA,North East,no
145667,807,Redcar and Cleveland,New Marske Primary School,www.newmarskeprimary.co.uk,Redcar,TS11 8BN,North East,no
140918,807,Redcar and Cleveland,Normanby Primary School,,Middlesbrough,TS6 0NP,North East,no
138845,807,Redcar and Cleveland,Nunthorpe Academy,www.nunthorpe.co.uk,Middlesbrough,TS7 0LA,North East,no
140919,807,Redcar and Cleveland,Nunthorpe Primary Academy,www.nunthorpe.ironstoneacademy.co.uk,Middlesbrough,TS7 0LA,North East,no
143479,807,Redcar and Cleveland,Ormesby Primary School,http://ormesby.ironstoneacademy.org.uk/,Middlesbrough,TS7 9AB,North East,no
141399,807,Redcar and Cleveland,Outwood Academy Bydales,www.bydales.outwood.com,Redcar,TS11 6AR,North East,no
147544,807,Redcar and Cleveland,Outwood Academy Normanby,www.normanby.outwood.com,Middlesbrough,TS6 9AG,North East,no
145188,807,Redcar and Cleveland,Outwood Academy Redcar,www.redcar.outwood.com,Redcar,TS10 4AB,North East,no
146403,807,Redcar and Cleveland,Overfields Primary School,http://overfields.ironstoneacademy.org.uk/,Middlesbrough,TS7 9JF,North East,no
145227,807,Redcar and Cleveland,Prior Pursglove and Stockton Sixth Form College,https://pursglove.ac.uk/,Guisborough,TS14 6BU,North East,no
149101,807,Redcar and Cleveland,River Tees Academy Grangetown,https://grangetown.rtmat.org.uk/app/os#!/home,Middlesbrough,TS3 7EA,North East,no
145046,807,Redcar and Cleveland,Riverdale Primary School,,Redcar,TS10 4HH,North East,no
148728,807,Redcar and Cleveland,Rye Hills Academy,http://www.ryehillsacademy.co.uk,Redcar,TS10 2HN,North East,no
142273,807,Redcar and Cleveland,Sacred Heart Catholic Secondary,https://sacredheart.npcat.org.uk,Redcar,TS10 1PJ,North East,no
140750,807,Redcar and Cleveland,Saint Gabriel's Catholic Primary School,https://stgabriels.npcat.org.uk,Middlesbrough,TS7 9LF,North East,no
141457,807,Redcar and Cleveland,"Saint Joseph's Catholic Primary School, A Catholic Voluntary Academy",https://stjosephs.npcat.org.uk,Saltburn-by-the-Sea,TS13 4PZ,North East,no
141456,807,Redcar and Cleveland,"Saint Paulinus Catholic Primary School, A Catholic Voluntary Academy",https://stpaulinus.npcat.org.uk,Guisborough,TS14 8DN,North East,no
148298,807,Redcar and Cleveland,Saltburn Primary School,www.saltburnprimaryschool.co.uk,Saltburn-by-the-Sea,TS12 1HJ,North East,no
140319,807,Redcar and Cleveland,Skelton Primary School,www.skeltonprimaryschool.co.uk/,Saltburn-by-the-Sea,TS12 2LR,North East,no
141458,807,Redcar and Cleveland,St Bede's Catholic Primary School,https://stbedes.npcat.org.uk,Redcar,TS11 6AE,North East,no
142272,807,Redcar and Cleveland,St Benedict's Catholic Primary School,https://stbenedicts.npcat.org.uk,Redcar,TS10 1LS,North East,no
140769,807,Redcar and Cleveland,St Margaret Clitherows RC Primary School,https://smc.npcat.org.uk,Middlesbrough,TS6 6TA,North East,no
140779,807,Redcar and Cleveland,St Mary's Catholic Primary School,https://stmarys.npcat.org.uk,Middlesbrough,TS6 7AD,North East,no
140751,807,Redcar and Cleveland,St Peter's Catholic College,https://stpeters.npcat.org.uk,Middlesbrough,TS6 6SP,North East,no
145671,807,Redcar and Cleveland,St Peter's Church of England Primary School,http://www.stpeters-ce-brotton.com,Saltburn-by-the-Sea,TS12 2UW,North East,no
146887,807,Redcar and Cleveland,Teesville Academy,www.teesvilleacademy.org.uk,Middlesbrough,TS6 0BZ,North East,no
