urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139974,808,Stockton-on-Tees,Abbey Hill Academy,http://www.horizonstrust.org.uk,Stockton-on-Tees,TS19 8BU,North East,no
139606,808,Stockton-on-Tees,All Saints Church of England Academy,http://www.allsaintsib.org,Stockton-on-Tees,TS17 5BL,North East,no
141345,808,Stockton-on-Tees,Ash Trees Academy,www.ashtrees.org,Billingham,TS23 2BU,North East,no
143623,808,Stockton-on-Tees,Bader Primary School,,Stockton-on-Tees,TS17 0BY,North East,no
149587,808,Stockton-on-Tees,Barley Fields Primary,www.barleyfieldsprimaryschool.org.uk/,Stockton-on-Tees,TS17 0QP,North East,no
147435,808,Stockton-on-Tees,Bewley Primary School,www.bewleyprimary.org.uk/,Billingham,TS23 3LH,North East,no
111524,808,Stockton-on-Tees,Billingham South Community Primary School,www.billinghamsouth.com/,Billingham,TS23 1BE,North East,no
148601,808,Stockton-on-Tees,Bishopton PRU,https://bishopton.tvc.ac.uk,Stockton-on-Tees,TS23 3HB,North East,no
111540,808,Stockton-on-Tees,Bowesfield Primary School,http://www.bowesfieldprimary.org.uk/,Stockton-on-Tees,TS18 3JB,North East,no
142279,808,Stockton-on-Tees,"Christ The King Roman Catholic Primary School, A Voluntary Catholic Academy",https://ctking.npcat.org.uk,Stockton-on-Tees,TS17 9JP,North East,no
139318,808,Stockton-on-Tees,Conyers School,www.conyers.org.uk,Yarm,TS15 9ET,North East,no
145689,808,Stockton-on-Tees,Crooksbarn Primary School,,Stockton-on-tees,TS20 1SN,North East,no
111562,808,Stockton-on-Tees,Durham Lane Primary School,www.durhamlane.org.uk,Stockton-on-Tees,TS16 0NG,North East,no
144936,808,Stockton-on-Tees,Egglescliffe Church of England Primary School,https://www.egglescliffeprimary.co.uk/,Stockton-on-Tees,TS16 9BT,North East,no
143063,808,Stockton-on-Tees,Egglescliffe School,http://www.egglescliffe.org.uk/,Stockton-on-Tees,TS16 0LA,North East,no
140072,808,Stockton-on-Tees,Frederick Nattrass Primary Academy,https://fna.northerneducationtrust.org/,Stockton-on-Tees,TS20 1BZ,North East,no
141384,808,Stockton-on-Tees,Green Gates Academy,www.horizonstrust.org.uk,Stockton-on-Tees,TS19 0JD,North East,no
139392,808,Stockton-on-Tees,Hardwick Green Primary Academy,www.hardwickgreenacademy.org.uk,Stockton-on-Tees,TS19 8WF,North East,no
151131,808,Stockton-on-Tees,Harewood Primary School,www.harewoodprimary.org.uk,Stockton-on-Tees,TS17 7JJ,North East,no
141301,808,Stockton-on-Tees,Harrow Gate Academy,http://www.harrowgateacademy.org,Stockton-on-Tees,TS19 8DE,North East,no
146019,808,Stockton-on-Tees,Hartburn Primary School,www.hartburn.org.uk/,Stockton-on-Tees,TS18 5BS,North East,no
149794,808,Stockton-on-Tees,High Clarence Academy,https://highclarenceacademy.org,Middlesbrough,TS2 1SY,North East,no
131251,808,Stockton-on-Tees,Holy Trinity Rosehill CofE Voluntary Aided Primary School,www.holytrinityrosehill.org.uk,Stockton-on-Tees,TS19 7QU,North East,no
141369,808,Stockton-on-Tees,Ian Ramsey Church of England Academy,http://www.ianramsey.org.uk/,Stockton-on-Tees,TS19 7AJ,North East,no
140949,808,Stockton-on-Tees,Ingleby Manor Free School & Sixth Form,http://www.inglebymanorschool.org.uk/,Stockton-on-Tees,TS17 0FA,North East,no
130256,808,Stockton-on-Tees,Ingleby Mill Primary School,www.inglebymill.org.uk/,Stockton-on-Tees,TS17 0LW,North East,no
143068,808,Stockton-on-Tees,Junction Farm Primary School,www.junctionfarm.org.uk/,Stockton-on-Tees,TS16 0EU,North East,no
145976,808,Stockton-on-Tees,Kirklevington Primary School,http://www.kirklevington.org.uk,Yarm,TS15 9LX,North East,no
146017,808,Stockton-on-Tees,Layfield Primary School,www.layfieldprimary.org.uk,Yarm,TS15 9TF,North East,no
146394,808,Stockton-on-Tees,Levendale Primary School,www.levendale.org.uk,Yarm,TS15 9RJ,North East,no
130378,808,Stockton-on-Tees,Mandale Mill Primary School,http://www.mandalemill.stockton.sch.uk,Stockton-on-Tees,TS17 8AP,North East,no
111539,808,Stockton-on-Tees,Mill Lane Primary School,www.milllane.org.uk,Stockton-on-Tees,TS18 1QX,North East,no
132808,808,Stockton-on-Tees,Myton Park Primary School,www.mytonpark.org.uk,Stockton-on-Tees,TS17 5BL,North East,no
136146,808,Stockton-on-Tees,North Shore Academy,https://nsa.northerneducationtrust.org/,Stockton-on-Tees,TS20 2AY,North East,no
140519,808,Stockton-on-Tees,Norton Primary Academy,https://npa.northerneducationtrust.org/,Stockton-on-Tees,TS20 2RD,North East,no
149007,808,Stockton-on-Tees,Oakdene Primary Academy,www.oakdeneprimary.org.uk,Billingham,TS23 3NR,North East,no
141370,808,Stockton-on-Tees,Our Lady & St. Bede Catholic Academy,www.olsb.bhcet.org.uk,Stockton-on-Tees,TS19 0QH,North East,no
146709,808,Stockton-on-Tees,Our Lady of the Most Holy Rosary Catholic Academy,https://holyrosary.bhcet.org.uk,Billingham,TS23 2BS,North East,no
143146,808,Stockton-on-Tees,Outwood Academy Bishopsgarth,www.bishopsgarth.outwood.com,Stockton-on-Tees,TS19 8TF,North East,no
144542,808,Stockton-on-Tees,Pentland Primary School,https://pentlandprimary.org.uk,Billingham,TS23 2RG,North East,no
148460,808,Stockton-on-Tees,Preston Primary School,www.prestonprimary.co.uk/,Stockton-on-Tees,TS16 0BE,North East,no
149706,808,Stockton-on-Tees,Prior's Mill CofE Primary School,https://priorsmill.org.uk,Billingham,TS22 5BX,North East,no
151453,808,Stockton-on-Tees,Roseberry Primary School,http://www.roseberryprimary.org.uk/,Billingham,TS23 2HJ,North East,no
143145,808,Stockton-on-Tees,Rosebrook Primary School,www.rosebrook.adastraschools.org,Stockton-on-Tees,TS19 9LF,North East,no
140442,808,Stockton-on-Tees,St Bede's Catholic Academy,https://stbedesstockton.bhcet.org.uk/,Stockton-on-Tees,TS19 0DW,North East,no
148461,808,Stockton-on-Tees,"St Cuthbert's Catholic Primary School, Stockton",http://www.stockton.schoolgrid.net/3312/,Stockton-on-Tees,TS18 3SY,North East,no
147275,808,Stockton-on-Tees,St Francis of Assisi Church of England Primary School,www.stfrancispri.org.uk/,Stockton-on-Tees,TS17 5GA,North East,no
139492,808,Stockton-on-Tees,St Gregory's Catholic Academy,www.stgregorys.bhcet.org.uk,Stockton-on-Tees,TS19 9AD,North East,no
111668,808,Stockton-on-Tees,St John the Baptist Church of England Voluntary Controlled Primary School,,Stockton-on-Tees,TS19 0FB,North East,no
142734,808,Stockton-on-Tees,St John the Evangelist Catholic Primary School,https://stjohnte.bhcet.org.uk/,Billingham,TS23 1LJ,North East,no
146679,808,Stockton-on-Tees,St Joseph's Catholic Academy,https://stjosephsnorton.bhcet.org.uk,Stockton-on-Tees,TS20 1HR,North East,no
142736,808,Stockton-on-Tees,St Joseph's Catholic Primary School,www.stjosephsbillingham.bhcet.org.uk,Billingham,TS23 3NN,North East,no
144551,808,Stockton-on-Tees,St Mark's Church of England Primary School,www.stmarks-elmtree.org.uk/,Stockton-on-Tees,TS19 7HA,North East,no
