urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
144672,810,"Kingston upon Hull, City of",Adelaide Primary School,https://adelaideprimary.org.uk/,Hull,HU3 2RA,Yorkshire and the Humber,no
139570,810,"Kingston upon Hull, City of",Ainthorpe Primary School,www.ainthorpeprimary.co.uk/,Hull,HU5 5EB,Yorkshire and the Humber,no
144421,810,"Kingston upon Hull, City of",Alderman Cogan's Church of England Primary Academy,http://www.aldermancogan.co.uk,Hull,HU9 3HJ,Yorkshire and the Humber,no
140229,810,"Kingston upon Hull, City of",Appleton Primary School,www.appletonprimary.org.uk,Hull,HU5 4PG,Yorkshire and the Humber,no
135598,810,"Kingston upon Hull, City of",Archbishop Sentamu Academy,https://asa.hslt.academy/,Hull,HU9 5YB,Yorkshire and the Humber,no
141037,810,"Kingston upon Hull, City of",Aspire Academy,https://asp.hslt.academy/,Kingston-upon-Hull,HU9 5DE,Yorkshire and the Humber,no
139838,810,"Kingston upon Hull, City of",Bellfield Primary School,https://bellfieldprimary.org.uk/,Hull,HU8 9DD,Yorkshire and the Humber,no
139508,810,"Kingston upon Hull, City of",Biggin Hill Primary School,https://www.bigginhill.hull.sch.uk/,Hull,HU7 4RL,Yorkshire and the Humber,no
140235,810,"Kingston upon Hull, City of",Bricknell Primary School,www.bricknellschool.co.uk/,Hull,HU5 4ET,Yorkshire and the Humber,no
142260,810,"Kingston upon Hull, City of",Bridgeview Special School,https://bridgeviewschool.org.uk/,Kingston-upon-Hull,HU4 7AD,Yorkshire and the Humber,no
144669,810,"Kingston upon Hull, City of",Broadacre Primary School,www.broadacreprimaryschool.org/,Hull,HU7 3NP,Yorkshire and the Humber,no
140847,810,"Kingston upon Hull, City of",Buckingham Primary Academy,www.buckinghamprimaryacademy.net,Hull,HU8 8UG,Yorkshire and the Humber,no
139511,810,"Kingston upon Hull, City of",Bude Park Primary School,http://www.budepark.hull.sch.uk/,Hull,HU7 4EY,Yorkshire and the Humber,no
147270,810,"Kingston upon Hull, City of",Cavendish Primary School,www.cavendish.hull.sch.uk,Hull,HU8 0JU,Yorkshire and the Humber,no
143225,810,"Kingston upon Hull, City of",Chiltern Primary School,www.chiltern.hull.sch.uk,Hull,HU3 3PL,Yorkshire and the Humber,no
140902,810,"Kingston upon Hull, City of",Christopher Pickering Primary School,www.christopherpickeringprimary.co.uk,Hull,HU4 7EB,Yorkshire and the Humber,no
