urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
117888,811,East Riding of Yorkshire,Acre Heads Primary School,http://acreheads.org,Hull,HU4 7ST,Yorkshire and the Humber,no
145596,811,East Riding of Yorkshire,Airmyn Park Primary School,www.airmynparkps.co.uk/,Goole,DN14 8NZ,Yorkshire and the Humber,no
117823,811,East Riding of Yorkshire,Aldbrough Primary School,www.schools-online.co.uk/aldbrough/,Hull,HU11 4RR,Yorkshire and the Humber,no
147408,811,East Riding of Yorkshire,All Saints Church of England Infant Academy,www.allsaints.ebor.academy,Hessle,HU13 9JD,Yorkshire and the Humber,no
147407,811,East Riding of Yorkshire,All Saints Church of England Junior Academy,www.allsaintscefederationhessle.co.uk,Hessle,HU13 9JD,Yorkshire and the Humber,no
132349,811,East Riding of Yorkshire,Anlaby Primary School,www.anlabyprimaryschool.co.uk,HULL,HU10 6UE,Yorkshire and the Humber,no
117875,811,East Riding of Yorkshire,Bacon Garth Primary School,http://www.bacongarth.co.uk,Cottingham,HU16 5BP,Yorkshire and the Humber,no
118122,811,East Riding of Yorkshire,Barmby Moor Church of England Primary School,http://www.barmbymoor.com,York,YO42 4EQ,Yorkshire and the Humber,no
117824,811,East Riding of Yorkshire,Barmby-on-the-Marsh Primary School,www.barmbyonthemarshprimary.co.uk/,Goole,DN14 7HQ,Yorkshire and the Humber,no
133480,811,East Riding of Yorkshire,Bay Primary School,http://www.bayprimaryschool.co.uk,Bridlington,YO16 7SZ,Yorkshire and the Humber,no
117969,811,East Riding of Yorkshire,Beeford Church of England Voluntary Controlled Primary School,http://www.beefordprimary.org.uk,Driffield,YO25 8AY,Yorkshire and the Humber,no
117825,811,East Riding of Yorkshire,Bempton Primary School,www.bemptonprimary.co.uk,Bridlington,YO15 1JA,Yorkshire and the Humber,no
117970,811,East Riding of Yorkshire,Beswick and Watton CofE (VC) School,www.thewoldsfederation.co.uk,Driffield,YO25 9AR,Yorkshire and the Humber,no
136995,811,East Riding of Yorkshire,Beverley Grammar School,http://www.beverleygrammar.co.uk,Beverley,HU17 8NF,Yorkshire and the Humber,no
118072,811,East Riding of Yorkshire,Beverley High School,http://www.beverleyhigh.net/,Beverley,HU17 9EX,Yorkshire and the Humber,no
117698,811,East Riding of Yorkshire,Beverley Manor Nursery School,https://www.beverleymanornurseryschool.co.uk,Beverley,HU17 7BT,Yorkshire and the Humber,no
150840,811,East Riding of Yorkshire,Beverley Minster CE Primary School,,Beverley,HU17 8LA,Yorkshire and the Humber,no
149622,811,East Riding of Yorkshire,Beverley St Nicholas Primary School,www.stnicholasprimaryschool.co.uk,Beverley,HU17 0QP,Yorkshire and the Humber,no
149259,811,East Riding of Yorkshire,Bilton Community Primary School,https://www.bilton.horizonacademy.uk/,Hull,HU11 4EG,Yorkshire and the Humber,no
117972,811,East Riding of Yorkshire,Bishop Wilton Church of England Voluntary Controlled Primary School,www.bishopwiltonprimaryschool.co.uk,York,YO42 1SP,Yorkshire and the Humber,no
