urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139649,812,North East Lincolnshire,Beacon Academy,www.beaconacademy.co.uk,Cleethorpes,DN35 9NF,Yorkshire and the Humber,no
138467,812,North East Lincolnshire,Bursar Primary Academy,www.bursaracademy.co.uk,Cleethorpes,DN35 9HU,Yorkshire and the Humber,no
137363,812,North East Lincolnshire,Cambridge Park Academy,www.cambridgepark.co.uk,Grimsby,DN34 5EB,Yorkshire and the Humber,no
136192,812,North East Lincolnshire,Cleethorpes Academy,http://www.cleethorpesacademy.co.uk/,Cleethorpes,DN35 9NX,Yorkshire and the Humber,no
149511,812,North East Lincolnshire,Coomb Briggs Primary Academy,www.coombbriggsprimary.co.uk/,Immingham,DN40 2DY,Yorkshire and the Humber,no
137811,812,North East Lincolnshire,East Ravendale CofE Primary School Academy,www.eastravendale.co.uk,Grimsby,DN37 0RX,Yorkshire and the Humber,no
139981,812,North East Lincolnshire,Eastfield Primary Academy,www.eastfieldprimary.net,Immingham,DN40 1LD,Yorkshire and the Humber,no
138857,812,North East Lincolnshire,Edward Heneage Primary Academy,www.edwardheneage.co.uk,Grimsby,DN32 9HL,Yorkshire and the Humber,no
142269,812,North East Lincolnshire,Enfield Academy of New Waltham,http://www.enfieldacademy.co.uk,Grimsby,DN36 4RB,Yorkshire and the Humber,no
141631,812,North East Lincolnshire,Fairfield Academy,http://www.fairfield-academy.co.uk,Grimsby,DN33 3AE,Yorkshire and the Humber,no
131231,812,North East Lincolnshire,Grange Primary School,www.grangeprimaryschool.co.uk/,Grimsby,DN34 5TA,Yorkshire and the Humber,no
142841,812,North East Lincolnshire,Great Coates Primary School,https://gca.harbourlearningtrust.com/,Grimsby,DN37 9EN,Yorkshire and the Humber,no
135294,812,North East Lincolnshire,Havelock Academy,http://www.havelockacademy.co.uk/,Grimsby,DN32 8JH,Yorkshire and the Humber,no
136277,812,North East Lincolnshire,Healing Academy,https://hsa.harbourlearningtrust.com/,Grimsby,DN41 7QD,Yorkshire and the Humber,no
141302,812,North East Lincolnshire,Healing Primary Academy,hpa.harbourlearningtrust.com,Grimsby,DN41 7RS,Yorkshire and the Humber,no
137200,812,North East Lincolnshire,Humberston Academy,http://www.humberstonacademy.co.uk/,Grimsby,DN36 4TF,Yorkshire and the Humber,no
140801,812,North East Lincolnshire,Humberston Cloverfields Academy,cloverfields.co.uk,Grimsby,DN36 4HS,Yorkshire and the Humber,no
137394,812,North East Lincolnshire,Humberston Park School,http://www.humberstonpark.org.uk/,Grimsby,DN36 4HS,Yorkshire and the Humber,no
137464,812,North East Lincolnshire,John Whitgift Academy,http://www.johnwhitgift.org.uk/,Grimsby,DN37 9EH,Yorkshire and the Humber,no
140581,812,North East Lincolnshire,Laceby Acres Primary Academy,www.lacebyacres.org,Grimsby,DN34 5QN,Yorkshire and the Humber,no
150519,812,North East Lincolnshire,Laceby Stanford Primary Academy,http://www.stanfordschool.org,Grimsby,DN37 7AX,Yorkshire and the Humber,no
137611,812,North East Lincolnshire,Lisle Marsden Church of England Primary Academy,https://lislemarsdenacademy.co.uk/,Grimsby,DN32 0DF,Yorkshire and the Humber,no
