urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
117726,813,North Lincolnshire,Althorpe and Keadby Primary School,www.akprimary.co.uk,Scunthorpe,DN17 3BN,Yorkshire and the Humber,no
118006,813,North Lincolnshire,Barton St Peter's CofE Primary School,www.barton-st-peters.n-lincs.sch.uk/,Barton-upon-Humber,DN18 5HB,Yorkshire and the Humber,no
118007,813,North Lincolnshire,Belton All Saints CofE Primary School,http://www.beltonceprimary.co.uk,Doncaster,DN9 1LR,Yorkshire and the Humber,no
117781,813,North Lincolnshire,Berkeley Primary School,www.berkeleyprimary.co.uk,Scunthorpe,DN15 8AH,Yorkshire and the Humber,no
117780,813,North Lincolnshire,Bottesford Infant School,http://www.bottesfordinfants.co.uk,Scunthorpe,DN16 3PB,Yorkshire and the Humber,no
117727,813,North Lincolnshire,Bottesford Junior School,www.bottesfordjuniors.com,Scunthorpe,DN16 3PB,Yorkshire and the Humber,no
117812,813,North Lincolnshire,Bowmandale Primary School,www.bowmandale.n-lincs.sch.uk,Barton-upon-Humber,DN18 5EE,Yorkshire and the Humber,no
117728,813,North Lincolnshire,Brigg Primary School,www.briggprimary.co.uk,Brigg,DN20 8AR,Yorkshire and the Humber,no
150025,813,North Lincolnshire,Broughton Primary Academy,www.broughtonprimary.net,Brigg,DN20 0JW,Yorkshire and the Humber,no
117747,813,North Lincolnshire,Bushfield Road Infant School,www.bushfieldinfants.co.uk/,Scunthorpe,DN16 1NA,Yorkshire and the Humber,no
117967,813,North Lincolnshire,Castledyke Primary School,www.castledykeprimary.co.uk,Barton-upon-Humber,DN18 5AW,Yorkshire and the Humber,no
141485,813,North Lincolnshire,Coritani Academy,http://www.coritaniacademy.co.uk/,Scunthorpe,DN16 2PZ,Yorkshire and the Humber,no
117934,813,North Lincolnshire,Crosby Primary School,www.crosbyprimary.co.uk/,Scunthorpe,DN15 6AS,Yorkshire and the Humber,no
139035,813,North Lincolnshire,Crowle Primary Academy,www.crowleprimaryschool.com/,Crowle,DN17 4ET,Yorkshire and the Humber,no
117736,813,North Lincolnshire,East Halton Primary School,www.easthaltonprimary.co.uk/,Immingham,DN40 3PJ,Yorkshire and the Humber,no
118043,813,North Lincolnshire,Eastoft Church of England Primary School,www.riversidefederation.co.uk,Scunthorpe,DN17 4PG,Yorkshire and the Humber,no
117768,813,North Lincolnshire,Enderby Road Infant School,www.enderbyroadinfantandnursery.co.uk,Scunthorpe,DN17 2TD,Yorkshire and the Humber,no
142130,813,North Lincolnshire,Engineering UTC Northern Lincolnshire,www.enlutc.co.uk,Scunthorpe,DN15 6TA,Yorkshire and the Humber,no
138712,813,North Lincolnshire,Epworth Primary Academy,www.epworthprimaryacademy.co.uk,Doncaster,DN9 1DL,Yorkshire and the Humber,no
118097,813,North Lincolnshire,Frederick Gough School,http://www.frederickgoughschool.co.uk,Scunthorpe,DN16 3NG,Yorkshire and the Humber,no
117748,813,North Lincolnshire,Frodingham Infant School,www.frodingham.n-lincs.sch.uk,Scunthorpe,DN16 1ST,Yorkshire and the Humber,no
117737,813,North Lincolnshire,Goxhill Primary School,http://www.goxhillschool.com,Barrow-upon-Humber,DN19 7JR,Yorkshire and the Humber,no
118010,813,North Lincolnshire,Gunness and Burringham Church of England Primary School,www.gandbprimary.co.uk,Scunthorpe,DN17 3LT,Yorkshire and the Humber,no
151079,813,North Lincolnshire,Haxey Cofe Primary Academy,https://www.haxeyceprimary.co.uk/,Doncaster,DN9 2JQ,Yorkshire and the Humber,no
138085,813,North Lincolnshire,Hibaldstow Academy,https://www.hibaldstowacademy.com,Brigg,DN20 9PN,Yorkshire and the Humber,no
117811,813,North Lincolnshire,Holme Valley Primary School,http://www.holmevalley.n-lincs.sch.uk/,Scunthorpe,DN16 3SL,Yorkshire and the Humber,no
118005,813,North Lincolnshire,John Harrison C of E Primary School,www.johnharrisonceprimary.com/,Barrow-upon-Humber,DN19 7AP,Yorkshire and the Humber,no
117743,813,North Lincolnshire,Killingholme Primary School,https://killingholmeprimary.org/,,DN40 3HX,Yorkshire and the Humber,no
118014,813,North Lincolnshire,Kirmington CofE Primary School,kirmingtonst-helenas.co.uk,Ulceby,DN39 6YP,Yorkshire and the Humber,no
150867,813,North Lincolnshire,Kirton Academy,www.kirtonacademy.co.uk,Gainsborough,DN21 4NN,Yorkshire and the Humber,no
117739,813,North Lincolnshire,Kirton Lindsey Primary School,www.kirtonlindseyschool.co.uk,Gainsborough,DN21 4EH,Yorkshire and the Humber,no
117771,813,North Lincolnshire,Leys Farm Junior School,www.leysfarm.org.uk/,Scunthorpe,DN17 2PB,Yorkshire and the Humber,no
133700,813,North Lincolnshire,Lincoln Gardens Primary School,http://www.lincolngardens.net,Scunthorpe,DN16 2ED,Yorkshire and the Humber,no
139059,813,North Lincolnshire,Melior Community Academy,http://www.melior.org.uk/,Scunthorpe,DN17 1HA,Yorkshire and the Humber,no
118023,813,North Lincolnshire,New Holland Church of England and Methodist Primary School,www.humberestuaryfederation.co.uk,Barrow-upon-Humber,DN19 7RN,Yorkshire and the Humber,no
134867,813,North Lincolnshire,Oakfield Primary School,www.oakfield.n-lincs.sch.uk/,Scunthorpe,DN16 3JF,Yorkshire and the Humber,no
139024,813,North Lincolnshire,Oasis Academy Henderson Avenue,www.oasisacademyhendersonavenue.org,Scunthorpe,DN15 7RW,Yorkshire and the Humber,no
