urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
121552,815,North Yorkshire,Admiral Long Church of England Primary School,www.admirallong.n-yorks.sch.uk,Harrogate,HG3 3EJ,Yorkshire and the Humber,no
144165,815,North Yorkshire,Ainderby Steeple Church of England Primary School,www.ainderbysteepleschool.org,Northallerton,DL7 9QR,Yorkshire and the Humber,no
144679,815,North Yorkshire,Airy Hill Primary School,www.airyhill.n-yorks.sch.uk,Whitby,YO21 1PZ,Yorkshire and the Humber,no
148233,815,North Yorkshire,Alanbrooke Academy,https://www.alanbrooke.n-yorks.sch.uk/,Thirsk,YO7 3SF,Yorkshire and the Humber,no
147229,815,North Yorkshire,"All Saints Catholic Primary School, a Catholic Voluntary Academy",https://allsaints.npcat.org.uk,Thirsk,YO7 1NB,Yorkshire and the Humber,no
142138,815,North Yorkshire,All Saints Church of England School,http://www.askoschool.co.uk,Harrogate,HG3 1HD,Yorkshire and the Humber,no
121368,815,North Yorkshire,Alverton Primary School,www.alverton.n-yorks.sch.uk,Northallerton,DL6 1RB,Yorkshire and the Humber,no
146005,815,North Yorkshire,Appleton Roebuck Primary School,https://appleton.schooljotter2.com/,York,YO23 7DN,Yorkshire and the Humber,no
121371,815,North Yorkshire,Appleton Wiske Community Primary School,www.appletonwiske.n-yorks.sch.uk,Northallerton,DL6 2AA,Yorkshire and the Humber,no
142189,815,North Yorkshire,Askwith Primary School,http://www.askwith.n-yorks.sch.uk,Otley,LS21 2HX,Yorkshire and the Humber,no
144163,815,North Yorkshire,Aspin Park Academy,www.aspinparkacademy.org,Knaresborough,HG5 8LQ,Yorkshire and the Humber,no
121620,815,North Yorkshire,Austwick Church of England VA Primary School,www.austwickprimary.co.uk,Lancaster,LA2 8BN,Yorkshire and the Humber,no
150419,815,North Yorkshire,"Barkston Ash Catholic Primary School, a Voluntary Academy",http://www.barkstonash.n-yorks.sch.uk/,Tadcaster,LS24 9PS,Yorkshire and the Humber,no
121448,815,North Yorkshire,Barlby Bridge Community Primary School,www.barlbybridgeschool.co.uk,York,YO8 5AA,Yorkshire and the Humber,no
121449,815,North Yorkshire,Barlby Community Primary School,www.barlbycommunityprimaryschool.co.uk,Selby,YO8 5JQ,Yorkshire and the Humber,no
144929,815,North Yorkshire,Barlby High School,https://bhs.hslt.academy/,Selby,YO8 5JP,Yorkshire and the Humber,no
151180,815,North Yorkshire,Barlow Church of England Primary School,http://www.barlowschool.org.uk,Selby,YO8 8ES,Yorkshire and the Humber,no
121314,815,North Yorkshire,Barrowcliff School,http://www.barrowcliff.n-yorks.sch.uk/,Scarborough,YO12 6NQ,Yorkshire and the Humber,no
144155,815,North Yorkshire,Barton Church of England Primary School,http://www.barton.dalesmat.org,Richmond,DL10 6LJ,Yorkshire and the Humber,no
121444,815,North Yorkshire,"Barwic Parade Community Primary School, Selby",www.barwicparade.co.uk,Selby,YO8 8DJ,Yorkshire and the Humber,no
121411,815,North Yorkshire,Beckwithshaw Community Primary School,http://www.beckwithshawprimary.org.uk,Harrogate,HG3 1QW,Yorkshire and the Humber,no
121479,815,North Yorkshire,Bedale Church of England Primary School,www.northyorkshire.schooljotter.com/,Bedale,DL8 2AT,Yorkshire and the Humber,no
121670,815,North Yorkshire,Bedale High School,http://www.bedalehighschool.org.uk/,Bedale,DL8 2EQ,Yorkshire and the Humber,no
121380,815,North Yorkshire,Bentham Community Primary School,www.benthamcpschool.org.uk/,LANCASTER,LA2 7BP,Yorkshire and the Humber,no
121480,815,North Yorkshire,Bilsdale Midcable Chop Gate Church of England Voluntary Controlled Primary School,bilsdalecarltonschools.co.uk,Middlesbrough,TS9 7JL,Yorkshire and the Humber,no
121550,815,North Yorkshire,Birstwith Church of England Primary School,http://www.birstwith.n-yorks.sch.uk/,Harrogate,HG3 2NJ,Yorkshire and the Humber,no
121551,815,North Yorkshire,Bishop Monkton Church of England Primary School,http://www.bishopmonkton.n-yorks.sch.uk,Harrogate,HG3 3QW,Yorkshire and the Humber,no
121382,815,North Yorkshire,Boroughbridge Primary School,http://www.boroughbridge-pri.n-yorks.sch.uk/,York,YO51 9EB,Yorkshire and the Humber,no
149625,815,North Yorkshire,Bradleys Both Community Primary School,www.bradleysbothcpschool.org.uk,Keighley,BD20 9EF,Yorkshire and the Humber,no
146312,815,North Yorkshire,Braeburn Primary and Nursery Academy,braeburn.ebor.academy,Scarborough,YO11 3LG,Yorkshire and the Humber,no
143138,815,North Yorkshire,Brayton Academy,www.braytonacademy.org.uk,Selby,YO8 9QS,Yorkshire and the Humber,no
147521,815,North Yorkshire,Brayton Church of England Primary School,braytonprimary.com,Selby,YO8 9DZ,Yorkshire and the Humber,no
121372,815,North Yorkshire,Brompton Community Primary School,http://www.brompton.n-yorks.sch.uk/,Northallerton,DL6 2RE,Yorkshire and the Humber,no
149474,815,North Yorkshire,Brompton Hall School,https://bromptonhallschool.org.uk,Scarborough,YO13 9DB,Yorkshire and the Humber,no
121373,815,North Yorkshire,Brompton and Sawdon Community Primary School,http://www.bromptonsawdonschool.co.uk,Scarborough,YO13 9DL,Yorkshire and the Humber,no
121481,815,North Yorkshire,Brompton-on-Swale Church of England Primary School,www.bromptonschool.net,Richmond,DL10 7JW,Yorkshire and the Humber,no
151399,815,North Yorkshire,Broomfield School,http://www.broomfield.n-yorks.sch.uk/,Northallerton,DL7 8RG,Yorkshire and the Humber,no
141393,815,North Yorkshire,Brotherton and Byram Community Primary Academy,https://brothertonandbyram.ebor.academy/,Knottingley,WF11 9HQ,Yorkshire and the Humber,no
121268,815,North Yorkshire,Brougham Street Nursery School,http://www.broughamstreet.n-yorks.sch.uk/,Skipton,BD23 2ES,Yorkshire and the Humber,no
