urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
144265,816,York,Acomb Primary School,www.acombprimary.org.uk/,York,YO24 4ES,Yorkshire and the Humber,no
149517,816,York,All Saints Catholic School York,https://allsaintsyork.npcat.org.uk/,York,YO24 1BJ,Yorkshire and the Humber,no
134727,816,York,Applefields School,www.applefieldsschool.co.uk,York,YO31 0LW,Yorkshire and the Humber,no
136617,816,York,"Archbishop Holgate's School, A Church of England Academy",http://www.archbishopholgates.academy,York,YO10 5ZA,Yorkshire and the Humber,no
146483,816,York,"Archbishop of York's CofE Junior School, Bishopthorpe",ayjs.co.uk,York,YO23 2QT,Yorkshire and the Humber,no
142838,816,York,Badger Hill Primary Academy,http://www.badgerhillprimaryschool.co.uk,York,YO10 5JF,Yorkshire and the Humber,no
148823,816,York,Bishopthorpe Infant School,www.bishopthorpeinfantschool.co.uk,York,YO23 2QQ,Yorkshire and the Humber,no
143398,816,York,Burton Green Primary School,https://bgp.hslt.academy/,York,YO30 6JE,Yorkshire and the Humber,no
121273,816,York,Carr Infant School,www.carrinfantschool.co.uk,York,YO26 5QA,Yorkshire and the Humber,no
147105,816,York,Carr Junior School,http://www.carrjunior.co.uk,York,YO26 5QA,Yorkshire and the Humber,no
121283,816,York,Clifton Green Primary School,http://www.cliftongreenprimary.co.uk,York,YO30 6JA,Yorkshire and the Humber,no
144264,816,York,Clifton With Rawcliffe Primary School,www.cwr.york.sch.uk,York,YO30 5TA,Yorkshire and the Humber,no
132047,816,York,Copmanthorpe Primary School,http://www.copmanthorpeprimary.co.uk,York,YO23 3SB,Yorkshire and the Humber,no
121270,816,York,Danesgate Community,http://www.danesgatecommunity.org.uk/,York,YO10 4PB,Yorkshire and the Humber,no
144713,816,York,Dunnington Church of England Primary School,dunningtonprimary.co.uk,York,YO19 5QG,Yorkshire and the Humber,no
121531,816,York,Elvington Church of England Voluntary Controlled Primary School,elvingtonprimary.org.uk,York,YO41 4HP,Yorkshire and the Humber,no
144711,816,York,Fulford School,www.fulford.york.sch.uk,York,YO10 4FY,Yorkshire and the Humber,no
140563,816,York,Haxby Road Primary Academy,www.hrprimary.co.uk,York,YO31 8JN,Yorkshire and the Humber,no
121367,816,York,Headlands Primary School,www.headlandsprimary.org.uk,York,YO32 2YH,Yorkshire and the Humber,no
142844,816,York,Hempland Primary School,http://www.hemplandprimary.co.uk,York,YO31 1ET,Yorkshire and the Humber,no
142845,816,York,Heworth Church of England Primary School,http://www.heworth.york.sch.uk,York,YO31 0AA,Yorkshire and the Humber,no
144708,816,York,Hob Moor Community Primary Academy,www.hobmoor.ebor.academy/,York,YO24 4PS,Yorkshire and the Humber,no
144709,816,York,Hob Moor Oaks Academy,,York,YO24 4PS,Yorkshire and the Humber,no
141908,816,York,Huntington Primary Academy,http://www.webstore-ed.net/huntprim/homepage.html,York,YO32 9QT,Yorkshire and the Humber,no
142760,816,York,Knavesmire Primary School,https://www.knavesmireprimary.co.uk/,York,YO23 1HY,Yorkshire and the Humber,no
144710,816,York,Lakeside Primary Academy,https://lakeside.ebor.academy/,York,YO30 4YL,Yorkshire and the Humber,no
121536,816,York,Lord Deramore's Primary School,http://www.lordderamores.com,York,YO10 5EE,Yorkshire and the Humber,no
136544,816,York,Manor Church of England Academy,https://mce.hslt.academy/,York,YO26 6PA,Yorkshire and the Humber,no
142648,816,York,Millthorpe School,http://www.millthorpeschool.co.uk,York,YO23 1WF,Yorkshire and the Humber,no
150205,816,York,Naburn Church of England Primary School,,York,YO19 4PP,Yorkshire and the Humber,no
144651,816,York,New Earswick Primary School,https://newearswickprimary.academy,York,YO32 4BY,Yorkshire and the Humber,no
146028,816,York,Osbaldwick Primary Academy,www.osbaldwick.ebor.academy,York,YO10 3AX,Yorkshire and the Humber,no
147436,816,York,Our Lady Queen of Martyrs Catholic Primary School - a Catholic Voluntary Academy,https://olqm.npcat.org.uk/,York,YO24 4JW,Yorkshire and the Humber,no
144266,816,York,Park Grove Primary Academy,parkgrove.ebor.academy,York,YO31 8LG,Yorkshire and the Humber,no
141914,816,York,Poppleton Ousebank Primary School,https://pop.hslt.academy/,York,YO26 6JT,Yorkshire and the Humber,no
149648,816,York,Poppleton Road Primary School,http://www.poppletonroadprimary.co.uk,York,YO26 4UP,Yorkshire and the Humber,no
121299,816,York,Ralph Butterfield Primary School,ralphbutterfieldprimary.co.uk,York,YO32 3LS,Yorkshire and the Humber,no
140471,816,York,Robert Wilkinson Primary Academy,http://www.rwprimary.co.uk,York,YO32 5UH,Yorkshire and the Humber,no
146840,816,York,Rufforth Primary School,www.rufforthprimary.co.uk,York,YO23 3QF,Yorkshire and the Humber,no
121473,816,York,Saint Barnabas Church of England Voluntary Controlled Primary School,stbarnabasprimary.co.uk,York,YO26 4YZ,Yorkshire and the Humber,no
142637,816,York,Scarcroft Primary School,http://www.scarcroft.york.sch.uk,York,YO23 1BS,Yorkshire and the Humber,no
146997,816,York,Skelton Primary School,https://ske.hslt.academy/,York,YO30 1YB,Yorkshire and the Humber,no
147416,816,York,St Aelred's Catholic Primary School - a Catholic Voluntary Academy,www.staelreds.npcat.org.uk,York,YO31 0QQ,Yorkshire and the Humber,no
147417,816,York,St George's Catholic Primary School - a Catholic Voluntary Academy,https://stgeorges.npcat.org.uk/,York,YO10 4BT,Yorkshire and the Humber,no
143863,816,York,St Lawrence's Church of England Primary School,https://stlawrencesschool.org,York,YO10 5BW,Yorkshire and the Humber,no
121547,816,York,St Mary's Church of England Voluntary Controlled Primary School,www.stmarysprimaryschool.co.uk,York,YO23 3PD,Yorkshire and the Humber,no
121535,816,York,St Oswald's Church of England Voluntary Controlled Primary School,www.stoswalds.york.sch.uk,York,YO10 4LX,Yorkshire and the Humber,no
121474,816,York,St Paul's Church of England Voluntary Controlled Primary School,http://www.stpaulsprimaryyork.com/,York,YO24 4BJ,Yorkshire and the Humber,no
121266,816,York,St Paul's Nursery School,www.stpaulsnurseryschool.co.uk,York,YO30 6JA,Yorkshire and the Humber,no
147418,816,York,St Wilfrid's Catholic Primary School - a Catholic Voluntary Academy,https://stwilfrids.npcat.org.uk/npcatpage1/,York,YO31 7PB,Yorkshire and the Humber,no
121360,816,York,Stockton-on-the-Forest Primary School,www.stocktonprimary.co.uk,York,YO32 9UP,Yorkshire and the Humber,no
143509,816,York,Tang Hall Primary Academy,http://www.tanghallprimary.co.uk/,York,YO31 0UT,Yorkshire and the Humber,no
143864,816,York,Vale of York Academy,https://voy.hslt.academy/,York,YO30 6ZS,Yorkshire and the Humber,no
133374,816,York,Westfield Primary Community School,www.westfieldprimary.co.uk,York,YO24 3HP,Yorkshire and the Humber,no
144712,816,York,Wheldrake with Thorganby Church of England Primary School,www.wheldrakewiththorganbyschool.co.uk,York,YO19 6BB,Yorkshire and the Humber,no
121366,816,York,Wigginton Primary School,http://www.wiggintonprimary.co.uk/,York,YO32 2FZ,Yorkshire and the Humber,no
144267,816,York,Woodthorpe Primary School,www.woodthorpeprimaryschool.co.uk/,York,YO24 2RU,Yorkshire and the Humber,no
132228,816,York,Yearsley Grove Primary School,www.yearsleygroveprimary.york.sch.uk/,York,YO31 9BX,Yorkshire and the Humber,no
144652,816,York,York High School,www.yorkhighschool.co.uk,York,YO24 3WZ,Yorkshire and the Humber,no
121276,816,York,Dringhouses Primary School,https://dringhousesprimary.org/,York,YO24 1HW,Yorkshire and the Humber,yes
121277,816,York,Fishergate Primary School,http://www.fishergateschool.com,York,YO10 4AP,Yorkshire and the Humber,yes
121673,816,York,Huntington School,http://www.huntingtonschool.co.uk,York,YO32 9WT,Yorkshire and the Humber,yes
121711,816,York,Joseph Rowntree School,http://www.josephrowntree.co.uk,York,YO32 4BZ,Yorkshire and the Humber,yes
