urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
131089,821,Luton,Beech Hill Community Primary School,www.beechhillprimary.com/,Luton,LU4 8BW,East of England,no
134701,821,Luton,Beechwood Primary School,www.beechwoodprimary.org.uk,Luton,LU4 9RD,East of England,no
109594,821,Luton,Bramingham Primary School,www.bramingham.net/,Luton,LU3 4BL,East of England,no
132246,821,Luton,Bushmead Primary & Nursery School,http://www.bushmeadprimaryschool.co.uk,Luton,LU2 7EU,East of England,no
142310,821,Luton,Cardinal Newman Catholic School A Specialist Science College,http://www.cardinalnewmanschool.net/,Luton,LU2 7AE,East of England,no
136651,821,Luton,Challney High School for Boys,http://www.challneyboys.co.uk,Luton,LU4 9TJ,East of England,no
144312,821,Luton,Challney High School for Girls,http://www.challneygirls.luton.sch.uk,Luton,LU4 9FJ,East of England,no
138469,821,Luton,Chantry Primary Academy,www.chantryprimaryacademy.com,Luton,LU4 0QP,East of England,no
145872,821,Luton,Chiltern Academy,https://www.chiltern-academy.co.uk/,Luton,LU1 3GF,East of England,no
139705,821,Luton,Dallow Primary School,www.dallowprimary.net,Luton,LU1 1LZ,East of England,no
136319,821,Luton,Denbigh High School,http://www.denbighhigh.co.uk,Luton,LU3 1HE,East of England,no
109567,821,Luton,Downside Primary School,www.downside-primary.co.uk/,Luton,LU4 8EZ,East of England,no
148297,821,Luton,Farley Junior Academy,https://www.farleyacademy.co.uk/,Luton,LU1 5JF,East of England,no
151041,821,Luton,Ferrars Junior School,http://www.ferrars.org.uk,Luton,LU4 0ES,East of England,no
109572,821,Luton,Foxdell Primary School,https://www.foxdellprimary.uk/,Luton,LU1 1TG,East of England,no
109420,821,Luton,Grasmere Nursery School,https://www.grasmerenursery.co.uk/,Luton,LU3 2BT,East of England,no
109418,821,Luton,Hart Hill Nursery School,www.harthillnursery.co.uk/,Luton,LU2 0JS,East of England,no
109581,821,Luton,Hillborough Infant and Nursery School,www.hillboroughinfants.co.uk,Luton,LU1 5EZ,East of England,no
109578,821,Luton,Hillborough Junior School,www.hillborough-jun.luton.sch.uk,Luton,LU1 5EZ,East of England,no
137679,821,Luton,Icknield High School,http://www.icknield.beds.sch.uk/,Luton,LU3 2AH,East of England,no
109579,821,Luton,Icknield Primary School,www.icknieldprimary.co.uk/,Luton,LU3 2JB,East of England,no
109745,821,Luton,Lady Zia Wernher School,www.ladyziawernherschool.com,Luton,LU2 9AY,East of England,no
149208,821,Luton,Lea Manor High School Performing Arts College,http://www.leamanorhighschool.org,Luton,LU3 3TL,East of England,no
109423,821,Luton,Pastures Way Nursery School,https://pastureswaynursery.com/,Luton,LU4 0PE,East of England,no
109574,821,Luton,Pirton Hill Primary School,http://www.pirtonhill.com,Luton,LU4 9EX,East of England,no
144311,821,Luton,Putteridge High School,http://www.putteridgehigh.org,Luton,LU2 8HJ,East of England,no
109564,821,Luton,Putteridge Primary School,http://www.putteridgeprimaryschool.org.uk,Luton,LU2 8HJ,East of England,no
134155,821,Luton,Ramridge Primary School,www.ramridge.co.uk,Luton,LU2 9AH,East of England,no
109743,821,Luton,Richmond Hill School,www.richmondhill.luton.sch.uk,Luton,LU2 7JL,East of England,no
139782,821,Luton,River Bank Primary School,www.riverbankprimary.org,Luton,LU3 1ES,East of England,no
109419,821,Luton,Rothesay Nursery School,www.rothesaynursery.co.uk,Luton,LU1 1RB,East of England,no
151151,821,Luton,Sacred Heart Catholic Primary School,www.sacredheartluton.org.uk,Luton,LU2 9AJ,East of England,no
109583,821,Luton,Someries Infant School and Early Childhood Education Centre,www.someriesinfants.co.uk/,Luton,LU2 8AH,East of England,no
109575,821,Luton,Someries Junior School,www.someriesjuniorschool.co.uk,Luton,LU2 8AH,East of England,no
146714,821,Luton,Southfield Primary Academy,www.southfieldprimaryacademy.co.uk,Luton,LU4 0PE,East of England,no
109635,821,Luton,St Joseph's Catholic Primary School,www.stjosephsprimaryluton.co.uk,Luton,LU3 2NS,East of England,no
142263,821,Luton,St Margaret of Scotland Catholic Primary School,https://www.stmargarets.luton.sch.uk/,Luton,LU1 5PP,East of England,no
142264,821,Luton,St Martin De Porres Catholic Primary School,,Luton,LU4 0PF,East of England,no
109552,821,Luton,St Matthew's Primary School,www.stmatthewsluton.com/,Luton,LU2 0NJ,East of England,no
148692,821,Luton,Stopsley High School,http://www.stopsleyhighschool.co.uk/,Luton,LU2 7UX,East of England,no
109571,821,Luton,Surrey Street Primary School,www.surreystreetprimary.com,Luton,LU1 3NJ,East of England,no
147376,821,Luton,Tennyson Road Primary School,www.tennysonroad.school,Luton,LU1 3RS,East of England,no
135337,821,Luton,The Chalk Hills Academy,https://www.thechalkhillsacademy.co.uk/,Luton,LU4 0NE,East of England,no
139612,821,Luton,The Ferrars Academy,www.theferrarsacademy.co.uk/,Luton,LU4 0LL,East of England,no
137324,821,Luton,The Linden Academy,https://www.thelindenacademy.co.uk/,Luton,LU1 3HJ,East of England,no
109558,821,Luton,The Meads Primary School,www.meads.luton.sch.uk/,Luton,LU3 2UE,East of England,no
135338,821,Luton,The Stockwood Park Academy,https://www.thestockwoodparkacademy.co.uk/,Luton,LU1 5PP,East of England,no
109570,821,Luton,Warden Hill Infant School,www.wardenhillinfant.co.uk,Luton,LU3 2DN,East of England,no
109562,821,Luton,Warden Hill Junior School,http://www.wardenhilljuniors.co.uk,Luton,LU3 2DN,East of England,no
149542,821,Luton,Wenlock CofE Academy,https://www.wenlockacademy.co.uk,Luton,LU2 0RW,East of England,no
139219,821,Luton,Whipperley Infant Academy,www.whipperleyinfantacademy.co.uk,Luton,LU1 5QY,East of England,no
146751,821,Luton,Whitefield Primary Academy,http://www.whitefieldprimaryacademy.com,Luton,LU3 3SS,East of England,no
