urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
109464,822,Bedford,Balliol Primary School,www.balliolschool.co.uk/,Bedford,MK42 7ER,East of England,no
136085,822,Bedford,Bedford Academy,http://bedfordacademy.co.uk/,Bedford,MK42 9TR,East of England,no
138228,822,Bedford,Bedford Free School,http://www.bedfordfreeschool.co.uk/,Bedford,MK42 9AD,East of England,no
150474,822,Bedford,Bedford Road Primary Academy,bedfordroad-primary.org,Bedford,MK42 8QH,East of England,no
109503,822,Bedford,Brickhill Primary School,www.brickhillprimary.co.uk/,Bedford,MK41 7AA,East of England,no
109483,822,Bedford,Broadmead Lower School,www.broadmeadlower.beds.sch.uk/,Bedford,MK43 9NN,East of England,no
109611,822,Bedford,Bromham CofE Primary School,www.bromhamprimary.co.uk,Bedford,MK43 8NR,East of England,no
109462,822,Bedford,Camestone School,www.camestoneschool.co.uk/,Bedford,MK42 8NW,East of England,no
109610,822,Bedford,Carlton CofE Primary School,https://www.carltoncofeprimary.co.uk/,Bedford,MK43 7JR,East of England,no
151042,822,Bedford,Castle Newnham School,http://www.castlenewnham.school,Bedford,MK41 9DT,East of England,no
151125,822,Bedford,Castle Newnham School,https://castlenewnham.school/,Bedford,MK40 3EP,East of England,no
144528,822,Bedford,Cauldwell School,www.cauldwellschool.com/,Bedford,MK42 9DR,East of England,no
109413,822,Bedford,Cherry Trees Nursery School,www.cherrytreesnurseryschool.co.uk,Bedford,MK42 9LS,East of England,no
109622,822,Bedford,Christopher Reeves CofE VA Primary School,www.christopher-reeves-school.co.uk,Wellingborough,NN29 7HU,East of England,no
109446,822,Bedford,Cotton End Forest School,www.cottonendforestschool.co.uk/,Bedford,MK45 3AG,East of England,no
138067,822,Bedford,Daubeney Academy,http://www.daubeneyacademy.co.uk/,Bedford,MK42 7PS,East of England,no
144039,822,Bedford,Elstow School,www.elstowschool.co.uk,Bedford,MK42 9GP,East of England,no
136552,822,Bedford,Goldington Academy,http://www.goldington.beds.sch.uk,Bedford,MK41 9BX,East of England,no
139523,822,Bedford,Goldington Green Academy,www.goldingtongreenacademy.co.uk/,Bedford,MK41 0DP,East of England,no
139374,822,Bedford,Grange Academy,www.grange.beds.sch.uk,Bedford,MK42 8AU,East of England,no
143770,822,Bedford,Great Barford Church of England Primary Academy,www.gbpa.org.uk,Bedford,MK44 3HZ,East of England,no
