urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
137249,823,Central Bedfordshire,Alameda Middle School,https://www.alamedamiddleschool.org.uk/,Bedford,MK45 2QR,East of England,no
138209,823,Central Bedfordshire,Ardley Hill Academy,www.ardleyhill.org.uk,Dunstable,LU6 3NZ,East of England,no
136829,823,Central Bedfordshire,Arnold Academy,http://www.arnoldacademy.org.uk,Bedford,MK45 4JZ,East of England,no
109428,823,Central Bedfordshire,Aspley Guise Village School,www.aspleyguise.school/,Aspley Guise,MK17 8JT,East of England,no
109466,823,Central Bedfordshire,Beaudesert Lower School,http://www.beaudesert.school,Leighton Buzzard,LU7 3DX,East of England,no
140276,823,Central Bedfordshire,Beecroft Academy,www.beecroftacademy.co.uk/,Dunstable,LU6 1DW,East of England,no
137947,823,Central Bedfordshire,Biggleswade Academy,http://www.biggleswadeacademy.org,Biggleswade,SG18 8JU,East of England,no
137636,823,Central Bedfordshire,Brooklands Middle School,http://www.brooklandsschool.co.uk/,Leighton Buzzard,LU7 3PF,East of England,no
109664,823,Central Bedfordshire,Caddington Village School,http://www.caddingtonschool.net,Luton,LU1 4JD,East of England,no
144010,823,Central Bedfordshire,Caldecote Church of England Academy,www.caldecoteceacademy.co.uk,Biggleswade,SG18 9DA,East of England,no
148104,823,Central Bedfordshire,Campton Academy,www.camptonacademy.org.uk,Shefford,SG17 5PF,East of England,no
137462,823,Central Bedfordshire,Cedars Upper School,http://www.cedarsupper.org.uk/,Leighton Buzzard,LU7 2AE,East of England,no
109487,823,Central Bedfordshire,Chalton Lower School,www.chaltonlower.co.uk/,Luton,LU4 9UJ,East of England,no
140228,823,Central Bedfordshire,Clifton All Saints Academy,www.cliftonallsaintsacademy.co.uk,Near Shefford,SG17 5ES,East of England,no
137853,823,Central Bedfordshire,Cranfield Church of England Academy,http://www.cranfieldchurchofenglandacademy.co.uk,Bedford,MK43 0DR,East of England,no
109457,823,Central Bedfordshire,Derwent Primary School,http://www.derwentlower.org.uk,Henlow,SG16 6BA,East of England,no
149324,823,Central Bedfordshire,Dovery Academy,www.doveryacademy.org,Leighton Buzzard,LU7 3AG,East of England,no
151210,823,Central Bedfordshire,Dunstable Icknield Lower School,www.dunstableicknield.co.uk,Dunstable,LU6 3AG,East of England,no
109599,823,Central Bedfordshire,Dunton CofE Junior School,www.duntonwrestlingworthschool.com,Biggleswade,SG18 8RN,East of England,no
136539,823,Central Bedfordshire,Eaton Bray Academy,http://www.eatonbrayacademy.co.uk,Dunstable,LU6 2DT,East of England,no
137632,823,Central Bedfordshire,Etonbury Academy,http://www.etonbury.org.uk/,Arlesey,SG15 6XS,East of England,no
137555,823,Central Bedfordshire,Eversholt Lower School,www.eversholtschool.co.uk,Milton Keynes,MK17 9DU,East of England,no
145805,823,Central Bedfordshire,Everton Heath Primary School,www.evertonheath.org.uk,Nr Sandy,SG19 2LE,East of England,no
109452,823,Central Bedfordshire,Flitwick Lower School,www.flitwicklower.co.uk,Bedford,MK45 1LU,East of England,no
137904,823,Central Bedfordshire,Fulbrook,http://www.fulbrook.school,Milton Keynes,MK17 8NP,East of England,no
138003,823,Central Bedfordshire,Gilbert Inglefield Academy,www.gilbertinglefield.com,Leighton Buzzard,LU7 3FU,East of England,no
140281,823,Central Bedfordshire,Gothic Mede Academy,www.gothicmede.org.uk/,Arlesey,SG15 6SL,East of England,no
140075,823,Central Bedfordshire,Gravenhurst Academy,www.gravenhurstacademy.org.uk,Bedford,MK45 4HY,East of England,no
137290,823,Central Bedfordshire,Greenfield CofE VC Lower School,www.greenfieldpulloxhillschools.org.uk,Greenfield,MK45 5ES,East of England,no
109591,823,Central Bedfordshire,Greenleas School,www.greenleas.net,Leighton Buzzard,LU7 2AB,East of England,no
137778,823,Central Bedfordshire,Hadrian Academy,www.hadrianacademy.co.uk,Dunstable,LU5 4SR,East of England,no
138938,823,Central Bedfordshire,Harlington Lower School,www.harlingtonlower.co.uk,Dunstable,LU5 6PD,East of England,no
137941,823,Central Bedfordshire,Harlington Upper School,http://www.harlington.org,Dunstable,LU5 6NX,East of England,no
109456,823,Central Bedfordshire,Haynes Lower School,www.hayneslowerschool.co.uk/,Bedford,MK45 3PR,East of England,no
109513,823,Central Bedfordshire,Heathwood Lower School,http://www.heathwoodlower.com/,Leighton Buzzard,LU7 3AU,East of England,no
138027,823,Central Bedfordshire,Henlow Church of England Academy,www.henlowacademy.co.uk,Henlow,SG16 6AN,East of England,no
150145,823,Central Bedfordshire,Hockliffe Lower School,www.hockliffelowerschool.co.uk/,Leighton Buzzard,LU7 9LL,East of England,no
