urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
147062,825,Buckinghamshire,Abbey View Primary Academy,http://www.abbeyviewprimaryacademy.org,High Wycombe,HP11 1BX,South East,no
137934,825,Buckinghamshire,Alfriston School,https://www.alfristonschool.com/,Beaconsfield,HP9 2TS,South East,no
137343,825,Buckinghamshire,Amersham School,http://www.amershamschool.org.uk,Amersham,HP7 9HH,South East,no
151367,825,Buckinghamshire,Ashmead Combined School,http://www.ashmeadschool.org.uk,Aylesbury,HP21 8SU,South East,no
143574,825,Buckinghamshire,Aspire,www.aspireap.org.uk,High Wycombe,HP13 6PQ,South East,no
110332,825,Buckinghamshire,Aston Clinton School,www.astonclintonschool.co.uk,Aylesbury,HP22 5JJ,South East,no
136884,825,Buckinghamshire,Aylesbury Grammar School,http://www.ags.bucks.sch.uk,Aylesbury,HP21 7RP,South East,no
136846,825,Buckinghamshire,Aylesbury High School,www.ahs.bucks.sch.uk,Aylesbury,HP21 7SX,South East,no
139434,825,Buckinghamshire,Aylesbury UTC,http://www.aylesburyutc.co.uk/,Aylesbury,HP21 8PB,South East,no
140893,825,Buckinghamshire,Beaconsfield High School,www.beaconsfieldhigh.bucks.sch.uk,Beaconsfield,HP9 1RR,South East,no
147242,825,Buckinghamshire,Bearbrook Combined School,www.bearbrookschool.co.uk/,Aylesbury,HP19 7QP,South East,no
110282,825,Buckinghamshire,Bedgrove Infant School,www.bedgroveinfantschool.co.uk/,Aylesbury,HP21 9DJ,South East,no
146809,825,Buckinghamshire,Bedgrove Junior School,www.bedgrovejunior.bucks.sch.uk/,Aylesbury,HP21 9DN,South East,no
142609,825,Buckinghamshire,Beechview Academy,www.beechview.org.uk,High Wycombe,HP13 7NT,South East,no
110417,825,Buckinghamshire,Bierton Church of England Combined School,www.biertoncombined.co.uk/,Aylesbury,HP22 5DF,South East,no
110209,825,Buckinghamshire,Bledlow Ridge School,www.bledlow.eschools.co.uk/,High Wycombe,HP14 4AZ,South East,no
110588,825,Buckinghamshire,Booker Park Community School,www.thevalefederation.com,Aylesbury,HP21 9ET,South East,no
137939,825,Buckinghamshire,Bourton Meadow Academy,www.bourtonmeadow.co.uk/,Buckingham,MK18 7HX,South East,no
