urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
110401,826,Milton Keynes,Abbeys Primary School,www.abbeysprimary.org,Milton Keynes,MK3 6PS,South East,no
147380,826,Milton Keynes,Ashbrook School,http://www.ashbrookschool.co.uk,Milton Keynes,MK8 8NA,South East,no
110327,826,Milton Keynes,Barleyhurst Park Primary,www.barleyhurstpark.com,Milton Keynes,MK3 7NA,South East,no
110481,826,Milton Keynes,Bishop Parker Catholic School,www.bishopparker.milton-keynes.sch.uk/,Milton Keynes,MK2 3BT,South East,no
134423,826,Milton Keynes,Bow Brickhill CofE VA Primary School,www.bowbrickhillprimary.co.uk/,Milton Keynes,MK17 9JT,South East,no
110369,826,Milton Keynes,Bradwell Village School,http://www.bradwellvillageschool.co.uk,Milton Keynes,MK13 9AZ,South East,no
140252,826,Milton Keynes,Bridge Academy,www.bridgeacademy.org.uk,Milton Keynes,MK6 5DE,South East,no
135271,826,Milton Keynes,Brooklands Farm Primary School,www.brooklandsfarm.milton-keynes.sch.uk/,Milton Keynes,MK10 7EU,South East,no
150595,826,Milton Keynes,Brooksward School,www.brooksward.org.uk,Milton Keynes,MK14 6JZ,South East,no
110256,826,Milton Keynes,Bushfield School,www.bushfieldschool.net/,Milton Keynes,MK12 5JG,South East,no
110394,826,Milton Keynes,Caroline Haslett Primary School,www.haslett.org.uk,MILTON KEYNES,MK5 7DF,South East,no
110213,826,Milton Keynes,Castlethorpe First School,http://www.castlethorpeschool.co.uk/,milton keynes,MK19 7EW,South East,no
138440,826,Milton Keynes,Charles Warren Academy,www.charleswarrenacademy.org,Milton Keynes,MK6 3AZ,South East,no
143265,826,Milton Keynes,Chestnuts Primary School,www.chestnutsprimaryschool.co.uk,Milton Keynes,MK3 5EN,South East,no
147269,826,Milton Keynes,Christ the Sower Ecumenical Primary School,www.ctsmk.org.uk,Milton Keynes,MK8 0PZ,South East,no
110404,826,Milton Keynes,Cold Harbour Church of England School,www.coldharbourschool.org.uk/,Milton Keynes,MK3 7PD,South East,no
136468,826,Milton Keynes,Denbigh School,http://www.denbigh.net,Milton Keynes,MK5 6EX,South East,no
110372,826,Milton Keynes,Downs Barn School,www.boulevardprimarypartnership.org.uk/,Milton Keynes,MK14 7NA,South East,no
150593,826,Milton Keynes,Drayton Park School,http://www.draytonpark.org.uk,Milton Keynes,MK2 3HJ,South East,no
137052,826,Milton Keynes,E-Act Ousedale School,http://www.ousedale.org.uk,Newport Pagnell,MK16 0BJ,South East,no
151371,826,Milton Keynes,Emerson Valley School,www.emersonvalley.org.uk,Milton Keynes,MK4 2JR,South East,no
143766,826,Milton Keynes,Fairfields Primary School,https://www.fairfieldsprimary.co.uk/,Milton Keynes,MK11 4BA,South East,no
110375,826,Milton Keynes,Germander Park School,http://www.germanderpark.com,Milton Keynes,MK14 7DU,South East,no
110381,826,Milton Keynes,Giffard Park Primary School,http://www.giffardpark.milton-keynes.sch.uk,Milton Keynes,MK14 5PY,South East,no
134073,826,Milton Keynes,Giles Brook Primary School,www.gilesbrook.co.uk,Milton Keynes,MK4 3GB,South East,no
149106,826,Milton Keynes,Glebe Farm School,https://www.glebefarmschool.co.uk/,Milton Keynes,MK17 8XY,South East,no
110366,826,Milton Keynes,Great Linford Primary School,http://greatlinfordprimaryschool.co.uk/,Milton Keynes,MK14 5BL,South East,no
110395,826,Milton Keynes,Green Park School,www.greenpark.milton-keynes.sch.uk/,Newport Pagnell,MK16 0NH,South East,no
110345,826,Milton Keynes,Greenleys First School,www.greenleysfirstschool.org.uk,Milton Keynes,MK12 6AT,South East,no
110230,826,Milton Keynes,Hanslope Primary School,www.hanslopeschool.co.uk/,Milton Keynes,MK19 7BL,South East,no
110231,826,Milton Keynes,Haversham Village School,http://www.havershamvillageschool.co.uk,Milton Keynes,MK19 7AN,South East,no
110382,826,Milton Keynes,Heelands School,https://www.heelands.org/,Milton Keynes,MK13 7QL,South East,no
139449,826,Milton Keynes,Heronsgate School,http://www.heronsgate.org.uk,Milton Keynes,MK7 7BW,South East,no
146462,826,Milton Keynes,Heronshaw School,http://www.heronshawschool.co.uk,Milton Keynes,MK7 7PG,South East,no
147381,826,Milton Keynes,Holmwood School,www.holmwoodschool.com,Milton Keynes,MK8 9AB,South East,no
148229,826,Milton Keynes,Holne Chase Primary School,https://holnechase.com/,Bletchley,MK3 5HP,South East,no
132786,826,Milton Keynes,Howe Park School,www.howeparkschool.co.uk,Milton Keynes,MK4 2SH,South East,no
145043,826,Milton Keynes,Jubilee Wood Primary School,www.jubileewood.milton-keynes.sch.uk,Milton Keynes,MK6 2LB,South East,no
145063,826,Milton Keynes,Kents Hill Park all-through school,https://www.kentshillpark.school/,Milton Keynes,MK7 6BZ,South East,no
141271,826,Milton Keynes,Kents Hill School,http://www.kentshillschool.org.uk,Milton Keynes,MK7 6HD,South East,no
110197,826,Milton Keynes,Knowles Nursery School,www.knowlesnursery.co.uk,Milton Keynes,MK2 2HB,South East,no
144357,826,Milton Keynes,Knowles Primary School,http://knowlesprimaryschool.org.uk/,Milton Keynes,MK2 2HB,South East,no
