urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
112670,830,Derbyshire,Abercrombie Primary School,http://www.abercrombie.derbyshire.sch.uk,Chesterfield,S41 7QE,East Midlands,no
149364,830,Derbyshire,Aldercar High School,https://www.aldercarhigh.co.uk,Nottingham,NG16 4HL,East Midlands,no
146484,830,Derbyshire,Aldercar Infant School,www.aldercarinfants.org.uk/,Nottingham,NG16 4GL,East Midlands,no
112485,830,Derbyshire,Alfreton Nursery School,www.alfreton.derbyshire.sch.uk,Alfreton,DE55 7SH,East Midlands,no
113040,830,Derbyshire,Alfreton Park Community Special School,,Alfreton,DE55 7AL,East Midlands,no
146132,830,Derbyshire,All Saints Catholic Voluntary Academy,https://www.assmfederation.srscmat.co.uk/,Glossop,SK13 7RJ,East Midlands,no
144068,830,Derbyshire,All Saints CofE Infant School,http://www.allsaintsfed.derbyshire.sch.uk/,Matlock,DE4 3HX,East Midlands,no
144067,830,Derbyshire,All Saints CofE Junior School,http://www.allsaintsfed.derbyshire.sch.uk/,Matlock,DE4 3LA,East Midlands,no
112786,830,Derbyshire,Ambergate Primary School,www.ambergateprimaryschool.co.uk,Belper,DE56 2GN,East Midlands,no
112610,830,Derbyshire,Anthony Bek Community Primary School,www.anthonybek.com,Mansfield,NG19 7PG,East Midlands,no
149644,830,Derbyshire,Anthony Gell School,www.anthonygell.co.uk,Matlock,DE4 4DX,East Midlands,no
150723,830,Derbyshire,Ashbourne Primary School,http://www.ashbourneprimary.co.uk,Ashbourne,DE6 1EJ,East Midlands,no
112688,830,Derbyshire,Ashbrook Infant School,www.ashbrookinfantandnursery.co.uk,Derby,DE72 3HF,East Midlands,no
147927,830,Derbyshire,Ashbrook Junior School,http://www.ashbrook-jun.derbyshire.sch.uk,Derby,DE72 3HF,East Midlands,no
147124,830,Derbyshire,Ashgate Croft School,https://thelearnerstrust.org/ashgate-croft/,Chesterfield,S40 4BN,East Midlands,no
112501,830,Derbyshire,Ashover Primary School,www.ashover.derbyshire.sch.uk/,Chesterfield,S45 0AU,East Midlands,no
112502,830,Derbyshire,Aston-on-Trent Primary School,www.aston-on-trent.derbyshire.sch.uk,Derby,DE72 2UH,East Midlands,no
148107,830,Derbyshire,Bakewell CofE Infant School,https://www.bakewellinfantschool.com/,Bakewell,DE45 1BX,East Midlands,no
150292,830,Derbyshire,Bakewell Methodist Academy,www.bakewellmethodistacademy.co.uk,Bakewell,DE45 1FR,East Midlands,no
112504,830,Derbyshire,Bamford Primary School,www.bamford.derbyshire.sch.uk/,Hope Valley,S33 0AR,East Midlands,no
112505,830,Derbyshire,Barlborough Primary School,barlborough.derbyshire.sch.uk,Chesterfield,S43 4ET,East Midlands,no
112798,830,Derbyshire,Barlow CofE Primary School,www.barlow.derbyshire.sch.uk,Dronfield,S18 7TA,East Midlands,no
151309,830,Derbyshire,Barrow Hill Primary Academy,www.barrowhill.academy,Chesterfield,S43 2PG,East Midlands,no
146052,830,Derbyshire,Bennerley Fields School,www.bennerleyfields.derbyshire.sch.uk,Ilkeston,DE7 8QZ,East Midlands,no
112822,830,Derbyshire,Biggin CofE Primary School,www.biggin.derbyshire.sch.uk/,Buxton,SK17 0DQ,East Midlands,no
112543,830,Derbyshire,Birk Hill Infant & Nursery School,www.birkhill.derbyshire.sch.uk,Eckington,S21 4BE,East Midlands,no
148108,830,Derbyshire,Bishop Pursglove CofE (A) Primary School,www.bishoppursglove.derbyshire.sch.uk,Buxton,SK17 8NE,East Midlands,no
112506,830,Derbyshire,Blackwell Community Primary and Nursery School,www.blackwellprimary.co.uk,Alfreton,DE55 5JG,East Midlands,no
145233,830,Derbyshire,Bolsover Church of England Junior School,www.bolsover-jun.derbyshire.sch.uk,Chesterfield,S44 6XH,East Midlands,no
112511,830,Derbyshire,Bolsover Infant School,www.bolsover-inf.derbyshire.sch.uk/,Chesterfield,S44 6DE,East Midlands,no
112888,830,Derbyshire,Bonsall CofE (A) Primary School,www.bonsall.derbyshire.sch.uk,Matlock,DE4 2AE,East Midlands,no
150720,830,Derbyshire,Bradley CofE Primary School,http://www.bradley.derbyshire.sch.uk,Ashbourne,DE6 1PG,East Midlands,no
