urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
150481,831,Derby,Akaal Primary School,,Derby,DE23 8DG,East Midlands,no
141324,831,Derby,Allenton Primary School,http://www.allentonprimaryschool.co.uk/,Derby,DE24 9BB,East Midlands,no
137911,831,Derby,Allestree Woodlands School,http://woodlands.derby.sch.uk/,Derby,DE22 2LW,East Midlands,no
112744,831,Derby,Alvaston Infant and Nursery School,www.alvastoni.derby.sch.uk,Derby,DE24 0PU,East Midlands,no
145759,831,Derby,Alvaston Junior Academy,www.alvaston.theharmonytrust.org,Derby,DE24 0PU,East Midlands,no
148538,831,Derby,Alvaston Moor Academy,https://www.alvastonmoor.co.uk/,Derby,DE24 0AN,East Midlands,no
146715,831,Derby,Arboretum Primary School,www.arboretum.derby.sch.uk/,Derby,DE23 8GP,East Midlands,no
145806,831,Derby,Ash Croft Primary Academy,www.ashcroft.theharmonytrust.org,Derby,DE24 3HF,East Midlands,no
112479,831,Derby,Ashgate Nursery School,www.canschoolsfederation.co.uk,Derby,DE1 1GJ,East Midlands,no
146079,831,Derby,Ashwood Spencer Academy,www.ashwoodspencer.co.uk,Derby,DE24 8FT,East Midlands,no
146855,831,Derby,Asterdale Primary School,www.asterdaleprimaryschool.co.uk/,Derby,DE21 7PH,East Midlands,no
146877,831,Derby,Beaufort Community Primary School,www.beaufort.derby.sch.uk/,Derby,DE21 6BT,East Midlands,no
112717,831,Derby,Becket Primary School,www.becket.derby.sch.uk,Derby,DE22 3QB,East Midlands,no
140842,831,Derby,Bishop Lonsdale Church of England Primary School and Nursery,www.bishoplonsdale.derby.sch.uk/,Derby,DE22 3HH,East Midlands,no
146847,831,Derby,Borrow Wood Primary School,http://www.borrowwood.derby.sch.uk/,Derby,DE21 7QW,East Midlands,no
148384,831,Derby,Brackensdale Spencer Academy,https://brackensdalespencer.org.uk/,Derby,DE22 4BS,East Midlands,no
144624,831,Derby,Breadsall Hill Top Primary School,BHTP.co.uk,Derby,DE21 4ET,East Midlands,no
136071,831,Derby,Bridge Street School,https://bridgestreetschoolderby.co.uk,Derby,DE1 3LB,East Midlands,no
147119,831,Derby,Brookfield Primary School,www.learnerstrust.org/bps,Derby,DE3 0BW,East Midlands,no
147125,831,Derby,Carlyle Infant and Nursery Academy,www.carlyle.theharmonytrust.org,Derby,DE23 3ES,East Midlands,no
132133,831,Derby,Castle School,https://castleschoolderby.co.uk/,Derby,DE22 1GE,East Midlands,no
148585,831,Derby,Castleward Spencer Academy,http://castlewardspencer.co.uk/,Derby,DE1 2RJ,East Midlands,no
112749,831,Derby,Cavendish Close Infant School,www.cavclosei.derby.sch.uk,Derby,DE21 4LY,East Midlands,no
144822,831,Derby,Cavendish Close Junior Academy,www.cavendish.theharmonytrust.org,Derby,DE21 4RJ,East Midlands,no
112472,831,Derby,Central Community Nursery School,www.canschoolsfederation.co.uk,Derby,DE1 3LR,East Midlands,no
145592,831,Derby,Chaddesden Park Primary School,https://www.learnerstrust.org/cpp,Derby,DE21 6JW,East Midlands,no
148639,831,Derby,Chellaston Academy,https://www.chellaston.derby.sch.uk/,Derby,DE73 5UB,East Midlands,no
146507,831,Derby,Chellaston Infant School,https://www.chellastoni.derby.sch.uk/,Derby,DE73 6TA,East Midlands,no
146500,831,Derby,Chellaston Junior School,www.cjs.derby.sch.uk,Derby,DE73 6PZ,East Midlands,no
146921,831,Derby,Cherry Tree Hill Primary School,www.cherrytreehillprimary.co.uk,Derby,DE21 6WL,East Midlands,no
145132,831,Derby,City of Derby Academy,www.cityofderbyacademy.org,Derby,DE24 3AR,East Midlands,no
145982,831,Derby,Cottons Farm Primary Academy,www.cottonsfarm.theharmonytrust.org,Derby,DE24 9HG,East Midlands,no
144066,831,Derby,Da Vinci Academy,www.davinciacademy.co.uk,Derby,DE21 4ET,East Midlands,no
112720,831,Derby,Dale Community Primary School,http://dale.derby.sch.uk,Derby,DE23 6NL,East Midlands,no
143734,831,Derby,Derby Cathedral School,www.derbycathedralschool.org.uk,Derby,DE1 1LR,East Midlands,no
145327,831,Derby,Derby Moor Spencer Academy,www.derbymoorspencer.org.uk,Derby,DE23 2FS,East Midlands,no
138277,831,Derby,Derby Pride Academy,https://dpaesteem.co.uk,Derby,DE24 8BY,East Midlands,no
146575,831,Derby,Derby St Chad's CofE Nursery and Infant School,www.stchads.derby.sch.uk/,Derby,DE23 6WR,East Midlands,no
144343,831,Derby,Derwent Primary School,www.derwentprimary.net,Derby,DE21 6AL,East Midlands,no
142041,831,Derby,Firs Primary School,www.firsprimary.derby.sch.uk,Derby,DE22 3WA,East Midlands,no
112756,831,Derby,Gayton Junior School,www.gaytonj.derby.sch.uk/,Derby,DE23 1GA,East Midlands,no
138992,831,Derby,Grampian Primary Academy,www.grampian.anthemtrust.uk,Derby,DE24 9LU,East Midlands,no
