urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
113772,838,Dorset,All Saints Church of England Voluntary Controlled Primary School,http://www.bishopscaundle.dorset.sch.uk/,Sherborne,DT9 5NQ,South West,no
147214,838,Dorset,All Saints' Church of England Academy,https://www.allsaints-academy.co.uk/,Weymouth,DT4 9BJ,South West,no
141757,838,Dorset,Allenbourn Middle School,https://www.allenbournmiddle.org,Wimborne,BH21 1PL,South West,no
141043,838,Dorset,Archbishop Wake Church of England Primary School,http://www.archbishopwake.dsat.org.uk/,Blandford Forum,DT11 8SW,South West,no
145119,838,Dorset,Atlantic Academy Portland,http://www.atlantic-aspirations.org/,Portland,DT5 2NA,South West,no
113884,838,Dorset,Beaminster School,http://www.beaminster.dorset.sch.uk/,Beaminster,DT8 3EP,South West,no
140560,838,Dorset,Beaminster St Mary's Academy,http://www.beaminsterstmarys.dsat.org.uk,Beaminster,DT8 3BY,South West,no
113956,838,Dorset,Beaucroft Foundation School,http://www.beaucroft.dorset.sch.uk/,Wimborne,BH21 2SS,South West,no
144298,838,Dorset,Beechcroft St Paul's CofE Primary School,www.beechcroft.dsat.org.uk,Weymouth,DT4 0LQ,South West,no
145721,838,Dorset,Bere Regis Primary and Preschool,http://www.bereregis.dorset.sch.uk/,Wareham,BH20 7DB,South West,no
113716,838,Dorset,Bincombe Valley Primary School,http://www.bincombe.dorset.sch.uk,Weymouth,DT3 6AW,South West,no
141046,838,Dorset,Blandford St Mary Church of England Primary School,http://www.blandfordstmary.dsat.org.uk,Blandford Forum,DT11 9QD,South West,no
147264,838,Dorset,Bovington Academy,https://www.bovington-aspirations.org/,Wareham,BH20 6LE,South West,no
142690,838,Dorset,Bridport Primary School,https://bridportprimaryschool.co.uk/,Bridport,DT6 3BJ,South West,no
142691,838,Dorset,"Bridport, St Mary's Church of England Primary School",www.stmarybridport.co.uk/,Bridport,DT6 5LA,South West,no
113661,838,Dorset,Broadmayne First School,http://www.broadmayne.dorset.sch.uk/,Dorchester,DT2 8PH,South West,no
144413,838,Dorset,Buckland Newton Church of England Primary School,www.bucklandnewton.dorset.sch.uk/,Dorchester,DT2 7BY,South West,no
147443,838,Dorset,Budmouth Academy Weymouth,,Weymouth,DT4 9SY,South West,no
142692,838,Dorset,Burton Bradstock Church of England Voluntary Controlled School,http://www.burtonbradstock.dorset.sch.uk,Bridport,DT6 4QS,South West,no
113759,838,Dorset,Cerne Abbas CofE VC First School,www.cerneabbas.dorset.sch.uk,Dorchester,DT2 7LA,South West,no
150208,838,Dorset,Charmouth Primary School,https://charmouth.dorset.sch.uk/,Bridport,DT6 6LR,South West,no
113663,838,Dorset,Cheselbourne Village School,http://www.cheselbourne.dorset.sch.uk/,DORCHESTER,DT2 7NT,South West,no
139147,838,Dorset,Chickerell Primary Academy,http://www.chickerell.dorset.sch.uk,Weymouth,DT3 4AT,South West,no
141768,838,Dorset,Colehill First School,https://www.colehillfirstschool.org/,Wimborne,BH21 2LZ,South West,no
142145,838,Dorset,Corfe Castle Church of England Primary School,http://www.corfecastle.dorset.sch.uk/,Wareham,BH20 5EE,South West,no
148301,838,Dorset,Cranborne Church of England First School,http://www.cranbornefirst.dsat.org.uk,Wimborne,BH21 5QB,South West,no
113853,838,Dorset,Cranborne Middle School,http://www.cranbornemid.dorset.sch.uk,Wimborne,BH21 5RP,South West,no
147559,838,Dorset,Damers First School,http://www.damers.dorset.sch.uk/,Dorchester,DT1 3DF,South West,no
130316,838,Dorset,Dorchester Learning Centre,http://www.dlconline.co.uk,Dorchester,DT2 9PS,South West,no
138186,838,Dorset,Dorchester Middle School,http://www.dorchestermid.dorset.sch.uk,Dorchester,DT1 2HS,South West,no
140977,838,Dorset,Dorset Studio School,http://dorsetstudioschool.co.uk/,Dorchester,DT2 8PX,South West,no
113659,838,Dorset,Downlands Community School,www.downlandsschool.org,Blandford Forum,DT11 8BG,South West,no
140561,838,Dorset,Dunbury Church of England Academy,www.dunbury.dsat.org.uk,Winterborne Whitechurch,DT11 0AW,South West,no
149456,838,Dorset,Durweston Church of England Primary School,http://www.durweston.dorset.sch.uk/,Blandford Forum,DT11 0QA,South West,no
145405,838,Dorset,Emmanuel Middle Church of England Middle School,www.emmanuelmiddle.org,Verwood,BH31 6JF,South West,no
148161,838,Dorset,Ferndown First School,http://www.fernfirst.dorset.sch.uk,Ferndown,BH22 9FB,South West,no
148163,838,Dorset,Ferndown Middle School,http://fernmid.dorset.sch.uk/,Ferndown,BH22 9UP,South West,no
113854,838,Dorset,Ferndown Upper School,http://www.fernup.dorset.sch.uk,Ferndown,BH22 9EY,South West,no
149413,838,Dorset,Gillingham Primary School,http://www.gillinghamprimary.dorset.sch.uk/,Gillingham,SP8 4QR,South West,no
150992,838,Dorset,Hampreston Church of England Voluntary Aided First School,www.hamprestonfirstschool.com/,Wimborne,BH21 7LX,South West,no
147087,838,Dorset,Harbour School Dorset,https://harbourschooldorset.com/,,BH20 6NU,South West,no
146958,838,Dorset,Harbour Vale School,https://harbourvale.dorset.sch.uk/,Sherborne,DT9 4DN,South West,no
141786,838,Dorset,Hayeswood First School,http://www.hayeswood.dorset.sch.uk,Wimborne,BH21 2HN,South West,no
113669,838,Dorset,Hazelbury Bryan Primary School,www.hazelburybryanprimaryschool.co.uk/,Sturminster Newton,DT10 2ED,South West,no
147710,838,Dorset,Henbury View First School,http://www.henburyview.dorset.sch.uk,Wimborne,BH21 3TR,South West,no
146690,838,Dorset,Hillside Community First School,http://www.hillsidefirstschool.org,Verwood,BH31 7HE,South West,no
126911,838,Dorset,Holy Trinity Church of England VC Primary School & Community Nursery,www.holytrinitypri.dorset.sch.uk,Weymouth,DT4 9QX,South West,no
145811,838,Dorset,Lockyer's Middle School,https://www.lockyersmiddle.org,Wimborne,BH21 3HQ,South West,no
142046,838,Dorset,Loders CofE Primary Academy,loders.acornacademy.org,Bridport,DT6 3SA,South West,no
150430,838,Dorset,Lulworth and Winfrith CofE VC Primary School,www.lulworthwinfrith.dorset.sch.uk/,Wareham,BH20 5SA,South West,no
146475,838,Dorset,Lytchett Matravers Primary School,http://www.lmpsdorset.org,Poole,BH16 6DY,South West,no
113863,838,Dorset,Lytchett Minster School,www.lytchett.org.uk,Poole,BH16 6JD,South West,no
113762,838,Dorset,"Maiden Newton, Greenford Church of England Primary School",http://www.greenford.dorset.sch.uk,Dorchester,DT2 0AX,South West,no
149484,838,Dorset,Manor Park Church of England First School,www.manorparkfirst.dorset.sch.uk,Dorchester,DT1 2BH,South West,no
141524,838,Dorset,Marshwood CofE Primary Academy,marshwood.acornacademy.org,Bridport,DT6 5QA,South West,no
141796,838,Dorset,Milborne St Andrew First School,http://www.milborne.dorset.sch.uk/,Blandford Forum,DT11 0JE,South West,no
146153,838,Dorset,Milldown CofE Academy,http://www.milldown.dsat.org.uk,Blandford Forum,DT11 7SN,South West,no
150216,838,Dorset,Milton-on-Stour Church of England Primary School,http://www.milton.dorset.sch.uk,Gillingham,SP8 5QD,South West,no
141798,838,Dorset,Motcombe CofE Primary School,http://www.motcombeprimary.co.uk,Shaftesbury,SP7 9NT,South West,no
113957,838,Dorset,Mountjoy School,https://www.mountjoy.dorset.sch.uk/,Beaminster,DT8 3HB,South West,no
142500,838,Dorset,Oakhurst Community First School,www.oakhurstfirst.com/,Ferndown,BH22 0DY,South West,no
147893,838,Dorset,Pamphill Church of England First School,pamphillfirstschool.org,Wimborne,BH21 4EE,South West,no
148162,838,Dorset,Parley First School,http://www.parley.dorset.sch.uk/,Ferndown,BH22 8QE,South West,no
113807,838,Dorset,Parrett and Axe Church of England Voluntary Aided Primary School,http://www.mosterton.dorset.sch.uk,Beaminster,DT8 3JQ,South West,no
141804,838,Dorset,Piddle Valley Church of England First School,http://www.piddlevalley.dorset.sch.uk,Dorchester,DT2 7QL,South West,no
150882,838,Dorset,Pimperne Church of England VC Primary School,www.pimperne.dorset.sch.uk,Blandford Forum,DT11 8WF,South West,no
149143,838,Dorset,Portesham Church of England Primary School,www.portesham.dorset.sch.uk,Weymouth,DT3 4HP,South West,no
113812,838,Dorset,Powerstock Church of England Voluntary Aided Primary School,www.powerstock.dorset.sch.uk/,Bridport,DT6 3TB,South West,no
