urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
141755,839,"Bournemouth, Christchurch and Poole",Ad Astra Infant School,www.adastra.poole.sch.uk,Poole,BH17 8AP,South West,no
147467,839,"Bournemouth, Christchurch and Poole",Avonbourne Boys' Academy,https://www.avonbourneboysacademy.org.uk/,Bournemouth,BH7 6NZ,South West,no
138193,839,"Bournemouth, Christchurch and Poole",Avonbourne Girls Academy,http://avonbourneacademy.org.uk/,Bournemouth,BH7 6NY,South West,no
148357,839,"Bournemouth, Christchurch and Poole",Avonwood Primary School,www.avonwoodprimaryschool.org.uk,Bournemouth,BH7 6NB,South West,no
142974,839,"Bournemouth, Christchurch and Poole",Baden-Powell and St Peter's Church of England Junior School,www.bpspjunior.co.uk,Poole,BH14 8UL,South West,no
145496,839,"Bournemouth, Christchurch and Poole",Bayside Academy,www.bayside-academy.co.uk,POOLE,BH16 5AH,South West,no
143477,839,"Bournemouth, Christchurch and Poole",Bearwood Primary and Nursery School,www.bearwood.poole.sch.uk/,Bournemouth,BH11 9UN,South West,no
142100,839,"Bournemouth, Christchurch and Poole",Bethany Church of England Junior School,http://www.bethanyjunior.co.uk,Bournemouth,BH1 4DJ,South West,no
144873,839,"Bournemouth, Christchurch and Poole",Bishop Aldhelm's Church of England Primary School,www.bishopaldhelms.poole.sch.uk,Poole,BH12 1PG,South West,no
137452,839,"Bournemouth, Christchurch and Poole",Bournemouth School,http://www.bournemouth-school.org,Bournemouth,BH8 9PY,South West,no
136996,839,"Bournemouth, Christchurch and Poole",Bournemouth School for Girls,http://www.wearebsg.uk,Bournemouth,BH8 9UJ,South West,no
141258,839,"Bournemouth, Christchurch and Poole",Broadstone First School,www.broadstonefirstschool.co.uk,Broadstone,BH18 8AA,South West,no
141184,839,"Bournemouth, Christchurch and Poole",Broadstone Middle School,http://www.bmsweb.co.uk/,Broadstone,BH18 8AE,South West,no
113789,839,"Bournemouth, Christchurch and Poole",Burton Church of England Primary School,www.burtonschool.co.uk/,Christchurch,BH23 7JY,South West,no
141762,839,"Bournemouth, Christchurch and Poole",Canford Heath Infant School,http://www.chis.poole.sch.uk,Poole,BH17 8PJ,South West,no
141763,839,"Bournemouth, Christchurch and Poole",Canford Heath Junior School,www.chjs.poole.sch.uk/,Poole,BH17 8PJ,South West,no
140705,839,"Bournemouth, Christchurch and Poole",Christ The King Catholic Primary School,www.ctkcps.com,Bournemouth,BH11 9EH,South West,no
150991,839,"Bournemouth, Christchurch and Poole",Christchurch Infant School,http://www.christchurchinf.dorset.sch.uk/,Christchurch,BH23 2AE,South West,no
145428,839,"Bournemouth, Christchurch and Poole",Christchurch Junior School,www.cjsdorset.org,Christchurch,BH23 2AA,South West,no
134374,839,"Bournemouth, Christchurch and Poole",Christchurch Learning Centre,www.clc.dorset.sch.uk,Christchurch,BH23 1PJ,South West,no
136574,839,"Bournemouth, Christchurch and Poole",Corfe Hills School,http://www.corfehills.net/,Broadstone,BH18 9BG,South West,no
113845,839,"Bournemouth, Christchurch and Poole",Corpus Christi Catholic Primary School,www.cccpschool.co.uk,Bournemouth,BH5 2BX,South West,no
142972,839,"Bournemouth, Christchurch and Poole",Courthill Infant School,www.courthillinfants.co.uk,Poole,BH14 9HL,South West,no
138990,839,"Bournemouth, Christchurch and Poole",Elm Academy,www.elm-academy.org.uk,Bournemouth,BH11 9JN,South West,no
140008,839,"Bournemouth, Christchurch and Poole",Glenmoor Academy,http://www.glenmoor.org.uk/,Bournemouth,BH10 4EX,South West,no
143314,839,"Bournemouth, Christchurch and Poole",Hamworthy Park Junior School,https://www.hamworthyprimaryschools.co.uk/,Poole,BH15 4DG,South West,no
141787,839,"Bournemouth, Christchurch and Poole",Haymoor Junior School,www.haymoor.poole.sch.uk,Poole,BH17 8WG,South West,no
145212,839,"Bournemouth, Christchurch and Poole",Heatherlands Primary School,www.heatherlands.poole.sch.uk/,Poole,BH12 2BG,South West,no
142101,839,"Bournemouth, Christchurch and Poole",Heathlands Primary Academy,www.heathlandsprimarybournemouth.co.uk,Bournemouth,BH11 8HB,South West,no
136763,839,"Bournemouth, Christchurch and Poole",Highcliffe School,https://www.highcliffe.school,Christchurch,BH23 4QD,South West,no
134987,839,"Bournemouth, Christchurch and Poole",Highcliffe St Mark Primary School,http://www.highcliffeprimary.dorset.sch.uk/,Christchurch,BH23 5AZ,South West,no
142352,839,"Bournemouth, Christchurch and Poole",Hill View Primary School,www.hillview.bournemouth.sch.uk,Bournemouth,BH10 5BD,South West,no
148926,839,"Bournemouth, Christchurch and Poole",Hillbourne Primary School,www.hillbourne.poole.sch.uk,Poole,BH17 7HX,South West,no
139692,839,"Bournemouth, Christchurch and Poole",Jewell Academy Bournemouth,https://www.jewell-aspirations.org,Bournemouth,BH8 0LT,South West,no
141671,839,"Bournemouth, Christchurch and Poole",King's Park Academy,www.kingspark-academy.co.uk/,Bournemouth,BH1 4NB,South West,no
142428,839,"Bournemouth, Christchurch and Poole",Kingsleigh Primary School,www.kingsleighprimary.co.uk,Bournemouth,BH10 5HT,South West,no
146796,839,"Bournemouth, Christchurch and Poole",Kinson Academy,www.kinson-academy.co.uk,Bournemouth,BH11 9DG,South West,no
138385,839,"Bournemouth, Christchurch and Poole",LeAF Studio,www.leafstudio.co.uk,Bournemouth,BH11 9JW,South West,no
142970,839,"Bournemouth, Christchurch and Poole",Lilliput Church of England Infant School,www.lilliput.poole.sch.uk,Poole,BH14 8JX,South West,no
113961,839,"Bournemouth, Christchurch and Poole",Linwood School,http://www.linwood.bournemouth.sch.uk/,Bournemouth,BH9 1AJ,South West,no
148590,839,"Bournemouth, Christchurch and Poole",Livingstone Academy Bournemouth,https://www.livingstone-aspirations.org/,Bournemouth,BH1 1PA,South West,no
144554,839,"Bournemouth, Christchurch and Poole",Livingstone Road Infant School,https://www.livingstoneroadinfant.org.uk/,Poole,BH12 3DT,South West,no
144602,839,"Bournemouth, Christchurch and Poole",Livingstone Road Junior School,www.livingstonejunior.org.uk,Poole,BH12 3DX,South West,no
142973,839,"Bournemouth, Christchurch and Poole",Longfleet Church of England Primary School,www.longfleet.poole.sch.uk,Poole,BH15 2HF,South West,no
140067,839,"Bournemouth, Christchurch and Poole",Longspee Academy,,Poole,BH17 8PJ,South West,no
139711,839,"Bournemouth, Christchurch and Poole",Magna Academy,https://www.magna-aspirations.org/,Poole,BH17 8RE,South West,no
142354,839,"Bournemouth, Christchurch and Poole",Malmesbury Park Primary School,http://www.malmesburypark.com,Bournemouth,BH8 8LU,South West,no
141745,839,"Bournemouth, Christchurch and Poole",Manorside Academy,www.manorside-academy.co.uk,Poole,BH12 4JG,South West,no
141794,839,"Bournemouth, Christchurch and Poole",Merley First School,www.merleyfirstschool.com/,Wimborne,BH21 1SD,South West,no
137286,839,"Bournemouth, Christchurch and Poole",Montacute School,www.montacute.poole.sch.uk,Poole,BH17 9NG,South West,no
142435,839,"Bournemouth, Christchurch and Poole",Moordown St John's Church of England Primary School,http://www.st-johns.bournemouth.sch.uk,Bournemouth,BH9 2SA,South West,no
113738,839,"Bournemouth, Christchurch and Poole",Mudeford Community Infants' School,http://www.mudefordinf.dorset.sch.uk,Christchurch,BH23 3HH,South West,no
113740,839,"Bournemouth, Christchurch and Poole",Mudeford Junior School,http://www.mudefordjun.dorset.sch.uk,Christchurch,BH23 3HP,South West,no
142436,839,"Bournemouth, Christchurch and Poole",Muscliff Primary School,http://www.muscliffprimary.co.uk,Bournemouth,BH8 0AB,South West,no
139037,839,"Bournemouth, Christchurch and Poole",Oak Academy,https://www.oak-academy.co.uk/,Bournemouth,BH11 9JJ,South West,no
142975,839,"Bournemouth, Christchurch and Poole",Oakdale Junior School,www.oakdalejunior.co.uk,Poole,BH15 3JR,South West,no
141089,839,"Bournemouth, Christchurch and Poole",Ocean Academy Poole,www.ocean-aspirations.org,Poole,BH14 0PZ,South West,no
142971,839,"Bournemouth, Christchurch and Poole",Old Town Infant School and Nursery,www.oldtowninfantschool.co.uk,Poole,BH15 1QB,South West,no
146386,839,"Bournemouth, Christchurch and Poole",Parkfield School,www.parkfieldschool.org,Christchurch,BH23 6DF,South West,no
136368,839,"Bournemouth, Christchurch and Poole",Parkstone Grammar School,http://www.parkstone.poole.sch.uk/,Poole,BH17 7EP,South West,no
139453,839,"Bournemouth, Christchurch and Poole",Pokesdown Community Primary School,www.pokesdowncommunity.co.uk,Bournemouth,BH5 2AS,South West,no
136850,839,"Bournemouth, Christchurch and Poole",Poole Grammar School,www.poolegrammar.com,Poole,BH17 9JU,South West,no
150883,839,"Bournemouth, Christchurch and Poole",Poole High School,http://www.poolehigh.co.uk/,Poole,BH15 2BW,South West,no
138860,839,"Bournemouth, Christchurch and Poole",Queen's Park Academy,www.queenspark-academy.co.uk,Bournemouth,BH8 9PU,South West,no
139447,839,"Bournemouth, Christchurch and Poole",Queen's Park Infant Academy,www.queensparkinfacademy.co.uk,Bournemouth,BH8 9PU,South West,no
113736,839,"Bournemouth, Christchurch and Poole",Somerford Primary School,http://www.somerford.dorset.sch.uk,Christchurch,BH23 3AS,South West,no
143616,839,"Bournemouth, Christchurch and Poole",Springdale First School,www.springdale.poole.sch.uk/,Broadstone,BH18 9BW,South West,no
136206,839,"Bournemouth, Christchurch and Poole",St Aldhelm's Academy,www.staldhelms-academy.co.uk,Poole,BH12 4HS,South West,no
142102,839,"Bournemouth, Christchurch and Poole",St Clement's and St John's Church of England Infant School,www.stclementsandstjohns.co.uk,Bournemouth,BH1 4DZ,South West,no
113893,839,"Bournemouth, Christchurch and Poole","St Edward's Roman Catholic/Church of England School, Poole",http://website.network.st-edwards.poole.sch.uk/,Poole,BH15 3HY,South West,no
140760,839,"Bournemouth, Christchurch and Poole",St James' Church of England Primary Academy,www.stjamescebournemouth.com,Bournemouth,BH7 6DW,South West,no
113848,839,"Bournemouth, Christchurch and Poole","St Joseph's Catholic Primary School, Christchurch",www.stjosephs.dorset.sch.uk/,Christchurch,BH23 3DA,South West,no
140767,839,"Bournemouth, Christchurch and Poole","St Joseph's Catholic Primary School, Poole",www.sjcpschool.co.uk,Poole,BH12 4DZ,South West,no
113841,839,"Bournemouth, Christchurch and Poole",St Katharine's Church of England Primary School,www.stkatharinesceprimary.co.uk,Bournemouth,BH6 4NA,South West,no
142103,839,"Bournemouth, Christchurch and Poole",St Luke's Church of England Primary School,http://www.stlukesbournemouth.co.uk,Bournemouth,BH9 1LG,South West,no
142445,839,"Bournemouth, Christchurch and Poole",St Mark's Church of England Primary School,www.st-marks.bournemouth.sch.uk,Bournemouth,BH10 4JA,South West,no
140777,839,"Bournemouth, Christchurch and Poole","St Mary's Catholic Primary School, Poole",www.st-marys.poole.sch.uk,Poole,BH15 3QQ,South West,no
142446,839,"Bournemouth, Christchurch and Poole",St Michael's Church of England Primary School,http://www.stmichaelsprimary.bournemouth.sch.uk,Bournemouth,BH2 5LH,South West,no
137349,839,"Bournemouth, Christchurch and Poole",St Peter's Catholic Comprehensive School,www.st-peters.bournemouth.sch.uk,Bournemouth,BH6 4AH,South West,no
113898,839,"Bournemouth, Christchurch and Poole",St. Walburga's Catholic Primary School,http://www.stwalburgas.bournemouth.sch.uk,Bournemouth,BH9 3BY,South West,no
140527,839,"Bournemouth, Christchurch and Poole",Stanley Green Infant Academy,www.stanleygreen.co.uk,Poole,BH15 3AA,South West,no
138815,839,"Bournemouth, Christchurch and Poole",Stourfield Infant School,www.stourfieldinfants.com,Bournemouth,BH6 5JS,South West,no
144047,839,"Bournemouth, Christchurch and Poole",Stourfield Junior School,www.stourfieldjuniors.com,Bournemouth,BH6 5JG,South West,no
144874,839,"Bournemouth, Christchurch and Poole",Talbot Primary School,http://www.talbot.poole.sch.uk,Poole,BH12 5ED,South West,no
136120,839,"Bournemouth, Christchurch and Poole",The Bishop of Winchester Academy,http://www.tbowa.org/,Bournemouth,BH8 9PW,South West,no
