urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
113972,840,County Durham,Aclet Close Nursery School,www.acletclose.durham.sch.uk,Bishop Auckland,DL14 6PX,North East,no
138554,840,County Durham,Acre Rigg Academy,http://www.acreriggacademy.co.uk,Peterlee,SR8 2DU,North East,no
114154,840,County Durham,Acre Rigg Infant School,www.acrerigg-inf.durham.sch.uk/,Peterlee,SR8 2DU,North East,no
148610,840,County Durham,"All Saints' Catholic Primary School, Lanchester",https://allsaintslanchester.bwcet.com,Durham,DH7 0JG,North East,no
148466,840,County Durham,Annfield Plain Infant School,https://www.annfieldplaininfants.co.uk/,Stanley,DH9 7UY,North East,no
148465,840,County Durham,Annfield Plain Junior School,http://www.annfieldplainjuniors.co.uk,Stanley,DH9 7ST,North East,no
151177,840,County Durham,Aycliffe Village Primary and Nursery School,www.aycliffevillage.durham.sch.uk/,Newton Aycliffe,DL5 6LG,North East,no
150340,840,County Durham,Beamish Primary School,https://www.beamishps.org.uk,Stanley,DH9 0QN,North East,no
114129,840,County Durham,Bearpark Primary School,http://atschool.eduweb.co.uk/bpark.durham/,Durham,DH7 7AU,North East,no
113985,840,County Durham,Beechdale Nursery School,,Consett,DH8 6AY,North East,no
114139,840,County Durham,Belmont Cheveley Park Primary School,http://www.belmontcheveleypark.durham.sch.uk,Durham,DH1 2TX,North East,no
148706,840,County Durham,Bishop Barrington Academy,https://bishopbarrington.org.uk/,Bishop Auckland,DL14 6LA,North East,no
147518,840,County Durham,Bishop Ian Ramsey CofE Primary School,bishopianramsey.org.uk,Consett,DH8 6QN,North East,no
114201,840,County Durham,Blackhall Primary School,www.blackhallcolliery.durham.sch.uk/,Hartlepool,TS27 4NA,North East,no
148916,840,County Durham,"Blessed John Duckett Catholic Primary School, Tow Law",http://www.blessedjohnduckett.durham.sch.uk,Bishop Auckland,DL13 4AU,North East,no
145983,840,County Durham,Bloemfontein Primary School,https://www.bloemfonteinprimary.co.uk/,Stanley,DH9 6AG,North East,no
114274,840,County Durham,Blue Coat CofE (Aided) Junior School,www.bluecoatcofejunior.co.uk/,Durham,DH1 5LP,North East,no
148138,840,County Durham,Bluebell Meadow Primary School,,Trimdon Station,TS29 6JU,North East,no
114087,840,County Durham,Bowburn Primary School,http://www.bowburnprimary.co.uk,Bowburn,DH6 5FP,North East,no
148858,840,County Durham,Brandon Primary Academy,https://brandonprimary.org.uk/,Durham,DH7 8NL,North East,no
114096,840,County Durham,Broom Cottages Primary & Nursery School,www.broomcottages-pri.durham.sch.uk/,Ferryhill,DL17 8AN,North East,no
140359,840,County Durham,Browney Primary Academy,www.browneyacademy.co.uk/,Browney,DH7 8HX,North East,no
114209,840,County Durham,Bullion Lane Primary School,www.bullionlane.durham.sch.uk,Chester le Street,DH2 2DP,North East,no
149122,840,County Durham,Burnhope Primary School,https://www.burnhopeprimary.co.uk/,Durham,DH7 0AG,North East,no
114189,840,County Durham,Byerley Park Primary School,www.byerleyparkprimaryschool.co.uk/,Newton Aycliffe,DL5 7LE,North East,no
150341,840,County Durham,Castleside Primary School,https://www.castlesideps.org.uk,Consett,DH8 9RG,North East,no
150371,840,County Durham,Catchgate Primary School,https://www.catchgateps.org.uk,Stanley,DH9 8LX,North East,no
114213,840,County Durham,Chester-Le-Street CofE (Controlled) Primary School,www.chester-le-street.durham.sch.uk,Chester le Street,DH2 2JT,North East,no
145594,840,County Durham,Chilton Academy,www.chilton.durham.sch.uk/,Ferryhill,DL17 0PT,North East,no
140324,840,County Durham,Cleves Cross Primary and Nursery School Academy,www.clevescrossprimary.org.uk,Ferryhill,DL17 8QY,North East,no
114114,840,County Durham,Cockfield Primary School,http://www.cockfield.durham.sch.uk/,Bishop Auckland,DL13 5EN,North East,no
149616,840,County Durham,Collierley Nursery and Primary School,https://www.collierleyprimary.org.uk,Stanley,DH9 9DJ,North East,no
137638,840,County Durham,Consett Academy,http://www.consett-academy.org.uk/,Consett,DH8 6LZ,North East,no
151457,840,County Durham,Copeland Road Primary School,https://copelandroadprimary.org.uk/,Bishop Auckland,DL14 9JJ,North East,no
114020,840,County Durham,Cotherstone Primary School,https://cotherstoneschool.org.uk/,Barnard Castle,DL12 9QB,North East,no
114150,840,County Durham,Cotsford Primary School,https://www.cotsfordprimary.durham.sch.uk/,Peterlee,SR8 4EH,North East,no
114080,840,County Durham,Coxhoe Primary School,www.coxhoe.durham.sch.uk/,Durham,DH6 4EJ,North East,no
114340,840,County Durham,Croft Community School,www.croftcommunityschool.co.uk,Stanley,DH9 8PR,North East,no
150147,840,County Durham,Deaf Hill Primary School,https://www.dhakpf.durham.sch.uk/,Trimdon Station,TS29 6BP,North East,no
147122,840,County Durham,Dene Academy,http://www.deneacademy.org.uk/,Peterlee,SR8 5RL,North East,no
141998,840,County Durham,Dene House Primary School,,Peterlee,SR8 5RL,North East,no
149251,840,County Durham,Durham Academy,https://durhamacademy.org.uk/,Durham,DH7 7NG,North East,no
114211,840,County Durham,Durham Gilesgate Primary School,www.durhamgilesgate-pri.itss-durham.org.uk/,Durham,DH1 1PH,North East,no
114134,840,County Durham,Durham Newton Hall Infants' School,www.durhamnewtonhall.durham.sch.uk/,Durham,DH1 5LP,North East,no
150012,840,County Durham,Durham Sixth Form Centre,http://www.durhamsixthformcentre.org.uk/,Durham,DH1 1SG,North East,no
138075,840,County Durham,Easington Academy,www.easingtonacademy.co.uk,Peterlee,SR8 3AY,North East,no
149659,840,County Durham,Easington CofE Primary School,http://www.easingtonprimary.org.uk,Peterlee,SR8 3BP,North East,no
114210,840,County Durham,Easington Colliery Primary School,http://www.ecps.org.uk,Peterlee,SR8 3DJ,North East,no
148467,840,County Durham,East Stanley School,https://www.eaststanleyschool.co.uk/,Stanley,DH9 0TN,North East,no
151127,840,County Durham,Edmondsley Primary Academy,edmondsley.durham.sch.uk,Durham,DH7 6DU,North East,no
141109,840,County Durham,Endeavour Academy Durham,www.endeavouracademy.co.uk,Peterlee,SR8 2RN,North East,no
148303,840,County Durham,Esh CofE (Aided) Primary School,https://eshprimary.org.uk/,Durham,DH7 9QR,North East,no
151058,840,County Durham,Esh Winning Academy,https://eshwinning.wiseacademies.co.uk/,Durham,DH7 9BE,North East,no
113976,840,County Durham,Etherley Lane Nursery School,www.etherleylane-nur.durham.sch.uk,Bishop Auckland,DL14 7RF,North East,no
148853,840,County Durham,Evenwood Church of England Primary School,www.evenwood.durham.sch.uk/,Bishop Auckland,DL14 9QZ,North East,no
134663,840,County Durham,Evergreen Primary School,www.evergreen.durham.sch.uk,Bishop Auckland,DL14 6LS,North East,no
145253,840,County Durham,Ferryhill School,www.ferryhill.school,Ferryhill,DL17 8RW,North East,no
114078,840,County Durham,Ferryhill Station Primary School,www.ferryhillstationschool.co.uk/,Ferryhill,DL17 0DB,North East,no
130312,840,County Durham,Finchale Primary School,www.finchale.durham.sch.uk,Durham,DH1 5XT,North East,no
150575,840,County Durham,Fishburn Primary School,www.fishburnprimary.co.uk,Stockton-on-Tees,TS21 4AU,North East,no
137696,840,County Durham,Framwellgate School Durham,http://www.framdurham.com,Durham,DH1 5BQ,North East,no
114062,840,County Durham,Frosterley Primary School,https://www.thedalespartnership.co.uk/,Bishop Auckland,DL13 2SN,North East,no
151061,840,County Durham,Gainford Church of England Primary School and Preschool,http://www.gainfordcofeprimary.co.uk,Darlington,DL2 3DR,North East,no
149902,840,County Durham,Green Lane Church of England Primary School,www.greenlane.durham.sch.uk,Barnard Castle,DL12 8LG,North East,no
149962,840,County Durham,Greenfield Academy,https://greenfieldacademy.org.uk/,Newton Aycliffe,DL5 7LF,North East,no
143585,840,County Durham,Greenland Community Primary School,https://www.greenlandprimary.co.uk/,Stanley,DH9 7EZ,North East,no
145429,840,County Durham,Hartside Primary Academy,http://www.hartsideprimary.org.uk/,Crook,DL15 9NN,North East,no
147531,840,County Durham,Hermitage Academy,http://www.hermitageacademy.co.uk/,Chester le Street,DH2 3AD,North East,no
114143,840,County Durham,Hesleden Primary School,www.hesleden.durham.sch.uk/,Hartlepool,TS27 4PT,North East,no
138718,840,County Durham,Hope Wood Academy,https://ascenttrust.org/hope-wood/,Durham,SR8 3LP,North East,no
113986,840,County Durham,Horden Nursery School,hordennursery.durham.sch.uk,Peterlee,SR8 4TB,North East,no
114190,840,County Durham,Horndale Infants' School,http://www.horndale.durham.sch.uk,Newton Aycliffe,DL5 7HB,North East,no
148852,840,County Durham,Howden-le-Wear Primary School,https://howden-le-wearprimary.org.uk/,Crook,DL15 8HJ,North East,no
114198,840,County Durham,Howletch Lane Primary School,http://www.howletchlane.co.uk/,Peterlee,SR8 2NQ,North East,no
151429,840,County Durham,Hunwick Primary School,https://hunwickprimary.org.uk/,Crook,DL15 0JX,North East,no
114232,840,County Durham,Hutton Henry CofE (Controlled) Primary School,http://www.huttonhenry.durham.sch.uk,Hartlepool,TS27 4RY,North East,no
147815,840,County Durham,Ingleton CofE Primary School,www.ingletoncofeprimary.co.uk,Darlington,DL2 3JE,North East,no
150146,840,County Durham,Kelloe Primary School,https://kelloe.adastraschools.org,Kelloe,DH6 4PG,North East,no
136770,840,County Durham,King James I Academy Bishop Auckland,http://www.kingjames1academy.com/,Bishop Auckland,DL14 7JZ,North East,no
130946,840,County Durham,King Street Primary School,www.kingstreet.durham.sch.uk,Spennymoor,DL16 6RA,North East,no
113977,840,County Durham,Langley Moor Nursery School,langleymoornursery.durham.sch.uk,Durham,DH7 8LL,North East,no
114120,840,County Durham,Langley Moor Primary School,www.langleymoorprimary.co.uk,Durham,DH7 8LL,North East,no
148874,840,County Durham,Langley Park Primary School,www.langleyparkprimaryschool.co.uk/,Durham,DH7 9XN,North East,no
114140,840,County Durham,Laurel Avenue Community Primary School,www.laurelavenue.durham.sch.uk/,Durham,DH1 2EY,North East,no
114039,840,County Durham,Leadgate Primary School - Split Site,www.leadgate.durham.sch.uk/,Consett,DH8 7RH,North East,no
114126,840,County Durham,Ludworth Primary School,www.ludworthprimaryschool.co.uk/,Durham,DH6 1LZ,North East,no
149505,840,County Durham,Middlestone Moor Academy,https://middlestonemoorprimary.org.uk/,Durham,DL16 7DA,North East,no
149475,840,County Durham,Middleton-In-Teesdale Academy,www.middletoninteesdaleacademy.co.uk,Barnard Castle,DL12 0TG,North East,no
148969,840,County Durham,Moorside Primary Academy,https://moorsideprimary.org.uk/,Consett,DH8 8EQ,North East,no
114130,840,County Durham,Neville's Cross Primary School and Nursery,www.nevillescross.durham.sch.uk,Durham,DH1 4JG,North East,no
148970,840,County Durham,New Brancepeth Primary Academy,https://newbrancepethprimary.org.uk/,Durham,DH7 7EU,North East,no
138826,840,County Durham,New Seaham Academy,www.newseaham.org.uk/,Seaham,SR7 0HX,North East,no
131233,840,County Durham,Newker Primary School,newkerprimary.co.uk,Chester le Street,DH2 3AA,North East,no
136745,840,County Durham,North Durham Academy,http://www.northdurhamacademy.co.uk/,Stanley,DH9 0TW,North East,no
148206,840,County Durham,"Our Lady Queen of Martyrs Catholic Primary School, Esh Winning",ourladyqueenofmartyrseshwinning.bwcet.com,Durham,DH7 9PA,North East,no
148820,840,County Durham,"Our Lady and St Joseph Brooms Catholic Primary School, Leadgate",www.ourladyandstjosephsbrooms.bwcet.com,Consett,DH8 7SN,North East,no
148627,840,County Durham,"Our Lady and St Thomas Catholic Primary School, Willington",https://olst.bhcet.org.uk/,"Crook,",DL15 0PB,North East,no
148788,840,County Durham,"Our Lady of Lourdes Catholic Primary School, Shotton",http://www.ourladyoflourdes.durham.sch.uk/,Durham,DH6 2JQ,North East,no
147108,840,County Durham,Our Lady of the Rosary Catholic Primary School,https://ourladyrosary.org.uk/,Peterlee,SR8 1DE,North East,no
144658,840,County Durham,Ouston Primary School,www.oustonprimary.durham.sch.uk,Chester le Street,DH2 1RQ,North East,no
113970,840,County Durham,Oxhill Nursery School,https://www.oxhill.durham.sch.uk/,Stanley,DH9 7LR,North East,no
136971,840,County Durham,Park View School,www.parkviewlearning.net,Chester le Street,DH3 3QA,North East,no
137903,840,County Durham,Parkside Academy,http://parksideacademy.org.uk/,Crook,DL15 0QF,North East,no
150389,840,County Durham,Peases West Academy,https://peaseswestprimary.org.uk,Crook,DL15 9SZ,North East,no
