urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
136988,841,Darlington,Abbey Infants' School,https://abbeyschools.org.uk/,Darlington,DL3 8JA,North East,no
136989,841,Darlington,Abbey Junior School,www.abbeyfed.darlington.sch.uk/,Darlington,DL3 8NN,North East,no
138093,841,Darlington,Beaumont Hill Academy,http://www.educationvillage.org.uk,Darlington,DL1 2AN,North East,no
137021,841,Darlington,Bishopton Redmarshall CofE Primary School,http://www.bishoptonredmarshall.org.uk,Bishopton,TS21 1HD,North East,no
113982,841,Darlington,Borough Road Nursery School,https://www.darlingtonnurseryschools.org.uk/,Darlington,DL1 1SG,North East,no
137622,841,Darlington,Carmel College,http://carmel.bhcet.org.uk/,Darlington,DL3 8RW,North East,no
143512,841,Darlington,Corporation Road Community Primary School,www.corporationroadschool.co.uk,Darlington,DL3 6AR,North East,no
138129,841,Darlington,Firthmoor Primary School,www.firthmoor.darlington.sch.uk,Darlington,DL1 4RW,North East,no
113983,841,Darlington,George Dent Nursery School,https://www.darlingtonnurseryschools.org.uk/,Darlington,DL3 7PY,North East,no
138362,841,Darlington,Gurney Pease Academy,www.educationvillage.org.uk/,Darlington,DL1 2NG,North East,no
135088,841,Darlington,Harrowgate Hill Primary School,www.harrowgatehillpri.darlington.sch.uk/,Darlington,DL3 0HZ,North East,no
138089,841,Darlington,Haughton Academy,http://www.educationvillage.org.uk/,Darlington,DL1 2AN,North East,no
138179,841,Darlington,Heathfield Primary School,http://www.heathfieldprimary.com,Darlington,DL1 1EJ,North East,no
137022,841,Darlington,Heighington Church of England Primary School,https://www.heighingtonceprimary.org.uk/,Newton Aycliffe,DL5 6PH,North East,no
142961,841,Darlington,High Coniscliffe CofE Primary School,www.highconiscliffe.org.uk,Darlington,DL2 2LL,North East,no
139533,841,Darlington,Holy Family Catholic Primary School,www.holyfamily.bhcet.org.uk,Darlington,DL3 9EN,North East,no
136838,841,Darlington,Hummersknott Academy,https://hummersknott.org.uk/,Darlington,DL3 8AR,North East,no
138180,841,Darlington,Hurworth Primary School,www.hurworthprimary.com,Darlington,DL2 2ET,North East,no
136525,841,Darlington,Hurworth School,hurworth.nalp.org.uk,Darlington,DL2 2JG,North East,no
145577,841,Darlington,Longfield Academy,,Darlington,DL3 0HT,North East,no
139691,841,Darlington,Marchbank Free School,www.educationvillage.org.uk,Darlington,DL3 9BL,North East,no
143449,841,Darlington,Mount Pleasant Primary School,www.mountpleasantschool.com,Darlington,DL3 9HE,North East,no
138175,841,Darlington,Mowden Infant School,http://www.mowdenfederation.co.uk,Darlington,DL3 9QG,North East,no
138176,841,Darlington,Mowden Junior School,http://www.mowdenfederation.co.uk,Darlington,DL3 9DE,North East,no
142462,841,Darlington,Northwood Primary School,www.northwoodprimary.org.uk,Darlington,DL1 2HF,North East,no
142174,841,Darlington,Polam Hall School,https://www.phs.woodard.co.uk/,Darlington,DL1 5PA,North East,no
150514,841,Darlington,Queen Elizabeth Sixth Form College,qeliz.nalp.org.uk,Darlington,DL3 7AU,North East,no
114183,841,Darlington,Red Hall Primary School,www.redhallprimary-darlington.co.uk,Darlington,DL1 2ST,North East,no
136836,841,Darlington,Reid Street Primary School,www.reidstreet.darlington.sch.uk,Darlington,DL3 6EX,North East,no
139195,841,Darlington,Skerne Park Academy,www.skernepark.org.uk,Darlington,DL1 5AJ,North East,no
138088,841,Darlington,Springfield Academy,www.educationvillage.org.uk,Darlington,DL1 2AN,North East,no
135314,841,Darlington,St Aidan's Church of England Academy,http://staidansacademy.co.uk/,Darlington,DL1 1LL,North East,no
139531,841,Darlington,St Augustine's Catholic Primary School,www.staugustines.bhcet.org.uk,Darlington,DL3 7HP,North East,no
138523,841,Darlington,St Bede's Catholic Primary School,www.stbedesdarlington.bhcet.org.uk,Darlington,DL1 3ES,North East,no
138128,841,Darlington,St John's Church of England Academy,http://www.stjohnsceacademy.co.uk,Darlington,DL1 4UB,North East,no
142962,841,Darlington,St Mary's Cockerton Church of England Primary School,www.stmaryscockerton.org.uk,Darlington,DL3 9EX,North East,no
146256,841,Darlington,St Teresa's Catholic Primary School,www.stteresasdarlington.bhcet.org.uk/,Darlington,DL1 4NL,North East,no
138000,841,Darlington,St. George's Church of England Academy,www.stgeorges-darlington.co.uk,,DL2 1LD,North East,no
138989,841,Darlington,The Rydal Academy,https://rydal.nalp.org.uk/,Darlington,DL1 4BH,North East,no
137042,841,Darlington,West Park Academy,www.westparkacademy.org.uk,Darlington,DL2 2GF,North East,no
150006,841,Darlington,Whinfield Primary School,www.whinfield.net,Darlington,DL1 3HT,North East,no
143845,841,Darlington,Wyvern Academy,http://wyvernacademy.org/,Darlington,DL3 9SH,North East,no
131629,841,Darlington,Rise Carr College,www.risecarrcollege.org.uk,Darlington,DL3 0NS,North East,yes
