urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
114385,845,East Sussex,Alfriston School,www.alfriston.e-sussex.sch.uk,Polegate,BN26 5XB,South East,no
114491,845,East Sussex,"All Saints Church of England Primary School, Bexhill",www.allsaintsbexhill.org/,Bexhill-on-Sea,TN39 5HA,South East,no
141655,845,East Sussex,All Saints CofE Junior Academy,www.allsaintscejunioracademy.org,Hastings,TN35 5JU,South East,no
114554,845,East Sussex,All Saints' and St Richard's Church of England Primary School,www.assr.e-sussex.sch.uk,Heathfield,TN21 9AE,South East,no
146786,845,East Sussex,Annecy Catholic Primary School,annecy.org.uk,Seaford,BN25 4LF,South East,no
139821,845,East Sussex,Ark Alexandra Academy,http://arkalexandra.org/,HASTINGS,TN34 2PG,South East,no
141021,845,East Sussex,Ark Blacklands Primary Academy,www.arkblacklandsprimary.org,Hastings,TN34 2HU,South East,no
144083,845,East Sussex,Ark Castledown Primary Academy,http://www.arkcastledown.org,Hastings,TN34 3QT,South East,no
141022,845,East Sussex,Ark Little Ridge Primary Academy,www.arklittleridgeprimary.org,St Leonards-on-Sea,TN37 7LR,South East,no
114392,845,East Sussex,Ashdown Primary School,www.ashdown.e-sussex.sch.uk,Crowborough,TN6 2HW,South East,no
114488,845,East Sussex,Barcombe Church of England Primary School,http://www.barcombe.e-sussex.sch.uk,Lewes,BN8 5DN,South East,no
114489,845,East Sussex,Battle and Langton Church of England Primary School,http://www.battlelangton.e-sussex.sch.uk/,Battle,TN33 0HQ,South East,no
137982,845,East Sussex,Beacon Academy,http://www.beacon-academy.org/web/,Crowborough,TN6 2AS,South East,no
114490,845,East Sussex,Beckley Church of England Primary School,www.beckley.e-sussex.sch.uk,Rye,TN31 6RN,South East,no
138895,845,East Sussex,Bexhill High Academy,http://www.bexhillacademy.org,Bexhill-on-Sea,TN39 4BY,South East,no
114547,845,East Sussex,Blackboys Church of England Primary School,www.blackboys.e-sussex.sch.uk/,Uckfield,TN22 5LL,South East,no
114473,845,East Sussex,Bourne Primary School,http://www.bourne.e-sussex.sch.uk,Eastbourne,BN22 8BD,South East,no
143120,845,East Sussex,Breakwater Academy,https://breakwateracademy.org/,Newhaven,BN9 9UT,South East,no
114389,845,East Sussex,Brede Primary School,http://www.brede.e-sussex.sch.uk,Rye,TN31 6DG,South East,no
140384,845,East Sussex,Burfield Academy,https://burfieldacademy.org/,Hailsham,BN27 2PH,South East,no
114492,845,East Sussex,Burwash CofE School,http://www.burwash.e-sussex.sch.uk/,Etchingham,TN19 7DZ,South East,no
114493,845,East Sussex,Buxted CofE Primary School,www.buxtedce.e-sussex.sch.uk,Uckfield,TN22 4BB,South East,no
114494,845,East Sussex,Catsfield Church of England Primary School,www.catsfieldcep.e-sussex.sch.uk/,Battle,TN33 9DP,South East,no
114594,845,East Sussex,Chailey School,http://www.chaileyschool.org/,Lewes,BN8 4PU,South East,no
114495,845,East Sussex,Chailey St Peter's Church of England Primary School,https://www.chaileystpeters.org.uk,Lewes,BN8 4DB,South East,no
150494,845,East Sussex,Chantry Community Primary School,http://www.chantry.eschools.sch.uk,Bexhill-on-Sea,TN40 2AT,South East,no
114391,845,East Sussex,Chiddingly Primary School,https://www.pioneerfederation.co.uk/,Lewes,BN8 6HN,South East,no
144521,845,East Sussex,Christ Church CofE Primary and Nursery Academy,http://www.christchurch.academy,Hastings,TN37 6JJ,South East,no
141261,845,East Sussex,Churchwood Primary Academy,www.churchwoodprimaryacademy.org.uk/,St Leonards-on-Sea,TN38 9PB,South East,no
149252,845,East Sussex,Chyngton School,http://www.chyngtonschool.org,Seaford,BN25 3ST,South East,no
114584,845,East Sussex,Claverham Community College,http://www.claverham.e-sussex.sch.uk,Battle,TN33 0HT,South East,no
142143,845,East Sussex,College Central,http://www.sabden.org.uk/361/welcome,Eastbourne,BN22 9RB,South East,no
114434,845,East Sussex,Cradle Hill Community Primary School,https://www.cradlehill.e-sussex.sch.uk,Seaford,BN25 3BA,South East,no
142146,845,East Sussex,Cuckmere House School,http://www.sabden.org.uk/368/welcome,Seaford,BN25 4BA,South East,no
114433,845,East Sussex,Denton Community Primary School and Nursery,www.dentonprimaryschool.co.uk/,Newhaven,BN9 0QJ,South East,no
148917,845,East Sussex,Ditchling St Margaret's Church of England Primary School,ditchlingprimary.co.uk,Ditchling,BN6 8TU,South East,no
140311,845,East Sussex,Dudley Infant Academy,www.dudleyinfantacademy.org.uk/,Hastings,TN35 5NJ,South East,no
114526,845,East Sussex,Five Ashes CofE Primary School,http://www.fiveashes.e-sussex.sch.uk,Mayfield,TN20 6HY,South East,no
114550,845,East Sussex,Framfield Church of England Primary School,http://www.framfieldcep.e-sussex.sch.uk,Uckfield,TN22 5NR,South East,no
114505,845,East Sussex,Frant Church of England Primary School,http://www.frantcep.e-sussex.sch.uk,Tunbridge Wells,TN3 9DX,South East,no
139796,845,East Sussex,Gildredge House,www.gildredgehouse.org.uk,Eastbourne,BN20 8AB,South East,no
138392,845,East Sussex,Glenleigh Park Primary Academy,https://www.glenleighparkprimaryacademy.org/,Bexhill-on-Sea,TN39 4ED,South East,no
139521,845,East Sussex,Glyne Gap School,http://www.glynegap.org,Bexhill-on-Sea,TN40 2PU,South East,no
114559,845,East Sussex,Groombridge St Thomas' Church of England Primary School,http://www.groombridgest-thomas.e-sussex.sch.uk,Tunbridge Wells,TN3 9SF,South East,no
114688,845,East Sussex,Grove Park School,www.grove-park.e-sussex.sch.uk,Crowborough,TN6 1BN,South East,no
114393,845,East Sussex,Grovelands Community Primary School,www.grovelands-school.co.uk/,Hailsham,BN27 3UW,South East,no
114551,845,East Sussex,Guestling Bradshaw Church of England Primary School,www.guestling.e-sussex.sch.uk/,Hastings,TN35 4LS,South East,no
138472,845,East Sussex,Hailsham Community College,http://www.hccat.net,Hailsham,BN27 1DT,South East,no
114394,845,East Sussex,Hamsey Community Primary School,www.hamsey.e-sussex.sch.uk/,Lewes,BN8 4SJ,South East,no
114395,845,East Sussex,Hankham Primary School,www.hankhamschool.co.uk/,Pevensey,BN24 5AY,South East,no
114441,845,East Sussex,Harbour Primary and Nursery School,http://www.harbourprimary.co.uk,Newhaven,BN9 9LX,South East,no
143119,845,East Sussex,Hawkes Farm Academy,https://hawkesfarmacademy.org/,Hailsham,BN27 1ND,South East,no
145254,845,East Sussex,Hazel Court School,http://www.thesouthfieldtrust.com,Eastbourne,BN23 8EJ,South East,no
114587,845,East Sussex,Heathfield Community College,http://www.heathfieldcc.co.uk,Heathfield,TN21 8RJ,South East,no
114396,845,East Sussex,Hellingly Community Primary School,www.hellingly.e-sussex.sch.uk/,Hailsham,BN27 4DS,South East,no
138390,845,East Sussex,Heron Park Primary Academy,www.heronparkprimaryacademy.org/,Eastbourne,BN22 9EE,South East,no
140385,845,East Sussex,High Cliff Academy,https://highcliffacademy.org/,Newhaven,BN9 9FD,South East,no
150267,845,East Sussex,Hollington Primary School,www.hps.e-sussex.sch.uk,St. Leonards-on-Sea,TN38 9DS,South East,no
148741,845,East Sussex,Hurst Green Church of England Primary School and Nursery,www.hurstgreen.e-sussex.sch.uk/,Etchingham,TN19 7PN,South East,no
114527,845,East Sussex,Icklesham Church of England Primary School and Nursery,http://www.ickleshamcp.e-sussex.sch.uk,Winchelsea,TN36 4BX,South East,no
144302,845,East Sussex,Jarvis Brook Primary School,,Crowborough,TN6 3RG,South East,no
138400,845,East Sussex,King Offa Primary Academy,http://www.kingoffaprimaryacademy.org/,Bexhill-on-Sea,TN39 4HS,South East,no
144505,845,East Sussex,King's Academy Ringmer,www.kgaringmer.uk,Lewes,BN8 5RB,South East,no
146231,845,East Sussex,Langney Primary Academy,www.langneyprimary.co.uk,Eastbourne,BN23 7EA,South East,no
149894,845,East Sussex,Little Common School,http://www.littlecommon.e-sussex.sch.uk,Bexhill-on-Sea,TN39 4SQ,South East,no
114557,845,East Sussex,Little Horsted Church of England Primary School,http://www.littlehorsted.e-sussex.sch.uk,Uckfield,TN22 5TS,South East,no
114437,845,East Sussex,Manor Primary School,http://www.manor.e-sussex.sch.uk,Uckfield,TN22 1UB,South East,no
114558,845,East Sussex,Mark Cross Church of England Aided Primary School,https://thewealdfederation.org/markcross/,Crowborough,TN6 3PJ,South East,no
114512,845,East Sussex,Mayfield Church of England Primary School,www.mayfieldcep.e-sussex.sch.uk,Mayfield,TN20 6TA,South East,no
114407,845,East Sussex,Maynards Green Community Primary School,https://maynardsgreenschool.co.uk/,Heathfield,TN21 0DD,South East,no
114475,845,East Sussex,Meridian Community Primary School and Nursery,http://www.meridianschool.co.uk,Peacehaven,BN10 8BZ,South East,no
114460,845,East Sussex,Motcombe Infants' School,http://www.motcombe.e-sussex.sch.uk,Eastbourne,BN21 1SN,South East,no
142151,845,East Sussex,New Horizons School (Part of the Sabden Multi Academy Trust),www.sabden.org.uk,St Leonards-on-Sea,TN38 9JU,South East,no
150391,845,East Sussex,Newick Church of England Primary School,www.newickschool.co.uk,Lewes,BN8 4NB,South East,no
149576,845,East Sussex,Ninfield Church of England Primary School,www.ninfieldceschool.org.uk,Battle,TN33 9JW,South East,no
148742,845,East Sussex,Northiam Church of England Primary School and Nursery,http://www.northiamcep.e-sussex.sch.uk,Rye,TN31 6NB,South East,no
138391,845,East Sussex,Oakwood Primary Academy,http://www.oakwoodprimaryacademy.org,Eastbourne,BN22 0SS,South East,no
144954,845,East Sussex,Ocklynge Junior School,http://www.ocklynge.co.uk/index.html,Eastbourne,BN20 8XN,South East,no
139683,845,East Sussex,Ore Village Primary Academy,https://sites.google.com/tkat.org/ore-village-primary-academy/home,Hastings,TN35 5DB,South East,no
114408,845,East Sussex,Park Mead Primary School,https://pioneerfederation.co.uk/parkmead/,Hailsham,BN27 3QP,South East,no
144659,845,East Sussex,Parkland Infant School,www.theparklandfederation.org,Eastbourne,BN22 9QJ,South East,no
144660,845,East Sussex,Parkland Junior School,www.theparklandfederation.org,Eastbourne,BN22 9QJ,South East,no
114482,845,East Sussex,Parkside Community Primary School,http://www.parksideprimary.org,Heathfield,TN21 8QQ,South East,no
114461,845,East Sussex,Pashley Down Infant School,www.pashley.e-sussex.sch.uk,Eastbourne,BN20 8NX,South East,no
144661,845,East Sussex,Peacehaven Community School,http://www.phcs.org.uk/,Peacehaven,BN10 8RB,South East,no
148961,845,East Sussex,Peacehaven Heights Academy,www.peacehavenheightsacademy.org,Peacehaven,BN10 7QY,South East,no
140411,845,East Sussex,Pebsham Primary Academy,www.pebsham-tkat.org,Bexhill-on-Sea,TN40 2PU,South East,no
145016,845,East Sussex,Phoenix Academy,https://phoenixstepacademy.org/,Hailsham,BN27 2PH,South East,no
114410,845,East Sussex,Plumpton Primary School,http://www.plumpton.e-sussex.sch.uk/,Lewes,BN7 3EB,South East,no
114435,845,East Sussex,Polegate Primary School,www.polegateschool.co.uk/,Polegate,BN26 6PT,South East,no
114598,845,East Sussex,Priory School,http://www.priory.e-sussex.sch.uk/,Lewes,BN7 2XN,South East,no
114414,845,East Sussex,Punnetts Town Community Primary and Nursery School,http://www.punnettstown.e-sussex.sch.uk,Heathfield,TN21 9DE,South East,no
138474,845,East Sussex,Ratton School,http://www.ratton.e-sussex.sch.uk/,Eastbourne,BN21 2XR,South East,no
151270,845,East Sussex,Ringmer Primary and Nursery School,www.ringmerprimary.school,Lewes,BN8 5LL,South East,no
151564,845,East Sussex,Robertsbridge Community College,,Robertsbridge,TN32 5EA,South East,no
141263,845,East Sussex,Robsack Wood Primary Academy,http://www.robsackwoodprimaryacademy.org.uk/,St Leonards-on-Sea,TN38 9TE,South East,no
114471,845,East Sussex,Rocks Park Primary School,http://www.rockspark.e-sussex.sch.uk/,Uckfield,TN22 2AY,South East,no
148707,845,East Sussex,Roselands Infants' School,https://roselands.cet.uk,Eastbourne,BN22 8PD,South East,no
114416,845,East Sussex,Rotherfield Primary School,http://www.rotherfieldprimary.org.uk/,Crowborough,TN6 3NA,South East,no
146825,845,East Sussex,Rye College,www.ryecollege.co.uk,Rye,TN31 7NQ,South East,no
146826,845,East Sussex,Rye Community Primary School,www.ryeprimary.co.uk,Rye,TN31 7ND,South East,no
114575,845,East Sussex,"Sacred Heart Catholic Primary School, Hastings",http://www.sacredhearthastings.co.uk,Hastings,TN35 5NA,South East,no
114447,845,East Sussex,Sandown Primary School and Nursery,www.sandown.school,Hastings,TN34 2AA,South East,no
141475,845,East Sussex,Saxon Mount School,https://www.tasmat.org/,St Leonards-on-Sea,TN38 8HH,South East,no
138473,845,East Sussex,Seaford Head School,http://www.seafordhead.org,Seaford,BN25 4LX,South East,no
114419,845,East Sussex,Seaford Primary School,http://www.seafordprimary.co.uk,Seaford,BN25 2JF,South East,no
140679,845,East Sussex,Seahaven Academy,http://www.seahavenacademy.org.uk/,Newhaven,BN9 9TD,South East,no
147996,845,East Sussex,Sedlescombe Church of England Primary School,http://www.sedlescombe.school,BATTLE,TN33 0RQ,South East,no
144662,845,East Sussex,Shinewater Primary School,http://www.shinewaterprimary.co.uk,Eastbourne,BN23 8ED,South East,no
142611,845,East Sussex,Sir Henry Fermor Church of England Primary School,www.fermorschool.org.uk,Crowborough,TN6 2SD,South East,no
114510,845,East Sussex,Southover CofE Primary School,https://www.southoverceprimary.co.uk/,Lewes,BN7 1JP,South East,no
149965,845,East Sussex,St Andrew's Church of England Infants School,http://www.st-andrews-inf.e-sussex.sch.uk,Eastbourne,BN22 7PP,South East,no
143035,845,East Sussex,St Catherine's College,http://www.stcatherines.college,Eastbourne,BN23 7BL,South East,no
114549,845,East Sussex,St John's Church of England Primary School,www.stjohnsprimary.org/,Crowborough,TN6 1SD,South East,no
147712,845,East Sussex,St John's Meads Church of England Primary School,www.sjm.academy,Eastbourne,BN20 7XS,South East,no
141868,845,East Sussex,St Leonards Church of England Primary Academy,www.stlens.org,St Leonards-on-Sea,TN38 0NX,South East,no
114552,845,East Sussex,St Mark's Church of England Primary School,https://st-marks-hadlowdown.co.uk/,Uckfield,TN22 4HY,South East,no
114565,845,East Sussex,St Mary Magdalene Catholic Primary School,www.stmarymags.co.uk,Bexhill-on-Sea,TN40 2ND,South East,no
114574,845,East Sussex,St Mary Star of the Sea Catholic Primary School,http://www.st-mary-star.e-sussex.sch.uk/,St Leonards-on-Sea,TN37 6EU,South East,no
114553,845,East Sussex,St Mary the Virgin Church of England Primary School,https://pioneerfederation.co.uk/stmarys/,Hartfield,TN7 4AA,South East,no
142163,845,East Sussex,St Mary's School,http://www.sabden.org.uk,Heathfield,TN21 0BT,South East,no
114566,845,East Sussex,St Marys Catholic Primary School,http://www.stmarysrc.e-sussex.sch.uk,Crowborough,TN6 2LB,South East,no
114520,845,East Sussex,St Michael's Church of England Primary School,http://www.playdenschool.com,Playden Rye,TN31 7PJ,South East,no
114423,845,East Sussex,St Michael's Primary School,http://www.st-michaels.e-sussex.sch.uk,Hartfield,TN7 4BP,South East,no
143034,845,East Sussex,St Paul's Church of England Academy,www.stpaulsceacademy.org,St Leonards-on-Sea,TN37 6RT,South East,no
114564,845,East Sussex,St Peter and St Paul CofE Primary School,www.stpeterandstpaulprimary.co.uk,Bexhill-on-Sea,TN40 1QE,South East,no
114569,845,East Sussex,St Philip's Catholic Primary School,http://www.stphilips.e-sussex.sch.uk,Uckfield,TN22 5DJ,South East,no
114612,845,East Sussex,St Richard's Catholic College,http://www.strichardscc.com,Bexhill-on-Sea,TN40 1SE,South East,no
114577,845,East Sussex,St Thomas A Becket Catholic Primary School,www.stthomasbecketcatholicschool.co.uk,Eastbourne,BN22 8XT,South East,no
114563,845,East Sussex,St Thomas' Church of England Aided Primary School,www.st-thomas-winchelsea.e-sussex.sch.uk/,Winchelsea,TN36 4ED,South East,no
148724,845,East Sussex,Stafford Junior School,https://stafford.cet.uk,Eastbourne,BN22 8UA,South East,no
114484,845,East Sussex,Stone Cross School,www.stonecrossschool.co.uk,Pevensey,BN24 5EF,South East,no
114523,845,East Sussex,Stonegate Church of England Primary School,www.stonegate.e-sussex.sch.uk/,Wadhurst,TN5 7EN,South East,no
149138,845,East Sussex,Summerdown School,www.thesouthfieldtrust.com,Eastbourne,BN22 9PZ,South East,no
148927,845,East Sussex,Telscombe Cliffs Academy,www.telscombecliffsacademy.org,Peacehaven,BN10 7DE,South East,no
