urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
114555,846,Brighton and Hove,Aldrington CofE Primary School,http://www.aldrington.org,Hove,BN3 7QD,South East,no
114382,846,Brighton and Hove,Balfour Primary School,www.balfourprimary.co.uk/,Brighton,BN1 6NE,South East,no
151063,846,Brighton and Hove,Benfield Primary School,www.benfield.brighton-hove.dbprimary.com/,Brighton,BN41 1XS,South East,no
114485,846,Brighton and Hove,Bevendean Primary School and Nursery,https://www.bevendeanprimaryschoolandnursery.co.uk/,Brighton,BN2 4JP,South East,no
138261,846,Brighton and Hove,Bilingual Primary School - Brighton & Hove,www.bilingualprimaryschool.org.uk,Brighton and Hove,BN3 7QA,South East,no
114606,846,Brighton and Hove,Blatchington Mill School,http://www.blatchingtonmill.org.uk/,Hove,BN3 7BW,South East,no
114413,846,Brighton and Hove,Brackenbury Primary School,www.brackenburyprimary.co.uk/,Brighton,BN41 2LA,South East,no
136164,846,Brighton and Hove,Brighton Aldridge Community Academy,https://www.baca-uk.org.uk,Brighton,BN1 9PW,South East,no
114446,846,Brighton and Hove,Brunswick Primary School,http://www.brunswick.brighton-hove.sch.uk,Hove,BN3 1RP,South East,no
131789,846,Brighton and Hove,Carden Nursery and Primary School,www.carden.brighton-hove.sch.uk,Brighton,BN1 8LU,South East,no
114611,846,Brighton and Hove,Cardinal Newman Catholic School,http://www.cncs.co.uk/,Hove,BN3 6ND,South East,no
114381,846,Brighton and Hove,Carlton Hill Primary School,www.carltonhill.brighton-hove.sch.uk,BRIGHTON,BN2 9HS,South East,no
138565,846,Brighton and Hove,Central Hub Brighton,www.chb.org.uk,Brighton,BN1 7FP,South East,no
139677,846,Brighton and Hove,City Academy Whitehawk,www.caw.brighton-hove.sch.uk,Brighton,BN2 5FL,South East,no
114384,846,Brighton and Hove,Coldean Primary School,www.coldean.brighton-hove.sch.uk/,Brighton,BN1 9EN,South East,no
114365,846,Brighton and Hove,Coombe Road Primary School,https://www.coomberoad.brighton-hove.sch.uk/,Brighton,BN2 4BP,South East,no
114567,846,Brighton and Hove,Cottesmore St Mary's Catholic Primary School,www.cottesmore.brighton-hove.sch.uk/,Hove,BN3 6NB,South East,no
114580,846,Brighton and Hove,Dorothy Stringer School,https://dorothy-stringer.co.uk/,Brighton,BN1 6PZ,South East,no
114367,846,Brighton and Hove,Downs Infant School,https://www.downsinf.brighton-hove.sch.uk/,Brighton,BN1 6JA,South East,no
114366,846,Brighton and Hove,Downs Junior School,www.downsjunior.brighton-hove.dbprimary.com/,Brighton,BN1 6ED,South East,no
114680,846,Brighton and Hove,Downs View Special School,http://www.downsview.brighton-hove.sch.uk/,Brighton,BN2 6BB,South East,no
114477,846,Brighton and Hove,Elm Grove Primary School,https://www.elmgrove.brighton-hove.sch.uk/,Brighton,BN2 3ES,South East,no
114487,846,Brighton and Hove,Fairlight Primary School,http://www.fairlight.brighton-hove.sch.uk/,Brighton,BN2 3AJ,South East,no
