urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
116482,850,Hampshire,Abbotswood Junior School,http://www.abbotswood.hants.sch.uk/,Southampton,SO40 8EB,South East,no
116266,850,Hampshire,Abbotts Ann Church of England Primary School,http://www.abbottsann.hants.sch.uk,Andover,SP11 7FE,South East,no
116358,850,Hampshire,All Saints Church of England Aided Junior School,www.allsaintsfleet.co.uk/,Fleet,GU51 5AJ,South East,no
115850,850,Hampshire,Alton Infant School,www.alton-inf.hants.sch.uk,Alton,GU34 1DH,South East,no
116174,850,Hampshire,Alver Valley Infant and Nursery School,http://www.alvervalleyschools.co.uk,Gosport,PO13 8AA,South East,no
116172,850,Hampshire,Alver Valley Junior School,http://www.alvervalleyschools.co.uk,Gosport,PO13 8AA,South East,no
116392,850,Hampshire,Alverstoke Church of England Aided Junior School,www.alverstoke-jun.hants.sch.uk,Gosport,PO12 2JS,South East,no
116169,850,Hampshire,Alverstoke Community Infant School,www.alverstokeinfant.co.uk,Gosport,PO12 2LH,South East,no
137535,850,Hampshire,Amery Hill School,http://www.ameryhill.hants.sch.uk/,Alton,GU34 2BZ,South East,no
116348,850,Hampshire,Amport Church of England Primary School,www.amport.hants.sch.uk/,Andover,SP11 8BA,South East,no
116360,850,Hampshire,Andrews' Endowed Church of England Primary School,www.andrewsendowed.co.uk/,Alton,GU34 4EL,South East,no
115851,850,Hampshire,Anstey Junior School,www.anstey-jun.hants.sch.uk/,Alton,GU34 2DR,South East,no
115973,850,Hampshire,Anton Infant School,http://www.antoninfantschool.com/,Andover,SP10 2HF,South East,no
115854,850,Hampshire,Anton Junior School,www.antonjuniorschool.com,Andover,SP10 2HA,South East,no
116504,850,Hampshire,Applemore College,http://www.applemore.hants.sch.uk/,Southampton,SO45 4RQ,South East,no
116349,850,Hampshire,Appleshaw St Peter's CofE Primary School,http://www.skylarkfederation.com,Andover,SP11 9HR,South East,no
149425,850,Hampshire,Ashford Hill Primary School,www.ashfordhillprimary.co.uk,Thatcham,RG19 8BB,South East,no
115855,850,Hampshire,Ashley Infant School,http://www.ashley-inf.hants.sch.uk/,New Milton,BH25 5AA,South East,no
116488,850,Hampshire,Ashley Junior School,www.ashleyjuniorschool.co.uk,New Milton,BH25 5FN,South East,no
148213,850,Hampshire,Awbridge Primary School,www.awbridge.hants.sch.uk,Romsey,SO51 0HL,South East,no
116063,850,Hampshire,Balksbury Infant School,http://www.balksburyfederation.co.uk,Andover,SP10 3QP,South East,no
115852,850,Hampshire,Balksbury Junior School,www.balksburyfederation.co.uk,Andover,SP10 3QP,South East,no
136078,850,Hampshire,Barncroft Primary School,www.barncroftprimary.co.uk,Havant,PO9 3HN,South East,no
147836,850,Hampshire,Barton Farm Primary Academy,https://bartonfarmacademy.co.uk/,Winchester,SO22 6HS,South East,no
116617,850,Hampshire,Baycroft School,www.baycroftschool.com,Fareham,PO14 2AE,South East,no
115861,850,Hampshire,Beaulieu Village Primary School,http://www.beaulieuschool.org.uk,Brockenhurst,SO42 7YD,South East,no
131117,850,Hampshire,Bedenham Primary School,https://www.bedenhamandholbrookfederation.co.uk/,Gosport,PO13 0XT,South East,no
140211,850,Hampshire,Berewood Primary School,www.berewoodprimary.co.uk,Waterlooville,PO7 3BE,South East,no
116053,850,Hampshire,Bidbury Junior School,www.bidburyjuniorschool.co.uk,Havant,PO9 3EF,South East,no
116271,850,Hampshire,Binsted Church of England Primary School,www.binsted.hants.sch.uk/,Alton,GU34 4NX,South East,no
116478,850,Hampshire,Bishop Challoner Catholic Secondary School,http://www.bcs.hants.sch.uk/,Basingstoke,RG22 6SR,South East,no
116006,850,Hampshire,Bishop's Waltham Junior School,http://www.bwjunior.hants.sch.uk,Southampton,SO32 1EP,South East,no
115863,850,Hampshire,Bishops Waltham Infant School,www.bwis.org.uk,Southampton,SO32 1EP,South East,no
116035,850,Hampshire,Bishopswood Infant School,www.bishopswood-inf.hants.sch.uk,Tadley,RG26 3NA,South East,no
116013,850,Hampshire,Bishopswood Junior School,www.bishopswood-inf.hants.sch.uk/,Tadley,RG26 3NA,South East,no
141474,850,Hampshire,Blackfield Primary and Nursery School,https://bps.ilpartnership.org/,Southampton,SO45 1XA,South East,no
