urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
140697,851,Portsmouth,Admiral Lord Nelson School,http://www.alns.co.uk/,Portsmouth,PO3 5XT,South East,no
139713,851,Portsmouth,Ark Ayrton Primary Academy,www.arkayrtonprimary.org/,Portsmouth,PO5 4LS,South East,no
141020,851,Portsmouth,Ark Dickens Primary Academy,www.arkdickensprimary.org/,Portsmouth,PO1 4PN,South East,no
144194,851,Portsmouth,Arundel Court Primary Academy and Nursery,http://arundelcourt.com/,Portsmouth,PO1 1FG,South East,no
139065,851,Portsmouth,Beacon View Primary Academy,www.beaconviewprimary.co.uk,Portsmouth,PO6 3PS,South East,no
116182,851,Portsmouth,Bramble Infant School and Nursery,www.bramble.portsmouth.sch.uk/,Southsea,PO4 0DT,South East,no
145372,851,Portsmouth,Castle View Academy,https://www.castleviewacademy.org.uk/,Portsmouth,PO6 4QP,South East,no
139967,851,Portsmouth,Cliffdale Primary Academy,www.cliffdaleprimaryacademy.info,Portsmouth,PO2 0SN,South East,no
141096,851,Portsmouth,Copnor Primary School,http://copnorprimary.co.uk/,Portsmouth,PO3 5BZ,South East,no
148528,851,Portsmouth,Corpus Christi Catholic Primary School,https://www.corpuschristi.portsmouth.sch.uk,Portsmouth,PO2 9AX,South East,no
148709,851,Portsmouth,Cottage Grove Primary School and Nursery,www.cottagegrove.co.uk/,Southsea,PO5 1HG,South East,no
143315,851,Portsmouth,Court Lane Infant Academy,http://www.courtlaneinfant.co.uk,Portsmouth,PO6 2PP,South East,no
143316,851,Portsmouth,Court Lane Junior Academy,www.courtlanejunior.co.uk,Portsmouth,PO6 2PP,South East,no
116223,851,Portsmouth,Craneswater Junior School,www.craneswater.portsmouth.sch.uk/,Southsea,PO4 0PX,South East,no
116192,851,Portsmouth,Cumberland Infant School,www.cumberland.portsmouth.sch.uk,Southsea,PO4 9HJ,South East,no
116187,851,Portsmouth,Devonshire Infant School,http://www.devonshire.portsmouth.sch.uk,Southsea,PO4 0AG,South East,no
116221,851,Portsmouth,Fernhurst Junior School,www.fernhurst.portsmouth.sch.uk/,Southsea,PO4 0AG,South East,no
141728,851,Portsmouth,Gatcombe Park Primary School,www.gatcombeparkprisch.co.uk/,Portsmouth,PO2 0UR,South East,no
144191,851,Portsmouth,Highbury Primary School,http://www.highburyprimary.org,Portsmouth,PO6 2RZ,South East,no
145452,851,Portsmouth,King's Academy College Park (Infant),https://www.kgacollegepark.uk,Portsmouth,PO2 0NT,South East,no
144506,851,Portsmouth,King's Academy College Park (Junior),www.kgacollegepark.uk,Portsmouth,PO2 0NT,South East,no
145451,851,Portsmouth,King's Academy Northern Parade (Infant),www.npschools.co.uk,Portsmouth,PO2 9NJ,South East,no
145450,851,Portsmouth,King's Academy Northern Parade (Junior),www.npschools.co.uk/,Portsmouth,PO2 9NE,South East,no
144846,851,Portsmouth,Langstone Primary Academy,www.moodle.langstone-jun.portsmouth.sch.uk/,Portsmouth,PO3 6EZ,South East,no
116226,851,Portsmouth,Manor Infant and Nursery School,www.manorinfantschool.co.uk,Portsmouth,PO1 5QR,South East,no
140325,851,Portsmouth,Mary Rose Academy,,Portsmouth,PO4 8GT,South East,no
150362,851,Portsmouth,Mayfield School,www.mayfield.portsmouth.sch.uk,Portsmouth,PO2 0RH,South East,no
116195,851,Portsmouth,Medina Primary School,www.medinaprimary.co.uk/,Portsmouth,PO6 3NH,South East,no
146135,851,Portsmouth,Meon Infant School,www.meonwayfederation.org.uk,Southsea,PO4 8NT,South East,no
144581,851,Portsmouth,Meon Junior School,www.meonwayfederation.org.uk,Portsmouth,PO4 8NT,South East,no
148755,851,Portsmouth,Milton Park Primary School,www.miltonparkprimaryschool.co.uk/,Portsmouth,PO4 8ET,South East,no
140605,851,Portsmouth,Miltoncross Academy,www.miltoncross-tkat.org,Portsmouth,PO3 6RB,South East,no
144582,851,Portsmouth,Moorings Way Infant School,www.meonwayfederation.org.uk,Southsea,PO4 8YJ,South East,no
141530,851,Portsmouth,New Horizons Primary School,www.newhorizonsprimaryschool.org.uk,Portsmouth,PO2 7JB,South East,no
145659,851,Portsmouth,Penbridge Infant School & Nursery,https://penbridgeschool.org.uk,Portsmouth,PO1 5BG,South East,no
141531,851,Portsmouth,Penbridge Junior School,https://penbridgeschool.org.uk,Portsmouth,PO2 7RW,South East,no
141175,851,Portsmouth,Priory School,http://www.priorysouthsea.org,Southsea,PO4 0DL,South East,no
143828,851,Portsmouth,Redwood Park Academy,,Portsmouth,PO6 2RY,South East,no
144189,851,Portsmouth,Solent Infant School,https://solentinfant.thesolentschools.org/,Portsmouth,PO6 1DH,South East,no
144193,851,Portsmouth,Solent Junior School,https://solentjunior.thesolentschools.org/,Portsmouth,PO6 1HJ,South East,no
116200,851,Portsmouth,Southsea Infant School,www.southsea.portsmouth.sch.uk/,Southsea,PO5 2SR,South East,no
144192,851,Portsmouth,Springfield School,http://www.springfield.uk.net,Portsmouth,PO6 1QY,South East,no
116505,851,Portsmouth,St Edmund's Catholic School,http://www.saintedmunds.org.uk,Portsmouth,PO1 1RX,South East,no
116346,851,Portsmouth,St George's Beneficial Church of England (Voluntary Controlled) Primary School,www.stgbs.co.uk,Portsmouth,PO1 3BN,South East,no
116385,851,Portsmouth,St John's Cathedral Catholic Primary School,www.stjohnscathedralschool.org.uk/,Portsmouth,PO1 1PX,South East,no
116487,851,Portsmouth,St Paul's Catholic Primary School,,Portsmouth,PO6 4JD,South East,no
116386,851,Portsmouth,St Swithun's Catholic Primary School,www.sscps.co.uk,Southsea,PO5 2RG,South East,no
146888,851,Portsmouth,Stamshaw Infant Academy,www.stamshawinfant.co.uk,Portsmouth,PO2 8NW,South East,no
147176,851,Portsmouth,Stamshaw Junior School,www.stamshawjun.org.uk,Portsmouth,PO2 8QH,South East,no
140719,851,Portsmouth,The Flying Bull Academy,www.fbacademy.co.uk/,Portsmouth,PO2 7BJ,South East,no
147720,851,Portsmouth,The Harbour School,www.theharbourschoolportsmouth.com,Portsmouth,PO2 8RA,South East,no
139714,851,Portsmouth,The Portsmouth Academy,https://www.theportsmouthacademy.org.uk/,Portsmouth,PO1 5PF,South East,no
139712,851,Portsmouth,The Victory Primary School,www.thevictoryprimary.co.uk/,Portsmouth,PO6 4QP,South East,no
149336,851,Portsmouth,The Wymering School,https://thewymeringschool.com/,Portsmouth,PO6 3YB,South East,no
