urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
131839,852,Southampton,Bassett Green Primary School,www.bassettgreen.net/,Southampton,SO16 3BZ,South East,no
140263,852,Southampton,Beechwood Junior School,www.beechwoodjuniorschool.co.uk/,Southampton,SO18 4EG,South East,no
116458,852,Southampton,Bitterne Park School,http://www.bitterneparkschool.org.uk/,Southampton,SO18 1BU,South East,no
116469,852,Southampton,Cantell School,http://www.cantell.co.uk/,Southampton,SO16 3GJ,South East,no
133675,852,Southampton,Compass School,www.compass-school.net,Southampton,SO16 9FQ,South East,no
116251,852,Southampton,Fairisle Infant and Nursery School,www.fairisle-inf.co.uk,Southampton,SO16 8BY,South East,no
151068,852,Southampton,Foundry Lane Primary School,http://www.foundrylaneprimary.co.uk,Southampton,SO15 3JT,South East,no
136641,852,Southampton,Freemantle Church of England Community Academy,http://www.freemantleacademy.com,Southampton,SO15 3BQ,South East,no
140516,852,Southampton,Glenfield Infant School,www.glenfieldschool.co.uk/,Southampton,SO18 4RN,South East,no
144205,852,Southampton,Great Oaks School,www.greatoaks.school,Southampton,SO16 7LT,South East,no
115831,852,Southampton,Hardmoor Nursery & Early Years Centre - Part of the Learning Federation Partnership of Schools,https://www.hardmoor.co.uk/,Southampton,SO16 3EP,South East,no
139747,852,Southampton,Harefield Primary School,www.harefieldprimaryschool.net,Southampton,SO18 5NZ,South East,no
116395,852,Southampton,Highfield Church of England Primary School,www.highfieldceprimaryschool.co.uk/,Southampton,SO17 1PX,South East,no
139947,852,Southampton,Hightown Primary School,www.hps.ilpartnership.org,Southampton,SO19 6AA,South East,no
138898,852,Southampton,Hollybrook Infant School,https://www.hollybrookschools.co.uk/,Southampton,SO16 6RN,South East,no
139632,852,Southampton,Hollybrook Junior School,https://www.hollybrookschools.co.uk/,Southampton,SO16 6RL,South East,no
116397,852,Southampton,Holy Family Catholic Primary School - Part of the Learning Federation Partnership of Schools,http://www.holyfamilylive.net,Southampton,SO16 9LP,South East,no
144751,852,Southampton,Hope Community School Southampton,www.hopecommunityschool.org,Southampton,SO14 1NF,South East,no
139619,852,Southampton,Kanes Hill Primary School,https://khps.ilpartnership.org/,Southampton,SO19 6FW,South East,no
138625,852,Southampton,Ludlow Infant Academy,www.ludlowlive.net,Southampton,SO19 2EU,South East,no
139027,852,Southampton,Ludlow Junior School,www.ludlow-junior.org.uk,Southampton,SO19 2DW,South East,no
116117,852,Southampton,Mansbridge Primary School,www.mansbridgepri.net,Southampton,SO18 2LX,South East,no
