urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
140696,855,Leicestershire,Ab Kettleby Primary School,www.abkettleby.org,Melton Mowbray,LE14 3JJ,East Midlands,no
143608,855,Leicestershire,Albert Village Primary School,www.albertvillage.leics.sch.uk,Swadlincote,DE11 8HA,East Midlands,no
145973,855,Leicestershire,All Saints Church of England Primary School,www.allsaintscofe.leics.sch.uk,Wigston,LE18 2AH,East Midlands,no
120123,855,Leicestershire,"All Saints Church of England Primary School, Coalville",,Coalville,LE67 3LB,East Midlands,no
144113,855,Leicestershire,"All Saints Church of England Primary School, Sapcote",www.allsaintssapcote.com,Leicester,LE9 4FB,East Midlands,no
146602,855,Leicestershire,Arnesby Church of England Primary School,https://arnesby.embracemat.org,Leicester,LE8 5WG,East Midlands,no
139340,855,Leicestershire,Asfordby Hill Primary School,www.asfordbyhill.leics.sch.uk,Melton Mowbray,LE14 3QX,East Midlands,no
148624,855,Leicestershire,Ashby Hastings Primary School,https://www.ashbyhastingsprimary.co.uk/,Ashby-De-La-Zouch,LE65 2AX,East Midlands,no
138804,855,Leicestershire,Ashby Hill Top Primary School,www.ashbyhilltop.leics.sch.uk,Ashby-de-la-Zouch,LE65 2NF,East Midlands,no
148549,855,Leicestershire,Ashby School,www.ashbyschool.org.uk,Ashby-De-La-Zouch,LE65 1DT,East Midlands,no
143251,855,Leicestershire,Ashby Willesley Primary School,www.ashbywillesley.org.uk,Ashby-de-la-Zouch,LE65 2QG,East Midlands,no
120352,855,Leicestershire,Ashmount School,http://www.ashmount.leics.sch.uk,Loughborough,LE11 4SQ,East Midlands,no
151128,855,Leicestershire,Badgerbrook Primary School,https://badgerbrook.org,Leicester,LE8 6ZW,East Midlands,no
140850,855,Leicestershire,Barlestone Church of England Primary School,www.barlestoneprimaryschool.co.uk,Nuneaton,CV13 0EP,East Midlands,no
140230,855,Leicestershire,Barrow Hall Orchard Church of England Primary School,www.hall-orchard.leics.sch.uk,Loughborough,LE12 8HP,East Midlands,no
138965,855,Leicestershire,Barwell Church of England Academy,www.barwellceacademy.co.uk,Leicester,LE9 8DS,East Midlands,no
119930,855,Leicestershire,Barwell Infant School,www.barwellinfantschool.co.uk/,Leicester,LE9 8HG,East Midlands,no
139737,855,Leicestershire,Battling Brook Primary School,http://www.bbrook.leics.sch.uk/,Hinckley,LE10 0EX,East Midlands,no
139005,855,Leicestershire,Beacon Academy,www.thebeaconacademy.org,Loughborough,LE11 2NF,East Midlands,no
139624,855,Leicestershire,Beauchamp College,http://www.beauchamp.org.uk,Leicester,LE2 5TP,East Midlands,no
119913,855,Leicestershire,Belvoirdale Community Primary School,www.belvoirdale.org,Coalville,LE67 3RD,East Midlands,no
149144,855,Leicestershire,Bishop Ellis Catholic Voluntary Academy,www.bishopellis.leics.sch.uk,Leicester,LE4 8GP,East Midlands,no
145488,855,Leicestershire,Blaby Stokes Church of England Primary School,www.blabystokes.co.uk,Leicester,LE8 4EG,East Midlands,no
119956,855,Leicestershire,Blaby Thistly Meadow Primary School,www.thistlymeadow.net/,Leicester,LE8 4FE,East Midlands,no
145084,855,Leicestershire,Blackfordby St Margaret's Church of England Primary School,www.blackfordbyschool.org/,Swadlincote,DE11 8AB,East Midlands,no
151155,855,Leicestershire,Booth Wood Academy,https://boothwoodacademy.co.uk,Loughborough,LE11 4PG,East Midlands,no
137969,855,Leicestershire,Bosworth Academy,http://www.bosworthacademy.org.uk,Leicester,LE9 9JL,East Midlands,no
138905,855,Leicestershire,Bottesford Church of England Primary School,https://bottesfordprimary.co.uk/,Nottingham,NG13 0BS,East Midlands,no
150787,855,Leicestershire,Bowman Academy,https://bowman-cit.co.uk/welcome/,Loughborough,LE12 9BN,East Midlands,no
141279,855,Leicestershire,Bringhurst Primary School,http://www.bringhurstprimary.co.uk,Market Harborough,LE16 8RH,East Midlands,no
138521,855,Leicestershire,Brockington College,www.brockington.leics.sch.uk,Leicester,LE19 4AQ,East Midlands,no
139739,855,Leicestershire,Brocks Hill Primary School,https://www.brockshill.org.uk,Leicester,LE2 5WP,East Midlands,no
145619,855,Leicestershire,Brookside Primary School,www.brookside.leics.sch.uk,Leicester,LE2 4FU,East Midlands,no
138323,855,Leicestershire,Brookvale Groby Learning Campus,http://www.brookvalegroby.com/,Leicester,LE6 0FP,East Midlands,no
138891,855,Leicestershire,Broom Leys School,http://www.broomleys.org.uk,Coalville,LE67 4DB,East Midlands,no
138805,855,Leicestershire,Broomfield Community Primary School,www.broomfield.bepschools.org,Leicester,LE7 3ZQ,East Midlands,no
140702,855,Leicestershire,Brownlow Primary School,www.brownlowprimary.org,Melton Mowbray,LE13 1QL,East Midlands,no
150511,855,Leicestershire,Buckminster Primary School,,Grantham,NG33 5RZ,East Midlands,no
119964,855,Leicestershire,Burbage Junior School,http://www.burbage-jun.leics.sch.uk/,Hinckley,LE10 2AD,East Midlands,no
119912,855,Leicestershire,Burton-on-the-Wolds Primary School,www.burton-on-the-wolds-school.org/,Loughborough,LE12 5TB,East Midlands,no
139845,855,Leicestershire,Captains Close Primary School,http://www.captains-close.leics.sch.uk,Melton Mowbray,LE14 3TU,East Midlands,no
138820,855,Leicestershire,Castle Donington College,http://www.cdcollege.uk,Derby,DE74 2LN,East Midlands,no
141874,855,Leicestershire,Charnwood College,http://www.charnwoodcollege.org/,Loughborough,LE11 4SQ,East Midlands,no
141222,855,Leicestershire,Christ Church & Saint Peter's Cofe Primary School,www.mountsorrelschool.org.uk,Loughborough,LE12 7JU,East Midlands,no
138930,855,Leicestershire,Church Hill Church of England Junior School,www.churchhill-jun.leics.sch.uk,Leicester,LE4 8DE,East Midlands,no
138929,855,Leicestershire,Church Hill Infant School,https://www.churchhillinfants.bepschools.org,Leicester,LE4 8DE,East Midlands,no
145203,855,Leicestershire,Church Langton Church of England Primary School,http://www.churchlangton.leics.sch.uk,Market Harborough,LE16 7SZ,East Midlands,no
144115,855,Leicestershire,Claybrooke Primary School,www.claybrooke.leics.sch.uk,Leicester,LE17 5AF,East Midlands,no
139366,855,Leicestershire,Cobden Primary School & Community Centre,https://www.cobden.bepschools.org/,Loughborough,LE11 1AF,East Midlands,no
138528,855,Leicestershire,Cosby Primary School,http://www.cosby.school,Leicester,LE9 1TE,East Midlands,no
120124,855,Leicestershire,Cossington Church of England Primary School,http://www.cossingtonschool.org,LEICESTER,LE7 4UU,East Midlands,no
147902,855,Leicestershire,Countesthorpe Academy,www.clcc.college,Countesthorpe,LE8 5PR,East Midlands,no
146621,855,Leicestershire,Croft Church of England Primary School,http://www.croftprimaryschool.co.uk,Leicester,LE9 3GJ,East Midlands,no
140317,855,Leicestershire,Croxton Kerrial Church of England Primary School,www.ckschool.leics.sch.uk,Grantham,NG32 1QR,East Midlands,no
