urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
147148,856,Leicester,Abbey Mead Primary Academy,www.abbey-tmet.uk,Leicester,LE4 5HH,East Midlands,no
138094,856,Leicester,Ash Field Academy,www.ashfield.leicester.sch.uk,Leicester,LE5 4PY,East Midlands,no
143679,856,Leicester,Avanti Fields School,https://avanti.org.uk/avantifields/,Leicester,LE5 0BX,East Midlands,no
131002,856,Leicester,Avenue Primary School,www.avenue.leicester.sch.uk/,Leicester,LE2 3EJ,East Midlands,no
143247,856,Leicester,Babington Academy,http://www.babington.leicester.sch.uk/,Leicester,LE4 0SZ,East Midlands,no
120050,856,Leicester,Barley Croft Primary School,www.barleycroft.leicester.sch.uk/,Leicester,LE4 0UT,East Midlands,no
147837,856,Leicester,Beauchamp City Sixth Form,https://www.beauchampcity.org.uk/,Leicester,LE1 6JL,East Midlands,no
120087,856,Leicester,Beaumont Lodge Primary School,www.beaumontlodgeprimary.co.uk,Leicester,LE4 1DT,East Midlands,no
148905,856,Leicester,Belgrave St Peter's CofE Primary School,www.belgraveceprimary.co.uk/,Leicester,LE4 5PG,East Midlands,no
143245,856,Leicester,Braunstone Community Primary School,http://braunstone.leicester.sch.uk/,Leicester,LE3 1QH,East Midlands,no
147410,856,Leicester,Braunstone Frith Primary Academy,www.braunstonefrith.org.uk/,Leicester,LE3 6NF,East Midlands,no
150905,856,Leicester,Bridge Junior School,www.bridge.leicester.sch.uk/,Leicester,LE5 3HH,East Midlands,no
148546,856,Leicester,Brook Mead Academy,https://www.brook-tmet.uk/,Leicester,LE3 5QS,East Midlands,no
150730,856,Leicester,Buswells Lodge Primary School,,Leicester,LE4 0PT,East Midlands,no
132211,856,Leicester,Caldecote Community Primary School,www.caldecote.leicester.sch.uk/,Leicester,LE3 1FF,East Midlands,no
147068,856,Leicester,Castle Mead Academy,https://www.castle-tmet.uk/,Leicester,LE3 5QT,East Midlands,no
149647,856,Leicester,Charnwood Primary School,www.charnwood.leicester.sch.uk/,Leicester,LE2 0HE,East Midlands,no
146158,856,Leicester,Christ the King Catholic Voluntary Academy,www.ctkleicester.co.uk,Leicester,LE3 6DF,East Midlands,no
120095,856,Leicester,Coleman Primary School,www.colemanprimary.co.uk/,Leicester,LE5 5FS,East Midlands,no
130927,856,Leicester,Dovelands Primary School,www.dovelands.leicester.sch.uk/,Leicester,LE3 0TJ,East Midlands,no
130371,856,Leicester,Ellesmere College,www.ellesmerecollege.org.uk,Leicester,LE3 2FD,East Midlands,no
132824,856,Leicester,Elmbrook School,www.pru.leicester.sch.uk,Leicester,LE5 1DT,East Midlands,no
146196,856,Leicester,"English Martyrs' Catholic School, A Voluntary Academy",http://www.englishmartyrs.org/,Leicester,LE4 0FJ,East Midlands,no
120005,856,Leicester,Evington Valley Primary School,www.evingtonvalley.leicester.sch.uk,Leicester,LE5 5LL,East Midlands,no
120069,856,Leicester,Eyres Monsell Primary School,www.eyresmonsell.leicester.sch.uk/,Leicester,LE2 9AH,East Midlands,no
141011,856,Leicester,Falcons Primary School,www.falconsprimary.org,Leicester,LE5 0TA,East Midlands,no
145357,856,Leicester,Forest Lodge Academy,www.forestlodge.leicester.sch.uk/,Leicester,LE3 6LH,East Midlands,no
148391,856,Leicester,Fosse Mead Primary Academy,www.fosse-tmet.uk,Leicester,LE3 5EA,East Midlands,no
147756,856,Leicester,Gateway Sixth Form College,www.gateway.ac.uk,Leicester,LE5 1GA,East Midlands,no
131513,856,Leicester,Glebelands Primary School,www.glebelands.leicester.sch.uk/,Leicester,LE4 2WF,East Midlands,no
120006,856,Leicester,Granby Primary School,http://www.granby.leicester.sch.uk,Leicester,LE2 8LP,East Midlands,no
146852,856,Leicester,Green Lane Infant School,http://greenlaneinfantschool.co.uk,Leicester,LE5 3GG,East Midlands,no
120071,856,Leicester,Hazel Community Primary School,www.hazel.leicester.sch.uk/,Leicester,LE2 7JN,East Midlands,no
143607,856,Leicester,Heatherbrook Primary Academy,www.heatherbrook.co.uk/,Leicester,LE4 1BE,East Midlands,no
146844,856,Leicester,Highfields Primary School,www.highfields-pri.leicester.sch.uk/,Leicester,LE2 0UU,East Midlands,no
146224,856,Leicester,"Holy Cross Catholic School, a Voluntary Academy",,Leicester,LE2 6TY,East Midlands,no
145970,856,Leicester,Hope Hamilton CofE Primary School,www.hopehamilton.leicester.sch.uk/,Leicester,LE5 1LU,East Midlands,no
142631,856,Leicester,Humberstone Infant Academy,,Leicester,LE5 1AE,East Midlands,no
139983,856,Leicester,Humberstone Junior School,www.humberstonejunioracademy.co.uk/,Leicester,LE5 1AE,East Midlands,no
120014,856,Leicester,Imperial Avenue Infant School,www.imperialavenue.leicester.sch.uk/,Leicester,LE3 1AH,East Midlands,no
150026,856,Leicester,Inglehurst Infant School,,Leicester,LE3 9FS,East Midlands,no
145558,856,Leicester,Judgemeadow Community College,,Leicester,LE5 6HP,East Midlands,no
147411,856,Leicester,Kestrel Mead Primary Academy,www.kestrel-tmet.uk,Leicester,LE5 1TG,East Midlands,no
148171,856,Leicester,Keyham Lodge School,https://www.keyhamlodgeschool.co.uk/,Leicester,LE5 1FG,East Midlands,no
142848,856,Leicester,Knighton Mead Primary Academy,www.knighton-tmet.uk,Leicester,LE2 6LG,East Midlands,no
136930,856,Leicester,Krishna Avanti Primary School,https://avanti.org.uk/kapsleicester/,Leicester,LE5 6HN,East Midlands,no
143857,856,Leicester,Lancaster Academy,,Leicester,LE2 6FU,East Midlands,no
131535,856,Leicester,Leicester Partnership School,www.lps.leicester.sch.uk,Leicester,LE2 3PR,East Midlands,no
138869,856,Leicester,Madani Boys School,https://madani.school,Leicester,LE5 5LL,East Midlands,no
129645,856,Leicester,Madani Girls' School,https://madani.school,Leicester,LE5 5LL,East Midlands,no
120077,856,Leicester,Marriott Primary School,www.marriott.leicester.sch.uk/,Leicester,LE2 6NE,East Midlands,no
143244,856,Leicester,Merrydale Junior School,www.merrydalejuniors.com,Leicester,LE5 0PL,East Midlands,no
148165,856,Leicester,Millgate School,www.millgateschool.co.uk,Leicester,LE2 6DW,East Midlands,no
141137,856,Leicester,Mowmacre Hill Primary School,www.mowmacrehill.org.uk/,Leicester,LE4 2NG,East Midlands,no
120361,856,Leicester,Nether Hall School,https://www.netherhall.leicester.sch.uk/,Leicester,LE5 1RT,East Midlands,no
131945,856,Leicester,New College Leicester,www.newcollege.leicester.sch.uk,Leicester,LE3 6DN,East Midlands,no
141221,856,Leicester,North Mead Primary Academy,www.north-tmet.uk,Leicester,LE4 9DL,East Midlands,no
130353,856,Leicester,Oaklands School,,Leicester,LE5 6GJ,East Midlands,no
144629,856,Leicester,Orchard Mead Academy,www.orchard-tmet.uk,Leicester,LE5 1RT,East Midlands,no
145617,856,Leicester,Overdale Infant School,www.overdale-inf.leicester.sch.uk/,Leicester,LE2 3YA,East Midlands,no
145618,856,Leicester,Overdale Junior School,www.overdale-jun.leicester.sch.uk/,Leicester,LE2 3YA,East Midlands,no
120088,856,Leicester,Parks Primary School,www.parksprimary.org/,Leicester,LE3 9NS,East Midlands,no
138553,856,Leicester,Queensmead Primary Academy,http://www.queensmeadacademy.org,Leicester,LE3 1PF,East Midlands,no
134305,856,Leicester,Rolleston Primary School,www.rolleston.leicester.sch.uk,Leicester,LE2 9PT,East Midlands,no
144107,856,Leicester,Rowlatts Mead Primary Academy,www.rowlatts-tmet.uk,Leicester,LE5 4ES,East Midlands,no
141916,856,Leicester,Rushey Mead Academy,www.rushey-tmet.uk,Leicester,LE4 7AN,East Midlands,no
120009,856,Leicester,Rushey Mead Primary School,www.rusheymead-pri.leicester.sch.uk/,Leicester,LE4 6RB,East Midlands,no
138081,856,Leicester,Sacred Heart Catholic Voluntary Academy,www.sacredheart.leicester.sch.uk,Leicester,LE5 3HH,East Midlands,no
146147,856,Leicester,Saint Patrick's Catholic Voluntary Academy,www.st-patricks.leicester.sch.uk,Leicester,LE4 6QN,East Midlands,no
120047,856,Leicester,Sandfield Close Primary School,www.sandfieldclose.leicester.sch.uk,Leicester,LE4 7RE,East Midlands,no
120086,856,Leicester,Scraptoft Valley Primary School,www.scraptoftvalley.leicester.sch.uk,Leicester,LE5 1NG,East Midlands,no
120026,856,Leicester,Shaftesbury Junior School,http://www.shaftesbury.leicester.sch.uk,Leicester,LE3 0QE,East Midlands,no
150884,856,Leicester,Shenton Primary School,www.shenton.leicester.sch.uk/,Leicester,LE5 3FP,East Midlands,no
146108,856,Leicester,Sir Jonathan North Girls' College,https://www.sirjonathannorth.org.uk,Leicester,LE2 6FU,East Midlands,no
120101,856,Leicester,Slater Primary School,www.slater.leicester.sch.uk,Leicester,LE3 5AS,East Midlands,no
148877,856,Leicester,Soar Valley College,http://www.soarvalley.aspirelp.uk,Leicester,LE4 7GY,East Midlands,no
146857,856,Leicester,Sparkenhoe Community Primary School,http://www.sparkenhoe.leicester.sch.uk/,Leicester,LE2 0TD,East Midlands,no
120084,856,Leicester,Spinney Hill Primary School,www.spinneyhill.leicester.sch.uk/,Leicester,LE5 5EZ,East Midlands,no
138115,856,Leicester,St Josephs Catholic Academy,http://www.st-josephs.leicester.sch.uk,Leicester,LE5 1HF,East Midlands,no
150622,856,Leicester,St Mary's Fields Academy,,410,LE3 2DH,East Midlands,no
146232,856,Leicester,"St Paul's Catholic School, a Voluntary Academy",http://www.st-pauls.leicester.sch.uk/,Leicester,LE5 6HN,East Midlands,no
138185,856,Leicester,St Thomas More Catholic Voluntary Academy,www.thomasmoreprimary.org.uk/,Leicester,LE2 3TA,East Midlands,no
120038,856,Leicester,Stokes Wood Primary School,www.stokeswood.leicester.sch.uk,Leicester,LE3 9BX,East Midlands,no
120363,856,Leicester,The Children's Hospital School,www.childrenshospitalschool.leicester.sch.uk,Leicester,LE1 5WW,East Midlands,no
148878,856,Leicester,The City of Leicester College,http://www.cityleicester.co.uk/,Leicester,LE5 6LN,East Midlands,no
142967,856,Leicester,Thurnby Mead Primary Academy,www.thurnby-tmet.uk,Leicester,LE5 2EG,East Midlands,no
144479,856,Leicester,"Tudor Grange Samworth Academy, A church of England School",https://www.samworth.tgacademy.org.uk/,Leicester,LE2 6UA,East Midlands,no
146853,856,Leicester,Uplands Infant School,www.uplandsinfant.org.uk,Leicester,LE2 0DR,East Midlands,no
142787,856,Leicester,Uplands Junior L.E.A.D. Academy,,Leicester,LE2 0DR,East Midlands,no
