urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
137358,857,Rutland,Brooke Hill Academy,www.brookehillacademy.co.uk,Oakham,LE15 6HQ,East Midlands,no
137340,857,Rutland,Casterton College Rutland,http://castertoncollege.com/,Stamford,PE9 4AT,East Midlands,no
136530,857,Rutland,Catmose College,http://www.catmosecollege.com,Oakham,LE15 6RP,East Midlands,no
138113,857,Rutland,Catmose Primary,http://www.catmoseprimary.com,Oakham,LE15 6SH,East Midlands,no
142401,857,Rutland,Cottesmore Academy,www.cottesmoreacademy.co.uk,Oakham,LE15 7BA,East Midlands,no
142544,857,Rutland,Edith Weston Academy,www.edithwestonprimary.co.uk,Oakham,LE15 8HQ,East Midlands,no
146425,857,Rutland,Empingham Church of England Primary School,www.empinghamprimaryschool.co.uk,Oakham,LE15 8PQ,East Midlands,no
139611,857,Rutland,English Martyrs' Catholic Voluntary Academy,www.englishmartyrs.rutland.sch.uk/,Oakham,LE15 6EH,East Midlands,no
144847,857,Rutland,Exton and Greetham CofE Primary School,www.extonschool.co.uk,Oakham,LE15 8AY,East Midlands,no
146397,857,Rutland,Great Casterton Church of England Primary School,www.greatcastertonprimaryschool.co.uk,Stamford,PE9 4AU,East Midlands,no
141965,857,Rutland,Harington School,,Oakham,LE15 6RP,East Midlands,no
141453,857,Rutland,Ketton Church of England Primary School,http://www.ketton-school.co.uk,Stamford,PE9 3TE,East Midlands,no
139858,857,Rutland,Langham CofE (Controlled) Primary School,www.langhamprimary.co.uk/,Oakham,LE15 7HY,East Midlands,no
139481,857,Rutland,Leighfield Primary School,www.leighfieldschool.co.uk/,Oakham,LE15 9TS,East Midlands,no
148948,857,Rutland,Oakham CofE Primary School,http://www.oakham-primary.rutland.sch.uk/,Oakham,LE15 6GY,East Midlands,no
141234,857,Rutland,Ryhall CofE Academy,www.ryhallceacademy.co.uk,Stamford,PE9 4HR,East Midlands,no
141452,857,Rutland,St Nicholas Church of England Primary School,http://www.stnicholasprimary.co.uk,Oakham,LE15 7DL,East Midlands,no
146428,857,Rutland,Uppingham Church of England Primary School,www.uppinghamprimary.co.uk,Oakham,LE15 9RT,East Midlands,no
136629,857,Rutland,Uppingham Community College,http://www.uppinghamcollege.org.uk/,Uppingham,LE15 9TJ,East Midlands,no
141454,857,Rutland,Whissendine Church of England Primary School,www.whissendineschool.com/,Oakham,LE15 7ET,East Midlands,no
120229,857,Rutland,St Mary and St John CofE VA Primary School,www.northluffenham.org,"Oakham, Rutland",LE15 8JR,East Midlands,yes
