urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
150923,860,Staffordshire,All Saints Church of England Primary School and Nursery,www.allsaintsranton.co.uk,Stafford,ST18 9JU,West Midlands,no
149689,860,Staffordshire,All Saints Church of England Primary and Nursery School,www.allsaints-alrewas.staffs.sch.uk/,Burton-on-Trent,DE13 7EF,West Midlands,no
146295,860,Staffordshire,All Saints CofE (C) Primary School,http://www.theforestfederation.co.uk/,Burton-on-Trent,DE13 9RW,West Midlands,no
145681,860,Staffordshire,All Saints CofE Academy Denstone,www.allsaints-denstone.staffs.sch.uk/,Uttoxeter,ST14 5HT,West Midlands,no
146612,860,Staffordshire,All Saints CofE First School,https://asf.ttlt.org.uk,Leek,ST13 5QY,West Midlands,no
147449,860,Staffordshire,"All Saints CofE Primary School, Bednall",https://www.allsaints-bednall.staffs.sch.uk/,Stafford,ST17 0SD,West Midlands,no
143959,860,Staffordshire,All Saints' CofE First School,http://www.allsaints.school/,Stoke-On-Trent,ST10 4SR,West Midlands,no
146807,860,Staffordshire,All Saints' CofE Primary School,www.allsaints-trysull.staffs.sch.uk/,Wolverhampton,WV5 7HR,West Midlands,no
140123,860,Staffordshire,Alleyne's Academy,http://www.alleynesacademy.co.uk,Stone,ST15 8DT,West Midlands,no
148720,860,Staffordshire,Alsagers Bank Primary Academy,www.alsagersbank.org.uk,Stoke-on-Trent,ST7 8BB,West Midlands,no
138982,860,Staffordshire,Anglesey Primary Academy,www.angleseyprimaryacademy.org,Burton-on-Trent,DE14 3LG,West Midlands,no
148540,860,Staffordshire,Anker Valley Primary Academy,https://www.ankervalley.org,Tamworth,B79 0FD,West Midlands,no
143483,860,Staffordshire,Ankermoor Primary Academy,www.ankermoor.org,Tamworth,B77 3NW,West Midlands,no
149841,860,Staffordshire,Anna Seward Primary,https://annaseward.atlp.org.uk/,Lichfield,WS14 0AL,West Midlands,no
146863,860,Staffordshire,Anson CofE Primary School,www.anson.staffs.sch.uk,Stafford,ST18 0SU,West Midlands,no
148235,860,Staffordshire,Bailey Street Alternative Provision Academy,baileystreet.manorhall.academy,Stafford,ST17 4BG,West Midlands,no
