urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
149990,861,Stoke-on-Trent,Abbey Hill Academy & College,www.abbeyhillschool.co.uk,Stoke-On-Trent,ST3 5PP,West Midlands,no
146487,861,Stoke-on-Trent,Abbey Hulton Primary School,www.abbeyhultonprimary.org.uk/,Stoke-on-Trent,ST2 8BS,West Midlands,no
143489,861,Stoke-on-Trent,Alexandra Infants' School,www.alexinfants.co.uk/,Stoke-on-Trent,ST3 4PZ,West Midlands,no
143485,861,Stoke-on-Trent,Alexandra Junior School,www.alexandra-jun.stoke.sch.uk/,Stoke-on-Trent,ST3 7JG,West Midlands,no
142990,861,Stoke-on-Trent,Ash Green Primary Academy,www.ashgreenprimary.co.uk/,Stoke-on-Trent,ST4 8BX,West Midlands,no
136549,861,Stoke-on-Trent,Belgrave St Bartholomew's Academy,www.belgraveacademy.org.uk/,Stoke-on-Trent,ST3 4TP,West Midlands,no
148220,861,Stoke-on-Trent,Birches Head Academy,http://www.bircheshead.org.uk,Stoke-on-Trent,ST2 8DD,West Midlands,no
124221,861,Stoke-on-Trent,Burnwood Community Primary School,www.burnwoodcommunityschool.co.uk,Stoke-on-Trent,ST6 7LP,West Midlands,no
139846,861,Stoke-on-Trent,Carmountside Primary Academy,www.carmountsideprimary.org.uk/,Stoke-on-Trent,ST2 8DJ,West Midlands,no
146155,861,Stoke-on-Trent,Christ Church CofE Primary Academy,http://www.christchurchfenton.co.uk,Stoke-on-Trent,ST4 2JG,West Midlands,no
145003,861,Stoke-on-Trent,City of Stoke-On-Trent Sixth Form College,https://www.stokesfc.ac.uk/,Stoke-on-Trent,ST4 2RU,West Midlands,no
148219,861,Stoke-on-Trent,Co-op Academy Clarice Cliff,claricecliff.coopacademies.co.uk,Stoke-on-Trent,ST4 3DP,West Midlands,no
150790,861,Stoke-on-Trent,Co-op Academy Florence MacWilliams,https://www.florencemacwilliams.coopacademies.co.uk/,Stoke-on-Trent,ST3 6AP,West Midlands,no
140280,861,Stoke-on-Trent,Co-op Academy Glebe,https://glebe.coopacademies.co.uk/,Stoke-on-Trent,ST4 3HZ,West Midlands,no
144696,861,Stoke-on-Trent,Co-op Academy Grove,https://www.grove.coopacademies.co.uk/,Stoke-on-Trent,ST1 2NL,West Midlands,no
143484,861,Stoke-on-Trent,Co-op Academy Hamilton,https://www.hamilton.coopacademies.co.uk/,Stoke-on-Trent,ST1 6NW,West Midlands,no
143486,861,Stoke-on-Trent,Co-op Academy Northwood,https://www.northwood.coopacademies.co.uk/,Stoke-on-Trent,ST1 6QA,West Midlands,no
136102,861,Stoke-on-Trent,Co-op Academy Stoke-On-Trent,stokeontrent.coopacademies.co.uk,Stoke-on-Trent,ST6 4LD,West Midlands,no
136681,861,Stoke-on-Trent,Discovery Academy,http://www.thediscoveryacademy.co.uk/,Stoke-on-Trent,ST2 0GA,West Midlands,no
138550,861,Stoke-on-Trent,Eaton Park Academy,www.eatonparkacademy.co.uk,Stoke-on-Trent,ST2 9PF,West Midlands,no
146464,861,Stoke-on-Trent,Etruscan Primary School,www.etruscan.stoke.sch.uk,Stoke-on-Trent,ST1 4BS,West Midlands,no
146459,861,Stoke-on-Trent,Forest Park Primary School,www.forestpark.org.uk,Stoke-on-Trent,ST1 5ED,West Midlands,no
142991,861,Stoke-on-Trent,Gladstone Primary Academy,http://www.gladstone.stoke.sch.uk,Stoke-on-Trent,ST3 5EW,West Midlands,no
142992,861,Stoke-on-Trent,Goldenhill Primary Academy,http://www.goldenhill.stoke.sch.uk,Stoke-on-Trent,ST6 4QE,West Midlands,no
143012,861,Stoke-on-Trent,Greenways Primary Academy,www.greenwaysprimaryacademy.org.uk,Stoke-on-Trent,ST9 9NY,West Midlands,no
150423,861,Stoke-on-Trent,Hanley St Luke's Church of England Academy,http://www.hanleystlukes.com,Stoke-on-Trent,ST1 3QH,West Midlands,no
138497,861,Stoke-on-Trent,Harpfield Primary Academy,www.harpfieldprimaryacademy.org.uk,Stoke-on-Trent,ST4 6AP,West Midlands,no
138549,861,Stoke-on-Trent,Haywood Academy,http://www.haywoodacademy.coop/,Stoke-on-Trent,ST6 7AB,West Midlands,no
150050,861,Stoke-on-Trent,Holden Lane Academy,www.holdenlane-pri.stoke.sch.uk/,Stoke-on-Trent,ST1 6JS,West Midlands,no
143487,861,Stoke-on-Trent,Jackfield Infant School,http://www.jackfield.stoke.sch.uk,Stoke-on-Trent,ST6 1ET,West Midlands,no
146497,861,Stoke-on-Trent,Kemball School,www.kemballschool.co.uk,Stoke-on-Trent,ST3 3JD,West Midlands,no
142640,861,Stoke-on-Trent,Kingsland CofE Academy,www.kingslandceacademy.co.uk/,Stoke-on-Trent,ST2 9AS,West Midlands,no
150771,861,Stoke-on-Trent,Manor Abbey School,https://manorabbey.uk/,Stoke-on-Trent,ST2 8LG,West Midlands,no
