urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
131969,865,Wiltshire,Abbeyfield School,http://www.abbeyfield.wilts.sch.uk/,Chippenham,SN15 3XB,South West,no
150254,865,Wiltshire,Alderbury and West Grimstead Church of England Primary School,http://www.alderbury.wilts.sch.uk,Salisbury,SP5 3BD,South West,no
146925,865,Wiltshire,All Cannings Church of England Primary School,www.allcannings.wilts.sch.uk,Devizes,SN10 3PG,South West,no
144704,865,Wiltshire,Aloeric Primary School,www.aloeric.wilts.sch.uk,Melksham,SN12 6HN,South West,no
148173,865,Wiltshire,Amesbury Archer Primary School,www.amesburyarcher.wilts.sch.uk,Amesbury,SP4 7XX,South West,no
149473,865,Wiltshire,Amesbury Church of England Voluntary Controlled Primary School,,Salisbury,SP4 7AX,South West,no
126297,865,Wiltshire,Ashton Keynes Church of England Primary School,http://www.akps.org.uk,Swindon,SN6 6NZ,South West,no
143005,865,Wiltshire,Avon Valley Academy,https://www.avonvalleyacademy.co.uk/,Salisbury,SP4 8HH,South West,no
150910,865,Wiltshire,Bellefield Primary and Nursery School,www.bellefield.wilts.sch.uk,Trowbridge,BA14 8TE,South West,no
146808,865,Wiltshire,Bemerton St John Church of England Primary,www.bemerton.com,Salisbury,SP2 9NW,South West,no
136500,865,Wiltshire,Bishop Wordsworth's Church of England Grammar School,http://www.bishopwordsworths.org.uk/,Salisbury,SP1 2ED,South West,no
146849,865,Wiltshire,Bishops Cannings Church of England Primary School,www.bishopscannings.wilts.sch.uk/,Devizes,SN10 2LD,South West,no
126291,865,Wiltshire,Bitham Brook Primary School,www.bithambrook.co.uk,Westbury,BA13 3UA,South West,no
146343,865,Wiltshire,Bowerhill Primary School,www.bowerhill.wilts.sch.uk,Melksham,SN12 6YH,South West,no
150801,865,Wiltshire,Box Church of England Primary School,www.box.wilts.sch.uk/,Corsham,SN13 8NF,South West,no
142316,865,Wiltshire,Bradon Forest School,http://www.bradonforest.org.uk/,Swindon,SN5 4AT,South West,no
150220,865,Wiltshire,Broad Chalke CofE Primary School,www.broadchalke.dsat.org.uk,Salisbury,SP5 5DS,South West,no
126305,865,Wiltshire,Broad Hinton Church of England Primary School,http://www.broadhintonschool.org,Swindon,SN4 9PQ,South West,no
143007,865,Wiltshire,Bulford St Leonard's C of E (VA) Primary School,www.bulfordstleonards.org.uk,Salisbury,SP4 9HP,South West,no
139381,865,Wiltshire,Burbage Primary School,www.burbage.excalibur.org.uk,Marlborough,SN8 3TP,South West,no
138112,865,Wiltshire,By Brook Valley CofE Primary School,www.bybrookvalleyschool.co.uk/,Chippenham,SN14 7BA,South West,no
140223,865,Wiltshire,Castle Mead School,www.castlemead.wilts.sch.uk/,Trowbridge,BA14 6GD,South West,no
126396,865,Wiltshire,Chapmanslade Church of England Voluntary Aided Primary School,www.chapmanslade.wilts.sch.uk,Westbury,BA13 4AN,South West,no
126313,865,Wiltshire,Cherhill CofE School,www.cherhill.wilts.sch.uk/,Calne,SN11 8XX,South West,no
126397,865,Wiltshire,Chilton Foliat Church of England Primary School,www.chiltonfoliatprimary.org.uk/,Hungerford,RG17 0TF,South West,no
146902,865,Wiltshire,Chirton Church of England Primary School,www.chirtonschool.co.uk/,Devizes,SN10 3QS,South West,no
149672,865,Wiltshire,"Christ The King Catholic School, Amesbury",https://www.christtheking.wilts.sch.uk/,Salisbury,SP4 7LX,South West,no
140454,865,Wiltshire,Christian Malford CofE Primary School,https://www.cmcea.org.uk/,Chippenham,SN15 4BW,South West,no
150829,865,Wiltshire,"Churchfields, the Village School",www.churchfields.wilts.sch.uk,Melksham,SN12 8HY,South West,no
126493,865,Wiltshire,Clarendon Infants' School,www.clarendoninfants.com,Tidworth,SP9 7QD,South West,no
126492,865,Wiltshire,Clarendon Junior School (Clarendon Federation),www.clarendonjuniors.co.uk,Tidworth,SP9 7QD,South West,no
126316,865,Wiltshire,Colerne CofE Primary School,www.colerneschool.com,Chippenham,SN14 8DU,South West,no
126382,865,Wiltshire,Coombe Bissett Church of England Primary School,www.coombebissett.wilts.sch.uk/,Salisbury,SP5 4LU,South West,no
136630,865,Wiltshire,Corsham Primary School,http://www.corshamprimary.co.uk,Corsham,SN13 9YW,South West,no
139980,865,Wiltshire,Dauntsey Academy Primary School,http://www.daps.wilts.sch.uk,Devizes,SN10 4HY,South West,no
126400,865,Wiltshire,Derry Hill Church of England Voluntary Aided Primary School,www.derryhillschool.co.uk,Calne,SN11 9NN,South West,no
138630,865,Wiltshire,Devizes School,https://www.devizesschool.co.uk/,Devizes,SN10 3AG,South West,no
141148,865,Wiltshire,Dilton Marsh CofE Primary School,www.diltonmarsh.wilts.sch.uk,Westbury,BA13 4DY,South West,no
149660,865,Wiltshire,Dinton CofE Primary School,www.dinton.wilts.sch.uk/,Salisbury,SP3 5HW,South West,no
126550,865,Wiltshire,Downland School,www.downland.org.uk,Devizes,SN10 5EF,South West,no
143004,865,Wiltshire,Durrington All Saints Church of England Voluntary Controlled Infants' School,www.durringtoninfantschool.org.uk,Salisbury,SP4 8HJ,South West,no
138629,865,Wiltshire,Easton Royal Academy,https://www.eastonroyal.excalibur.org.uk/,Pewsey,SN9 5LZ,South West,no
141647,865,Wiltshire,Exeter House Special School,www.exeterhouse.uk,Salisbury,SP1 3BL,South West,no
147251,865,Wiltshire,Fitzmaurice Primary School,www.fitzmauriceschool.info,Bradford-on-Avon,BA15 1LE,South West,no
143500,865,Wiltshire,Forest and Sandridge Church of England Primary School,www.Forestsandridge.co.uk,Melksham,SN12 7GN,South West,no
126479,865,Wiltshire,Frogwell Primary School,www.frogwell.co.uk,Chippenham,SN14 0DG,South West,no
145714,865,Wiltshire,Great Bedwyn Church of England School,www.greatbedwynprimaryschool.co.uk/,Marlborough,SN8 3TR,South West,no
145555,865,Wiltshire,Great Wishford CofE (VA) Primary School,www.greatwishfordschool.co.uk,Salisbury,SP2 0PQ,South West,no
148680,865,Wiltshire,Greentrees Primary School,www.greentrees.wilts.sch.uk,Salisbury,SP1 3GZ,South West,no
136296,865,Wiltshire,Hardenhuish School,http://www.hardenhuish.wilts.sch.uk,Chippenham,SN14 6RJ,South West,no
144333,865,Wiltshire,Heytesbury Church of England Primary School,www.heytesbury.wilts.sch.uk,Warminster,BA12 0EA,South West,no
126269,865,Wiltshire,Holbrook Primary School,www.holbrooktrowbridge.co.uk/,Trowbridge,BA14 0PS,South West,no
126329,865,Wiltshire,Holt Voluntary Controlled Primary School,www.holtprimaryschool.co.uk/,Trowbridge,BA14 6RA,South West,no
138109,865,Wiltshire,Holy Trinity Church of England Academy,www.holytrinitycalne.co.uk/,Calne,SN11 0AR,South West,no
144705,865,Wiltshire,Ivy Lane Primary School,www.ivylane.wilts.sch.uk,Chippenham,SN15 1HE,South West,no
143009,865,Wiltshire,Keevil CofE Primary School,http://www.keevil.wilts.sch.uk,Trowbridge,BA14 6LU,South West,no
126446,865,Wiltshire,Kennet Valley Church of England Aided Primary School,www.kennetvalley.wilts.sch.uk/,Marlborough,SN8 4EL,South West,no
146091,865,Wiltshire,King's Gate Primary School,www.kingsgate.wilts.sch.uk,Salisbury,SP4 7GD,South West,no
137230,865,Wiltshire,Kingdown School,http://www.kingdown.wilts.sch.uk/,Warminster,BA12 9DR,South West,no
137650,865,Wiltshire,Kingsbury Green Academy,www.kingsburygreenacademy.com,Calne,SN11 8YH,South West,no
126248,865,Wiltshire,Kiwi Primary School,www.kiwi.wilts.sch.uk,Salisbury,SP4 9JY,South West,no
145545,865,Wiltshire,Larkhill Primary School,www.larkhill.wilts.sch.uk/,Salisbury,SP4 8QB,South West,no
136389,865,Wiltshire,Lavington School,http://www.lavington.wilts.sch.uk,Devizes,SN10 4EB,South West,no
150253,865,Wiltshire,Longford Church of England Primary School,www.longford.wilts.sch.uk,Salisbury,SP5 4DS,South West,no
