urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
149038,866,Swindon,Abbey Farm Educate Together Primary,https://abbeyfarmet.org.uk/,Swindon,SN25 2SJ,South West,no
146073,866,Swindon,Abbey Meads Community Primary School,http://www.abbeymeads.swindon.sch.uk,Swindon,SN25 4GY,South West,no
145744,866,Swindon,Abbey Park School,www.abbeyparkschool.org.uk,Swindon,SN25 2ND,South West,no
147065,866,Swindon,Badbury Park Primary School,www.badburyparkprimary.co.uk,Swindon,SN3 6ER,South West,no
126210,866,Swindon,Beechcroft Infant School,www.beechcroft.swindon.sch.uk/,Swindon,SN2 7QE,South West,no
126300,866,Swindon,Bishopstone Church of England Primary School,www.bishopstone.swindon.sch.uk/,Swindon,SN6 8PW,South West,no
149193,866,Swindon,Bridlewood Primary School,www.bridlewoodprimaryschool.org.uk,Swindon,SN25 2EX,South West,no
143013,866,Swindon,Brimble Hill Special School,https://www.brimblehillschool.org.uk/,Swindon,SN25 2NB,South West,no
147755,866,Swindon,Brook Field Primary School,www.brookfieldprimary.org,Swindon,SN5 5SB,South West,no
147250,866,Swindon,Catherine Wayte Primary School,www.catherinewayte.swindon.sch.uk/,Swindon,SN25 4TA,South West,no
145874,866,Swindon,Churchward School,churchwardschool.org.uk,Swindon,SN25 2PP,South West,no
137620,866,Swindon,Colebrook Infant Academy,www.colebrookinfants.co.uk,Swindon,SN3 4AS,South West,no
150192,866,Swindon,Covingham Park Primary School,www.cpps.swindon.sch.uk/,Swindon,SN3 5BD,South West,no
126549,866,Swindon,Crowdys Hill School,www.crowdyshill.swindon.sch.uk,Swindon,SN2 7HJ,South West,no
138309,866,Swindon,Drove Primary School,https://drove-pri.swindon.sch.uk/,Swindon,SN1 3AH,South West,no
136068,866,Swindon,East Wichel Primary School & Nursery,www.eastwichel.swindon.sch.uk/,SWINDON,SN1 7AG,South West,no
137365,866,Swindon,Eastrop Infant School,www.eastropinfantschool.org.uk,Swindon,SN6 7AP,South West,no
132229,866,Swindon,Eldene Nursery and Primary School,www.eldeneprimaryschool.org.uk,Swindon,SN3 3TQ,South West,no
151248,866,Swindon,Even Swindon Primary School,www.evenswindon.co.uk,Swindon,SN2 2UJ,South West,no
142546,866,Swindon,Ferndale Primary School & Nursery,www.ferndaleprimaryschool.co.uk/,swindon,SN2 1NX,South West,no
136293,866,Swindon,Goddard Park Community Primary School,http://www.goddardpark.co.uk,Swindon,SN3 2QN,South West,no
144500,866,Swindon,Gorse Hill Primary School,https://gorsehill.swindon.sch.uk/,Swindon,SN2 8BZ,South West,no
146850,866,Swindon,Grange Infants' School,http://www.grange-inf.swindon.sch.uk,Swindon,SN3 4XE,South West,no
146986,866,Swindon,Grange Junior School,www.grange-jun.swindon.sch.uk,Swindon,SN3 4JY,South West,no
145883,866,Swindon,Great Western Academy,www.gwacademy.co.uk,Swindon,SN25 2PP,South West,no
148925,866,Swindon,Greenmeadow Primary School,www.greenmeadow-pri.swindon.sch.uk,Swindon,SN25 3LW,South West,no
141273,866,Swindon,Haydon Wick Primary School,http://www.haydonwick.swindon.sch.uk,Swindon,SN25 1HT,South West,no
151130,866,Swindon,Haydonleigh Primary School,www.haydonleighschool.co.uk/,Swindon,SN25 1JP,South West,no
139207,866,Swindon,Hazelwood Academy,www.hazelwoodacademy.org,Swindon,SN5 8DR,South West,no
150277,866,Swindon,Highworth Warneford School,,Swindon,SN6 7BZ,South West,no
136981,866,Swindon,Holy Cross Catholic Primary School,http://www.holycross.swindon.sch.uk,Swindon,SN3 1AR,South West,no
