urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
109867,867,Bracknell Forest,Ascot Heath Primary School,www.ascotheathprimary.school,Ascot,SL5 8PN,South East,no
109999,867,Bracknell Forest,Binfield Church of England Primary School,http://www.binfieldschool.co.uk,Bracknell,RG42 4EW,South East,no
150157,867,Bracknell Forest,Birch Hill Primary School and Nursery,www.birchhillprimaryschool.co.uk,Bracknell Forest,RG12 7WW,South East,no
109828,867,Bracknell Forest,College Town Primary School,http://www.collegetownprimary.com/,Sandhurst,GU47 0QF,South East,no
109835,867,Bracknell Forest,Cranbourne Primary School,www.cranbourne.org.uk,Windsor,SL4 2EU,South East,no
144048,867,Bracknell Forest,Crown Wood Primary School,www.crownwoodschool.com/,Bracknell,RG12 0PE,South East,no
109962,867,Bracknell Forest,Crowthorne Church of England Primary School,http://www.crowthornecofe.co.uk,Crowthorne,RG45 6ND,South East,no
145244,867,Bracknell Forest,Edgbarrow School,http://www.edgbarrowschool.co.uk,Crowthorne,RG45 7HZ,South East,no
109805,867,Bracknell Forest,Fox Hill Primary School,https://www.foxhill.bracknell-forest.sch.uk/,Bracknell,RG12 7JZ,South East,no
144628,867,Bracknell Forest,Great Hollands Primary School,www.greathollandsprimary.co.uk,Bracknell,RG12 8YR,South East,no
130949,867,Bracknell Forest,Harmans Water Primary School,www.harmanswater.co.uk,Bracknell,RG12 9NE,South East,no
109807,867,Bracknell Forest,Holly Spring Primary School,www.hollyspringprimary.co.uk,Bracknell,RG12 2SW,South East,no
144608,867,Bracknell Forest,Jennett's Park CofE Primary School,https://www.jennetts.bonitas.org.uk/,Bracknell,RG12 8EB,South East,no
150388,867,Bracknell Forest,Kennel Lane School,http://www.kennellaneschool.com,Bracknell,RG42 2EX,South East,no
145892,867,Bracknell Forest,King's Academy Binfield,www.kgabinfield.uk,Bracknell,RG42 4FS,South East,no
149365,867,Bracknell Forest,King's Academy Easthampstead Park,https://www.kgaeasthampstead.uk/,Bracknell,RG12 8FS,South East,no
151266,867,Bracknell Forest,King's Academy Meadow Vale,http://www.meadowvaleprimary.co.uk,Bracknell,RG42 1SY,South East,no
147076,867,Bracknell Forest,King's Academy Oakwood,https://www.kgabinfield.uk/,Bracknell,RG42 4FY,South East,no
109883,867,Bracknell Forest,New Scotland Hill Primary School,http://www.newscotlandhill.co.uk,Sandhurst,GU47 8NQ,South East,no
109870,867,Bracknell Forest,Owlsmoor Primary School,www.owlsmoorprimary.com/,Sandhurst,GU47 0TA,South East,no
137267,867,Bracknell Forest,Ranelagh School,http://www.ranelagh.bonitas.org.uk,Bracknell,RG12 9DA,South East,no
148850,867,Bracknell Forest,Sandhurst School,http://www.sandhurstschool.org.uk/,Sandhurst,GU47 0SD,South East,no
149386,867,Bracknell Forest,Sandy Lane Primary School,www.sandylanebracknell.com,Bracknell,RG12 2JG,South East,no
110027,867,Bracknell Forest,"St Joseph's Catholic Primary School, Bracknell",http://www.stjosephsbracknell.co.uk,Bracknell Forest,RG12 9AP,South East,no
142319,867,Bracknell Forest,"St Margaret Clitherow Catholic Primary School, Bracknell",https://www.stmargaretclitherowbracknell.co.uk/,Bracknell,RG12 7RD,South East,no
150159,867,Bracknell Forest,"St Michael's Church of England Primary School, Sandhurst",www.st-michaels-school.org/,Sandhurst,GU47 8HN,South East,no
142577,867,Bracknell Forest,The Brakenhale School,,Bracknell,RG12 7BA,South East,no
134740,867,Bracknell Forest,The Pines School,www.thepinesschool.org.uk,Bracknell,RG12 7WX,South East,no
150721,867,Bracknell Forest,Uplands Primary School and Nursery,www.uplandsberkshire.org,Sandhurst,GU47 9BP,South East,no
145319,867,Bracknell Forest,Wildmoor Heath School,http://www.wildmoorheath.org.uk,Bracknell,RG45 7HD,South East,no
109941,867,Bracknell Forest,Wildridings Primary School,www.wildridingsprimary.co.uk,Bracknell,RG12 7DX,South East,no
109922,867,Bracknell Forest,Wooden Hill Primary and Nursery School,https://www.woodenhill.bracknell-forest.sch.uk/,Bracknell,RG12 8DB,South East,no
110069,867,Bracknell Forest,Garth Hill College,http://www.garthhillcollege.com,Bracknell,RG42 2AD,South East,yes
110010,867,Bracknell Forest,St Michael's Easthampstead Church of England Voluntary Aided Primary School,http://www.stmichaelseasthampstead.com,Bracknell,RG12 7EH,South East,yes
109982,867,Bracknell Forest,Warfield Church of England Primary School,www.warfieldprimary.co.uk/,Bracknell,RG42 6BR,South East,yes
131145,867,Bracknell Forest,Whitegrove Primary School,http://www.whitegroveprimary.co.uk,Bracknell,RG42 3QS,South East,yes
109994,867,Bracknell Forest,Winkfield St Mary's CofE Primary School,www.wsmschool.org,Bracknell,RG42 6NH,South East,yes
