urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
109884,868,Windsor and Maidenhead,Alexander First School,http://www.alexanderfirst.co.uk,Windsor,SL4 4XP,South East,no
149535,868,Windsor and Maidenhead,All Saints Church of England Junior School,https://www.allsaintsmaidenhead.org.uk/,Maidenhead,SL6 4AR,South East,no
138342,868,Windsor and Maidenhead,Altwood Church of England School,http://www.altwoodschool.co.uk,Maidenhead,SL6 4PU,South East,no
109818,868,Windsor and Maidenhead,Alwyn Infant School,www.alwyn.org.uk,Maidenhead,SL6 6EU,South East,no
144249,868,Windsor and Maidenhead,Bisham Church of England Academy,www.bishamcofe.co.uk/,Marlow,SL7 1RW,South East,no
109969,868,Windsor and Maidenhead,Boyne Hill CofE Infant and Nursery School,www.boynehillschool.org,Maidenhead,SL6 4HZ,South East,no
140494,868,Windsor and Maidenhead,Braywick Court School,www.braywickcourtschool.co.uk/,Maidenhead,SL6 1UU,South East,no
109952,868,Windsor and Maidenhead,Braywood CofE First School,www.braywood-ce.eschools.co.uk,Windsor,SL4 4QF,South East,no
141602,868,Windsor and Maidenhead,Burchetts Green CofE Infants' School,www.bgis.org.uk/,Maidenhead,SL6 6QZ,South East,no
138823,868,Windsor and Maidenhead,Charters School,www.chartersschool.org.uk,Ascot,SL5 9QY,South East,no
147806,868,Windsor and Maidenhead,Clewer Green CofE First School,www.clewergreen.org.uk/,Windsor,SL4 3RL,South East,no
109754,868,Windsor and Maidenhead,Cookham Nursery School,www.nurseryfederation.co.uk,Maidenhead,SL6 9BT,South East,no
109856,868,Windsor and Maidenhead,Cookham Rise Primary School,www.cookhamriseprimary.org/,Maidenhead,SL6 9JF,South East,no
109819,868,Windsor and Maidenhead,Courthouse Junior School,http://www.courthousejunior.co.uk,Maidenhead,SL6 5HE,South East,no
137695,868,Windsor and Maidenhead,Cox Green School,http://www.coxgreen.com,Maidenhead,SL6 3AX,South East,no
137788,868,Windsor and Maidenhead,Datchet St Mary's CofE Primary School,www.datchetstmarysacademy.webplus.net/,Slough,SL3 9EJ,South East,no
142790,868,Windsor and Maidenhead,Dedworth Green First School,www.dedworthgreenfirst.com,Windsor,SL4 5PE,South East,no
142791,868,Windsor and Maidenhead,Dedworth Middle School,http://www.dedworthmiddle.co.uk/,Windsor,SL4 5PE,South East,no
138879,868,Windsor and Maidenhead,Desborough College,http://www.desborough.org.uk/,Maidenhead,SL6 2QB,South East,no
142576,868,Windsor and Maidenhead,Eton Porny CofE First School,www.etonporny.org.uk,Windsor,SL4 6AS,South East,no
142066,868,Windsor and Maidenhead,Forest Bridge School,,Maidenhead,SL6 1BN,South East,no
109846,868,Windsor and Maidenhead,Furze Platt Infant School,www.furzeplattinfantschool.co.uk/,Maidenhead,SL6 6HQ,South East,no
109842,868,Windsor and Maidenhead,Furze Platt Junior School,www.furzeplattjuniorschool.co.uk,Maidenhead,SL6 6HQ,South East,no
137740,868,Windsor and Maidenhead,Furze Platt Senior School,http://www.furzeplatt.com,Maidenhead,SL6 7NQ,South East,no
109833,868,Windsor and Maidenhead,Hilltop First School,www.hilltopfirst.co.uk/,Windsor,SL4 4DW,South East,no
110018,868,Windsor and Maidenhead,"Holy Trinity CofE Primary School, Sunningdale",http://www.holytrinityschsunningdale.co.uk,Ascot,SL5 0NJ,South East,no
142846,868,Windsor and Maidenhead,Holyport CofE Primary School,www.holyportprimaryschool.co.uk/,Maidenhead,SL6 2LP,South East,no
139971,868,Windsor and Maidenhead,Holyport College,www.holyportcollege.org.uk,Holyport,SL6 3LE,South East,no
109873,868,Windsor and Maidenhead,Homer First School and Nursery,http://www.homerfirstschool.co.uk,Windsor,SL4 5RL,South East,no
109827,868,Windsor and Maidenhead,King's Court First School,www.kingscourtfirst.co.uk,Windsor,SL4 2NE,South East,no
141295,868,Windsor and Maidenhead,Knowl Hill Church of England Primary Academy,www.knowlhillschool.co.uk,Reading,RG10 9UX,South East,no
136712,868,Windsor and Maidenhead,Lowbrook Academy,www.lowbrookacademy.co.uk,Maidenhead,SL6 3AR,South East,no
109756,868,Windsor and Maidenhead,Maidenhead Nursery School,www.nurseryfederation.co.uk,Maidenhead,SL6 7PG,South East,no
151044,868,Windsor and Maidenhead,Manor Green School,www.manorgreenschool.co.uk,Maidenhead,SL6 3EQ,South East,no
142357,868,Windsor and Maidenhead,Newlands Girls' School,http://www.newlandsgirlsschool.co.uk/,Maidenhead,SL6 5JB,South East,no
148786,868,Windsor and Maidenhead,Oakfield First School,www.oakfieldfirstschool.org.uk,WINDSOR,SL4 3RU,South East,no
109888,868,Windsor and Maidenhead,Oldfield Primary School,www.oldfieldprimary.com,Maidenhead,SL6 1UE,South East,no
109820,868,Windsor and Maidenhead,Riverside Primary School and Nursery,www.riversideprimaryschool.org.uk/,Maidenhead,SL6 7JA,South East,no
109843,868,Windsor and Maidenhead,South Ascot Village Primary School,www.southascotvillageschool.org.uk/,Ascot,SL5 9EA,South East,no
144248,868,Windsor and Maidenhead,St Edmund Campion Catholic Primary School and Nursery,www.st-edmund.org.uk,Maidenhead,SL6 4PX,South East,no
141818,868,Windsor and Maidenhead,"St Francis Catholic Primary School, South Ascot",www.stfrancisprimary.org,Ascot,SL5 9HG,South East,no
141601,868,Windsor and Maidenhead,St Luke's CofE Primary School,www.st-lukesprimary.com/,Maidenhead,SL6 7EG,South East,no
139882,868,Windsor and Maidenhead,"St Mary's Catholic Primary School, Maidenhead",www.stmarys-maidenhead.org.uk,Maidenhead,SL6 7EG,South East,no
110019,868,Windsor and Maidenhead,"St Michael's CofE Primary School, Sunninghill",www.stmichaelsce.org.uk/,Ascot,SL5 7AD,South East,no
141349,868,Windsor and Maidenhead,St Peter's Church of England Middle School,www.stpetersceschool.org,Windsor,SL4 2QY,South East,no
109758,868,Windsor and Maidenhead,The Lawns Nursery School,www.nurseryfederation.co.uk/lawns,Windsor,SL4 3RU,South East,no
141844,868,Windsor and Maidenhead,The Windsor Boys' School,http://www.twbs.co.uk,Windsor,SL4 5EH,South East,no
