urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
109802,869,West Berkshire,Beenham Primary School,www.beenhamprimary.co.uk,Reading,RG7 5NN,South East,no
110008,869,West Berkshire,Brightwalton C.E. Aided Primary School,www.brightwalton.w-berks.sch.uk,Newbury,RG20 7BN,South East,no
109954,869,West Berkshire,Brimpton C.E. Primary School,www.brimpton.w-berks.sch.uk/,Reading,RG7 4TL,South East,no
151045,869,West Berkshire,Brookfields School,www.brookfieldsschool.org,Reading,RG31 6SW,South East,no
109931,869,West Berkshire,Calcot Infant School and Nursery,www.calcotschools.co.uk,Reading,RG31 4XG,South East,no
109932,869,West Berkshire,Calcot Junior School,www.calcotschools.co.uk,Reading,RG31 4XG,South East,no
109957,869,West Berkshire,Chaddleworth St Andrew's C.E. Primary School,www.csfschools.org,Newbury,RG20 7DT,South East,no
109810,869,West Berkshire,Chieveley Primary School,www.chieveleyschool.co.uk,Newbury,RG20 8TY,South East,no
109958,869,West Berkshire,Cold Ash St Mark's CE Primary School,http://www.coldash.w-berks.sch.uk,Thatcham,RG18 9PT,South East,no
109811,869,West Berkshire,Curridge Primary School,http://www.curridge.w-berks.sch.uk,Thatcham,RG18 9DZ,South East,no
137777,869,West Berkshire,Denefield School,http://www.denefield.org.uk,Reading,RG31 6XY,South East,no
109896,869,West Berkshire,Downsway Primary School,www.downsway.w-berks.sch.uk,Reading,RG31 6FE,South East,no
109871,869,West Berkshire,Falkland Primary School,www.falklandprimaryschool.org,Newbury,RG14 6NU,South East,no
139081,869,West Berkshire,Fir Tree Primary School and Nursery,www.firtreeschool.co.uk/,Newbury,RG14 2RA,South East,no
147273,869,West Berkshire,Francis Baily Primary School,http://www.francisbaily.co.uk,Thatcham,RG19 4GG,South East,no
109858,869,West Berkshire,Garland Junior School,www.garlandjuniorschool.co.uk,Reading,RG7 3HG,South East,no
109964,869,West Berkshire,Hampstead Norreys C.E. Primary School,hampsteadnorreysprimary.net,Thatcham,RG18 0TR,South East,no
109815,869,West Berkshire,Hermitage Primary School,https://hermitage-westberks.secure-dbprimary.com/westberks/primary/hermitage,Thatcham,RG18 9SA,South East,no
141882,869,West Berkshire,Highwood Copse Primary School,https://www.highwoodcopse.co.uk/,Newbury,RG20 9BS,South East,no
109755,869,West Berkshire,Hungerford Nursery School Centre for Children,www.hungerfordnurseryschool.co.uk,Hungerford,RG17 0HY,South East,no
109816,869,West Berkshire,Hungerford Primary School,http://www.hungerfordprimaryschool.co.uk,Hungerford,RG17 0BT,South East,no
109817,869,West Berkshire,Inkpen Primary School,https://www.inkpenprimaryschool.co.uk/,Hungerford,RG17 9QE,South East,no
142822,869,West Berkshire,John O'Gaunt School,www.johnogauntschool.co.uk,Hungerford,RG17 0AN,South East,no
109826,869,West Berkshire,John Rankin Infant and Nursery School,https://johnrankinschools.com,Newbury,RG14 6EX,South East,no
109825,869,West Berkshire,John Rankin Junior School,https://johnrankinschools.com,Newbury,RG14 6ES,South East,no
136647,869,West Berkshire,Kennet School,www.kennetschool.co.uk,Thatcham,RG19 4LL,South East,no
109898,869,West Berkshire,Kennet Valley Primary School,www.kennetvalley.w-berks.sch.uk/,Reading,RG31 7YT,South East,no
146307,869,West Berkshire,Lambourn CofE Primary School,www.lambourn.excalibur.org.uk,Hungerford,RG17 7LJ,South East,no
110063,869,West Berkshire,Little Heath School,http://www.littleheath.org.uk,Reading,RG31 5TY,South East,no
109853,869,West Berkshire,Long Lane Primary School,www.longlane.w-berks.sch.uk,Reading,RG31 6YG,South East,no
109977,869,West Berkshire,Mortimer St Mary's C.E. Junior School,https://www.mortimerschools.org/,Reading,RG7 3PB,South East,no
109978,869,West Berkshire,Mortimer St. John's C.E. Infant School,www.mortimerschools.org,Reading,RG7 3RD,South East,no
109887,869,West Berkshire,Mrs Bland's Infant School,www.mrsblandsinfants.co.uk,Reading,RG7 3LP,South East,no
109940,869,West Berkshire,Pangbourne Primary School,http://pangbourne.w-berks.sch.uk,Reading,RG8 7LB,South East,no
149435,869,West Berkshire,Park House School,https://www.parkhouseschool.org/,Newbury,RG14 6NQ,South East,no
109875,869,West Berkshire,Parsons Down Infant School,www.pdp.w-berks.sch.uk,Thatcham,RG19 3SR,South East,no
109923,869,West Berkshire,Parsons Down Junior School,http://www.pdp.w-berks.sch.uk,Thatcham,RG19 3SR,South East,no
109861,869,West Berkshire,Robert Sandilands Primary School and Nursery,https://sandilands.w-berks.sch.uk/,Newbury,RG14 1TS,South East,no
143999,869,West Berkshire,Speenhamland School,www.speenhamlandprimary.co.uk/,Newbury,RG14 1NU,South East,no
109866,869,West Berkshire,Springfield Primary School,www.springfieldprimary.org,Reading,RG31 5NJ,South East,no
109937,869,West Berkshire,Spurcroft Primary School,spurcroft.w-berks.sch.uk,Thatcham,RG19 3XX,South East,no
137465,869,West Berkshire,St Bartholomew's School,http://www.stbarts.co.uk,Newbury,RG14 6JP,South East,no
110094,869,West Berkshire,St Joseph's Catholic Primary School,www.stjosephs.w-berks.sch.uk,Newbury,RG14 2AW,South East,no
110017,869,West Berkshire,Stockcross C.E. School,https://stockcrossprimaryschool.org,Newbury,RG20 8LD,South East,no
135080,869,West Berkshire,Thatcham Park CofE Primary,www.thatchampark.w-berks.sch.uk/,Thatcham,RG18 4NP,South East,no
110182,869,West Berkshire,The Castle School,www.thecastleschoolnewbury.org.uk,Newbury,RG14 2JG,South East,no
110102,869,West Berkshire,The Downs School,http://www.thedownsschool.org/,Newbury,RG20 6AD,South East,no
109813,869,West Berkshire,The Ilsleys Primary School,http://theilsleysprimary.net,Newbury,RG20 7LP,South East,no
110048,869,West Berkshire,The Willink School,www.willinkschool.org.uk,Reading,RG7 3XJ,South East,no
135079,869,West Berkshire,The Winchcombe School,www.winchcombe.w-berks.sch.uk,Newbury,RG14 1LN,South East,no
109980,869,West Berkshire,Theale C.E. Primary School,thealeprimary.co.uk,Reading,RG7 5AS,South East,no
145945,869,West Berkshire,Theale Green School,https://www.thealegreen.w-berks.sch.uk/,Reading,RG7 5DA,South East,no
138525,869,West Berkshire,Trinity School,http://www.trinitynewbury.org/,Newbury,RG14 2DU,South East,no
109757,869,West Berkshire,Victoria Park Nursery School & Family Hub,www.victoriapark.w-berks.sch.uk,Newbury,RG14 1EH,South East,no
109984,869,West Berkshire,Welford and Wickham C.E. Primary School,https://welfordandwickhamprimaryschool.org,Newbury,RG20 8HL,South East,no
109864,869,West Berkshire,Westwood Farm Infant School,www.westwoodfarmschools.w-berks.sch.uk,Reading,RG31 6RY,South East,no
109845,869,West Berkshire,Westwood Farm Junior School,,Reading,RG31 6RY,South East,no
140407,869,West Berkshire,Whitelands Park Primary School,www.whitelandsparkprimary.co.uk/,Thatcham,RG18 3FH,South East,no
110025,869,West Berkshire,Woolhampton C.E. Primary School,www.woolhamptonschool.org,Reading,RG7 5TB,South East,no
109947,869,West Berkshire,Aldermaston C.E. Primary School,https://aldermaston.w-berks.sch.uk/,Reading,RG7 4LX,South East,yes
109949,869,West Berkshire,Basildon C.E. Primary School,www.basildonprimary.org.uk,Reading,RG8 8PD,South East,yes
109950,869,West Berkshire,Beedon C.E. (Controlled) Primary School,www.beedonschool.co.uk,Newbury,RG20 8SL,South East,yes
109844,869,West Berkshire,Birch Copse Primary School,www.birchcopse.co.uk,Reading,RG31 5LN,South East,yes
110007,869,West Berkshire,Bradfield C.E. Primary School,www.bradfieldceprimary.co.uk,Reading,RG7 6HR,South East,yes
109955,869,West Berkshire,Bucklebury C.E. Primary School,www.bucklebury.w-berks.sch.uk,Reading,RG7 6QP,South East,yes
109956,869,West Berkshire,Burghfield St Mary's C.E. Primary School,www.burghfield.w-berks.sch.uk,Reading,RG30 3TX,South East,yes
109959,869,West Berkshire,Compton C.E. Primary School,www.comptonprimaryschool.org/,Newbury,RG20 6QU,South East,yes
109963,869,West Berkshire,Enborne C.E. Primary School,http://www.enborne.w-berks.sch.uk,Newbury,RG20 0JU,South East,yes
110011,869,West Berkshire,Englefield C.E. Primary School,www.englefieldprimary.co.uk,Reading,RG7 5ER,South East,yes
109967,869,West Berkshire,Kintbury St Mary's C.E. Primary School,www.kintbury.w-berks.sch.uk,Hungerford,RG17 9XN,South East,yes
109971,869,West Berkshire,Purley CofE Primary School,www.purleyprimaryschool.co.uk,Reading,RG8 8AF,South East,yes
109974,869,West Berkshire,Shaw-cum-Donnington C.E. Primary School,www.shaw.w-berks.sch.uk,Newbury,RG14 2JG,South East,yes
109975,869,West Berkshire,Shefford C.E. Primary School,https://www.csfschools.org,Hungerford,RG17 7DB,South East,yes
110037,869,West Berkshire,St Finian's Catholic Primary School,http://www.stfiniansprimary.co.uk,Thatcham,RG18 9HU,South East,yes
110093,869,West Berkshire,St John the Evangelist CofE Infant and Nursery School,www.stjohnandstnicolasschools.org.uk,Newbury,RG14 7DE,South East,yes
110013,869,West Berkshire,St Nicolas C.E. Junior School,http://www.stjohnandstnicolasschools.org.uk,Newbury,RG14 7LU,South East,yes
110006,869,West Berkshire,St Paul's Catholic Primary School,http://www.stpauls.w-berks.sch.uk/,Reading,RG31 4SZ,South East,yes
109979,869,West Berkshire,Streatley C.E. Voluntary Controlled School,www.streatleyprimary.co.uk,Reading,RG8 9QL,South East,yes
110021,869,West Berkshire,Sulhamstead and Ufton Nervet School,www.sun.w-berks.sch.uk,Reading,RG7 4HH,South East,yes
135213,869,West Berkshire,The Willows Primary School,www.thewillowsprimary.org,Newbury,RG14 7SJ,South East,yes
110026,869,West Berkshire,Yattendon C.E. Primary School,www.yattendonschool.co.uk,Thatcham,RG18 0UR,South East,yes
131066,869,West Berkshire,iCollege Alternative Provision,www.icollege.org.uk,Newbury,RG14 7BT,South East,yes
