urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
109945,870,Reading,All Saints Church of England Aided Infant School,www.allsaints.reading.sch.uk/,Reading,RG1 6NP,South East,no
137281,870,Reading,All Saints Junior School,www.allsaintsjuniorschoolreading.co.uk/,Reading,RG1 6NP,South East,no
139066,870,Reading,Battle Primary Academy,http://www.battleprimary.co.uk,Reading,RG30 2TD,South East,no
109748,870,Reading,Blagdon Nursery School,www.reysfederation.org,Reading,RG2 7NT,South East,no
109749,870,Reading,Blagrave Nursery School,https://www.blagravenurseryschool.co.uk/,Reading,RG30 4UA,South East,no
110107,870,Reading,Blessed Hugh Faringdon Catholic School,http://www.hughfaringdon.org/,Reading,RG30 3EP,South East,no
109750,870,Reading,Caversham Nursery School,,Reading,RG4 5NA,South East,no
109925,870,Reading,Caversham Park Primary School,http://www.cavershamparkprimaryschool.co.uk,Reading,RG4 6RP,South East,no
136457,870,Reading,Churchend Primary Academy,www.churchendacademy.com/,Reading,RG30 4HP,South East,no
140379,870,Reading,Civitas Academy,www.civitasacademy.co.uk,Reading,RG1 7HL,South East,no
109779,870,Reading,Coley Primary School,www.coleyprimary.reading.sch.uk,Reading,RG1 6AZ,South East,no
147719,870,Reading,Cranbury College,http://www.cranburycollege.co.uk,Reading,RG30 2TS,South East,no
109794,870,Reading,Emmer Green Primary School,www.emmergreenprimary.com,Reading,RG4 8LN,South East,no
147868,870,Reading,Green Park Village Primary Academy,http://greenparkvillageacademy.org,Reading,RG2 6AX,South East,no
147675,870,Reading,Hamilton School,www.hamilton-school.co.uk,Reading,RG1 5SG,South East,no
136307,870,Reading,Highdown School and Sixth Form Centre,http://www.highdown.reading.sch.uk,Reading,RG4 8LR,South East,no
151631,870,Reading,John Madejski Academy,,Reading,RG2 8AF,South East,no
109920,870,Reading,Katesgrove Primary School,www.katesgroveprimaryschool.co.uk,Reading,RG1 2NL,South East,no
136448,870,Reading,Kendrick School,http://www.kendrick.reading.sch.uk/,Reading,RG1 5BN,South East,no
136876,870,Reading,King's Academy Prospect,http://www.kgaprospect.uk,Reading,RG30 4EX,South East,no
141886,870,Reading,Maiden Erlegh School in Reading,http://www.maidenerleghschoolreading.co.uk/,Reading,RG1 5SL,South East,no
138372,870,Reading,Meadow Park Academy,www.meadowpark.anthemtrust.uk,Reading,RG30 6BS,South East,no
109926,870,Reading,Micklands Primary School,www.micklands.reading.sch.uk,Reading,RG4 6LU,South East,no
109799,870,Reading,Moorlands Primary School,http://www.moorlandsps.org.uk,Reading,RG30 4UN,South East,no
109752,870,Reading,New Bridge Nursery School,www.reysfederation.org,Reading,RG4 5AU,South East,no
145660,870,Reading,New Christ Church Church of England Primary School,https://www.newchristchurch.reading.sch.uk/,Reading,RG2 0AY,South East,no
142682,870,Reading,New Town Primary School,www.newtown.reading.sch.uk,Reading,RG1 3LS,South East,no
109751,870,Reading,Norcot Early Years Centre,www.norcotearlyyearscentre.co.uk,Reading,RG30 6UB,South East,no
109786,870,Reading,Oxford Road Community School,www.oxfordroad.reading.sch.uk/,Reading,RG1 7PJ,South East,no
109790,870,Reading,Park Lane Primary School,parklaneprimary.school,Reading,RG31 5BD,South East,no
142072,870,Reading,Ranikhet Academy,www.ranikhetacademy.co.uk,Reading,RG30 4ED,South East,no
144610,870,Reading,Reading Girls' School,www.readinggirlsschool.co.uk,Reading,RG2 7PY,South East,no
136449,870,Reading,Reading School,http://www.reading-school.co.uk/,Reading,RG1 5LW,South East,no
109787,870,Reading,Redlands Primary School,www.redlandsschool.co.uk,Reading,RG1 5QH,South East,no
150728,870,Reading,River Academy,https://www.river-academy.co.uk/,Reading,RG1 8EQ,South East,no
109795,870,Reading,Southcote Primary School,www.southcoteprimary.co.uk/,Reading,RG30 3EJ,South East,no
142735,870,Reading,St John's Church of England Primary School,www.stjohns.reading.sch.uk/,Reading,RG1 3JN,South East,no
146275,870,Reading,St Mary & All Saints Church of England Primary School,www.stmaryandallsaints.co.uk,Reading,RG1 6DU,South East,no
109796,870,Reading,St Michael's Primary School,www.stmichaels.reading.sch.uk/,Reading,RG30 4AS,South East,no
139728,870,Reading,Thames Valley School,www.thamesvalleyschool.org.uk,Reading,RG30 4BZ,South East,no
109800,870,Reading,Thameside Primary School,www.thamesideprimary.co.uk/,Reading,RG4 8DB,South East,no
137435,870,Reading,The Avenue Special School,https://www.avenue.reading.sch.uk/,Reading,RG30 4BZ,South East,no
139972,870,Reading,The Heights Primary School,www.theheightsprimary.co.uk,Reading,RG4 7LB,South East,no
109788,870,Reading,The Hill Primary School,https://www.thehillprimary.org.uk,Reading,RG4 8TU,South East,no
110193,870,Reading,The Holy Brook School,www.holybrook.reading.sch.uk/,Reading,RG30 3LJ,South East,no
