urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
145741,871,Slough,Arbour Vale School,www.arbourvaleschool.org,Slough,SL2 3AE,South East,no
109761,871,Slough,Baylis Court Nursery School,www.bayliscourtnurseryschool.co.uk,Slough,SL1 3HS,South East,no
137259,871,Slough,Baylis Court School,www.bayliscourt.slough.sch.uk,Slough,SL1 3AH,South East,no
143327,871,Slough,Beechwood School,http://www.beechwood.slough.sch.uk,Slough,SL2 1QE,South East,no
138659,871,Slough,Castleview Primary School,www.castleview.slough.sch.uk/,Slough,SL3 7LJ,South East,no
138013,871,Slough,Cippenham School,https://www.cippenhamschool.org.uk/,Slough,SL1 5RB,South East,no
132089,871,Slough,Claycots School,www.claycots.co.uk,Slough,SL2 1QX,South East,no
139567,871,Slough,Colnbrook Church of England Primary School,www.colnbrookprimary.com,Colnbrook,SL3 0JZ,South East,no
141009,871,Slough,Ditton Park Academy,http://www.dittonparkacademy.co.uk/,Slough,SL3 7UX,South East,no
141970,871,Slough,"Eden Girls' School, Slough",http://www.edengirlsslough.com/,Slough,SL1 4AA,South East,no
139943,871,Slough,Foxborough Primary School,www.foxboroughprimary.co.uk,Slough,SL3 8TX,South East,no
149897,871,Slough,Grove Academy,,Slough,SL1 2SR,South East,no
142607,871,Slough,Haybrook College,www.haybrookcollege.co.uk,Slough,SL1 6LZ,South East,no
137726,871,Slough,Herschel Grammar School,www.herschel.slough.sch.uk,Slough,SL1 3BW,South East,no
151043,871,Slough,Holy Family Catholic Primary School,www.holyfamilycatholicschool.org.uk/,Slough,SL3 8NF,South East,no
135099,871,Slough,Iqra Slough Islamic Primary School,www.iqra.slough.sch.uk/,Slough,SL2 5FF,South East,no
139333,871,Slough,James Elliman Academy,www.jameselliman.academy,Slough,SL2 5BA,South East,no
148379,871,Slough,Khalsa Primary School,www.khalsaprimaryschool.com/,Slough,SL2 5QR,South East,no
136521,871,Slough,Langley Grammar School,http://www.lgs.slough.sch.uk/,Langley,SL3 7QS,South East,no
136951,871,Slough,Langley Hall Primary Academy,www.lhpa.co.uk,Langley,SL3 8GW,South East,no
140244,871,Slough,Littledown School,www.littledownschool.co.uk,Slough,SL1 3QW,South East,no
146820,871,Slough,Lynch Hill Enterprise Academy,lhea.org.uk,Slough,SL2 5AY,South East,no
137010,871,Slough,Lynch Hill School Primary Academy,www.lhsprimaryacademy.org.uk/,Slough,SL2 2AN,South East,no
138166,871,Slough,Marish Primary School,www.marishacademytrust.co.uk/,Slough,SL3 8NZ,South East,no
140335,871,Slough,Montem Academy,www.theparkfederation.co.uk,Slough,SL1 2TE,South East,no
138731,871,Slough,Phoenix Infant Academy,www.phoenixinfants.uk,Slough,SL1 3BQ,South East,no
110095,871,Slough,Pippins School,www.pippins.slough.sch.uk/,Colnbrook,SL3 0PR,South East,no
138192,871,Slough,Ryvers School,http://www.ryversschool.com,Slough,SL3 7TS,South East,no
109760,871,Slough,Slough Centre Nursery School,www.sloughcentrenursery.co.uk,Slough,SL1 3EA,South East,no
137287,871,Slough,Slough and Eton Church of England Business and Enterprise College,http://www.slougheton.com/,Slough,SL1 2PU,South East,no
143804,871,Slough,St Anthony's Catholic Primary School,www.stanthonys.slough.sch.uk/,Slough,SL2 3AA,South East,no
110084,871,Slough,St Bernard's Catholic Grammar School,http://www.st-bernards.slough.sch.uk/,Slough,SL3 7AF,South East,no
143802,871,Slough,St Ethelbert's Catholic Primary School,http://www.stethelberts.slough.sch.uk,Slough,SL2 5QR,South East,no
143803,871,Slough,St Joseph's Catholic High School,www.st-josephs.slough.sch.uk,Slough,SL2 5HW,South East,no
144501,871,Slough,The Godolphin Junior Academy,,Slough,SL1 3HS,South East,no
135631,871,Slough,The Langley Academy,www.langleyacademy.org,Slough,SL3 7EF,South East,no
142173,871,Slough,The Langley Academy Primary,www.langleyacademyprimary.org,Slough,SL3 7EF,South East,no
140994,871,Slough,The Langley Heritage Primary,www.thelangleyheritageprimary.org/,Slough,SL3 8EQ,South East,no
138012,871,Slough,The Westgate School,http://www.westgate.slough.sch.uk/,Slough,SL1 5AH,South East,no
136420,871,Slough,Upton Court Grammar School,https://www.uptoncourtgrammar.org.uk/,Slough,SL3 7PR,South East,no
140857,871,Slough,Western House Academy,www.westernhouse.academy,Slough,SL1 5TJ,South East,no
110078,871,Slough,Wexham School,http://www.wexhamschool.co.uk/,Slough,SL2 5QP,South East,no
139198,871,Slough,Willow Primary School,www.marishacademytrust.co.uk,Slough,SL2 5FF,South East,no
109765,871,Slough,Chalvey Nursery School & Early Years Centre,www.chalveynurseryschool.co.uk,Slough,SL1 2SR,South East,yes
109762,871,Slough,Cippenham Nursery School,www.cippenhamnurseryschool.co.uk,Slough,SL1 5NL,South East,yes
109763,871,Slough,Lea Nursery School,www.lea-nursery.slough.sch.uk,SLOUGH,SL2 5JW,South East,yes
110035,871,Slough,Our Lady of Peace Catholic Primary and Nursery School,www.olopprimary.co.uk,Slough,SL1 6HW,South East,yes
130372,871,Slough,Penn Wood Primary and Nursery School,http://www.pennwood.slough.sch.uk,Slough,SL2 1PH,South East,yes
110089,871,Slough,Priory School,www.prioryschool.com,Slough,SL1 6HE,South East,yes
109995,871,Slough,St Mary's Church of England Primary School,www.stmarys.slough.sch.uk,Slough,SL1 2AR,South East,yes
109943,871,Slough,Wexham Court Primary School,www.wexhamprimary.com,Slough,SL3 6LU,South East,yes
