urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
151046,872,Wokingham,Addington School,https://addington.schooljotter2.com/,Reading,RG5 3EU,South East,no
147862,872,Wokingham,Alder Grove Church of England Primary School,https://www.aldergrove.wokingham.sch.uk,Shinfield,RG2 9RA,South East,no
109850,872,Wokingham,Aldryngton Primary School,www.aldryngton.wokingham.sch.uk/,Reading,RG6 7HR,South East,no
149352,872,Wokingham,All Saints Church of England Primary School,allsaints.wokingham.sch.uk,Wokingham,RG40 1UX,South East,no
147023,872,Wokingham,Beechwood Primary School,Beechwoodprimaryschool.com,Reading,RG5 4JJ,South East,no
142181,872,Wokingham,Bohunt School Wokingham,www.bohuntwokingham.com,Wokingham,RG2 9GB,South East,no
128088,872,Wokingham,CAMHS Phoenix School,http://camhsphoenix.wokingham.sch.uk/,Wokingham,RG41 2RE,South East,no
148349,872,Wokingham,Chiltern Way Academy Wokingham,https://chilternway.org/,Wokingham,RG40 2HR,South East,no
147378,872,Wokingham,Crazies Hill Church of England Primary School,www.crazieshill.co.uk,Reading,RG10 8LY,South East,no
144571,872,Wokingham,Earley St Peter's Church of England Primary School,www.earley-st-peters.wokingham.sch.uk,Reading,RG6 1EY,South East,no
149722,872,Wokingham,Emmbrook Infant School,www.emmbrookinfantschool.co.uk,Wokingham,RG41 1JR,South East,no
149723,872,Wokingham,Emmbrook Junior School,www.emmbrookjuniorschool.co.uk,Wokingham,RG41 1JR,South East,no
140953,872,Wokingham,Evendons Primary School,www.evendons-primary.co.uk/,Wokingham,RG40 3HD,South East,no
142182,872,Wokingham,Floreat Montague Park Primary School,http://www.floreatmontaguepark.org.uk/,Wokingham,RG40 1BG,South East,no
109924,872,Wokingham,Gorse Ride Infants' School,www.gorserideschools.co.uk,Wokingham,RG40 4EH,South East,no
109877,872,Wokingham,Gorse Ride Junior School,http://www.gorserideschools.co.uk,Wokingham,RG40 4JJ,South East,no
110015,872,Wokingham,Grazeley Parochial Church of England Aided Primary School,www.grazeley.wokingham.sch.uk/,Reading,RG7 1JY,South East,no
145284,872,Wokingham,Hatch Ride Primary School,http://www.hatchride.wokingham.sch.uk/,Crowthorne,RG45 6LP,South East,no
149956,872,Wokingham,Hawkedon Primary School,www.hawkedon.wokingham.sch.uk/,Reading,RG6 3AP,South East,no
109930,872,Wokingham,Hillside Primary School,www.hillside.wokingham.sch.uk,Reading,RG6 4HQ,South East,no
147805,872,Wokingham,Keep Hatch Primary School,www.keephatch.wokingham.sch.uk,Wokingham,RG40 1PG,South East,no
136637,872,Wokingham,Maiden Erlegh School,http://maidenerleghschool.co.uk/,Reading,RG6 7HS,South East,no
145281,872,Wokingham,Nine Mile Ride Primary School,www.ninemileride.co.uk,Wokingham,RG40 3RB,South East,no
149839,872,Wokingham,Oak Tree School,https://www.oaktreeschool.org/,Wokingham,RG41 5LP,South East,no
138367,872,Wokingham,Oakbank,www.oakbank.anthemtrust.uk,Reading,RG7 1ER,South East,no
145283,872,Wokingham,Oaklands Infant School,http://oaklandsinfants.org,Crowthorne,RG45 6QZ,South East,no
145282,872,Wokingham,Oaklands Junior School,http://www.oaklandsjunior-school.org.uk,Crowthorne,RG45 6QZ,South East,no
147556,872,Wokingham,Polehampton Church of England Infant School,https://www.polehampton.org.uk/,Reading,RG10 9HS,South East,no
147580,872,Wokingham,Polehampton Church of England Junior School,https://www.polehampton.org.uk/,Reading,RG10 9AX,South East,no
109927,872,Wokingham,Radstock Primary School,www.radstockprimary.org.uk,Reading,RG6 5UZ,South East,no
149521,872,Wokingham,Rivermead Primary School,http://www.rivermead.wokingham.sch.uk/,Reading,RG5 4BS,South East,no
109989,872,Wokingham,Robert Piggott CofE Infant School,http://www.robertpiggott.wokingham.sch.uk,Reading,RG10 8ED,South East,no
109993,872,Wokingham,Robert Piggott CofE Junior School,www.robertpiggott.wokingham.sch.uk/,Reading,RG10 8DY,South East,no
