urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
110852,874,Peterborough,All Saints' CofE (Aided) Primary School,http://www.allsaints.peterborough.sch.uk,Peterborough,PE1 3PW,East of England,no
136266,874,Peterborough,Arthur Mellows Village College,www.arthurmellows.org,Peterborough,PE6 7JX,East of England,no
136721,874,Peterborough,Bishop Creighton Academy,www.bishopcreightonacademy.co.uk,Peterborough,PE1 5DB,East of England,no
146726,874,Peterborough,Braybrook Primary Academy,www.braybrookprimary.co.uk,Peterborough,PE2 5QL,East of England,no
110722,874,Peterborough,Brewster Avenue Infant School,www.brewsteravenueinfants.co.uk/,Peterborough,PE2 9PN,East of England,no
110824,874,Peterborough,Castor CofE Primary School,http://www.castorschool.com,Peterborough,PE5 7AY,East of England,no
139082,874,Peterborough,City of Peterborough Academy,http://www.cityofpeterboroughacademy.org/,Peterborough,PE1 5LQ,East of England,no
145787,874,Peterborough,Discovery Primary Academy,www.discoveryprimary.com/,Peterborough,PE4 6HX,East of England,no
141124,874,Peterborough,Dogsthorpe Academy,www.dogsthorpeacademy.org,Peterborough,PE1 4LH,East of England,no
147808,874,Peterborough,Dogsthorpe Infant School,www.dogsthorpeinfants.com,Peterborough,PE1 4LH,East of England,no
142397,874,Peterborough,Eyrescroft Primary School,https://www.eyrescroft.peterborough.sch.uk/page/?title=Eyrescroft+Home&pid=7,Peterborough,PE3 8EZ,East of England,no
139370,874,Peterborough,Fulbridge Academy,www.fulbridgeacademy.co.uk,Peterborough,PE1 3JQ,East of England,no
143859,874,Peterborough,Gladstone Primary Academy,www.gpa.education,Peterborough,PE1 2BZ,East of England,no
142902,874,Peterborough,Greater Peterborough UTC,www.gputc.org,Peterborough,PE1 4DZ,East of England,no
145268,874,Peterborough,Gunthorpe Primary School,www.gunthorpeprimary.org.uk,Peterborough,PE4 7YP,East of England,no
141300,874,Peterborough,Hampton College,www.hamptoncollege.org.uk,Peterborough,PE7 8BF,East of England,no
143641,874,Peterborough,Hampton Gardens Secondary School,www.hamptongardens.org.uk,Peterborough,PE7 8HR,East of England,no
132763,874,Peterborough,Hampton Hargate Primary School,http://www.hampton-hargate.peterborough.sch.uk/,Peterborough,PE7 8BZ,East of England,no
147074,874,Peterborough,Hampton Lakes Primary School,www.hamptonlakesprimary.org.uk,Peterborough,PE7 8SJ,East of England,no
146753,874,Peterborough,Hampton Vale Primary Academy,https://www.hvp.org.uk/,Peterborough,PE7 8LS,East of England,no
131693,874,Peterborough,Heritage Park Primary School,www.heritageparkschool.co.uk/,Peterborough,PE2 8XA,East of England,no
139930,874,Peterborough,Highlees Primary School,https://www.eyrescroft.peterborough.sch.uk/page/?title=Highlees+Home&pid=6,Peterborough,PE3 7ER,East of England,no
145271,874,Peterborough,Jack Hunt School,http://www.jackhunt.peterborough.sch.uk/,Peterborough,PE3 9PY,East of England,no
145270,874,Peterborough,John Clare Primary School,www.johnclareschool.org/,Peterborough,PE6 7DX,East of England,no
149236,874,Peterborough,Ken Stimpson Academy,http://www.kenstimpson.org.uk,Peterborough,PE4 6JT,East of England,no
144597,874,Peterborough,Lime Academy Abbotsmede,http://limeacademyabbotsmede.org,Peterborough,PE1 5JS,East of England,no
147944,874,Peterborough,Lime Academy Orton,http://limeacademyorton.org,Peterborough,PE2 5SD,East of England,no
144598,874,Peterborough,Lime Academy Parnwell,http://limeacademyparnwell.org,Peterborough,PE1 4YH,East of England,no
144600,874,Peterborough,Lime Academy Watergall,http://limeacademywatergall.org,Peterborough,PE3 8NX,East of England,no
145267,874,Peterborough,Longthorpe Primary School,www.longthorpe.net,Peterborough,PE3 9QW,East of England,no
149103,874,Peterborough,Manor Drive Primary Academy,https://www.manordriveprimary.org.uk/,Peterborough,PE4 7EP,East of England,no
149104,874,Peterborough,Manor Drive Secondary Academy,https://www.manordrivesecondary.org.uk/,Peterborough,PE4 7EP,East of England,no
138271,874,Peterborough,Medeshamstede Academy,http://www.medeshamstedeacademy.org/,Peterborough,PE1 5LQ,East of England,no
137082,874,Peterborough,Nene Park Academy,www.neneparkacademy.org,Peterborough,PE2 7EA,East of England,no
146854,874,Peterborough,Nene Valley Primary School,http://www.nenevalleyprimary.net,Peterborough,PE2 9RT,East of England,no
149368,874,Peterborough,NeneGate,,Peterborough,PE1 5GZ,East of England,no
140377,874,Peterborough,Newark Hill Academy,www.newarkhillacademy.org,Peterborough,PE1 4RE,East of England,no
151296,874,Peterborough,Newborough CofE Primary School,,Peterborough,PE6 7RG,East of England,no
147382,874,Peterborough,Northborough Primary School,http://www.northboroughschool.co.uk,Peterborough,PE6 9BN,East of England,no
145739,874,Peterborough,Nova Primary Academy,www.novaprimaryacademy.co.uk,Peterborough,PE3 9XJ,East of England,no
110710,874,Peterborough,Oakdale Primary School,http://www.oakdale.peterborough.sch.uk,Peterborough,PE2 8TD,East of England,no
110683,874,Peterborough,Old Fletton Primary School,www.oldfletton.org.uk/,Peterborough,PE2 9DR,East of England,no
135980,874,Peterborough,Ormiston Bushfield Academy,http://www.bushfield.co.uk/,Peterborough,PE2 5RQ,East of England,no
140374,874,Peterborough,Ormiston Meadows Academy,www.ormistonmeadows.co.uk,Peterborough,PE2 5YQ,East of England,no
146845,874,Peterborough,Orton Wistow Primary School,www.owps.org.uk/,Peterborough,PE2 6GF,East of England,no
110778,874,Peterborough,Paston Ridings Primary School,http://www.pastonridingsschool.co.uk,Peterborough,PE4 7XG,East of England,no
150878,874,Peterborough,Peakirk-Cum-Glinton Cofe Primary Academy,www.pcgprimaryschool.co.uk,Peterborough,PE6 7LR,East of England,no
145051,874,Peterborough,Queen Katharine Academy,www.qka.education,Peterborough,PE4 6HX,East of England,no
145266,874,Peterborough,Ravensthorpe Primary School,www.ravensthorpeprimary.org.uk/,Peterborough,PE3 7NB,East of England,no
147892,874,Peterborough,Richard Barnes Academy,www.rjba.education,Peterborough,PE3 6BA,East of England,no
147386,874,Peterborough,Sacred Heart Catholic Primary School,www.sacredheartprimary.org.uk/,Peterborough,PE3 9XD,East of England,no
150757,874,Peterborough,Saint Michael CofE Primary School,https://www.stmichaelschurchschool.co.uk/,Peterborough,PE2 8SZ,East of England,no
110691,874,Peterborough,Southfields Primary School,www.southfieldsprimary.co.uk,Peterborough,PE2 8PU,East of England,no
146154,874,Peterborough,St Botolph's Church of England Primary School,stbotolphs.demat.org.uk,Peterborough,PE2 7EA,East of England,no
149159,874,Peterborough,St John Henry Newman Catholic VA Primary School,https://www.st-johnhenrynewman.org.uk/,Peterborough,PE7 8QL,East of England,no
147385,874,Peterborough,St Thomas More Catholic Primary School,http://www.st-thomasmore.peterborough.sch.uk,Peterborough,PE1 5JW,East of England,no
137880,874,Peterborough,Stanground Academy,http://www.stangroundacademy.org/,Peterborough,PE7 3BY,East of England,no
140031,874,Peterborough,Stanground St Johns CofE Primary School,stangroundstjohns.demat.org.uk,Peterborough,PE2 8JG,East of England,no
110705,874,Peterborough,The Duke of Bedford Primary School,http://www.dukeofbedford.peterborough.sch.uk,Peterborough,PE6 0ST,East of England,no
136398,874,Peterborough,The King's (The Cathedral) School,http://www.kings.peterborough.sch.uk/,Peterborough,PE1 2UE,East of England,no
135263,874,Peterborough,Thomas Deacon Academy,http://www.thomasdeaconacademy.co.uk,Peterborough,PE1 2UW,East of England,no
144981,874,Peterborough,Thorpe Primary School,https://www.thorpeprimary.co.uk,Peterborough,PE3 9UG,East of England,no
147096,874,Peterborough,Welbourne Primary Academy,www.wel.education,Peterborough,PE4 6NR,East of England,no
140043,874,Peterborough,Welland Academy,www.wellandacademy.org,Peterborough,PE1 4TR,East of England,no
145272,874,Peterborough,Werrington Primary School,www.werringtonprimaryschool.co.uk/,Peterborough,PE4 6QG,East of England,no
140855,874,Peterborough,West Town Primary Academy,www.westtownprimary.org,Peterborough,PE3 6DD,East of England,no
140917,874,Peterborough,William Law CofE Primary School,www.williamlawceschool.co.uk/,Peterborough,PE4 5DT,East of England,no
145269,874,Peterborough,Wittering Primary School,www.wittering.peterborough.sch.uk/,Peterborough,PE8 6AF,East of England,no
146843,874,Peterborough,Woodston Primary School,www.woodstonprimary.org.uk/,Peterborough,PE2 9ER,East of England,no
110823,874,Peterborough,Barnack CofE (Controlled) Primary School,http://www.barnackprimaryschool.co.uk,Stamford,PE9 3DZ,East of England,yes
110599,874,Peterborough,Caverstede Nursery School,www.caverstede.peterborough.sch.uk,Peterborough,PE4 6EX,East of England,yes
110825,874,Peterborough,Eye CofE Primary School,www.eyeprimaryschool.co.uk,Peterborough,PE6 7TD,East of England,yes
110948,874,Peterborough,Heltwate School,http://heltwate.co.uk,Peterborough,PE3 8RL,East of England,yes
110743,874,Peterborough,Leighton Primary and Preschool,www.leightonprimaryschool.co.uk/,Peterborough,PE2 5PL,East of England,yes
110943,874,Peterborough,Marshfields School,www.marshfields.co.uk,Peterborough,PE1 4PP,East of England,yes
110734,874,Peterborough,Norwood Primary School,http://www.norwood-school.co.uk,Peterborough,PE4 7DZ,East of England,yes
110723,874,Peterborough,Queen's Drive Infant School,www.queensdriveinfantschool.co.uk/,Peterborough,PE1 2UU,East of England,yes
110853,874,Peterborough,St Augustine's CofE (Voluntary Aided) Junior School,www.staugustinesjuniorschool.co.uk,Peterborough,PE2 9DH,East of England,yes
110907,874,Peterborough,St John Fisher Catholic High School,http://www.stjohnfisherschool.org.uk/,Peterborough,PE1 5JN,East of England,yes
110856,874,Peterborough,"St John's Church School, Spirit Federation",http://www.stjohnschurchschool.co.uk,Peterborough,PE2 5SP,East of England,yes
110756,874,Peterborough,The Beeches Primary School,www.beeches.peterborough.sch.uk,Peterborough,PE1 2EH,East of England,yes
110747,874,Peterborough,"Winyates Primary School, Spirit Federation",www.winyatesprimary.co.uk/,Peterborough,PE2 5RF,East of England,yes
