urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
131217,876,Halton,All Saints Upton Church of England Voluntary Controlled Primary School,http://www.allsaintsupton.co.uk,Widnes,WA8 4PG,North West,no
111515,876,Halton,Ashley High School,ashleyschool.com,Widnes,WA8 7HG,North West,no
110959,876,Halton,Aspiring Foundations Federated Nursery Schools - Warrington Road Nursery School,www.warringtonroadnurseryschool.co.uk,Widnes,WA8 0BS,North West,no
111217,876,Halton,Astmoor Primary School,www.astmoorprimaryschool.co.uk/,Runcorn,WA7 2JE,North West,no
111175,876,Halton,Beechwood Primary School,www.beechwoodschoolruncorn.co.uk/,Runcorn,WA7 2TT,North West,no
110958,876,Halton,Birchfield Nursery School,http://birchfield.haltonschools.info/,widnes,WA8 7TH,North West,no
149032,876,Halton,Blessed Carlo Acutis Catholic and Church of England Academy,https://blessedca.co.uk,Runcorn,WA7 5YH,North West,no
140612,876,Halton,Bridgewater Park Primary School,www.bridgewaterpark.halton.sch.uk/,Runcorn,WA7 2LW,North West,no
146110,876,Halton,Brookfields School,http://www.brookfieldsschool.com,Widnes,WA8 3JA,North West,no
143602,876,Halton,Daresbury Primary School,www.daresburyschool.co.uk,Warrington,WA4 4AJ,North West,no
147266,876,Halton,Ditton Primary School,dittonprimary.co.uk,Widnes,WA8 7HD,North West,no
111197,876,Halton,Fairfield Primary School,www.fairfieldprimaryschool.org.uk/,Widnes,WA8 6TH,North West,no
111394,876,Halton,Farnworth Church of England Controlled Primary School,https://www.farnworthcofeprimary.co.uk/,Widnes,WA8 9HS,North West,no
111176,876,Halton,Gorsewood Primary School,www.gorsewood.halton.sch.uk,Runcorn,WA7 6ES,North West,no
150963,876,Halton,Hallwood Park Primary School and Nursery,https://www.hallwoodpark.co.uk/,Runcorn,WA7 2FL,North West,no
149959,876,Halton,Halton Lodge Primary School,http://www.haltonlodge.co.uk,Runcorn,WA7 5LU,North West,no
111169,876,Halton,Hillview Primary School,,Runcorn,WA7 3HB,North West,no
147267,876,Halton,Kingsway Primary Academy School,,Widnes,WA8 7QS,North West,no
111199,876,Halton,Lunts Heath Primary School,www.luntsheathprimary.co.uk,Widnes,WA8 9RJ,North West,no
110990,876,Halton,Moore Primary School,www.mooreprimary.co.uk,Warrington,WA4 6UG,North West,no
111188,876,Halton,Moorfield Primary School,www.moorfieldprimary.co.uk,Widnes,WA8 3HJ,North West,no
111174,876,Halton,Murdishaw West Community Primary School,www.mwcp.co.uk,Runcorn,WA7 6EP,North West,no
133322,876,Halton,Oakfield Community Primary School,https://www.oakfieldwidnes.co.uk/,Widnes,WA8 8BQ,North West,no
136185,876,Halton,Ormiston Bolingbroke Academy,http://www.ormistonbolingbrokeacademy.co.uk/,Runcorn,WA7 6EP,North West,no
140864,876,Halton,Ormiston Chadwick Academy,http://www.ormistonchadwickacademy.co.uk/,Widnes,WA8 7HU,North West,no
