urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
145800,877,Warrington,Alderman Bolton Primary School,www.aldermanbolton.org.uk,Warrington,WA4 1PW,North West,no
149676,877,Warrington,Appleton Thorn Primary School,http://www.appletonthornprimary.org.uk,Warrington,WA4 4RW,North West,no
111234,877,Warrington,Barrow Hall Community Primary School,www.barrowhall.co.uk,Warrington,WA5 3TX,North West,no
139196,877,Warrington,Beamont Collegiate Academy,https://bca.warrington.ac.uk/,Warrington,WA2 8PX,North West,no
145799,877,Warrington,Beamont Primary School,https://www.beamontprimary.co.uk,Warrington,WA2 7RQ,North West,no
110971,877,Warrington,Bewsey Lodge Primary School,www.bewsey-lodge.eschools.co.uk/,Warrington,WA5 0AG,North West,no
111304,877,Warrington,Birchwood CofE Primary School,www.birchwoodceprimary.co.uk/,Warrington,WA3 6QG,North West,no
139840,877,Warrington,Birchwood Community High School,http://www.birchwoodhigh.org/,Warrington,WA3 7PT,North West,no
150572,877,Warrington,Bradshaw Primary School,http://www.bradshawcps.org.uk,Warrington,WA4 2QN,North West,no
141598,877,Warrington,Bridgewater High School,https://bridgewaterhigh.org/,Warrington,WA4 3AE,North West,no
151050,877,Warrington,Brook Acre Community Primary School,http://www.brookacre.co.uk,Warrington,WA2 0JP,North West,no
147637,877,Warrington,Broomfields Junior School,www.broomfieldsjunior.co.uk,Warrington,WA4 3AH,North West,no
143058,877,Warrington,Bruche Primary School Academy,www.brucheprimary.co.uk,Warrington,WA1 3TT,North West,no
145390,877,Warrington,Burtonwood Community Primary School,http://www.burtonwoodcp.co.uk,Warrington,WA5 4AQ,North West,no
111214,877,Warrington,Callands Community Primary School,www.callands.warrington.dbprimary.com,Warrington,WA5 9RJ,North West,no
111456,877,Warrington,Cardinal Newman Catholic High School,http://www.cardinal-newman.org.uk,Warrington,WA4 1RX,North West,no
145388,877,Warrington,Chapelford Village Primary School,www.chapelfordvillageprimary.co.uk/,Warrington,WA5 3AL,North West,no
111150,877,Warrington,Cherry Tree School,www.cherrytreeschool.co.uk,Warrington,WA13 0NX,North West,no
111363,877,Warrington,Christ Church CofE Primary School Padgate,http://www.christchurchcofeprimary.com,Warrington,WA2 0QJ,North West,no
111381,877,Warrington,Cinnamon Brow CofE Primary School,cinnamonbrow-warrington.secure-dbprimary.com,Warrington,WA2 0SF,North West,no
147387,877,Warrington,Croft Primary School,www.croftprimary.co.uk/,Warrington,WA3 7DG,North West,no
151049,877,Warrington,Culcheth Community Primary School,culchethprimary.co.uk,Warrington,WA3 5HH,North West,no
111430,877,Warrington,Culcheth High School,http://culchethhigh.org.uk/,Warrington,WA3 5HH,North West,no
150824,877,Warrington,Dallam Community Primary School,www.dallamprimary.com,Warrington,WA5 0JG,North West,no
143064,877,Warrington,Evelyn Street Primary Academy and Nursery,http://www.evelynstreetschool.co.uk,Warrington,WA5 1BD,North West,no
111496,877,Warrington,Fox Wood Special School,http://www.foxwoodschool.org.uk,Warrington,WA1 4LS,North West,no
146417,877,Warrington,Glazebury Church of England Primary School,www.glazebury.eschools.co.uk,Warrington,WA3 5LZ,North West,no
147389,877,Warrington,Gorse Covert Primary School,www.gorsecovert.co.uk/,Warrington,WA3 6TS,North West,no
132768,877,Warrington,Grappenhall Heys Community Primary School,http://www.grappenhallheys.co.uk,Warrington,WA4 3EA,North West,no
111315,877,Warrington,Grappenhall St Wilfrid's CofE Primary School,www.stwilfridsprimary.co.uk,Warrington,WA4 3EP,North West,no
139152,877,Warrington,Great Sankey High School,http://www.greatsankey.org,Warrington,WA5 3AA,North West,no
144798,877,Warrington,Great Sankey Primary School,www.greatsankeyprimaryschool.co.uk,Warrington,WA5 1SB,North West,no
111495,877,Warrington,Green Lane Community Special School,http://greenlaneschool.co.uk,Warrington,WA1 4LS,North West,no
144240,877,Warrington,Kassia Academy and Support Services,https://tkas.org.uk/,Warrington,WA2 0QQ,North West,no
