urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
147064,878,Devon,ACE Tiverton Special School,www.atss.transformingfutures.org.uk,Tiverton,EX16 5HB,South West,no
113183,878,Devon,Abbotskerswell Primary School,http://www.abbotskerswell-primary.devon.sch.uk,Newton Abbot,TQ12 5NS,South West,no
143186,878,Devon,All Saints Church of England Primary School,http://www.all-saints-ce-primary.devon.sch.uk/,Axminster,EX13 7LX,South West,no
142251,878,Devon,All Saints Marsh CofE Academy,https://allsaintsmarsh-lap.co.uk/,Newton Abbot,TQ12 2DJ,South West,no
143188,878,Devon,Alphington Primary School,www.alphington.devon.sch.uk/,Exeter,EX2 8RQ,South West,no
136561,878,Devon,Ashburton Primary School,www.ashburton-primary.devon.sch.uk,Newton Abbot,TQ13 7DW,South West,no
145810,878,Devon,Ashleigh CofE Primary School,www.ashleighdevon.co.uk/,Barnstaple,EX32 8LJ,South West,no
113126,878,Devon,Ashwater Primary School,www.thecareyfederation.co.uk,Beaworthy,EX21 5EW,South West,no
146567,878,Devon,Atlantic Academy,www.atlanticacademy.uk/home,Bideford,EX39 5DW,South West,no
138631,878,Devon,Aveton Gifford CofE Primary School,http://www.avetongiffordprimary.co.uk,Kingsbridge,TQ7 4LB,South West,no
144392,878,Devon,Axe Valley Academy,www.axevalley.bep.ac,Axminster,EX13 5EA,South West,no
141523,878,Devon,Axminster Community Primary Academy,www.acornacademy.org,Axminster,EX13 5BU,South West,no
145762,878,Devon,Bampton Church of England Primary School,www.bamptonschool.org,Tiverton,EX16 9NW,South West,no
113636,878,Devon,Barley Lane School,www.barleylaneschool.org.uk,Exeter,EX4 1TA,South West,no
149090,878,Devon,Beaford Community Primary & Nursery School,www.beaford-primary.devon.sch.uk/,Winkleigh,EX19 8LJ,South West,no
142649,878,Devon,Bearnes Voluntary Primary School,http://www.bearnes.thelink.academy/website,Newton Abbot,TQ12 2AU,South West,no
143190,878,Devon,Beer Church of England Primary School,www.beer-ce-primary.devon.sch.uk/,Seaton,EX12 3NB,South West,no
147639,878,Devon,Bere Alston Primary Academy,http://www.berealston.devon.sch.uk/,Yelverton,PL20 7AU,South West,no
147812,878,Devon,Berry Pomeroy Parochial CofE Primary School,https://www.berrypomeroyschool.org/,Totnes,TQ9 6LH,South West,no
113371,878,Devon,Berrynarbor Church of England Primary School,,Ilfracombe,EX34 9SE,South West,no
113493,878,Devon,Bickleigh Down Church of England Primary School,www.bickleighdown.co.uk/,Plymouth,PL6 7JW,South West,no
137776,878,Devon,Bickleigh on Exe Church of England Primary School,www.bickleighschool.co.uk/,Tiverton,EX16 8RE,South West,no
142540,878,Devon,Bideford College,www.bidefordcollege.org,Bideford,EX39 3AR,South West,no
113643,878,Devon,Bidwell Brook School,www.bidwellbrook.devon.sch.uk,Totnes,TQ9 6JU,South West,no
113185,878,Devon,Bishopsteignton School,www.bishopsteignton.devon.sch.uk/,Teignmouth,TQ14 9RJ,South West,no
145341,878,Devon,Black Torrington Church of England Primary School,http://www.blacktorrington.devon.sch.uk,Beaworthy,EX21 5PU,South West,no
141284,878,Devon,Blackawton Primary School,http://www.blackawtonprimary.org.uk/,Totnes,TQ9 7BE,South West,no
137665,878,Devon,Blackpool Church of England Primary School,www.blackpool.devon.sch.uk/,Newton Abbot,TQ12 6JB,South West,no
145330,878,Devon,Boasley Cross Community Primary School,http://www.boasleycross.devon.sch.uk,Okehampton,EX20 4JH,South West,no
149168,878,Devon,Bolham Community Primary School,http://www.tiverton-bolham-primary.devon.sch.uk,Tiverton,EX16 7RA,South West,no
150891,878,Devon,Bovey Tracey Academy,,Newton Abbot,TQ13 9HZ,South West,no
113060,878,Devon,Bow Community Primary School,https://www.bowcps.devon.sch.uk/,Crediton,EX17 6HU,South West,no
143193,878,Devon,Bowhill Primary School,www.bowhill.devon.sch.uk/,Exeter,EX4 1JT,South West,no
145346,878,Devon,Bradford Primary School,http://www.bradford.devon.sch.uk/,Holsworthy,EX22 7AB,South West,no
136492,878,Devon,Bradworthy Primary Academy,www.bradworthyacademy.co.uk/,Holsworthy,EX22 7RT,South West,no
113347,878,Devon,Brampford Speke Church of England Primary School,http://www.exevalleyfederation.co.uk/Brampford-Speke-C-of-E/,Exeter,EX5 5HE,South West,no
151001,878,Devon,Branscombe Church of England Primary School,http://www.branscombe.devon.sch.uk,Seaton,EX12 3DA,South West,no
145809,878,Devon,Bratton Fleming Community Primary School,www.primaryschoolsnorthdevon.co.uk/,Barnstaple,EX31 4SB,South West,no
138041,878,Devon,Braunton Academy,https://www.braunton.academy/,Braunton,EX33 2BP,South West,no
141761,878,Devon,Brayford Academy,www.brayford.devon.sch.uk/,Barnstaple,EX32 7QJ,South West,no
145331,878,Devon,Bridestowe Primary School,http://www.bridestowe-primary.devon.sch.uk/,Okehampton,EX20 4EL,South West,no
145342,878,Devon,Bridgerule Church of England Primary School,http://www.bridgerule.devon.sch.uk/,Holsworthy,EX22 7EN,South West,no
142044,878,Devon,Brixington Primary Academy,www.brixington.devon.sch.uk,Exmouth,EX8 4JQ,South West,no
136280,878,Devon,Broadclyst Community Primary School,http://www.bcps.org.uk/,Exeter,EX5 3JG,South West,no
151002,878,Devon,Broadhembury Church of England Primary School,www.broadhembury.devon.sch.uk/,Honiton,EX14 3NF,South West,no
147493,878,Devon,Broadhempston Village Primary School,www.broadhempston-primary.devon.sch.uk/,Totnes,TQ9 6BL,South West,no
136562,878,Devon,Buckfastleigh Primary School,http://www.buckfastleigh.devon.sch.uk,Buckfastleigh,TQ11 0DD,South West,no
149055,878,Devon,Burlescombe Church of England Primary School,www.burlescombe.devon.sch.uk,Tiverton,EX16 7JH,South West,no
113340,878,Devon,Castle Primary School,http://www.castletiverton.school,Tiverton,EX16 6QR,South West,no
145338,878,Devon,Chagford Church of England Primary School,www.chagford-primaryschool.org,Newton Abbot,TQ13 8BZ,South West,no
144073,878,Devon,Charleton Church of England Academy,https://charleton-lap.co.uk,Kingsbridge,TQ7 2AL,South West,no
145397,878,Devon,Cheriton Bishop Community Primary School,cheritonbishop.thelink.academy,Exeter,EX6 6HY,South West,no
113064,878,Devon,Cheriton Fitzpaine Primary School,www.cheriton-fitzpaine-primary.devon.sch.uk/,Crediton,EX17 4AN,South West,no
113050,878,Devon,Chestnut Nursery,http://www.chestnutnursery.co.uk/,Exeter,EX2 6DJ,South West,no
138733,878,Devon,Christow Primary School,http://www.christowprimary.org.uk,Exeter,EX6 7PE,South West,no
137666,878,Devon,Chudleigh Knighton Church of England Primary School,http://www.chudleigh-knighton.devon.sch.uk,Newton Abbot,TQ13 0EU,South West,no
137024,878,Devon,Chulmleigh Community College,http://www.chulmleigh.devon.sch.uk/,Chulmleigh,EX18 7AA,South West,no
137023,878,Devon,Chulmleigh Primary School,http://www.chulmleigh-primary.devon.sch.uk,Chulmleigh,EX18 7AA,South West,no
147492,878,Devon,Clawton Primary School,www.clawton-sch.org,Holsworthy,EX22 6QN,South West,no
150888,878,Devon,Clyst Heath Nursery and Community Primary School,www.tcat.education,Exeter,EX2 7QT,South West,no
113065,878,Devon,Clyst Hydon Primary School,http://www.clyst-hydon-primary.devon.sch.uk,Cullompton,EX15 2ND,South West,no
113066,878,Devon,Clyst St Mary Primary School,http://www.clyststmary.devon.sch.uk,Exeter,EX5 1BG,South West,no
136638,878,Devon,Clyst Vale Community College,http://www.clystvale.org/,Exeter,EX5 3AJ,South West,no
145766,878,Devon,Cockwood Primary School,https://cockwood-primary.co.uk/,Exeter,EX6 8RB,South West,no
136366,878,Devon,Colyton Grammar School,http://www.colytongrammar.com,Colyton,EX24 6HN,South West,no
148011,878,Devon,Colyton Primary Academy,,Colyton,EX24 6NU,South West,no
145764,878,Devon,Combe Martin Primary School,www.combemartin-sch.org/,Ilfracombe,EX34 0DF,South West,no
137176,878,Devon,Coombeshead Academy,www.coombesheadacademy.org.uk,Newton Abbot,TQ12 1PT,South West,no
113068,878,Devon,Copplestone Primary School,www.copplestone-primary.devon.sch.uk/,Crediton,EX17 5NX,South West,no
113409,878,Devon,Cornwood Church of England Primary School,http://www.moorswayfederation.org.uk,Ivybridge,PL21 9PZ,South West,no
150755,878,Devon,Countess Wear Primary School,www.tcat.education,Exeter,EX2 7BS,South West,no
141514,878,Devon,Cranbrook Education Campus,www.cranbrookeducationcampus.org.uk,Exeter,EX5 7EE,South West,no
151057,878,Devon,Cullompton Community College,www.cullompton.devon.sch.uk,Cullompton,EX15 1DX,South West,no
148490,878,Devon,Dartington Church of England Academy,http://dartington-lap.co.uk,Totnes,TQ9 6JU,South West,no
136200,878,Devon,Dartmouth Academy,www.dartmouthacademy.org.uk,Dartmouth,TQ6 9HW,South West,no
147643,878,Devon,Dawlish College,http://www.dawlish.devon.sch.uk,Dawlish,EX7 0BY,South West,no
113209,878,Devon,Decoy Primary School,www.decoyschool.co.uk,Newton Abbot,TQ12 1DH,South West,no
113197,878,Devon,Denbury Primary School,http://www.denbury.devon.sch.uk/,Newton Abbot,TQ12 6DP,South West,no
134859,878,Devon,Devon Hospitals' Short Stay School,www.devonhospitalschool.org.uk,Exeter,EX2 5DW,South West,no
142652,878,Devon,Diptford Parochial Church of England Primary School,http://www.diptford.thelink.academy/website,Totnes,TQ9 7NY,South West,no
113198,878,Devon,Doddiscombsleigh Primary School,http://www.doddi.devon.sch.uk,Exeter,EX6 7PR,South West,no
145770,878,Devon,Dolton Church of England Primary School,www.clintonanddolton.org,Winkleigh,EX19 8QF,South West,no
147495,878,Devon,Drake's Church of England Primary School,http://www.drakes.thelink.academy/website,Budleigh Salterton,EX9 7DQ,South West,no
145347,878,Devon,Dunsford Community Academy,https://dunsford-lap.co.uk/,Exeter,EX6 7DD,South West,no
141287,878,Devon,East Allington Primary School,http://www.eastallingtonprimary.org.uk,Totnes,TQ9 7RE,South West,no
137025,878,Devon,East Worlington Primary School,www.east-worlington-primary.devon.sch.uk/,Crediton,EX17 4TS,South West,no
