urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
142835,879,Plymouth,ACE Schools Plymouth,www.aceschools.transformingfutures.org.uk,Plymouth,PL4 0AT,South West,no
136142,879,Plymouth,All Saints Church of England Academy,http://www.asap.org.uk/,Plymouth,PL5 3NE,South West,no
141232,879,Plymouth,Austin Farm Academy,www.austinfarmacademy.com,Plymouth,PL6 5XQ,South West,no
143311,879,Plymouth,Beechwood Primary Academy,www.beechwood-primary.co.uk,Plymouth,PL6 6DX,South West,no
142688,879,Plymouth,Boringdon Primary School,http://www.boringdon.plymouth.sch.uk/,Plymouth,PL7 4HJ,South West,no
113648,879,Plymouth,Brook Green Centre for Learning,http://www.brookgreen.org.uk,Plymouth,PL5 4DZ,South West,no
113645,879,Plymouth,Cann Bridge School,www.cannbridgeschool.co.uk,Plymouth,PL6 8EE,South West,no
143474,879,Plymouth,Chaddlewood Primary School,www.chaddlewood-primary.plymouth.sch.uk,Plymouth,PL7 2EU,South West,no
113276,879,Plymouth,College Road Primary School,www.collegeroadschool.co.uk/,Plymouth,PL2 1NS,South West,no
113416,879,Plymouth,Compton CofE Primary School,www.compton-cofe-primary.org/,Plymouth,PL3 5JB,South West,no
136558,879,Plymouth,Coombe Dean School,http://www.coombedean.co.uk,Plymouth,PL9 8ES,South West,no
144009,879,Plymouth,Courtlands School,www.transformingfutures.org.uk,Plymouth,PL6 5JS,South West,no
136496,879,Plymouth,Devonport High School for Boys,http://www.dhsb.org,Plymouth,PL1 5QP,South West,no
136588,879,Plymouth,Devonport High School for Girls,http://www.dhsg.co.uk,Plymouth,PL2 3DL,South West,no
144385,879,Plymouth,Drake Primary Academy,www.drakeacademy.org,Plymouth,PL2 2EN,South West,no
140104,879,Plymouth,Eggbuckland Community College,http://www.eggbuckland.com,Plymouth,PL6 5YB,South West,no
143312,879,Plymouth,Eggbuckland Vale Primary School,,Plymouth,PL6 5PS,South West,no
138310,879,Plymouth,Elburton Primary School,http://www.elburtonschool.com,Plymouth,PL9 8HJ,South West,no
142545,879,Plymouth,Ernesettle Community School,www.ecs.timat.co.uk,Plymouth,PL5 2RB,South West,no
145652,879,Plymouth,Ford Primary School,www.ford.plymouth.sch.uk,Plymouth,PL2 1PU,South West,no
143067,879,Plymouth,Glen Park Primary School,http://www.glenpark.plymouth.sch.uk,Plymouth,PL7 2DE,South West,no
143826,879,Plymouth,Goosewell Primary Academy,http://www.goosewell.plymouth.sch.uk,Plymouth,PL9 9HD,South West,no
113051,879,Plymouth,Ham Drive Nursery School and Day Care,www.hamdrivenursery.plymouth.sch.uk,Plymouth,PL2 2NJ,South West,no
