urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
140629,880,Torbay,All Saints Babbacombe CofE Primary School,www.allsaintsbabbacombe.stcmat.org,Torquay,TQ1 3RN,South West,no
138369,880,Torbay,Barton Hill Academy,https://sites.google.com/aetinet.org/barton-hill-academy,Torquay,TQ2 8JA,South West,no
147813,880,Torbay,Brixham Church of England Primary School,http://www.brixhamcofe.org,Brixham,TQ5 9HF,South West,no
137755,880,Torbay,Brixham College,http://www.brixhamcollege.co.uk/,Brixham,TQ5 9HF,South West,no
150616,880,Torbay,Brunel School,www.brunelschool.org,Paignton,TQ3 2AL,South West,no
136388,880,Torbay,Churston Ferrers Grammar School Academy,http://www.churstongrammar.com/,Brixham,TQ5 0LN,South West,no
149222,880,Torbay,Cockington Primary School,https://www.cockingtonprimary.org.uk,Torquay,TQ2 6AP,South West,no
145103,880,Torbay,Collaton St Mary Church of England Primary School,http://www.collatonstmaryprimary.org,Paignton,TQ3 3YA,South West,no
139540,880,Torbay,Combe Pafford School,,Torquay,TQ2 8NL,South West,no
138772,880,Torbay,Curledge Street Academy,http://curledgestreetacademy.org,Paignton,TQ4 5BA,South West,no
136892,880,Torbay,Eden Park Primary & Nursery School,www.eppsa.org.uk/,Brixham,TQ5 9NH,South West,no
138047,880,Torbay,Ellacombe Church of England Academy,https://ellacombe-lap.co.uk/,Torquay,TQ1 1TG,South West,no
149412,880,Torbay,Furzeham Primary School,www.furzehamprimary.org,Brixham,TQ5 8BL,South West,no
145104,880,Torbay,Galmpton Church of England Primary School,http://www.galmptonprimary.org,Brixham,TQ5 0LT,South West,no
136648,880,Torbay,Hayes School,http://www.hayes.torbay.sch.uk/,Paignton,TQ4 5PJ,South West,no
113231,880,Torbay,Homelands Primary School,www.homelands.torbay.sch.uk,Torquay,TQ1 4NT,South West,no
137304,880,Torbay,Ilsham Church of England Academy,https://ilsham-lap.co.uk/,Torquay,TQ1 2JQ,South West,no
138773,880,Torbay,Kings Ash Academy,www.kingsashacademy.org/,Paignton,TQ3 3XA,South West,no
113641,880,Torbay,Mayfield School,www.mayfieldtorbay.org,Torquay,TQ2 8NH,South West,no
142361,880,Torbay,Oldway Primary School,http://www.oldwayschool.co.uk/,Paignton,TQ3 2SY,South West,no
140745,880,Torbay,Our Lady of the Angels Catholic Primary School,ourladyoftheangels.eschools.co.uk,Torquay,TQ2 6DB,South West,no
138863,880,Torbay,Paignton Academy,http://www.paigntonacademy.org,Paignton,TQ3 3WA,South West,no
141237,880,Torbay,Preston Primary School,www.preston.torbay.sch.uk/,Torquay,TQ2 6UY,South West,no
140743,880,Torbay,"Priory Roman Catholic Primary School, Torquay",http://www.priory-primary.torbay.sch.uk/,Torquay,TQ1 4NZ,South West,no
142364,880,Torbay,Roselands Primary School,http://roselandsprimary.org.uk,Paignton,TQ4 7RQ,South West,no
140749,880,Torbay,Sacred Heart Catholic School,http://www.sacred-heart-primary.torbay.sch.uk/,Paignton,TQ3 2SH,South West,no
113240,880,Torbay,Sherwell Valley Primary School,http://www.sherwell-valley-primary.torbay.sch.uk/,Torquay,TQ2 6ES,South West,no
136659,880,Torbay,Shiphay Learning Academy,www.shiphay.com,Torquay,TQ2 7NF,South West,no
140768,880,Torbay,St Margaret Clitherow Catholic Primary School,www.margaret-clitherow-primary.torbay.sch.uk/,Brixham,TQ5 0EE,South West,no
136602,880,Torbay,St Margaret's Academy,http://www.stmargaretstorbay.org.uk,Torquay,TQ1 4PA,South West,no
140644,880,Torbay,St Marychurch Church of England Primary and Nursery School,http://www.st-marychurch-primary.org.uk/,Torquay,TQ1 4QH,South West,no
147851,880,Torbay,St Michael's Church of England Academy,https://stmichaels-lap.co.uk/,Paignton,TQ4 5EW,South West,no
144031,880,Torbay,The Lodestar Academy,,Torquay,TQ2 8JE,South West,no
113526,880,Torbay,The Spires College,http://thespirescollege.com,Torquay,TQ1 3PE,South West,no
138370,880,Torbay,Torquay Academy,http://www.tqacademy.co.uk,Torquay,TQ2 7NU,South West,no
136321,880,Torbay,Torquay Boys' Grammar School,http://www.tbgs.co.uk/,Torquay,TQ2 7EL,South West,no
136506,880,Torbay,Torquay Girls' Grammar School,www.tggsacademy.org,Torquay,TQ2 7DY,South West,no
140092,880,Torbay,Torre Church of England Academy,www.torrecofeacademy.org,TORQUAY,TQ1 4DN,South West,no
142669,880,Torbay,Upton St James CofE Primary School,http://www.upton-st-james-primary.torbay.sch.uk/,Torquay,TQ1 4AZ,South West,no
142287,880,Torbay,Warberry CofE Academy,https://warberry-lap.co.uk/,Torquay,TQ1 1SB,South West,no
113233,880,Torbay,Watcombe Primary School,http://www.watcombe-primary.torbay.sch.uk/,Torquay,TQ2 8NU,South West,no
113216,880,Torbay,White Rock Primary School,www.whiterockprimaryschool.co.uk,Paignton,TQ4 7AW,South West,no
113551,880,Torbay,St Cuthbert Mayne School,http://www.st-cuthbertmayne.co.uk/,Torquay,TQ1 4RN,South West,yes
