urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
133312,881,Essex,Abacus Primary School,www.abacusprimaryschool.co.uk,Wickford,SS12 9GJ,East of England,no
141380,881,Essex,Abbotsweld Primary Academy,http://www.netacademies.net/abbotsweld/,Harlow,CM18 6TE,East of England,no
147255,881,Essex,Acorn Academy,www.acornacademy.net,Witham,CM8 1NA,East of England,no
139402,881,Essex,Alec Hunter Academy,http://www.alechunter.org/,Braintree,CM7 3NR,East of England,no
115141,881,Essex,"All Saints Church of England Voluntary Aided Primary School, Great Oakley",www.allsaintsgreatoakley.org.uk/,Harwich,CO12 5BA,East of England,no
115103,881,Essex,All Saints Maldon Church of England Voluntary Controlled Primary School,www.allsaintsprimaryschoolmaldon.co.uk,Maldon,CM9 6HY,East of England,no
115203,881,Essex,"All Saints' Church of England Voluntary Aided Primary School, Dovercourt",www.allsaints-harwich.essex.sch.uk/,Harwich,CO12 4HT,East of England,no
114734,881,Essex,Alresford Primary School,www.alresford.essex.sch.uk,Colchester,CO7 8AU,East of England,no
147603,881,Essex,Alton Park Junior School,https://altonparkjunior.org.uk/,Clacton-on-Sea,CO15 1DL,East of England,no
137727,881,Essex,Anglo European School,http://aesessex.co.uk/,Ingatestone,CM4 0DJ,East of England,no
150533,881,Essex,Ardleigh St Mary's Church of England Primary Academy,www.ardleigh.academy,Colchester,CO7 7NS,East of England,no
137378,881,Essex,Ashingdon Primary Academy,www.ashingdonprimaryacademy.org,Rochford,SS4 3LN,East of England,no
114898,881,Essex,Baddow Hall Infant School,http://www.baddowhallinfant.co.uk,Chelmsford,CM2 7QZ,East of England,no
143203,881,Essex,Bardfield Academy,www.bardfieldacademy.org,Basildon,SS16 4NL,East of England,no
143948,881,Essex,Barling Magna Primary Academy,www.barlingmagna.essex.sch.uk,Southend-on-Sea,SS3 0LN,East of England,no
146000,881,Essex,Barnes Farm Primary School,www.bf-primary.com,Chelmsford,CM2 6QH,East of England,no
114767,881,Essex,Baynards Primary School,www.baynards.essex.sch.uk,Colchester,CO5 0ND,East of England,no
115322,881,Essex,Beauchamps High School,http://www.beauchamps.essex.sch.uk/,Wickford,SS11 8LY,East of England,no
