urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
150392,882,Southend-on-Sea,Barons Court Primary School and Nursery,https://www.baronscourt.southend.sch.uk/,Westcliff-on-Sea,SS0 7PJ,East of England,no
138174,882,Southend-on-Sea,Belfairs Academy,http://www.belfairsacademy.org.uk/,Leigh-on-Sea,SS9 3TG,East of England,no
143337,882,Southend-on-Sea,Blenheim Primary School,www.blenheimprimary.co.uk,Leigh-on-Sea,SS9 4HX,East of England,no
143966,882,Southend-on-Sea,Bournemouth Park Academy,www.bournemouthpark.co.uk/,Southend-on-Sea,SS2 5JN,East of England,no
143339,882,Southend-on-Sea,Bournes Green Infant School,https://www.bournesgreen.secat.co.uk,Southend-on-Sea,SS1 3PS,East of England,no
144877,882,Southend-on-Sea,Bournes Green Junior School,https://www.bournesgreen.secat.co.uk,Southend-on-Sea,SS1 3PX,East of England,no
147185,882,Southend-on-Sea,Cecil Jones Academy,www.ceciljonesacademy.net,Southend-on-Sea,SS2 4BU,East of England,no
114719,882,Southend-on-Sea,Chalkwell Hall Infant School,http://www.chalkwellhallinfants.co.uk,Leigh-on-Sea,SS9 3NL,East of England,no
114718,882,Southend-on-Sea,Chalkwell Hall Junior School,www.chalkwellhall.co.uk,Leigh-on-Sea,SS9 3NL,East of England,no
141741,882,Southend-on-Sea,Chase High School,http://www.chasehigh.org/,Westcliff-on-Sea,SS0 0RT,East of England,no
140536,882,Southend-on-Sea,Darlinghurst Academy,www.darlinghurst.uk/,Leigh-on-Sea,SS9 3JS,East of England,no
114720,882,Southend-on-Sea,Earls Hall Primary School,www.earlshallprimary.co.uk,Westcliff-on-Sea,SS0 0QN,East of England,no
134860,882,Southend-on-Sea,Eastwood Primary School & Nursery,www.eastwoodprimaryschool.co.uk/,Leigh-on-Sea,SS9 5UT,East of England,no
148825,882,Southend-on-Sea,Edwards Hall Primary School,www.edwardshallprimary.co.uk/,Leigh-on-Sea,SS9 5AQ,East of England,no
143334,882,Southend-on-Sea,Friars Primary School and Nursery,www.friarsprimary.co.uk/,Southend-on-Sea,SS3 9XX,East of England,no
143338,882,Southend-on-Sea,Greenways Primary School,www.greenways.southend.sch.uk,Southend-on-Sea,SS1 3BS,East of England,no
143340,882,Southend-on-Sea,Hamstel Infant School and Nursery,www.hamstelinfants.co.uk/,Southend-on-Sea,SS2 4PQ,East of England,no
143335,882,Southend-on-Sea,Hamstel Junior School,www.hamsteljuniors.co.uk,Southend-on-Sea,SS2 4PQ,East of England,no
150361,882,Southend-on-Sea,Heycroft Primary School,https://www.heycroftschool.org.uk/,LEIGH-on-SEA,SS9 5SJ,East of England,no
143333,882,Southend-on-Sea,Hinguar Community Primary School,https://www.hinguar.secat.co.uk,Southend-on-Sea,SS3 9FE,East of England,no
144692,882,Southend-on-Sea,Kingsdown School,www.kingsdownschool.org,Southend-on-Sea,SS2 6XT,East of England,no
144693,882,Southend-on-Sea,Lancaster School,http://lancaster.southend.sch.uk,Westcliff-on-Sea,SS0 0RT,East of England,no
144987,882,Southend-on-Sea,Our Lady of Lourdes Catholic Primary School,www.olol.co.uk,Leigh-on-Sea,SS9 3HS,East of England,no
142683,882,Southend-on-Sea,Porters Grange Primary School and Nursery,www.portersgrange.co.uk,Southend-on-Sea,SS1 2NS,East of England,no
140672,882,Southend-on-Sea,Prince Avenue Academy and Nursery,www.princeavenue.co.uk,Westcliff-on-Sea,SS0 0LG,East of England,no
144878,882,Southend-on-Sea,Richmond Avenue Primary and Nursery School,https://www.richmond.secat.co.uk,Southend-on-Sea,SS3 9LG,East of England,no
145678,882,Southend-on-Sea,Sacred Heart Catholic Primary School,www.shs-southend.co.uk/,Southend-on-Sea,SS1 2RF,East of England,no
137733,882,Southend-on-Sea,Shoeburyness High School,https://www.shoeburyness.secat.co.uk,Southend-on-Sea,SS3 9LL,East of England,no
143144,882,Southend-on-Sea,Southchurch High School,www.southchurchschool.com,Southend-On-Sea,SS2 4XA,East of England,no
136443,882,Southend-on-Sea,Southend High School for Boys,www.shsb.org.uk,Southend-on-Sea,SS0 0RG,East of England,no
136444,882,Southend-on-Sea,Southend High School for Girls,https://www.shsg.org/,Southend-on-Sea,SS2 4UZ,East of England,no
