urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139605,883,Thurrock,Abbots Hall Primary School,www.abbots-hall.co.uk/,Stanford-le-Hope,SS17 7BW,East of England,no
143378,883,Thurrock,Arthur Bugler Primary School,https://arthur-bugler.osborne.coop/,Stanford-le-Hope,SS17 7BQ,East of England,no
146818,883,Thurrock,Aveley Primary School,aveleyprimary.org,South Ockendon,RM15 4AA,East of England,no
138736,883,Thurrock,Beacon Hill Academy,,South Ockendon,RM15 5AY,East of England,no
139105,883,Thurrock,Belmont Castle Academy,www.s562128340.websitehome.co.uk/,Grays,RM17 5YN,East of England,no
139382,883,Thurrock,Benyon Primary School,www.benyonprimaryschool.org.uk,South Ockendon,RM15 6PG,East of England,no
148209,883,Thurrock,Bonnygate Primary School,https://bonnygate.osborne.coop/,South Ockendon,RM15 5BA,East of England,no
144603,883,Thurrock,Bulphan Church of England Academy,www.bulphanprimary.thurrock.sch.uk,Bulphan,RM14 3RL,East of England,no
143149,883,Thurrock,Chadwell St Mary Primary School,https://chadwellstmary.org.uk/,Grays,RM16 4DH,East of England,no
141897,883,Thurrock,Deneholm Primary School,https://deneholm.org.uk/,Grays,RM16 2SS,East of England,no
139104,883,Thurrock,Dilkes Academy,www.dilkesacademy.org.uk,South Ockendon,RM15 5JQ,East of England,no
138065,883,Thurrock,East Tilbury Primary School,https://east-tilbury.osborne.coop/,East Tilbury,RM18 8SB,East of England,no
140720,883,Thurrock,Giffards Primary School,www.giffardsprimary.thurrock.sch.uk/,Stanford-le-Hope,SS17 7TG,East of England,no
139613,883,Thurrock,Graham James Primary Academy,www.grahamjamesacademy.co.uk/,Stanford-le-Hope,SS17 7ES,East of England,no
137549,883,Thurrock,Harris Academy Chafford Hundred,www.harrischaffordhundred.org.uk,Grays,RM16 6SA,East of England,no
147537,883,Thurrock,Harris Academy Ockendon,www.harrisockendon.org.uk,South Ockendon,RM15 5AY,East of England,no
144750,883,Thurrock,Harris Academy Riverside,www.harrisriverside.org.uk,Purfleet,RM19 1QY,East of England,no
138349,883,Thurrock,Harris Primary Academy Chafford Hundred,www.harrisprimarychaffordhundred.org.uk/,Grays,RM16 6SA,East of England,no
140938,883,Thurrock,Harris Primary Academy Mayflower,www.harrisprimarymayflower.org.uk/,Chafford Hundred,RM16 6SA,East of England,no
138962,883,Thurrock,Herringham Primary Academy,www.theglc-herringham.org.uk/,Grays,RM16 4JX,East of England,no
146296,883,Thurrock,Holy Cross Catholic Primary School,https://www.holycrossprimary.com,South Ockendon,RM15 5RP,East of England,no
146708,883,Thurrock,Horndon-On-the-Hill CofE Primary School,https://horndon-on-the-hill.osborne.coop/,Stanford-le-Hope,SS17 8LR,East of England,no
138735,883,Thurrock,Kenningtons Primary Academy,www.kenningtonsprimaryacademy.co.uk,South Ockendon,RM15 4NB,East of England,no
138048,883,Thurrock,Lansdowne Primary Academy,www.theglc-lansdowne.org.uk,Tilbury,RM18 7QB,East of England,no
147215,883,Thurrock,Little Thurrock Primary School,https://little-thurrock.osborne.coop,Grays,RM17 5SW,East of England,no
