urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
116731,884,"Herefordshire, County of",Ashfield Park Primary School,www.ashfieldpark.org/,Ross-on-Wye,HR9 5AU,West Midlands,no
136532,884,"Herefordshire, County of",Ashperton Primary Academy,http://www.ashperton.hereford.sch.uk,Ledbury,HR8 2SE,West Midlands,no
139607,884,"Herefordshire, County of",Barrs Court School,https://www.barrscourtschool.co.uk/,Hereford,HR1 1EQ,West Midlands,no
151214,884,"Herefordshire, County of",Blackmarston School,,Hereford,HR2 7NX,West Midlands,no
149323,884,"Herefordshire, County of",Bredenbury Primary School,,Bromyard,HR7 4TF,West Midlands,no
137624,884,"Herefordshire, County of",Brockhampton Primary School,www.brockhamptonprimaryschool.co.uk,Bromyard,WR6 5TD,West Midlands,no
139608,884,"Herefordshire, County of",Burghill Community Academy,http://www.burghillacademy.com,Hereford,HR4 7RP,West Midlands,no
143454,884,"Herefordshire, County of",Burley Gate CofE Primary School,http://www.burleygate.hereford.sch.uk,Hereford,HR1 3QR,West Midlands,no
139308,884,"Herefordshire, County of",Canon Pyon CofE Academy,www.canonpyonacademy.com,Hereford,HR4 8PF,West Midlands,no
143974,884,"Herefordshire, County of",Eastnor Parochial Primary School,www.eastnorschool.co.uk,Ledbury,HR8 1RA,West Midlands,no
116674,884,"Herefordshire, County of",Ewyas Harold Primary School,http://www.ewyasharoldprimaryschool.co.uk,Hereford,HR2 0EY,West Midlands,no
140868,884,"Herefordshire, County of",Fairfield High School,www.fairfield.hereford.sch.uk,Hereford,HR2 0SG,West Midlands,no
150530,884,"Herefordshire, County of",Goodrich CofE Primary School,www.goodrichce.org,Ross-on-Wye,HR9 6HY,West Midlands,no
116814,884,"Herefordshire, County of",Gorsley Goffs Primary School,http://www.gorsleygoffsprimary.co.uk,Ross-on-Wye,HR9 7SE,West Midlands,no
116680,884,"Herefordshire, County of",Hampton Dene Primary School,www.hamptondeneschool.co.uk,Hereford,HR1 1RT,West Midlands,no
143929,884,"Herefordshire, County of",Hereford Sixth Form College,https://www.hereford.ac.uk/,Hereford,HR1 1LU,West Midlands,no
130991,884,"Herefordshire, County of",Herefordshire Pupil Referral Service,www.hprs.hereford.sch.uk,Hereford,HR1 2DY,West Midlands,no
137731,884,"Herefordshire, County of",Holmer CofE Academy,www.holmerceacademy.co.uk,Hereford,HR4 9RX,West Midlands,no
116894,884,"Herefordshire, County of",Ivington CofE Primary and Pre-School,http://www.ivington.hereford.sch.uk,Leominster,HR6 0JH,West Midlands,no
136399,884,"Herefordshire, County of",John Kyrle High School and Sixth Form Centre Academy,http://www.jkhs.org.uk/,Ross-on-Wye,HR9 7ET,West Midlands,no
136803,884,"Herefordshire, County of",John Masefield High School,http://www.jmhs.hereford.sch.uk,Ledbury,HR8 2HF,West Midlands,no
116890,884,"Herefordshire, County of",Kimbolton St James CofE Primary School,www.kimbolton-st-james.hereford.sch.uk/,Leominster,HR6 0HQ,West Midlands,no
136759,884,"Herefordshire, County of",King's Caple Primary Academy,www.kingscaple.hmfa.org.uk,Hereford,HR1 4TZ,West Midlands,no
116891,884,"Herefordshire, County of",Kingsland CofE School,http://www.kingslandceprimary.com/,Leominster,HR6 9QN,West Midlands,no
137073,884,"Herefordshire, County of",Kingstone High School,http://www.kingstoneacademytrust.co.uk,Hereford,HR2 9HJ,West Midlands,no
137415,884,"Herefordshire, County of",Kingstone and Thruxton Primary School,www.kingstone-thruxton.hereford.sch.uk/,Hereford,HR2 9HJ,West Midlands,no
137608,884,"Herefordshire, County of",Lady Hawkins' School,http://www.lhs.hereford.sch.uk,Kington,HR5 3AR,West Midlands,no
116892,884,"Herefordshire, County of",Lea CofE Primary School,http://www.lea-primary.hereford.sch.uk,Ross-on-Wye,HR9 7JY,West Midlands,no
116893,884,"Herefordshire, County of",Leintwardine Endowed CE Primary School,www.leintwardineprimary.org,Craven Arms,SY7 0LL,West Midlands,no
140617,884,"Herefordshire, County of",Leominster Primary School,www.leominsterprimaryschool.co.uk,Leominster,HR6 8JU,West Midlands,no
116828,884,"Herefordshire, County of",Little Dewchurch CofE Primary School,http://www.little-dewchurch.hereford.sch.uk,Hereford,HR2 6PN,West Midlands,no
139313,884,"Herefordshire, County of",Llangrove CE Academy,www.llangrove.hmfa.org.uk/,Ross-on-Wye,HR9 6EZ,West Midlands,no
136761,884,"Herefordshire, County of",Lord Scudamore Primary Academy,www.lordscudamore.hmfa.org.uk,Hereford,HR4 0AS,West Midlands,no
138035,884,"Herefordshire, County of",Lugwardine Primary Academy,www.lugwardine.hereford.sch.uk,Hereford,HR1 4DH,West Midlands,no
116708,884,"Herefordshire, County of",Madley Primary School,www.madleyprimaryschool.co.uk,Hereford,HR2 9PH,West Midlands,no
140526,884,"Herefordshire, County of",Marden Primary Academy,marden.hmfa.org.uk,Hereford,HR1 3EW,West Midlands,no
151069,884,"Herefordshire, County of",Marlbrook Primary School,http://www.marlbrookschool.com,Hereford,HR2 7NT,West Midlands,no
116714,884,"Herefordshire, County of",Michaelchurch Escley Primary School,http://michaelchurchprimary.com,Hereford,HR2 0PT,West Midlands,no
140464,884,"Herefordshire, County of",Mordiford CofE Primary School,http://mordifordceprimaryschool.co.uk,Hereford,HR1 4LW,West Midlands,no
116833,884,"Herefordshire, County of",Much Birch CofE Primary School,www.much-birch.hereford.sch.uk/,Hereford,HR2 8HL,West Midlands,no
151252,884,"Herefordshire, County of",Much Marcle CofE Primary School,www.muchmarcle.hereford.sch.uk/,Ledbury,HR8 2LY,West Midlands,no
116883,884,"Herefordshire, County of",Our Lady's RC Primary School,http://www.our-ladys.hereford.sch.uk,Hereford,HR2 7RN,West Midlands,no
137703,884,"Herefordshire, County of",Queen Elizabeth High School,www.qehs.co/,Bromyard,HR7 4QS,West Midlands,no
128077,884,"Herefordshire, County of",Riverside Primary School,www.riverside.hereford.sch.uk/,Hereford,HR2 7JF,West Midlands,no
116884,884,"Herefordshire, County of",St Francis Xavier's Primary School,http://www.st-francisxaviers.hereford.sch.uk,Hereford,HR1 1DT,West Midlands,no
151073,884,"Herefordshire, County of",St James' Church of England Primary School,https://www.stjamesceschool.org/,Hereford,HR1 2QN,West Midlands,no
151070,884,"Herefordshire, County of",St Martin's Primary School,,Hereford,HR2 6AF,West Midlands,no
