urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
141308,886,Kent,Adisham Church of England Primary School,www.adisham.kent.sch.uk/,Canterbury,CT3 3JW,South East,yes
118365,886,Kent,Aldington Primary School,http://www.aldington.kent.sch.uk/,Ashford,TN25 7EE,South East,yes
146950,886,Kent,All Soul's Church of England Primary School,www.allsouls.kent.sch.uk/,Folkestone,CT19 4LG,South East,no
139096,886,Kent,Allington Primary School,www.allington.kent.sch.uk/,Maidstone,ME16 0PG,South East,no
136499,886,Kent,Amherst School,http://www.amherst.kent.sch.uk,Sevenoaks,TN13 2AX,South East,yes
139822,886,Kent,Archbishop Courtenay Primary School,www.archbishopcourtenay.org.uk/,Maidstone,ME15 6QN,South East,no
135125,886,Kent,Ashford Oaks Community Primary School,http://www.ashfordoaks.kent.sch.uk/,Ashford,TN23 4QR,South East,no
147833,886,Kent,Aspire School,www.aspire-ba-mat.org.uk,Sittingbourne,ME10 5DA,South East,no
138167,886,Kent,Astor Secondary School,http://www.astorschool.com,Dover,CT17 0AS,South East,no
118449,886,Kent,Aycliffe Community Primary School,www.aycliffecpschool.co.uk,Dover,CT17 9HJ,South East,no
149319,886,Kent,Aylesford School,www.aylesford.kent.sch.uk,Aylesford,ME20 7JU,South East,no
151466,886,Kent,Aylesham Primary School,www.aylesham.kent.sch.uk,Canterbury,CT3 3BS,South East,no
118730,886,Kent,Bapchild and Tonge Church of England Primary School and Nursery,www.bapchildprimary.co.uk,Sittingbourne,ME9 9NL,South East,yes
142924,886,Kent,Barming Primary School,https://www.barming.kent.sch.uk/,Maidstone,ME16 9DY,South East,yes
137474,886,Kent,Barton Court Grammar School,http://www.bartoncourt.org,Canterbury,CT1 1PH,South East,yes
138169,886,Kent,Barton Junior School,www.bartonjuniorschool.org/,Dover,CT16 2ND,South East,no
149039,886,Kent,Barton Manor School,https://www.bartonmanor.org/,Canterbury,CT1 1SU,South East,no
