urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
138182,887,Medway,All Faiths Children's Academy,www.allfaithschildrensacademy.org.uk,Rochester,ME2 4UF,South East,no
142137,887,Medway,All Saints Church of England Primary School,http://www.allsaints.medway.sch.uk,Chatham,ME4 5JY,South East,no
118329,887,Medway,Balfour Infant School,http://www.balfourinf.medway.sch.uk,Rochester,ME1 2QT,South East,no
143880,887,Medway,Balfour Junior School,www.balfourjuniorschool.org.uk,Chatham,ME4 6QX,South East,no
144423,887,Medway,Barnsole Primary School,www.barnsoleprimary.medway.sch.uk,Gillingham,ME7 2JG,South East,no
144915,887,Medway,Bligh Primary School (Infants),www.blighprimaryschool.co.uk,Rochester,ME2 2XJ,South East,no
144566,887,Medway,Bligh Primary School (Juniors),www.blighprimaryschool.co.uk,Rochester,ME2 2XJ,South East,no
140701,887,Medway,Bradfields Academy,www.bradfieldsacademy.co.uk,Chatham,ME5 0LB,South East,no
136107,887,Medway,Brompton Academy,http://www.bromptonacademy.org.uk,Gillingham,ME7 5HT,South East,no
141467,887,Medway,Brompton-Westbrook Primary School,http://www.bromptonwestbrook.medway.sch.uk,Gillingham,ME7 5DQ,South East,no
131527,887,Medway,Burnt Oak Primary School,www.burntoak.medway.sch.uk/,Gillingham,ME7 1LS,South East,no
142399,887,Medway,Byron Primary School,,Gillingham,ME7 5XX,South East,no
142817,887,Medway,Cedar Children's Academy,www.cedarchildrensacademy.org.uk,Rochester,ME2 2JP,South East,no
137389,887,Medway,Chatham Grammar,http://www.chathamgirlsgrammar.medway.sch.uk/,Chatham,ME5 7EH,South East,no
138328,887,Medway,Chattenden Primary School,http://www.chattenden.medway.sch.uk/,Rochester,ME3 8LF,South East,no
136859,887,Medway,Cliffe Woods Primary School,www.cliffewoods.medway.sch.uk,Rochester,ME3 8UJ,South East,no
118330,887,Medway,Crest Infant School,www.crestinfants.co.uk,Rochester,ME1 2QA,South East,no
141276,887,Medway,Cuxton Community Infant School,www.cuxtonschools.co.uk,Rochester,ME2 1EY,South East,no
141224,887,Medway,Cuxton Community Junior School,www.cuxtonschools.co.uk,Rochester,ME2 1EY,South East,no
142266,887,Medway,Danecourt School,www.danecourtschool.com,Gillingham,ME8 6AA,South East,no
143458,887,Medway,Deanwood Primary School,https://www.deanwood-that.org.uk/,Gillingham,ME8 9TX,South East,no
147769,887,Medway,Delce Academy,www.delceacademy.co.uk,Rochester,ME1 2NJ,South East,no
145926,887,Medway,Elaine Primary School,http://www.elaine.medway.sch.uk/,Rochester,ME2 2YN,South East,no
150465,887,Medway,English Martyrs' Catholic Primary School,http://www.englishmartyrs.medway.sch.uk,Rochester,ME2 4JA,South East,no
134904,887,Medway,Fairview Community Primary School,www.fairviewprimary.co.uk,Gillingham,ME8 0NU,South East,no
145042,887,Medway,Featherby Infant and Nursery School,http://www.featherby-inf.medway.sch.uk,Gillingham,ME8 6PD,South East,no
144969,887,Medway,Featherby Junior School,www.featherby-jun.medway.sch.uk,Gillingham,ME8 6BT,South East,no
136337,887,Medway,Fort Pitt Grammar School,http://www.fortpitt.medway.sch.uk,Chatham,ME4 6TJ,South East,no
140607,887,Medway,"Gordons Children's Academy, Infant",www.gordonchildrensacademy.org.uk,Rochester,ME2 3HQ,South East,no
140606,887,Medway,"Gordons Children's Academy, Junior",https://www.gordonchildrensacademy.org.uk/,Rochester,ME2 3HQ,South East,no
150870,887,Medway,Greenacre School,https://wgsp.org.uk/,Chatham,ME5 0LP,South East,no
118317,887,Medway,Greenvale Primary School,www.greenvale.medway.sch.uk,Chatham,ME4 5UP,South East,no
146872,887,Medway,Halling Primary School,http://www.halling.medway.sch.uk/,Rochester,ME2 1ER,South East,no
118555,887,Medway,Hempstead Infant School,www.hempsteadschoolsfederation.org.uk,Gillingham,ME7 3QG,South East,no
