urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
119307,888,Lancashire,Abbey Village Primary School,www.abbeyvillage.lancs.sch.uk,Chorley,PR6 8DD,North West,yes
139290,888,Lancashire,Academy@Worden,http://www.academyatworden.co.uk,Leyland,PR25 1RN,North West,yes
135649,888,Lancashire,Accrington Academy,http://www.accrington-academy.org/,Accrington,BB5 4FF,North West,yes
151164,888,Lancashire,Accrington Benjamin Hargreaves Church of England Primary School,,Accrington,BB5 2AQ,North West,yes
148919,888,Lancashire,Accrington Huncoat Primary School,www.huncoat.lancs.sch.uk/,Accrington,BB5 6LR,North West,yes
119183,888,Lancashire,Accrington Hyndburn Park Primary School,www.hyndburnpark.lancs.sch.uk,Accrington,BB5 1ST,North West,yes
119184,888,Lancashire,Accrington Peel Park Primary School,www.peelpark.lancs.sch.uk,Accrington,BB5 6QR,North West,yes
119185,888,Lancashire,Accrington Spring Hill Community Primary School,www.springhillschool.co.uk/,Accrington,BB5 0JD,North West,yes
137421,888,Lancashire,Accrington St Christopher's Church of England High School,http://www.st-christophers.org/,Accrington,BB5 4AY,North West,yes
119445,888,Lancashire,Accrington St John with St Augustine Church of England Primary School,http://www.st-john-augustine.lancs.sch.uk,Accrington,BB5 6AD,North West,yes
119446,888,Lancashire,Accrington St Mary Magdalen's Church of England Primary School,www.st-marymagdalens.lancs.sch.uk/,Accrington,BB5 1DW,North West,yes
119341,888,Lancashire,Accrington Woodnook Primary School,www.woodnookschool.co.uk/,Accrington,BB5 2HS,North West,no
135347,888,Lancashire,Acorns Primary School,www.acorns.lancs.sch.uk,Preston,PR1 6AU,North West,yes
119330,888,Lancashire,Adlington Primary School,http://www.adlingtonprimaryschool.co.uk,Chorley,PR7 4JA,North West,yes
146755,888,Lancashire,Adlington St Paul's Church of England Primary School,,Chorley,PR6 9QZ,North West,yes
138544,888,Lancashire,Albany Academy,http://www.albanyacademy.co.uk,Chorley,PR7 3AY,North West,yes
119722,888,Lancashire,Alder Grange School,http://www.aldergrange.com,Rossendale,BB4 8HW,North West,yes
119802,888,Lancashire,All Hallows Catholic High School,http://www.allhallows.lancs.sch.uk,Preston,PR1 0LN,North West,yes
147565,888,Lancashire,"All Saints' Roman Catholic High School, a Voluntary Academy",http://www.allsaintshigh.lancs.sch.uk/,Rossendale,BB4 6SJ,North West,yes
151005,888,Lancashire,"Alston Lane Catholic Primary School, Longridge",www.alstonlane.lancs.sch.uk,Preston,PR3 3BJ,North West,no
119202,888,Lancashire,Anderton Primary School,www.andertonprimaryschool.co.uk/,Adlington,PR6 9NN,North West,yes
119146,888,Lancashire,Ansdell Primary School,www.ansdellprimary.co.uk/,Lytham St Annes,FY8 4DR,North West,no
119880,888,Lancashire,Applebee Wood Community Specialist School,www.applebeewood.co.uk,Preston,PR5 5SS,North West,yes
134991,888,Lancashire,Appletree Nursery School,,Lancaster,LA1 5QB,North West,yes
