urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
119200,889,Blackburn with Darwen,Ashleigh Primary School,http://www.ashleighdarwen.co.uk,Darwen,BB3 2JT,North West,no
119136,889,Blackburn with Darwen,Audley Infant School,www.audleycominfschool.co.uk,Blackburn,BB1 1SE,North West,no
119115,889,Blackburn with Darwen,Audley Junior School,www.audleyjuniorschool.co.uk/,Blackburn,BB1 1SE,North West,no
119294,889,Blackburn with Darwen,Avondale Primary School,http://www.avondaleschool.co.uk,Darwen,BB3 1NN,North West,no
146936,889,Blackburn with Darwen,Blackburn Central High School,www.bchs.co.uk,Blackburn,BB2 3HJ,North West,no
119355,889,Blackburn with Darwen,Blackburn St Thomas' Church of England Primary School,www.stthomasblackburn.org.uk/,Blackburn,BB1 1NE,North West,no
133987,889,Blackburn with Darwen,Blackburn the Redeemer CofE Primary,https://www.theredeemercep.co.uk/,Blackburn,BB2 4JJ,North West,no
119344,889,Blackburn with Darwen,Brookhouse Primary School,www.brookhouseprimary.co.uk,Blackburn,BB1 6NY,North West,no
119092,889,Blackburn with Darwen,Brunel Nursery School,,Blackburn,BB1 1ES,North West,no
119222,889,Blackburn with Darwen,Cedars Primary School,www.cedarsprimaryschool.co.uk,Blackburn,BB1 8HQ,North West,no
146899,889,Blackburn with Darwen,Crosshill Special School,www.crosshillblackburn.co.uk,Darwen,BB3 1HZ,North West,no
119123,889,Blackburn with Darwen,Daisyfield Primary School,www.daisyfieldprimary.org,Blackburn,BB1 5LB,North West,no
135580,889,Blackburn with Darwen,Darwen Aldridge Community Academy,http://www.daca.uk.com/,Darwen,BB3 3HD,North West,no
139924,889,Blackburn with Darwen,Darwen Aldridge Enterprise Studio,http://www.daestudio.biz/,Darwen,BB3 1AF,North West,no
140891,889,Blackburn with Darwen,Darwen St James CofE Primary Academy,http://www.darwenstjames.co.uk,Darwen,BB3 0EY,North West,no
141321,889,Blackburn with Darwen,Darwen Vale High School,www.darwenvale.com,Darwen,BB3 0AL,North West,no
141483,889,Blackburn with Darwen,"Darwen, St Barnabas CofE Primary Academy",www.stbarnabasdarwen.co.uk/,Darwen,BB3 2JA,North West,no
141016,889,Blackburn with Darwen,Eden School,www.edenschool.org.uk,Blackburn,BB2 4NW,North West,no
