urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
140124,890,Blackpool,Anchorsholme Primary Academy,www.anchorsholme.co.uk,Thornton-Cleveleys,FY5 3RX,North West,no
145863,890,Blackpool,Armfield Academy,http://www.armfieldacademy.co.uk,Blackpool,FY4 1TL,North West,no
141611,890,Blackpool,Baines' Endowed Church of England Primary Academy,www.bainesendowedblackpool.co.uk,Blackpool,FY4 4DJ,North West,no
119411,890,Blackpool,Bispham Endowed Church of England Primary School,http://www.bisphamendowed.co.uk,Blackpool,FY2 0HH,North West,no
141132,890,Blackpool,Blackpool Aspire Academy,http://www.blackpoolaspireacademy.co.uk/,Blackpool,FY3 7LS,North West,no
142175,890,Blackpool,Blackpool Gateway Academy,www.gateway.fcat.org.uk,Blackpool,FY1 6JH,North West,no
119595,890,Blackpool,Blackpool St John's Church of England Primary School,http://www.stjohnsblackpool.co.uk,Blackpool,FY1 3NX,North West,no
150597,890,Blackpool,Boundary Primary School,www.boundaryschool.co.uk,Blackpool,FY3 7RW,North West,no
141288,890,Blackpool,Christ The King Catholic Academy,ctkacademy.co.uk,Blackpool,FY3 7FG,North West,no
140128,890,Blackpool,Devonshire Primary Academy,www.devonshire.blackpool.sch.uk/,Blackpool,FY3 8AF,North West,no
131772,890,Blackpool,Educational Diversity,www.eddiversity.com,Blackpool,FY3 9JW,North West,no
138538,890,Blackpool,Hawes Side Academy,www.hawes-side.co.uk,Blackpool,FY4 3LN,North West,no
142469,890,Blackpool,Highfield Leadership Academy,highfieldleadershipacademy.com,Blackpool,FY4 3JZ,North West,no
150609,890,Blackpool,Highfurlong School,http://www.highfurlong.org,Blackpool,FY3 7LS,North West,no
150579,890,Blackpool,Holy Family Catholic Primary School,www.holy-family.blackpool.sch.uk/,Blackpool,FY1 2SD,North West,no
131414,890,Blackpool,Kincraig Primary School,www.kincraig.blackpool.gov.uk,Blackpool,FY2 0HN,North West,no
119246,890,Blackpool,Layton Primary School,http://www.layton.blackpool.sch.uk,Blackpool,FY3 7DX,North West,no
141867,890,Blackpool,Marton Primary Academy and Nursery,www.martonprimary.co.uk,Blackpool,FY4 5LY,North West,no
143771,890,Blackpool,Mereside Primary Academy,http://www.meresideprimary.com/,Blackpool,FY4 4RR,North West,no
137973,890,Blackpool,Montgomery Academy,http://www.montgomeryschool.co.uk,Blackpool,FY2 0AZ,North West,no
151114,890,Blackpool,Moor Park Primary School,http://www.moorparkprimaryandnursery.co.uk,Blackpool,FY2 0LY,North West,no
138739,890,Blackpool,Norbreck Primary Academy,http://www.norbreck.blackpool.sch.uk,Thornton-Cleveleys,FY5 1PD,North West,no
150866,890,Blackpool,"Our Lady of The Assumption Catholic Primary School, Blackpool",www.ourladyassumption-sch.co.uk/,Blackpool,FY4 5DF,North West,no
140143,890,Blackpool,Park Community Academy,park.blackpool.sch.uk,Blackpool,FY3 9HF,North West,no
140673,890,Blackpool,Revoe Learning Academy,www.revoelearningacademy.co.uk,Blackpool,FY1 5HP,North West,no
146743,890,Blackpool,Roseacre Primary Academy,https://roseacre.atctrust.org.uk/,Blackpool,FY4 2PF,North West,no
151443,890,Blackpool,South Shore Academy,,Blackpool,FY4 2AR,North West,no
141115,890,Blackpool,St Cuthbert's Catholic Academy,www.stcuthbertsacademy.co.uk,Blackpool,FY4 2AU,North West,no
140759,890,Blackpool,St George's School A Church of England Academy,http://stgeorgesblackpool.com/,Blackpool,FY4 4PH,North West,no
150825,890,Blackpool,"St John Vianney's Catholic Primary School, Blackpool",www.stjohnvianneys.co.uk/,Blackpool,FY1 6RD,North West,no
149262,890,Blackpool,St Kentigern's Catholic Primary School,www.st-kentigern.blackpool.sch.uk/,Blackpool,FY3 8BT,North West,no
141257,890,Blackpool,St Mary's Catholic Academy,http://www.st-mary.blackpool.sch.uk,Blackpool,FY3 7EQ,North West,no
149266,890,Blackpool,St Teresa's Catholic Primary School,www.stteresasprimary.co.uk/,Thornton-Cleveleys,FY5 3JW,North West,no
151273,890,Blackpool,St. Bernadette's Catholic Primary School,http://www.st-bernadette.blackpool.sch.uk/,Blackpool,FY2 0AJ,North West,no
150594,890,Blackpool,Stanley Primary School,www.stanleyprimaryschool.com/,Blackpool,FY3 9UT,North West,no
138927,890,Blackpool,Thames Primary Academy,https://thames.atctrust.org.uk,Blackpool,FY4 1EE,North West,no
150613,890,Blackpool,The Blackpool Sixth Form College,,Blackpool,FY3 7LR,North West,no
151301,890,Blackpool,The Maple School,,Blackpool,FY4 4RR,North West,no
139675,890,Blackpool,Unity Academy Blackpool,http://www.unity.blackpool.org.uk/,Blackpool,FY2 0TS,North West,no
138300,890,Blackpool,Waterloo Primary Academy,http://waterloo.zestacademytrust.co.uk,Blackpool,FY4 3AG,North West,no
137359,890,Blackpool,Westcliff Primary Academy,www.westcliffprimaryacademy.co.uk,Blackpool,FY2 9BY,North West,no
144945,890,Blackpool,Westminster Primary Academy,www.westminsterprimary.co.uk,Blackpool,FY1 2QE,North West,no
119871,890,Blackpool,Woodlands School,http://www.woodlands.blackpool.sch.uk/,Blackpool,FY3 9HF,North West,no
119594,890,Blackpool,Blackpool St Nicholas CofE Primary School,www.st-nicholas-blackpool.org.uk/,Blackpool,FY4 5DS,North West,yes
