urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
145506,892,Nottingham,Ambleside Primary School,www.ambleside.raleightrust.org,Nottingham,NG8 5PN,East Midlands,no
139429,892,Nottingham,Berridge Primary and Nursery School,http://www.berridgeprimary.com/,Nottingham,NG7 5LE,East Midlands,no
147285,892,Nottingham,Bilborough College,,Nottingham,NG8 4DQ,East Midlands,no
137425,892,Nottingham,Blessed Robert Widmerpool Catholic Primary and Nursery School,brwacademy.com,Nottingham,NG11 9BH,East Midlands,no
140231,892,Nottingham,Blue Bell Hill Primary and Nursery School,www.bluebellhill.org.uk,Nottingham,NG3 2LE,East Midlands,no
137798,892,Nottingham,Bluecoat Aspley Academy,www.bluecoataspley.co.uk,Nottingham,NG8 5GY,East Midlands,no
140369,892,Nottingham,Bluecoat Beechdale Academy,www.bluecoatbeechdale.co.uk,Nottingham,NG8 3GP,East Midlands,no
150033,892,Nottingham,Bluecoat Bentinck Primary Academy,,Nottingham,NG7 4AA,East Midlands,no
145145,892,Nottingham,Bluecoat Primary Academy,http://bluecoatprimaryacademy.co.uk/,Nottingham,NG8 3BB,East Midlands,no
148548,892,Nottingham,Bluecoat Trent Academy,https://www.bluecoattrent.co.uk/,Nottingham,NG5 1AJ,East Midlands,no
145146,892,Nottingham,Bluecoat Wollaton Academy,http://www.bluecoatwollaton.co.uk/,Nottingham,NG8 1EA,East Midlands,no
141397,892,Nottingham,Brocklewood Primary and Nursery School,www.brocklewoodprimaryschool.co.uk,Nottingham,NG8 3AL,East Midlands,no
143015,892,Nottingham,Bulwell St Mary's Primary and Nursery School,www.bulwellstmarys.co.uk,Nottingham,NG6 8GQ,East Midlands,no
143060,892,Nottingham,Burford Primary and Nursery School,www.burfordprimaryandnursery.co.uk,Nottingham,NG5 6FX,East Midlands,no
145581,892,Nottingham,CP Riverside School,www.cpriverside.co.uk,Nottingham,NG2 1DP,East Midlands,no
151545,892,Nottingham,Cantrell Primary and Nursery School,,Nottingham,NG6 9HJ,East Midlands,no
122702,892,Nottingham,Claremont Primary and Nursery School,www.claremontnottingham.co.uk,Nottingham,NG5 1BH,East Midlands,no
122476,892,Nottingham,Crabtree Farm Primary School,www.crabtreefarmprimary.com/,Nottingham,NG6 8AX,East Midlands,no
144022,892,Nottingham,Denewood Academy,https://denewood.raleightrust.org/,Nottingham,NG7 4ES,East Midlands,no
134253,892,Nottingham,Djanogly City Academy,http://www.djanogly.notts.sch.uk,Nottingham,NG7 6ND,East Midlands,no
137182,892,Nottingham,Djanogly Northgate Academy,www.northgateacademy.co.uk/,Nottingham,NG7 7GB,East Midlands,no
146331,892,Nottingham,Djanogly Sherwood Academy,www.sherwoodacademy.co.uk,Nottingham,NG7 7AR,East Midlands,no
140555,892,Nottingham,Djanogly Strelley Academy,www.djanoglystrelleyacademy.co.uk/,Nottingham,NG8 6JZ,East Midlands,no
140715,892,Nottingham,Edale Rise Primary & Nursery School,http://www.edale-rise-primary.co.uk/EdaleRise/,Nottingham,NG2 4HT,East Midlands,no
137525,892,Nottingham,Edna G. Olds Academy,www.ednagoldsacademy.co.uk,Nottingham,NG7 1SJ,East Midlands,no
146539,892,Nottingham,Ellis Guilford School,www.ellisguilfordschool.org.uk,Nottingham,NG6 0HT,East Midlands,no
146564,892,Nottingham,Farnborough Spencer Academy,http://www.farnboroughspencer.org.uk,Nottingham,NG11 8JW,East Midlands,no
142223,892,Nottingham,Fernwood Primary School,www.fernwoodprimary.co.uk,Nottingham,NG8 2FZ,East Midlands,no
136724,892,Nottingham,Fernwood School,http://www.fernwoodschool.org.uk/,Nottingham,NG8 2FT,East Midlands,no
139326,892,Nottingham,Firbeck Academy,www.firbeck.org.uk/,Nottingham,NG8 2FB,East Midlands,no
122561,892,Nottingham,Glade Hill Primary & Nursery School,www.gladehill.nottingham.sch.uk,Nottingham,NG5 5TA,East Midlands,no
